(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(19428, -100, 4);[40, 300, 10, 8];משיח;4733;(35, 9, 25, 3, 4733);מן;1;(35, 9, 25, 10, 19428);ותדע ותשכל מן מצא דבר להשיב ולבנות ירושלם עד משיח נגיד שבעים שבעה ושבעים ששים ושנים תשוב ונבנתה רחוב וחרוץ ובצוק העתים
(22739, -96, 4);[40, 300, 10, 8];משיח;5555;(35, 11, 31, 1, 5555);וזרעים;6;(35, 11, 31, 6, 22739);וזרעים ממנו יעמדו וחללו המקדש המעוז והסירו התמיד ונתנו השקוץ משמם
(19722, -88, 4);[40, 300, 10, 8];משיח;4804;(35, 10, 1, 11, 4804);שמו;2;(35, 10, 1, 41, 19722);בשנת שלוש לכורש מלך פרס דבר נגלה לדניאל אשר נקרא שמו בלטאשצר ואמת הדבר וצבא גדול ובין את הדבר ובינה לו במראה
(12482, -84, 4);[40, 300, 10, 8];משיח;3031;(35, 6, 8, 9, 3031);לקימה;4;(35, 6, 8, 49, 12482);אתיעטו כל סרכי מלכותא סגניא ואחשדרפניא הדבריא ופחותא לקימה קים מלכא ולתקפה אסר די כל די יבעא בעו מן כל אלה ואנש עד יומין תלתין להן מנך מלכא יתרמא לגב אריותא
(19389, -66, 4);[40, 300, 10, 8];משיח;4724;(35, 9, 24, 17, 4724);עלמים;3;(35, 9, 24, 67, 19389);שבעים שבעים נחתך על עמך ועל עיר קדשך לכלא הפשע ולחתם חטאות ולכפר עון ולהביא צדק עלמים ולחתם חזון ונביא ולמשח קדש קדשים
(21007, -54, 4);[40, 300, 10, 8];משיח;5134;(35, 10, 21, 16, 5134);מיכאל;1;(35, 10, 21, 48, 21007);אבל אגיד לך את הרשום בכתב אמת ואין אחד מתחזק עמי על אלה כי אם מיכאל שרכם
(15767, -49, 4);[40, 300, 10, 8];משיח;3864;(35, 7, 23, 13, 3864);מלכותא;1;(35, 7, 23, 47, 15767);כן אמר חיותא רביעיתא מלכו רביעיה תהוא בארעא די תשנא מן כל מלכותא ותאכל כל ארעא ותדושנה ותדקנה
(15365, -44, 4);[40, 300, 10, 8];משיח;3766;(35, 7, 17, 8, 3766);מלכין;1;(35, 7, 17, 31, 15365);אלין חיותא רברבתא די אנין ארבע ארבעה מלכין יקומון מן ארעא
(19722, -43, 4);[40, 300, 10, 8];משיח;4804;(35, 10, 1, 11, 4804);שמו;2;(35, 10, 1, 41, 19722);בשנת שלוש לכורש מלך פרס דבר נגלה לדניאל אשר נקרא שמו בלטאשצר ואמת הדבר וצבא גדול ובין את הדבר ובינה לו במראה
(7478, -40, 4);[40, 300, 10, 8];משיח;1823;(35, 4, 4, 13, 1823);מהודעין;1;(35, 4, 4, 58, 7478);באדין עללין חרטמיא אשפיא כשדיא וגזריא וחלמא אמר אנה קדמיהון ופשרה לא מהודעין לי
(24243, -9, 4);[40, 300, 10, 8];משיח;5914;(35, 12, 12, 8, 5914);שלשים;5;(35, 12, 12, 34, 24243);אשרי המחכה ויגיע לימים אלף שלש מאות שלשים וחמשה
(17607, -5, 4);[40, 300, 10, 8];משיח;4299;(35, 8, 25, 13, 4299);שרים;4;(35, 8, 25, 56, 17607);ועל שכלו והצליח מרמה בידו ובלבבו יגדיל ובשלוה ישחית רבים ועל שר שרים יעמד ובאפס יד ישבר
(14252, -1, 4);[40, 300, 10, 8];משיח;3486;(35, 7, 2, 12, 3486);שמיא;2;(35, 7, 2, 45, 14252);ענה דניאל ואמר חזה הוית בחזוי עם ליליא וארו ארבע רוחי שמיא מגיחן לימא רבא
(19810, -88, 5);[40, 40, 300, 10, 8];ממשיח;4825;(35, 10, 3, 1, 4825);לחם;3;(35, 10, 3, 3, 19810);לחם חמדות לא אכלתי ובשר ויין לא בא אל פי וסוך לא סכתי עד מלאת שלשת שבעים ימים
(19455, -66, 5);[40, 40, 300, 10, 8];ממשיח;4740;(35, 9, 25, 10, 4740);משיח;1;(35, 9, 25, 37, 19455);ותדע ותשכל מן מצא דבר להשיב ולבנות ירושלם עד משיח נגיד שבעים שבעה ושבעים ששים ושנים תשוב ונבנתה רחוב וחרוץ ובצוק העתים
(19765, -43, 5);[40, 40, 300, 10, 8];ממשיח;4815;(35, 10, 1, 22, 4815);במראה;2;(35, 10, 1, 84, 19765);בשנת שלוש לכורש מלך פרס דבר נגלה לדניאל אשר נקרא שמו בלטאשצר ואמת הדבר וצבא גדול ובין את הדבר ובינה לו במראה
(24252, -9, 5);[5, 40, 300, 10, 8];המשיח;5916;(35, 12, 13, 1, 5916);ואתה;4;(35, 12, 13, 4, 24252);ואתה לך לקץ ותנוח ותעמד לגרלך לקץ הימין
(19389, -66, 5);[40, 300, 10, 8, 10];משיחי;4724;(35, 9, 24, 17, 4724);עלמים;3;(35, 9, 24, 67, 19389);שבעים שבעים נחתך על עמך ועל עיר קדשך לכלא הפשע ולחתם חטאות ולכפר עון ולהביא צדק עלמים ולחתם חזון ונביא ולמשח קדש קדשים
(19455, -66, 6);[40, 40, 300, 10, 8, 10];ממשיחי;4740;(35, 9, 25, 10, 4740);משיח;1;(35, 9, 25, 37, 19455);ותדע ותשכל מן מצא דבר להשיב ולבנות ירושלם עד משיח נגיד שבעים שבעה ושבעים ששים ושנים תשוב ונבנתה רחוב וחרוץ ובצוק העתים
(19722, -88, 5);[40, 300, 10, 8, 6];משיחו;4804;(35, 10, 1, 11, 4804);שמו;2;(35, 10, 1, 41, 19722);בשנת שלוש לכורש מלך פרס דבר נגלה לדניאל אשר נקרא שמו בלטאשצר ואמת הדבר וצבא גדול ובין את הדבר ובינה לו במראה
(19722, -43, 5);[40, 300, 10, 8, 6];משיחו;4804;(35, 10, 1, 11, 4804);שמו;2;(35, 10, 1, 41, 19722);בשנת שלוש לכורש מלך פרס דבר נגלה לדניאל אשר נקרא שמו בלטאשצר ואמת הדבר וצבא גדול ובין את הדבר ובינה לו במראה
(14252, -1, 5);[40, 300, 10, 8, 6];משיחו;3486;(35, 7, 2, 12, 3486);שמיא;2;(35, 7, 2, 45, 14252);ענה דניאל ואמר חזה הוית בחזוי עם ליליא וארו ארבע רוחי שמיא מגיחן לימא רבא
(19810, -88, 6);[40, 40, 300, 10, 8, 6];ממשיחו;4825;(35, 10, 3, 1, 4825);לחם;3;(35, 10, 3, 3, 19810);לחם חמדות לא אכלתי ובשר ויין לא בא אל פי וסוך לא סכתי עד מלאת שלשת שבעים ימים
(19765, -43, 6);[40, 40, 300, 10, 8, 6];ממשיחו;4815;(35, 10, 1, 22, 4815);במראה;2;(35, 10, 1, 84, 19765);בשנת שלוש לכורש מלך פרס דבר נגלה לדניאל אשר נקרא שמו בלטאשצר ואמת הדבר וצבא גדול ובין את הדבר ובינה לו במראה
(15365, -44, 6);[40, 300, 10, 8, 50, 6];משיחנו;3766;(35, 7, 17, 8, 3766);מלכין;1;(35, 7, 17, 31, 15365);אלין חיותא רברבתא די אנין ארבע ארבעה מלכין יקומון מן ארעא
