(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(9914, -98, 4);[40, 300, 10, 8];משיח;2405;(37, 7, 51, 2, 2405);גזם;3;(37, 7, 51, 6, 9914);בני גזם בני עזא בני פסח
(6718, -96, 4);[40, 300, 10, 8];משיח;1625;(37, 5, 15, 15, 1625);ארבעים;6;(37, 5, 15, 64, 6718);והפחות הראשנים אשר לפני הכבידו על העם ויקחו מהם בלחם ויין אחר כסף שקלים ארבעים גם נעריהם שלטו על העם ואני לא עשיתי כן מפני יראת אלהים
(16182, -95, 4);[40, 300, 10, 8];משיח;3883;(37, 10, 35, 15, 3883);מזמנים;6;(37, 10, 35, 75, 16182);והגורלות הפלנו על קרבן העצים הכהנים הלוים והעם להביא לבית אלהינו לבית אבתינו לעתים מזמנים שנה בשנה לבער על מזבח יהוה אלהינו ככתוב בתורה
(6940, -94, 4);[40, 300, 10, 8];משיח;1680;(37, 5, 18, 16, 1680);ימים;4;(37, 5, 18, 58, 6940);ואשר היה נעשה ליום אחד שור אחד צאן שש בררות וצפרים נעשו לי ובין עשרת ימים בכל יין להרבה ועם זה לחם הפחה לא בקשתי כי כבדה העבדה על העם הזה
(4445, -90, 4);[40, 300, 10, 8];משיח;1097;(37, 3, 36, 7, 1097);חרפתם;5;(37, 3, 36, 29, 4445);שמע אלהינו כי היינו בוזה והשב חרפתם אל ראשם ותנם לבזה בארץ שביה
(10836, -90, 4);[40, 300, 10, 8];משיח;2624;(37, 7, 72, 5, 2624);והמשררים;3;(37, 7, 72, 28, 10836);וישבו הכהנים והלוים והשוערים והמשררים ומן העם והנתינים וכל ישראל בעריהם ויגע החדש השביעי ובני ישראל בעריהם
(8230, -79, 4);[40, 300, 10, 8];משיח;1995;(37, 6, 18, 18, 1995);משלם;4;(37, 6, 18, 63, 8230);כי רבים ביהודה בעלי שבועה לו כי חתן הוא לשכניה בן ארח ויהוחנן בנו לקח את בת משלם בן ברכיה
(6456, -78, 4);[40, 300, 10, 8];משיח;1558;(37, 5, 13, 7, 1558);האלהים;6;(37, 5, 13, 29, 6456);גם חצני נערתי ואמרה ככה ינער האלהים את כל האיש אשר לא יקים את הדבר הזה מביתו ומיגיעו וככה יהיה נעור ורק ויאמרו כל הקהל אמן ויהללו את יהוה ויעש העם כדבר הזה
(4892, -76, 4);[40, 300, 10, 8];משיח;1202;(37, 4, 6, 10, 1202);פעמים;3;(37, 4, 6, 43, 4892);ויהי כאשר באו היהודים הישבים אצלם ויאמרו לנו עשר פעמים מכל המקמות אשר תשובו עלינו
(21790, -76, 4);[40, 300, 10, 8];משיח;5149;(37, 13, 20, 5, 5149);ממכר;2;(37, 13, 20, 21, 21790);וילינו הרכלים ומכרי כל ממכר מחוץ לירושלם פעם ושתים
(3018, -63, 4);[40, 300, 10, 8];משיח;753;(37, 3, 13, 8, 753);המה;2;(37, 3, 13, 29, 3018);את שער הגיא החזיק חנון וישבי זנוח המה בנוהו ויעמידו דלתתיו מנעליו ובריחיו ואלף אמה בחומה עד שער השפות
(3227, -56, 4);[40, 300, 10, 8];משיח;801;(37, 3, 15, 20, 801);חומת;3;(37, 3, 15, 83, 3227);ואת שער העין החזיק שלון בן כל חזה שר פלך המצפה הוא יבננו ויטללנו ויעמידו דלתתיו מנעליו ובריחיו ואת חומת ברכת השלח לגן המלך ועד המעלות היורדות מעיר דויד
(20566, -55, 4);[40, 300, 10, 8];משיח;4865;(37, 13, 2, 7, 4865);בלחם;4;(37, 13, 2, 22, 20566);כי לא קדמו את בני ישראל בלחם ובמים וישכר עליו את בלעם לקללו ויהפך אלהינו הקללה לברכה
(20879, -50, 4);[40, 300, 10, 8];משיח;4935;(37, 13, 6, 20, 4935);המלך;2;(37, 13, 6, 79, 20879);ובכל זה לא הייתי בירושלם כי בשנת שלשים ושתים לארתחשסתא מלך בבל באתי אל המלך ולקץ ימים נשאלתי מן המלך
(20217, -49, 4);[40, 300, 10, 8];משיח;4787;(37, 12, 44, 15, 4787);מנאות;1;(37, 12, 44, 73, 20217);ויפקדו ביום ההוא אנשים על הנשכות לאוצרות לתרומות לראשית ולמעשרות לכנוס בהם לשדי הערים מנאות התורה לכהנים וללוים כי שמחת יהודה על הכהנים ועל הלוים העמדים
(19772, -48, 4);[40, 300, 10, 8];משיח;4696;(37, 12, 38, 8, 4696);העם;3;(37, 12, 38, 38, 19772);והתודה השנית ההולכת למואל ואני אחריה וחצי העם מעל להחומה מעל למגדל התנורים ועד החומה הרחבה
(4057, -46, 4);[40, 300, 10, 8];משיח;1007;(37, 3, 30, 10, 1007);מדה;1;(37, 3, 30, 36, 4057);אחרי החזיק חנניה בן שלמיה וחנון בן צלף הששי מדה שני אחריו החזיק משלם בן ברכיה נגד נשכתו
(4101, -46, 4);[40, 300, 10, 8];משיח;1018;(37, 3, 31, 3, 1018);מלכיה;1;(37, 3, 31, 10, 4101);אחרי החזיק מלכיה בן הצרפי עד בית הנתינים והרכלים נגד שער המפקד ועד עלית הפנה
(18765, -41, 4);[40, 300, 10, 8];משיח;4475;(37, 12, 18, 3, 4475);לשמעיה;3;(37, 12, 18, 12, 18765);לבלגה שמוע לשמעיה יהונתן
(21398, -29, 4);[40, 300, 10, 8];משיח;5053;(37, 13, 15, 12, 5053);החמרים;6;(37, 13, 15, 60, 21398);בימים ההמה ראיתי ביהודה דרכים גתות בשבת ומביאים הערמות ועמסים על החמרים ואף יין ענבים ותאנים וכל משא ומביאים ירושלם ביום השבת ואעיד ביום מכרם ציד
(19278, -25, 4);[40, 300, 10, 8];משיח;4584;(37, 12, 28, 8, 4584);ומן;2;(37, 12, 28, 37, 19278);ויאספו בני המשררים ומן הככר סביבות ירושלם ומן חצרי נטפתי
(21790, -23, 4);[40, 300, 10, 8];משיח;5149;(37, 13, 20, 5, 5149);ממכר;2;(37, 13, 20, 21, 21790);וילינו הרכלים ומכרי כל ממכר מחוץ לירושלם פעם ושתים
(4455, -16, 4);[40, 300, 10, 8];משיח;1100;(37, 3, 36, 10, 1100);ותנם;4;(37, 3, 36, 39, 4455);שמע אלהינו כי היינו בוזה והשב חרפתם אל ראשם ותנם לבזה בארץ שביה
(8816, -14, 4);[40, 300, 10, 8];משיח;2131;(37, 7, 8, 5, 2131);ושבעים;6;(37, 7, 8, 21, 8816);בני פרעש אלפים מאה ושבעים ושנים
