(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(8790, -100, 4);[40, 300, 10, 8];משיח;2179;(39, 7, 3, 4, 2179);ראים;4;(39, 7, 3, 15, 8790);וכל בני ישראל ראים ברדת האש וכבוד יהוה על הבית ויכרעו אפים ארצה על הרצפה וישתחוו והדות ליהוה כי טוב כי לעולם חסדו
(2165, -99, 4);[40, 300, 10, 8];משיח;542;(39, 2, 13, 32, 542);וחכמי;4;(39, 2, 13, 130, 2165);בן אשה מן בנות דן ואביו איש צרי יודע לעשות בזהב ובכסף בנחשת בברזל באבנים ובעצים בארגמן בתכלת ובבוץ ובכרמיל ולפתח כל פתוח ולחשב כל מחשבת אשר ינתן לו עם חכמיך וחכמי אדני דויד אביך
(48784, -99, 4);[40, 300, 10, 8];משיח;11871;(39, 33, 22, 17, 11871);ויעבדם;6;(39, 33, 22, 69, 48784);ויעש הרע בעיני יהוה כאשר עשה מנשה אביו ולכל הפסילים אשר עשה מנשה אביו זבח אמון ויעבדם
(14756, -97, 4);[40, 300, 10, 8];משיח;3672;(39, 11, 3, 13, 3672);לאמר;3;(39, 11, 3, 49, 14756);אמר אל רחבעם בן שלמה מלך יהודה ואל כל ישראל ביהודה ובנימן לאמר
(26574, -93, 4);[40, 300, 10, 8];משיח;6572;(39, 20, 21, 5, 6572);משררים;6;(39, 20, 21, 21, 26574);ויועץ אל העם ויעמד משררים ליהוה ומהללים להדרת קדש בצאת לפני החלוץ ואמרים הודו ליהוה כי לעולם חסדו
(37533, -93, 4);[40, 300, 10, 8];משיח;9246;(39, 28, 2, 8, 9246);לבעלים;6;(39, 28, 2, 35, 37533);וילך בדרכי מלכי ישראל וגם מסכות עשה לבעלים
(43262, -92, 4);[40, 300, 10, 8];משיח;10597;(39, 30, 24, 19, 10597);אלפים;5;(39, 30, 24, 79, 43262);כי חזקיהו מלך יהודה הרים לקהל אלף פרים ושבעת אלפים צאן והשרים הרימו לקהל פרים אלף וצאן עשרת אלפים ויתקדשו כהנים לרב
(12117, -89, 4);[40, 300, 10, 8];משיח;3016;(39, 9, 11, 5, 3016);האלגומים;6;(39, 9, 11, 19, 12117);ויעש המלך את עצי האלגומים מסלות לבית יהוה ולבית המלך וכנרות ונבלים לשרים ולא נראו כהם לפנים בארץ יהודה
(28140, -88, 4);[40, 300, 10, 8];משיח;6948;(39, 21, 9, 3, 6948);עם;2;(39, 21, 9, 12, 28140);ויעבר יהורם עם שריו וכל הרכב עמו ויהי קם לילה ויך את אדום הסובב אליו ואת שרי הרכב
(42999, -86, 4);[40, 300, 10, 8];משיח;10537;(39, 30, 21, 13, 10537);ומהללים;7;(39, 30, 21, 61, 42999);ויעשו בני ישראל הנמצאים בירושלם את חג המצות שבעת ימים בשמחה גדולה ומהללים ליהוה יום ביום הלוים והכהנים בכלי עז ליהוה
(45549, -86, 4);[40, 300, 10, 8];משיח;11098;(39, 32, 8, 11, 11098);העם;3;(39, 32, 8, 53, 45549);עמו זרוע בשר ועמנו יהוה אלהינו לעזרנו ולהלחם מלחמתנו ויסמכו העם על דברי יחזקיהו מלך יהודה
(37551, -83, 4);[40, 300, 10, 8];משיח;9251;(39, 28, 3, 5, 9251);הנם;3;(39, 28, 3, 18, 37551);והוא הקטיר בגיא בן הנם ויבער את בניו באש כתעבות הגוים אשר הריש יהוה מפני בני ישראל
(33111, -81, 4);[40, 300, 10, 8];משיח;8177;(39, 24, 24, 22, 8177);שפטים;5;(39, 24, 24, 80, 33111);כי במצער אנשים באו חיל ארם ויהוה נתן בידם חיל לרב מאד כי עזבו את יהוה אלהי אבותיהם ואת יואש עשו שפטים
(16570, -80, 4);[40, 300, 10, 8];משיח;4118;(39, 12, 13, 12, 4118);במלכו;2;(39, 12, 13, 51, 16570);ויתחזק המלך רחבעם בירושלם וימלך כי בן ארבעים ואחת שנה רחבעם במלכו ושבע עשרה שנה מלך בירושלם העיר אשר בחר יהוה לשום את שמו שם מכל שבטי ישראל ושם אמו נעמה העמנית
(42428, -79, 4);[40, 300, 10, 8];משיח;10402;(39, 30, 12, 5, 10402);האלהים;6;(39, 30, 12, 20, 42428);גם ביהודה היתה יד האלהים לתת להם לב אחד לעשות מצות המלך והשרים בדבר יהוה
(40671, -78, 4);[40, 300, 10, 8];משיח;10002;(39, 29, 22, 8, 10002);המזבחה;2;(39, 29, 22, 35, 40671);וישחטו הבקר ויקבלו הכהנים את הדם ויזרקו המזבחה וישחטו האלים ויזרקו הדם המזבחה וישחטו הכבשים ויזרקו הדם המזבחה
(51927, -78, 4);[40, 300, 10, 8];משיח;12625;(39, 35, 8, 3, 12625);לעם;3;(39, 35, 8, 13, 51927);ושריו לנדבה לעם לכהנים וללוים הרימו חלקיה וזכריהו ויחיאל נגידי בית האלהים לכהנים נתנו לפסחים אלפים ושש מאות ובקר שלש מאות
(42238, -77, 4);[40, 300, 10, 8];משיח;10359;(39, 30, 9, 9, 10359);שוביהם;6;(39, 30, 9, 41, 42238);כי בשובכם על יהוה אחיכם ובניכם לרחמים לפני שוביהם ולשוב לארץ הזאת כי חנון ורחום יהוה אלהיכם ולא יסיר פנים מכם אם תשובו אליו
(53573, -77, 4);[40, 300, 10, 8];משיח;12995;(39, 36, 4, 13, 12995);יהויקים;7;(39, 36, 4, 55, 53573);וימלך מלך מצרים את אליקים אחיו על יהודה וירושלם ויסב את שמו יהויקים ואת יואחז אחיו לקח נכו ויביאהו מצרימה
(44640, -76, 4);[40, 300, 10, 8];משיח;10890;(39, 31, 16, 4, 10890);מבן;1;(39, 31, 16, 17, 44640);מלבד התיחשם לזכרים מבן שלוש שנים ולמעלה לכל הבא לבית יהוה לדבר יום ביומו לעבודתם במשמרותם כמחלקותיהם
(53219, -76, 4);[40, 300, 10, 8];משיח;12916;(39, 35, 25, 5, 12916);ויאמרו;4;(39, 35, 25, 24, 53219);ויקונן ירמיהו על יאשיהו ויאמרו כל השרים והשרות בקינותיהם על יאשיהו עד היום ויתנום לחק על ישראל והנם כתובים על הקינות
(40045, -74, 4);[40, 300, 10, 8];משיח;9856;(39, 29, 14, 3, 9856);הימן;3;(39, 29, 14, 9, 40045);ומן בני הימן יחואל ושמעי ומן בני ידותון שמעיה ועזיאל
(52868, -74, 4);[40, 300, 10, 8];משיח;12834;(39, 35, 21, 3, 12834);מלאכים;1;(39, 35, 21, 10, 52868);וישלח אליו מלאכים לאמר מה לי ולך מלך יהודה לא עליך אתה היום כי אל בית מלחמתי ואלהים אמר לבהלני חדל לך מאלהים אשר עמי ואל ישחיתך
(3378, -73, 4);[40, 300, 10, 8];משיח;830;(39, 3, 16, 10, 830);מאה;1;(39, 3, 16, 41, 3378);ויעש שרשרות בדביר ויתן על ראש העמדים ויעש רמונים מאה ויתן בשרשרות
(3986, -72, 4);[40, 300, 10, 8];משיח;976;(39, 4, 8, 9, 976);משמאול;1;(39, 4, 8, 38, 3986);ויעש שלחנות עשרה וינח בהיכל חמשה מימין וחמשה משמאול ויעש מזרקי זהב מאה
(11573, -71, 4);[40, 300, 10, 8];משיח;2885;(39, 9, 3, 5, 2885);חכמת;3;(39, 9, 3, 16, 11573);ותרא מלכת שבא את חכמת שלמה והבית אשר בנה
(36885, -67, 4);[40, 300, 10, 8];משיח;9084;(39, 26, 23, 12, 9084);למלכים;6;(39, 26, 23, 52, 36885);וישכב עזיהו עם אבתיו ויקברו אתו עם אבתיו בשדה הקבורה אשר למלכים כי אמרו מצורע הוא וימלך יותם בנו תחתיו
(43963, -62, 4);[40, 300, 10, 8];משיח;10748;(39, 31, 6, 8, 10748);הם;2;(39, 31, 6, 35, 43963);ובני ישראל ויהודה היושבים בערי יהודה גם הם מעשר בקר וצאן ומעשר קדשים המקדשים ליהוה אלהיהם הביאו ויתנו ערמות ערמות
(34015, -61, 4);[40, 300, 10, 8];משיח;8396;(39, 25, 10, 9, 8396);למקומם;6;(39, 25, 10, 44, 34015);ויבדילם אמציהו להגדוד אשר בא אליו מאפרים ללכת למקומם ויחר אפם מאד ביהודה וישובו למקומם בחרי אף
(47372, -61, 4);[40, 300, 10, 8];משיח;11534;(39, 33, 1, 10, 11534);מלך;1;(39, 33, 1, 36, 47372);בן שתים עשרה שנה מנשה במלכו וחמשים וחמש שנה מלך בירושלם
(12929, -59, 4);[40, 300, 10, 8];משיח;3221;(39, 9, 24, 9, 3221);ושלמות;4;(39, 9, 24, 34, 12929);והם מביאים איש מנחתו כלי כסף וכלי זהב ושלמות נשק ובשמים סוסים ופרדים דבר שנה בשנה
(12877, -58, 4);[40, 300, 10, 8];משיח;3208;(39, 9, 23, 10, 3208);חכמתו;3;(39, 9, 23, 35, 12877);וכל מלכי הארץ מבקשים את פני שלמה לשמע את חכמתו אשר נתן האלהים בלבו
(16777, -58, 4);[40, 300, 10, 8];משיח;4167;(39, 12, 16, 2, 4167);רחבעם;5;(39, 12, 16, 10, 16777);וישכב רחבעם עם אבתיו ויקבר בעיר דויד וימלך אביה בנו תחתיו
(46015, -55, 4);[40, 300, 10, 8];משיח;11211;(39, 32, 14, 20, 11211);מידי;1;(39, 32, 14, 75, 46015);מי בכל אלהי הגוים האלה אשר החרימו אבותי אשר יכול להציל את עמו מידי כי יוכל אלהיכם להציל אתכם מידי
(54775, -55, 4);[40, 300, 10, 8];משיח;13277;(39, 36, 22, 16, 13277);מלך;1;(39, 36, 22, 58, 54775);ובשנת אחת לכורש מלך פרס לכלות דבר יהוה בפי ירמיהו העיר יהוה את רוח כורש מלך פרס ויעבר קול בכל מלכותו וגם במכתב לאמר
(2340, -52, 4);[40, 300, 10, 8];משיח;584;(39, 2, 16, 12, 584);ספרם;4;(39, 2, 16, 50, 2340);ויספר שלמה כל האנשים הגירים אשר בארץ ישראל אחרי הספר אשר ספרם דויד אביו וימצאו מאה וחמשים אלף ושלשת אלפים ושש מאות
(10789, -52, 4);[40, 300, 10, 8];משיח;2682;(39, 8, 10, 8, 2682);ומאתים;6;(39, 8, 10, 36, 10789);ואלה שרי הנציבים אשר למלך שלמה חמשים ומאתים הרדים בעם
(11444, -52, 4);[40, 300, 10, 8];משיח;2848;(39, 9, 1, 15, 2848);מאד;1;(39, 9, 1, 58, 11444);ומלכת שבא שמעה את שמע שלמה ותבוא לנסות את שלמה בחידות בירושלם בחיל כבד מאד וגמלים נשאים בשמים וזהב לרב ואבן יקרה ותבוא אל שלמה ותדבר עמו את כל אשר היה עם לבבה
(53180, -52, 4);[40, 300, 10, 8];משיח;12908;(39, 35, 24, 19, 12908);וירושלם;7;(39, 35, 24, 93, 53180);ויעבירהו עבדיו מן המרכבה וירכיבהו על רכב המשנה אשר לו ויוליכהו ירושלם וימת ויקבר בקברות אבתיו וכל יהודה וירושלם מתאבלים על יאשיהו
(10339, -47, 4);[40, 300, 10, 8];משיח;2569;(39, 8, 3, 2, 2569);שלמה;3;(39, 8, 3, 7, 10339);וילך שלמה חמת צובה ויחזק עליה
(35288, -47, 4);[40, 300, 10, 8];משיח;8707;(39, 25, 27, 10, 8707);בירושלם;7;(39, 25, 27, 44, 35288);ומעת אשר סר אמציהו מאחרי יהוה ויקשרו עליו קשר בירושלם וינס לכישה וישלחו אחריו לכישה וימיתהו שם
(40581, -46, 4);[40, 300, 10, 8];משיח;9982;(39, 29, 21, 13, 9982);הממלכה;2;(39, 29, 21, 57, 40581);ויביאו פרים שבעה ואילים שבעה וכבשים שבעה וצפירי עזים שבעה לחטאת על הממלכה ועל המקדש ועל יהודה ויאמר לבני אהרן הכהנים להעלות על מזבח יהוה
(32714, -44, 4);[40, 300, 10, 8];משיח;8074;(39, 24, 19, 8, 8074);בם;2;(39, 24, 19, 33, 32714);וישלח בהם נבאים להשיבם אל יהוה ויעידו בם ולא האזינו
(4857, -41, 4);[40, 300, 10, 8];משיח;1181;(39, 5, 1, 21, 1181);הכלים;5;(39, 5, 1, 77, 4857);ותשלם כל המלאכה אשר עשה שלמה לבית יהוה ויבא שלמה את קדשי דויד אביו ואת הכסף ואת הזהב ואת כל הכלים נתן באצרות בית האלהים
(42697, -37, 4);[40, 300, 10, 8];משיח;10465;(39, 30, 16, 13, 10465);מיד;1;(39, 30, 16, 52, 42697);ויעמדו על עמדם כמשפטם כתורת משה איש האלהים הכהנים זרקים את הדם מיד הלוים
(36070, -35, 4);[40, 300, 10, 8];משיח;8890;(39, 26, 12, 7, 8890);אלפים;5;(39, 26, 12, 29, 36070);כל מספר ראשי האבות לגבורי חיל אלפים ושש מאות
(15935, -32, 4);[40, 300, 10, 8];משיח;3962;(39, 12, 3, 13, 3962);ממצרים;1;(39, 12, 3, 48, 15935);באלף ומאתים רכב ובששים אלף פרשים ואין מספר לעם אשר באו עמו ממצרים לובים סכיים וכושים
(411, -28, 4);[40, 300, 10, 8];משיח;104;(39, 1, 8, 2, 104);שלמה;3;(39, 1, 8, 8, 411);ויאמר שלמה לאלהים אתה עשית עם דויד אבי חסד גדול והמלכתני תחתיו
(35034, -27, 4);[40, 300, 10, 8];משיח;8647;(39, 25, 23, 27, 8647);אמה;2;(39, 25, 23, 111, 35034);ואת אמציהו מלך יהודה בן יואש בן יהואחז תפש יואש מלך ישראל בבית שמש ויביאהו ירושלם ויפרץ בחומת ירושלם משער אפרים עד שער הפונה ארבע מאות אמה
(38305, -27, 4);[40, 300, 10, 8];משיח;9438;(39, 28, 13, 13, 9438);אמרים;2;(39, 28, 13, 47, 38305);ויאמרו להם לא תביאו את השביה הנה כי לאשמת יהוה עלינו אתם אמרים להסיף על חטאתנו ועל אשמתנו כי רבה אשמה לנו וחרון אף על ישראל
(7135, -21, 4);[40, 300, 10, 8];משיח;1757;(39, 6, 21, 18, 1757);ושמעת;3;(39, 6, 21, 72, 7135);ושמעת אל תחנוני עבדך ועמך ישראל אשר יתפללו אל המקום הזה ואתה תשמע ממקום שבתך מן השמים ושמעת וסלחת
