(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(187953, -100, 4);[40, 300, 10, 8];משיח;49647;(4, 1, 37, 5, 49647);ושלשים;6;(4, 1, 37, 25, 187953);פקדיהם למטה בנימן חמשה ושלשים אלף וארבע מאות
(283259, -100, 4);[40, 300, 10, 8];משיח;74347;(5, 21, 13, 5, 74347);מעליה;1;(5, 21, 13, 17, 283259);והסירה את שמלת שביה מעליה וישבה בביתך ובכתה את אביה ואת אמה ירח ימים ואחר כן תבוא אליה ובעלתה והיתה לך לאשה
(295463, -100, 4);[40, 300, 10, 8];משיח;77561;(5, 29, 2, 7, 77561);והמפתים;3;(5, 29, 2, 28, 295463);המסות הגדלת אשר ראו עיניך האתת והמפתים הגדלים ההם
(47016, -99, 4);[40, 300, 10, 8];משיח;12526;(1, 32, 11, 5, 12526);האמת;3;(1, 32, 11, 21, 47016);קטנתי מכל החסדים ומכל האמת אשר עשית את עבדך כי במקלי עברתי את הירדן הזה ועתה הייתי לשני מחנות
(70512, -99, 4);[40, 300, 10, 8];משיח;18655;(1, 46, 5, 12, 18655);טפם;3;(1, 46, 5, 45, 70512);ויקם יעקב מבאר שבע וישאו בני ישראל את יעקב אביהם ואת טפם ואת נשיהם בעגלות אשר שלח פרעה לשאת אתו
(139998, -99, 4);[40, 300, 10, 8];משיח;36891;(2, 40, 2, 1, 36891);ביום;4;(2, 40, 2, 4, 139998);ביום החדש הראשון באחד לחדש תקים את משכן אהל מועד
(181356, -99, 4);[40, 300, 10, 8];משיח;47994;(3, 25, 36, 7, 47994);מאלהיך;1;(3, 25, 36, 24, 181356);אל תקח מאתו נשך ותרבית ויראת מאלהיך וחי אחיך עמך
(178506, -98, 4);[40, 300, 10, 8];משיח;47240;(3, 23, 43, 16, 47240);אלהיכם;6;(3, 23, 43, 70, 178506);למען ידעו דרתיכם כי בסכות הושבתי את בני ישראל בהוציאי אותם מארץ מצרים אני יהוה אלהיכם
(8711, -97, 4);[40, 300, 10, 8];משיח;2338;(1, 7, 16, 4, 2338);מכל;1;(1, 7, 16, 15, 8711);והבאים זכר ונקבה מכל בשר באו כאשר צוה אתו אלהים ויסגר יהוה בעדו
(129676, -97, 4);[40, 300, 10, 8];משיח;34234;(2, 34, 11, 7, 34234);היום;4;(2, 34, 11, 22, 129676);שמר לך את אשר אנכי מצוך היום הנני גרש מפניך את האמרי והכנעני והחתי והפרזי והחוי והיבוסי
