(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(50401, -100, 4);[40, 300, 10, 8];משיח;13084;(10, 22, 51, 6, 13084);עם;2;(10, 22, 51, 25, 50401);וישכב יהושפט עם אבתיו ויקבר עם אבתיו בעיר דוד אביו וימלך יהורם בנו תחתיו
(53510, -100, 4);[40, 300, 10, 8];משיח;13877;(11, 2, 22, 4, 13877);היום;4;(11, 2, 22, 15, 53510);וירפו המים עד היום הזה כדבר אלישע אשר דבר
(62629, -100, 4);[40, 300, 10, 8];משיח;16233;(11, 7, 9, 11, 16233);יום;3;(11, 7, 9, 38, 62629);ויאמרו איש אל רעהו לא כן אנחנו עשים היום הזה יום בשרה הוא ואנחנו מחשים וחכינו עד אור הבקר ומצאנו עוון ועתה לכו ונבאה ונגידה בית המלך
(22202, -99, 4);[40, 300, 10, 8];משיח;5740;(10, 10, 2, 16, 5740);שלמה;3;(10, 10, 2, 62, 22202);ותבא ירושלמה בחיל כבד מאד גמלים נשאים בשמים וזהב רב מאד ואבן יקרה ותבא אל שלמה ותדבר אליו את כל אשר היה עם לבבה
(25935, -99, 4);[40, 300, 10, 8];משיח;6712;(10, 11, 34, 5, 6712);הממלכה;2;(10, 11, 34, 12, 25935);ולא אקח את כל הממלכה מידו כי נשיא אשתנו כל ימי חייו למען דוד עבדי אשר בחרתי אתו אשר שמר מצותי וחקתי
(52523, -99, 4);[40, 300, 10, 8];משיח;13627;(11, 2, 7, 6, 13627);ויעמדו;4;(11, 2, 7, 28, 52523);וחמשים איש מבני הנביאים הלכו ויעמדו מנגד מרחוק ושניהם עמדו על הירדן
(73166, -99, 4);[40, 300, 10, 8];משיח;18934;(11, 13, 1, 8, 18934);מלך;1;(11, 13, 1, 30, 73166);בשנת עשרים ושלש שנה ליואש בן אחזיהו מלך יהודה מלך יהואחז בן יהוא על ישראל בשמרון שבע עשרה שנה
(73530, -99, 4);[40, 300, 10, 8];משיח;19033;(11, 13, 7, 7, 19033);אם;2;(11, 13, 7, 22, 73530);כי לא השאיר ליהואחז עם כי אם חמשים פרשים ועשרה רכב ועשרת אלפים רגלי כי אבדם מלך ארם וישמם כעפר לדש
(33161, -98, 4);[40, 300, 10, 8];משיח;8609;(10, 15, 4, 2, 8609);למען;2;(10, 15, 4, 4, 33161);כי למען דוד נתן יהוה אלהיו לו ניר בירושלם להקים את בנו אחריו ולהעמיד את ירושלם
(52413, -98, 4);[40, 300, 10, 8];משיח;13599;(11, 2, 5, 20, 13599);גם;2;(11, 2, 5, 80, 52413);ויגשו בני הנביאים אשר ביריחו אל אלישע ויאמרו אליו הידעת כי היום יהוה לקח את אדניך מעל ראשך ויאמר גם אני ידעתי החשו
(76372, -98, 4);[40, 300, 10, 8];משיח;19763;(11, 14, 26, 8, 19763);מאד;1;(11, 14, 26, 23, 76372);כי ראה יהוה את עני ישראל מרה מאד ואפס עצור ואפס עזוב ואין עזר לישראל
(92709, -98, 4);[40, 300, 10, 8];משיח;23944;(11, 23, 5, 19, 23944);ולמזלות;3;(11, 23, 5, 86, 92709);והשבית את הכמרים אשר נתנו מלכי יהודה ויקטר בבמות בערי יהודה ומסבי ירושלם ואת המקטרים לבעל לשמש ולירח ולמזלות ולכל צבא השמים
(78280, -96, 4);[40, 300, 10, 8];משיח;20257;(11, 15, 29, 8, 20257);מלך;1;(11, 15, 29, 27, 78280);בימי פקח מלך ישראל בא תגלת פלאסר מלך אשור ויקח את עיון ואת אבל בית מעכה ואת ינוח ואת קדש ואת חצור ואת הגלעד ואת הגלילה כל ארץ נפתלי ויגלם אשורה
(10854, -95, 4);[40, 300, 10, 8];משיח;2856;(10, 6, 4, 5, 2856);אטומים;4;(10, 6, 4, 22, 10854);ויעש לבית חלוני שקפים אטומים
(3417, -94, 4);[40, 300, 10, 8];משיח;877;(10, 2, 4, 21, 877);נפשם;4;(10, 2, 4, 75, 3417);למען יקים יהוה את דברו אשר דבר עלי לאמר אם ישמרו בניך את דרכם ללכת לפני באמת בכל לבבם ובכל נפשם לאמר לא יכרת לך איש מעל כסא ישראל
(32002, -94, 4);[40, 300, 10, 8];משיח;8310;(10, 14, 15, 8, 8310);במים;2;(10, 14, 15, 29, 32002);והכה יהוה את ישראל כאשר ינוד הקנה במים ונתש את ישראל מעל האדמה הטובה הזאת אשר נתן לאבותיהם וזרם מעבר לנהר יען אשר עשו את אשריהם מכעיסים את יהוה
(53345, -94, 4);[40, 300, 10, 8];משיח;13834;(11, 2, 19, 8, 13834);מושב;1;(11, 2, 19, 27, 53345);ויאמרו אנשי העיר אל אלישע הנה נא מושב העיר טוב כאשר אדני ראה והמים רעים והארץ משכלת
(71864, -94, 4);[40, 300, 10, 8];משיח;18601;(11, 12, 4, 7, 18601);מזבחים;1;(11, 12, 4, 19, 71864);רק הבמות לא סרו עוד העם מזבחים ומקטרים בבמות
