(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(24817, -100, 4);[40, 300, 10, 8];משיח;6322;(6, 15, 55, 1, 6322);מעון;1;(6, 15, 55, 1, 24817);מעון כרמל וזיף ויוטה
(35842, -100, 4);[40, 300, 10, 8];משיח;9067;(6, 22, 31, 1, 9067);ויאמר;4;(6, 22, 31, 4, 35842);ויאמר פינחס בן אלעזר הכהן אל בני ראובן ואל בני גד ואל בני מנשה היום ידענו כי בתוכנו יהוה אשר לא מעלתם ביהוה המעל הזה אז הצלתם את בני ישראל מיד יהוה
(2604, -96, 4);[40, 300, 10, 8];משיח;684;(6, 2, 22, 10, 684);הרדפים;6;(6, 2, 22, 40, 2604);וילכו ויבאו ההרה וישבו שם שלשת ימים עד שבו הרדפים ויבקשו הרדפים בכל הדרך ולא מצאו
(1591, -92, 4);[40, 300, 10, 8];משיח;427;(6, 2, 7, 7, 427);המעברות;2;(6, 2, 7, 29, 1591);והאנשים רדפו אחריהם דרך הירדן על המעברות והשער סגרו אחרי כאשר יצאו הרדפים אחריהם
(1901, -92, 4);[40, 300, 10, 8];משיח;503;(6, 2, 11, 15, 503);בשמים;3;(6, 2, 11, 59, 1901);ונשמע וימס לבבנו ולא קמה עוד רוח באיש מפניכם כי יהוה אלהיכם הוא אלהים בשמים ממעל ועל הארץ מתחת
(10858, -92, 4);[40, 300, 10, 8];משיח;2774;(6, 8, 7, 2, 2774);תקמו;3;(6, 8, 7, 7, 10858);ואתם תקמו מהאורב והורשתם את העיר ונתנה יהוה אלהיכם בידכם
(10208, -88, 4);[40, 300, 10, 8];משיח;2605;(6, 7, 24, 21, 2605);חמרו;2;(6, 7, 24, 72, 10208);ויקח יהושע את עכן בן זרח ואת הכסף ואת האדרת ואת לשון הזהב ואת בניו ואת בנתיו ואת שורו ואת חמרו ואת צאנו ואת אהלו ואת כל אשר לו וכל ישראל עמו ויעלו אתם עמק עכור
(8042, -86, 4);[40, 300, 10, 8];משיח;2050;(6, 6, 22, 2, 2050);האנשים;6;(6, 6, 22, 12, 8042);ולשנים האנשים המרגלים את הארץ אמר יהושע באו בית האשה הזונה והוציאו משם את האשה ואת כל אשר לה כאשר נשבעתם לה
(38440, -86, 4);[40, 300, 10, 8];משיח;9697;(6, 24, 14, 17, 9697);ובמצרים;3;(6, 24, 14, 70, 38440);ועתה יראו את יהוה ועבדו אתו בתמים ובאמת והסירו את אלהים אשר עבדו אבותיכם בעבר הנהר ובמצרים ועבדו את יהוה
(15757, -85, 4);[40, 300, 10, 8];משיח;4001;(6, 10, 19, 3, 4001);תעמדו;3;(6, 10, 19, 9, 15757);ואתם אל תעמדו רדפו אחרי איביכם וזנבתם אותם אל תתנום לבוא אל עריהם כי נתנם יהוה אלהיכם בידכם
(4245, -84, 4);[40, 300, 10, 8];משיח;1094;(6, 4, 5, 13, 1094);לכם;3;(6, 4, 5, 54, 4245);ויאמר להם יהושע עברו לפני ארון יהוה אלהיכם אל תוך הירדן והרימו לכם איש אבן אחת על שכמו למספר שבטי בני ישראל
(10855, -84, 4);[40, 300, 10, 8];משיח;2773;(6, 8, 7, 1, 2773);ואתם;4;(6, 8, 7, 4, 10855);ואתם תקמו מהאורב והורשתם את העיר ונתנה יהוה אלהיכם בידכם
(31812, -83, 4);[40, 300, 10, 8];משיח;8036;(6, 21, 9, 5, 8036);וממטה;3;(6, 21, 9, 20, 31812);ויתנו ממטה בני יהודה וממטה בני שמעון את הערים האלה אשר יקרא אתהן בשם
