(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(13386, -100, 4);[40, 300, 10, 8];משיח;3403;(8, 10, 5, 7, 3403);שם;2;(8, 10, 5, 24, 13386);אחר כן תבוא גבעת האלהים אשר שם נצבי פלשתים ויהי כבאך שם העיר ופגעת חבל נבאים ירדים מהבמה ולפניהם נבל ותף וחליל וכנור והמה מתנבאים
(51322, -100, 4);[40, 300, 10, 8];משיח;13254;(8, 31, 13, 3, 13254);עצמתיהם;3;(8, 31, 13, 10, 51322);ויקחו את עצמתיהם ויקברו תחת האשל ביבשה ויצמו שבעת ימים
(28801, -94, 4);[40, 300, 10, 8];משיח;7342;(8, 17, 51, 17, 7342);הפלשתים;7;(8, 17, 51, 73, 28801);וירץ דוד ויעמד אל הפלשתי ויקח את חרבו וישלפה מתערה וימתתהו ויכרת בה את ראשו ויראו הפלשתים כי מת גבורם וינסו
(30886, -94, 4);[40, 300, 10, 8];משיח;7870;(8, 18, 30, 3, 7870);פלשתים;6;(8, 18, 30, 14, 30886);ויצאו שרי פלשתים ויהי מדי צאתם שכל דוד מכל עבדי שאול וייקר שמו מאד
(48825, -94, 4);[40, 300, 10, 8];משיח;12616;(8, 30, 3, 10, 12616);ובניהם;6;(8, 30, 3, 43, 48825);ויבא דוד ואנשיו אל העיר והנה שרופה באש ונשיהם ובניהם ובנתיהם נשבו
(30693, -93, 4);[40, 300, 10, 8];משיח;7820;(8, 18, 27, 1, 7820);ויקם;4;(8, 18, 27, 4, 30693);ויקם דוד וילך הוא ואנשיו ויך בפלשתים מאתים איש ויבא דוד את ערלתיהם וימלאום למלך להתחתן במלך ויתן לו שאול את מיכל בתו לאשה
(5772, -88, 4);[40, 300, 10, 8];משיח;1503;(8, 4, 14, 6, 1503);ויאמר;4;(8, 4, 14, 22, 5772);וישמע עלי את קול הצעקה ויאמר מה קול ההמון הזה והאיש מהר ויבא ויגד לעלי
(40904, -88, 4);[40, 300, 10, 8];משיח;10539;(8, 25, 3, 15, 10539);מעללים;1;(8, 25, 3, 53, 40904);ושם האיש נבל ושם אשתו אבגיל והאשה טובת שכל ויפת תאר והאיש קשה ורע מעללים והוא כלבו
(26438, -87, 4);[40, 300, 10, 8];משיח;6739;(8, 17, 15, 4, 6739);מעל;1;(8, 17, 15, 11, 26438);ודוד הלך ושב מעל שאול לרעות את צאן אביו בית לחם
(39620, -86, 4);[40, 300, 10, 8];משיח;10194;(8, 24, 5, 22, 10194);ויקם;4;(8, 24, 5, 83, 39620);ויאמרו אנשי דוד אליו הנה היום אשר אמר יהוה אליך הנה אנכי נתן את איביך בידך ועשית לו כאשר יטב בעיניך ויקם דוד ויכרת את כנף המעיל אשר לשאול בלט
(3469, -84, 4);[40, 300, 10, 8];משיח;916;(8, 2, 33, 14, 916);מרבית;1;(8, 2, 33, 49, 3469);ואיש לא אכרית לך מעם מזבחי לכלות את עיניך ולאדיב את נפשך וכל מרבית ביתך ימותו אנשים
(35310, -78, 4);[40, 300, 10, 8];משיח;9058;(8, 21, 5, 18, 9058);נשמרו;3;(8, 21, 5, 51, 35310);ויען הכהן את דוד ויאמר אין לחם חל אל תחת ידי כי אם לחם קדש יש אם נשמרו הנערים אך מאשה
(22827, -77, 4);[40, 300, 10, 8];משיח;5819;(8, 15, 12, 7, 5819);לשמואל;3;(8, 15, 12, 30, 22827);וישכם שמואל לקראת שאול בבקר ויגד לשמואל לאמר בא שאול הכרמלה והנה מציב לו יד ויסב ויעבר וירד הגלגל
(42396, -76, 4);[40, 300, 10, 8];משיח;10932;(8, 25, 26, 19, 10932);והמבקשים;3;(8, 25, 26, 71, 42396);ועתה אדני חי יהוה וחי נפשך אשר מנעך יהוה מבוא בדמים והושע ידך לך ועתה יהיו כנבל איביך והמבקשים אל אדני רעה
(35914, -72, 4);[40, 300, 10, 8];משיח;9225;(8, 21, 14, 3, 9225);טעמו;3;(8, 21, 14, 10, 35914);וישנו את טעמו בעיניהם ויתהלל בידם ויתו על דלתות השער ויורד רירו אל זקנו
(14864, -71, 4);[40, 300, 10, 8];משיח;3776;(8, 11, 2, 7, 3776);לכם;3;(8, 11, 2, 30, 14864);ויאמר אליהם נחש העמוני בזאת אכרת לכם בנקור לכם כל עין ימין ושמתיה חרפה על כל ישראל
(39119, -69, 4);[40, 300, 10, 8];משיח;10065;(8, 23, 25, 18, 10065);מעון;1;(8, 23, 25, 74, 39119);וילך שאול ואנשיו לבקש ויגדו לדוד וירד הסלע וישב במדבר מעון וישמע שאול וירדף אחרי דוד מדבר מעון
(11097, -67, 4);[40, 300, 10, 8];משיח;2807;(8, 8, 22, 9, 2807);מלך;1;(8, 8, 22, 34, 11097);ויאמר יהוה אל שמואל שמע בקולם והמלכת להם מלך ויאמר שמואל אל אנשי ישראל לכו איש לעירו
(41529, -67, 4);[40, 300, 10, 8];משיח;10702;(8, 25, 13, 23, 10702);ומאתים;6;(8, 25, 13, 88, 41529);ויאמר דוד לאנשיו חגרו איש את חרבו ויחגרו איש את חרבו ויחגר גם דוד את חרבו ויעלו אחרי דוד כארבע מאות איש ומאתים ישבו על הכלים
(16726, -63, 4);[40, 300, 10, 8];משיח;4244;(8, 12, 14, 10, 4244);תמרו;2;(8, 12, 14, 38, 16726);אם תיראו את יהוה ועבדתם אתו ושמעתם בקולו ולא תמרו את פי יהוה והיתם גם אתם וגם המלך אשר מלך עליכם אחר יהוה אלהיכם
(33592, -63, 4);[40, 300, 10, 8];משיח;8586;(8, 20, 18, 9, 8586);מושבך;1;(8, 20, 18, 32, 33592);ויאמר לו יהונתן מחר חדש ונפקדת כי יפקד מושבך
(46369, -62, 4);[40, 300, 10, 8];משיח;11981;(8, 28, 3, 14, 11981);הידענים;7;(8, 28, 3, 64, 46369);ושמואל מת ויספדו לו כל ישראל ויקברהו ברמה ובעירו ושאול הסיר האבות ואת הידענים מהארץ
(11787, -61, 4);[40, 300, 10, 8];משיח;2989;(8, 9, 9, 17, 2989);לפנים;5;(8, 9, 9, 69, 11787);לפנים בישראל כה אמר האיש בלכתו לדרוש אלהים לכו ונלכה עד הראה כי לנביא היום יקרא לפנים הראה
(18362, -60, 4);[40, 300, 10, 8];משיח;4668;(8, 13, 15, 2, 4668);שמואל;2;(8, 13, 15, 6, 18362);ויקם שמואל ויעל מן הגלגל גבעת בנימן ויפקד שאול את העם הנמצאים עמו כשש מאות איש
(18733, -57, 4);[40, 300, 10, 8];משיח;4759;(8, 13, 21, 5, 4759);ולאתים;6;(8, 13, 21, 26, 18733);והיתה הפצירה פים למחרשת ולאתים ולשלש קלשון ולהקרדמים ולהציב הדרבן
(29589, -56, 4);[40, 300, 10, 8];משיח;7535;(8, 18, 7, 2, 7535);הנשים;5;(8, 18, 7, 12, 29589);ותענינה הנשים המשחקות ותאמרן הכה שאול באלפו ודוד ברבבתיו
(25716, -55, 4);[40, 300, 10, 8];משיח;6564;(8, 17, 3, 2, 6564);עמדים;5;(8, 17, 3, 12, 25716);ופלשתים עמדים אל ההר מזה וישראל עמדים אל ההר מזה והגיא ביניהם
(26082, -53, 4);[40, 300, 10, 8];משיח;6652;(8, 17, 9, 8, 6652);לעבדים;6;(8, 17, 9, 34, 26082);אם יוכל להלחם אתי והכני והיינו לכם לעבדים ואם אני אוכל לו והכיתיו והייתם לנו לעבדים ועבדתם אתנו
(22851, -51, 4);[40, 300, 10, 8];משיח;5825;(8, 15, 12, 13, 5825);מציב;1;(8, 15, 12, 54, 22851);וישכם שמואל לקראת שאול בבקר ויגד לשמואל לאמר בא שאול הכרמלה והנה מציב לו יד ויסב ויעבר וירד הגלגל
(46303, -44, 4);[40, 300, 10, 8];משיח;11967;(8, 28, 2, 21, 11967);הימים;3;(8, 28, 2, 71, 46303);ויאמר דוד אל אכיש לכן אתה תדע את אשר יעשה עבדך ויאמר אכיש אל דוד לכן שמר לראשי אשימך כל הימים
