(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(45700, 1, 4);[40, 300, 10, 8];משיח;11603;(12, 45, 1, 4, 11603);למשיחו;2;(12, 45, 1, 11, 45700);כה אמר יהוה למשיחו לכורש אשר החזקתי בימינו לרד לפניו גוים ומתני מלכים אפתח לפתח לפניו דלתים ושערים לא יסגרו
(27418, 8, 4);[40, 300, 10, 8];משיח;6967;(12, 29, 17, 8, 6967);והכרמל;5;(12, 29, 17, 32, 27418);הלוא עוד מעט מזער ושב לבנון לכרמל והכרמל ליער יחשב
(40539, 8, 4);[40, 300, 10, 8];משיח;10337;(12, 41, 7, 17, 10337);ימוט;2;(12, 41, 7, 62, 40539);ויחזק חרש את צרף מחליק פטיש את הולם פעם אמר לדבק טוב הוא ויחזקהו במסמרים לא ימוט
(47541, 8, 4);[40, 300, 10, 8];משיח;12068;(12, 46, 10, 4, 12068);ומקדם;5;(12, 46, 10, 20, 47541);מגיד מראשית אחרית ומקדם אשר לא נעשו אמר עצתי תקום וכל חפצי אעשה
(34248, 9, 4);[40, 300, 10, 8];משיח;8722;(12, 36, 11, 24, 8722);החומה;4;(12, 36, 11, 92, 34248);ויאמר אליקים ושבנא ויואח אל רב שקה דבר נא אל עבדיך ארמית כי שמעים אנחנו ואל תדבר אלינו יהודית באזני העם אשר על החומה
(37093, 9, 4);[40, 300, 10, 8];משיח;9449;(12, 37, 37, 5, 9449);מלך;1;(12, 37, 37, 19, 37093);ויסע וילך וישב סנחריב מלך אשור וישב בנינוה
(52681, 9, 4);[40, 300, 10, 8];משיח;13367;(12, 51, 17, 3, 13367);קומי;3;(12, 51, 17, 17, 52681);התעוררי התעוררי קומי ירושלם אשר שתית מיד יהוה את כוס חמתו את קבעת כוס התרעלה שתית מצית
(55064, 10, 4);[40, 300, 10, 8];משיח;13976;(12, 54, 11, 11, 13976);בספירים;7;(12, 54, 11, 49, 55064);עניה סערה לא נחמה הנה אנכי מרביץ בפוך אבניך ויסדתיך בספירים
(66626, 10, 4);[40, 300, 10, 8];משיח;16864;(12, 66, 20, 17, 16864);ירושלם;6;(12, 66, 20, 78, 66626);והביאו את כל אחיכם מכל הגוים מנחה ליהוה בסוסים וברכב ובצבים ובפרדים ובכרכרות על הר קדשי ירושלם אמר יהוה כאשר יביאו בני ישראל את המנחה בכלי טהור בית יהוה
(6242, 11, 4);[40, 300, 10, 8];משיח;1540;(12, 7, 1, 17, 1540);מלך;1;(12, 7, 1, 58, 6242);ויהי בימי אחז בן יותם בן עזיהו מלך יהודה עלה רצין מלך ארם ופקח בן רמליהו מלך ישראל ירושלם למלחמה עליה ולא יכל להלחם עליה
