(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(32998, 2, 4);[40, 300, 10, 8];משיח;8511;(13, 23, 27, 4, 8511);עמי;2;(13, 23, 27, 16, 32998);החשבים להשכיח את עמי שמי בחלומתם אשר יספרו איש לרעהו כאשר שכחו אבותם את שמי בבעל
(52686, 5, 4);[40, 300, 10, 8];משיח;13579;(13, 34, 13, 18, 13579);לאמר;3;(13, 34, 13, 73, 52686);כה אמר יהוה אלהי ישראל אנכי כרתי ברית את אבותיכם ביום הוצאי אותם מארץ מצרים מבית עבדים לאמר
(76097, 7, 4);[40, 300, 10, 8];משיח;19574;(13, 49, 32, 5, 19574);מקניהם;1;(13, 49, 32, 19, 76097);והיו גמליהם לבז והמון מקניהם לשלל וזרתים לכל רוח קצוצי פאה ומכל עבריו אביא את אידם נאם יהוה
(78931, 8, 4);[40, 300, 10, 8];משיח;20314;(13, 50, 43, 2, 20314);מלך;1;(13, 50, 43, 4, 78931);שמע מלך בבל את שמעם ורפו ידיו צרה החזיקתהו חיל כיולדה
(80662, 10, 4);[40, 300, 10, 8];משיח;20766;(13, 51, 28, 15, 20766);ממשלתו;1;(13, 51, 28, 48, 80662);קדשו עליה גוים את מלכי מדי את פחותיה ואת כל סגניה ואת כל ארץ ממשלתו
(59452, 11, 4);[40, 300, 10, 8];משיח;15309;(13, 38, 12, 1, 15309);ויאמר;4;(13, 38, 12, 4, 59452);ויאמר עבד מלך הכושי אל ירמיהו שים נא בלואי הסחבות והמלחים תחת אצלות ידיך מתחת לחבלים ויעש ירמיהו כן
(23112, 23, 4);[40, 300, 10, 8];משיח;5957;(13, 16, 13, 14, 5957);שם;2;(13, 16, 13, 56, 23112);והטלתי אתכם מעל הארץ הזאת על הארץ אשר לא ידעתם אתם ואבותיכם ועבדתם שם את אלהים אחרים יומם ולילה אשר לא אתן לכם חנינה
(26289, 25, 4);[40, 300, 10, 8];משיח;6761;(13, 18, 21, 4, 6761);בניהם;5;(13, 18, 21, 12, 26289);לכן תן את בניהם לרעב והגרם על ידי חרב ותהינה נשיהם שכלות ואלמנות ואנשיהם יהיו הרגי מות בחוריהם מכי חרב במלחמה
(54321, 25, 4);[40, 300, 10, 8];משיח;13996;(13, 35, 14, 22, 13996);מצות;1;(13, 35, 14, 69, 54321);הוקם את דברי יהונדב בן רכב אשר צוה את בניו לבלתי שתות יין ולא שתו עד היום הזה כי שמעו את מצות אביהם ואנכי דברתי אליכם השכם ודבר ולא שמעתם אלי
(73441, 25, 4);[40, 300, 10, 8];משיח;18884;(13, 48, 32, 1, 18884);מבכי;1;(13, 48, 32, 1, 73441);מבכי יעזר אבכה לך הגפן שבמה נטישתיך עברו ים עד ים יעזר נגעו על קיצך ועל בצירך שדד נפל
(21879, 26, 4);[40, 300, 10, 8];משיח;5641;(13, 15, 16, 1, 5641);נמצאו;2;(13, 15, 16, 2, 21879);נמצאו דבריך ואכלם ויהי דבריך לי לששון ולשמחת לבבי כי נקרא שמך עלי יהוה אלהי צבאות
(28708, 26, 4);[40, 300, 10, 8];משיח;7386;(13, 20, 18, 3, 7386);מרחם;4;(13, 20, 18, 9, 28708);למה זה מרחם יצאתי לראות עמל ויגון ויכלו בבשת ימי
(67191, 28, 4);[40, 300, 10, 8];משיח;17296;(13, 43, 13, 8, 17296);מצרים;5;(13, 43, 13, 29, 67191);ושבר את מצבות בית שמש אשר בארץ מצרים ואת בתי אלהי מצרים ישרף באש
(36849, 33, 4);[40, 300, 10, 8];משיח;9510;(13, 25, 38, 6, 9510);ארצם;4;(13, 25, 38, 21, 36849);עזב ככפיר סכו כי היתה ארצם לשמה מפני חרון היונה ומפני חרון אפו
(62095, 33, 4);[40, 300, 10, 8];משיח;15986;(13, 40, 3, 13, 15986);לכם;3;(13, 40, 3, 51, 62095);ויבא ויעש יהוה כאשר דבר כי חטאתם ליהוה ולא שמעתם בקולו והיה לכם דבר הזה
(65898, 36, 4);[40, 300, 10, 8];משיח;16968;(13, 42, 17, 25, 16968);מביא;1;(13, 42, 17, 93, 65898);ויהיו כל האנשים אשר שמו את פניהם לבוא מצרים לגור שם ימותו בחרב ברעב ובדבר ולא יהיה להם שריד ופליט מפני הרעה אשר אני מביא עליהם
(68282, 37, 4);[40, 300, 10, 8];משיח;17563;(13, 44, 14, 11, 17563);מצרים;1;(13, 44, 14, 43, 68282);ולא יהיה פליט ושריד לשארית יהודה הבאים לגור שם בארץ מצרים ולשוב ארץ יהודה אשר המה מנשאים את נפשם לשוב לשבת שם כי לא ישובו כי אם פלטים
(59330, 38, 4);[40, 300, 10, 8];משיח;15279;(13, 38, 10, 15, 15279);ירמיהו;3;(13, 38, 10, 56, 59330);ויצוה המלך את עבד מלך הכושי לאמר קח בידך מזה שלשים אנשים והעלית את ירמיהו הנביא מן הבור בטרם ימות
(45845, 39, 4);[40, 300, 10, 8];משיח;11813;(13, 31, 19, 4, 11813);נחמתי;3;(13, 31, 19, 13, 45845);כי אחרי שובי נחמתי ואחרי הודעי ספקתי על ירך בשתי וגם נכלמתי כי נשאתי חרפת נעורי
(72643, 39, 4);[40, 300, 10, 8];משיח;18674;(13, 48, 12, 9, 18674);צעים;4;(13, 48, 12, 33, 72643);לכן הנה ימים באים נאם יהוה ושלחתי לו צעים וצעהו וכליו יריקו ונבליהם ינפצו
(18843, 41, 4);[40, 300, 10, 8];משיח;4865;(13, 13, 13, 4, 4865);אמר;2;(13, 13, 13, 14, 18843);ואמרת אליהם כה אמר יהוה הנני ממלא את כל ישבי הארץ הזאת ואת המלכים הישבים לדוד על כסאו ואת הכהנים ואת הנביאים ואת כל ישבי ירושלם שכרון
(59422, 41, 4);[40, 300, 10, 8];משיח;15302;(13, 38, 11, 18, 15302);מלחים;5;(13, 38, 11, 70, 59422);ויקח עבד מלך את האנשים בידו ויבא בית המלך אל תחת האוצר ויקח משם בלוי הסחבות ובלוי מלחים וישלחם אל ירמיהו אל הבור בחבלים
(78388, 41, 4);[40, 300, 10, 8];משיח;20169;(13, 50, 33, 2, 20169);אמר;2;(13, 50, 33, 4, 78388);כה אמר יהוה צבאות עשוקים בני ישראל ובני יהודה יחדו וכל שביהם החזיקו בם מאנו שלחם
(57523, 43, 4);[40, 300, 10, 8];משיח;14815;(13, 37, 5, 4, 14815);ממצרים;6;(13, 37, 5, 17, 57523);וחיל פרעה יצא ממצרים וישמעו הכשדים הצרים על ירושלם את שמעם ויעלו מעל ירושלם
