(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(2599, 2, 4);[40, 300, 10, 8];משיח;658;(14, 3, 8, 12, 658);מצחם;4;(14, 3, 8, 45, 2599);הנה נתתי את פניך חזקים לעמת פניהם ואת מצחך חזק לעמת מצחם
(48005, 2, 4);[40, 300, 10, 8];משיח;12123;(14, 33, 24, 2, 12123);אדם;3;(14, 33, 24, 5, 48005);בן אדם ישבי החרבות האלה על אדמת ישראל אמרים לאמר אחד היה אברהם ויירש את הארץ ואנחנו רבים לנו נתנה הארץ למורשה
(60992, 2, 4);[40, 300, 10, 8];משיח;15366;(14, 40, 42, 20, 15366);הכלים;5;(14, 40, 42, 80, 60992);וארבעה שלחנות לעולה אבני גזית ארך אמה אחת וחצי ורחב אמה אחת וחצי וגבה אמה אחת אליהם ויניחו את הכלים אשר ישחטו את העולה בם והזבח
(8964, 3, 4);[40, 300, 10, 8];משיח;2251;(14, 8, 12, 10, 2251);עשים;4;(14, 8, 12, 37, 8964);ויאמר אלי הראית בן אדם אשר זקני בית ישראל עשים בחשך איש בחדרי משכיתו כי אמרים אין יהוה ראה אתנו עזב יהוה את הארץ
(64394, 3, 4);[40, 300, 10, 8];משיח;16198;(14, 43, 4, 11, 16198);הקדים;5;(14, 43, 4, 38, 64394);וכבוד יהוה בא אל הבית דרך שער אשר פניו דרך הקדים
(68730, 3, 4);[40, 300, 10, 8];משיח;17280;(14, 45, 13, 11, 17280);מחמר;3;(14, 45, 13, 49, 68730);זאת התרומה אשר תרימו ששית האיפה מחמר החטים וששיתם האיפה מחמר השערים
(20731, 4, 4);[40, 300, 10, 8];משיח;5196;(14, 16, 54, 5, 5196);מכל;1;(14, 16, 54, 20, 20731);למען תשאי כלמתך ונכלמת מכל אשר עשית בנחמך אתן
(69316, 5, 4);[40, 300, 10, 8];משיח;17426;(14, 45, 23, 11, 17426);תמימם;5;(14, 45, 23, 47, 69316);ושבעת ימי החג יעשה עולה ליהוה שבעת פרים ושבעת אילים תמימם ליום שבעת הימים וחטאת שעיר עזים ליום
(41970, 6, 4);[40, 300, 10, 8];משיח;10583;(14, 29, 18, 18, 10583);מרוטה;1;(14, 29, 18, 59, 41970);בן אדם נבוכדראצר מלך בבל העביד את חילו עבדה גדלה אל צר כל ראש מקרח וכל כתף מרוטה ושכר לא היה לו ולחילו מצר על העבדה אשר עבד עליה
(5834, 7, 4);[40, 300, 10, 8];משיח;1483;(14, 5, 16, 19, 1483);מטה;1;(14, 5, 16, 73, 5834);בשלחי את חצי הרעב הרעים בהם אשר היו למשחית אשר אשלח אותם לשחתכם ורעב אסף עליכם ושברתי לכם מטה לחם
(50800, 7, 4);[40, 300, 10, 8];משיח;12838;(14, 35, 7, 8, 12838);ממנו;2;(14, 35, 7, 31, 50800);ונתתי את הר שעיר לשממה ושממה והכרתי ממנו עבר ושב
(68643, 7, 4);[40, 300, 10, 8];משיח;17260;(14, 45, 12, 5, 17260);שקלים;5;(14, 45, 12, 23, 68643);והשקל עשרים גרה עשרים שקלים חמשה ועשרים שקלים עשרה וחמשה שקל המנה יהיה לכם
(1002, 10, 4);[40, 300, 10, 8];משיח;234;(14, 1, 19, 11, 234);האופנים;7;(14, 1, 19, 55, 1002);ובלכת החיות ילכו האופנים אצלם ובהנשא החיות מעל הארץ ינשאו האופנים
(66550, 13, 4);[40, 300, 10, 8];משיח;16742;(14, 44, 11, 3, 16742);משרתים;1;(14, 44, 11, 11, 66550);והיו במקדשי משרתים פקדות אל שערי הבית ומשרתים את הבית המה ישחטו את העלה ואת הזבח לעם והמה יעמדו לפניהם לשרתם
(23182, 15, 4);[40, 300, 10, 8];משיח;5835;(14, 18, 11, 8, 5835);גם;2;(14, 18, 11, 20, 23182);והוא את כל אלה לא עשה כי גם אל ההרים אכל ואת אשת רעהו טמא
(71762, 17, 4);[40, 300, 10, 8];משיח;18041;(14, 47, 13, 2, 18041);אמר;2;(14, 47, 13, 4, 71762);כה אמר אדני יהוה גה גבול אשר תתנחלו את הארץ לשני עשר שבטי ישראל יוסף חבלים
(67065, 18, 4);[40, 300, 10, 8];משיח;16867;(14, 44, 18, 2, 16867);פשתים;5;(14, 44, 18, 9, 67065);פארי פשתים יהיו על ראשם ומכנסי פשתים יהיו על מתניהם לא יחגרו ביזע
(21194, 20, 4);[40, 300, 10, 8];משיח;5306;(14, 16, 63, 10, 5306);מפני;1;(14, 16, 63, 33, 21194);למען תזכרי ובשת ולא יהיה לך עוד פתחון פה מפני כלמתך בכפרי לך לכל אשר עשית נאם אדני יהוה
(33445, 20, 4);[40, 300, 10, 8];משיח;8453;(14, 23, 38, 8, 8453);ביום;4;(14, 23, 38, 26, 33445);עוד זאת עשו לי טמאו את מקדשי ביום ההוא ואת שבתותי חללו
(57941, 22, 4);[40, 300, 10, 8];משיח;14609;(14, 39, 18, 11, 14609);פרים;4;(14, 39, 18, 50, 57941);בשר גבורים תאכלו ודם נשיאי הארץ תשתו אילים כרים ועתודים פרים מריאי בשן כלם
(68110, 23, 4);[40, 300, 10, 8];משיח;17129;(14, 45, 4, 15, 17129);מקום;4;(14, 45, 4, 59, 68110);קדש מן הארץ הוא לכהנים משרתי המקדש יהיה הקרבים לשרת את יהוה והיה להם מקום לבתים ומקדש למקדש
(17032, 25, 4);[40, 300, 10, 8];משיח;4272;(14, 14, 18, 12, 4272);בנים;4;(14, 14, 18, 47, 17032);ושלשת האנשים האלה בתוכה חי אני נאם אדני יהוה לא יצילו בנים ובנות כי הם לבדם ינצלו
(8128, 26, 4);[40, 300, 10, 8];משיח;2042;(14, 7, 27, 5, 2042);שממה;2;(14, 7, 27, 20, 8128);המלך יתאבל ונשיא ילבש שממה וידי עם הארץ תבהלנה מדרכם אעשה אותם ובמשפטיהם אשפטם וידעו כי אני יהוה
(54670, 28, 4);[40, 300, 10, 8];משיח;13782;(14, 37, 19, 4, 13782);אמר;2;(14, 37, 19, 11, 54670);דבר אלהם כה אמר אדני יהוה הנה אני לקח את עץ יוסף אשר ביד אפרים ושבטי ישראל חברו ונתתי אותם עליו את עץ יהודה ועשיתם לעץ אחד והיו אחד בידי
(69342, 28, 4);[40, 300, 10, 8];משיח;17432;(14, 45, 23, 17, 17432);עזים;4;(14, 45, 23, 73, 69342);ושבעת ימי החג יעשה עולה ליהוה שבעת פרים ושבעת אילים תמימם ליום שבעת הימים וחטאת שעיר עזים ליום
(24062, 32, 4);[40, 300, 10, 8];משיח;6081;(14, 18, 26, 6, 6081);ומת;2;(14, 18, 26, 23, 24062);בשוב צדיק מצדקתו ועשה עול ומת עליהם בעולו אשר עשה ימות
(45403, 34, 4);[40, 300, 10, 8];משיח;11451;(14, 32, 12, 4, 11451);המונך;2;(14, 32, 12, 18, 45403);בחרבות גבורים אפיל המונך עריצי גוים כלם ושדדו את גאון מצרים ונשמד כל המונה
(54857, 34, 4);[40, 300, 10, 8];משיח;13832;(14, 37, 21, 17, 13832);שם;2;(14, 37, 21, 59, 54857);ודבר אליהם כה אמר אדני יהוה הנה אני לקח את בני ישראל מבין הגוים אשר הלכו שם וקבצתי אתם מסביב והבאתי אותם אל אדמתם
(73780, 39, 4);[40, 300, 10, 8];משיח;18544;(14, 48, 21, 33, 18544);ומקדש;2;(14, 48, 21, 133, 73780);והנותר לנשיא מזה ומזה לתרומת הקדש ולאחזת העיר אל פני חמשה ועשרים אלף תרומה עד גבול קדימה וימה על פני חמשה ועשרים אלף על גבול ימה לעמת חלקים לנשיא והיתה תרומת הקדש ומקדש הבית בתוכה
(44769, 41, 4);[40, 300, 10, 8];משיח;11297;(14, 31, 18, 26, 11297);נאם;3;(14, 31, 18, 92, 44769);אל מי דמית ככה בכבוד ובגדל בעצי עדן והורדת את עצי עדן אל ארץ תחתית בתוך ערלים תשכב את חללי חרב הוא פרעה וכל המונה נאם אדני יהוה
(73094, 41, 4);[40, 300, 10, 8];משיח;18383;(14, 48, 13, 4, 18383);הכהנים;6;(14, 48, 13, 20, 73094);והלוים לעמת גבול הכהנים חמשה ועשרים אלף ארך ורחב עשרת אלפים כל ארך חמשה ועשרים אלף ורחב עשרת אלפים
(6072, 43, 4);[40, 300, 10, 8];משיח;1540;(14, 6, 4, 4, 1540);חמניכם;2;(14, 6, 4, 22, 6072);ונשמו מזבחותיכם ונשברו חמניכם והפלתי חלליכם לפני גלוליכם
(48141, 44, 4);[40, 300, 10, 8];משיח;12157;(14, 33, 25, 14, 12157);גלוליכם;7;(14, 33, 25, 53, 48141);לכן אמר אליהם כה אמר אדני יהוה על הדם תאכלו ועינכם תשאו אל גלוליכם ודם תשפכו והארץ תירשו
(26285, 46, 4);[40, 300, 10, 8];משיח;6637;(14, 20, 21, 1, 6637);וימרו;3;(14, 20, 21, 3, 26285);וימרו בי הבנים בחקותי לא הלכו ואת משפטי לא שמרו לעשות אותם אשר יעשה אותם האדם וחי בהם את שבתותי חללו ואמר לשפך חמתי עליהם לכלות אפי בם במדבר
(7316, 47, 4);[40, 300, 10, 8];משיח;1840;(14, 7, 11, 6, 1840);מהם;3;(14, 7, 11, 18, 7316);החמס קם למטה רשע לא מהם ולא מהמונם ולא מהמהם ולא נה בהם
(29745, 47, 4);[40, 300, 10, 8];משיח;7541;(14, 21, 34, 4, 7541);בקסם;4;(14, 21, 34, 14, 29745);בחזות לך שוא בקסם לך כזב לתת אותך אל צוארי חללי רשעים אשר בא יומם בעת עון קץ
(38862, 53, 4);[40, 300, 10, 8];משיח;9809;(14, 27, 24, 4, 9809);בגלומי;5;(14, 27, 24, 20, 38862);המה רכליך במכללים בגלומי תכלת ורקמה ובגנזי ברמים בחבלים חבשים וארזים במרכלתך
(73929, 53, 4);[40, 300, 10, 8];משיח;18580;(14, 48, 24, 9, 18580);שמעון;2;(14, 48, 24, 31, 73929);ועל גבול בנימן מפאת קדימה עד פאת ימה שמעון אחד
(2424, 55, 4);[40, 300, 10, 8];משיח;610;(14, 3, 6, 3, 610);עמים;4;(14, 3, 6, 8, 2424);לא אל עמים רבים עמקי שפה וכבדי לשון אשר לא תשמע דבריהם אם לא אליהם שלחתיך המה ישמעו אליך
(52291, 55, 4);[40, 300, 10, 8];משיח;13209;(14, 36, 17, 5, 13209);ישבים;5;(14, 36, 17, 18, 52291);בן אדם בית ישראל ישבים על אדמתם ויטמאו אותה בדרכם ובעלילותם כטמאת הנדה היתה דרכם לפני
(67378, 57, 4);[40, 300, 10, 8];משיח;16945;(14, 44, 23, 2, 16945);עמי;2;(14, 44, 23, 5, 67378);ואת עמי יורו בין קדש לחל ובין טמא לטהור יודעם
(60612, 59, 4);[40, 300, 10, 8];משיח;15280;(14, 40, 36, 9, 15280);חמשים;2;(14, 40, 36, 33, 60612);תאו אלו ואלמו וחלונות לו סביב סביב ארך חמשים אמה ורחב חמש ועשרים אמה
(67950, 59, 4);[40, 300, 10, 8];משיח;17089;(14, 45, 2, 6, 17089);מאות;1;(14, 45, 2, 17, 67950);יהיה מזה אל הקדש חמש מאות בחמש מאות מרבע סביב וחמשים אמה מגרש לו סביב
(68420, 59, 4);[40, 300, 10, 8];משיח;17205;(14, 45, 8, 11, 17205);עמי;2;(14, 45, 8, 40, 68420);לארץ יהיה לו לאחזה בישראל ולא יונו עוד נשיאי את עמי והארץ יתנו לבית ישראל לשבטיהם
(47325, 60, 4);[40, 300, 10, 8];משיח;11945;(14, 33, 11, 10, 11945);במות;2;(14, 33, 11, 32, 47325);אמר אליהם חי אני נאם אדני יהוה אם אחפץ במות הרשע כי אם בשוב רשע מדרכו וחיה שובו שובו מדרכיכם הרעים ולמה תמותו בית ישראל
(60149, 61, 4);[40, 300, 10, 8];משיח;15169;(14, 40, 27, 6, 15169);וימד;3;(14, 40, 27, 25, 60149);ושער לחצר הפנימי דרך הדרום וימד משער אל השער דרך הדרום מאה אמות
(45942, 64, 4);[40, 300, 10, 8];משיח;11587;(14, 32, 22, 9, 11587);הנפלים;6;(14, 32, 22, 41, 45942);שם אשור וכל קהלה סביבותיו קברתיו כלם חללים הנפלים בחרב
(42780, 66, 4);[40, 300, 10, 8];משיח;10791;(14, 30, 12, 11, 10791);ומלאה;2;(14, 30, 12, 44, 42780);ונתתי יארים חרבה ומכרתי את הארץ ביד רעים והשמתי ארץ ומלאה ביד זרים אני יהוה דברתי
(4538, 68, 4);[40, 300, 10, 8];משיח;1165;(14, 4, 14, 13, 1165);מנעורי;1;(14, 4, 14, 47, 4538);ואמר אהה אדני יהוה הנה נפשי לא מטמאה ונבלה וטרפה לא אכלתי מנעורי ועד עתה ולא בא בפי בשר פגול
(46023, 68, 4);[40, 300, 10, 8];משיח;11606;(14, 32, 23, 18, 11606);חיים;4;(14, 32, 23, 77, 46023);אשר נתנו קברתיה בירכתי בור ויהי קהלה סביבות קברתה כלם חללים נפלים בחרב אשר נתנו חתית בארץ חיים
(58161, 68, 4);[40, 300, 10, 8];משיח;14665;(14, 39, 23, 4, 14665);בעונם;5;(14, 39, 23, 17, 58161);וידעו הגוים כי בעונם גלו בית ישראל על אשר מעלו בי ואסתר פני מהם ואתנם ביד צריהם ויפלו בחרב כלם
(59856, 68, 4);[40, 300, 10, 8];משיח;15100;(14, 40, 22, 4, 15100);כמדת;2;(14, 40, 22, 18, 59856);וחלונו ואלמו ותמרו כמדת השער אשר פניו דרך הקדים ובמעלות שבע יעלו בו ואילמו לפניהם
