(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(2682, 5, 4);[40, 300, 10, 8];משיח;690;(15, 4, 12, 13, 690);אלהיהם;6;(15, 4, 12, 52, 2682);עמי בעצו ישאל ומקלו יגיד לו כי רוח זנונים התעה ויזנו מתחת אלהיהם
(2828, 42, 4);[40, 300, 10, 8];משיח;726;(15, 4, 14, 16, 726);ועם;3;(15, 4, 14, 61, 2828);לא אפקוד על בנותיכם כי תזנינה ועל כלותיכם כי תנאפנה כי הם עם הזנות יפרדו ועם הקדשות יזבחו ועם לא יבין ילבט
(8542, 66, 4);[40, 300, 10, 8];משיח;2164;(15, 13, 6, 5, 2164);לבם;3;(15, 13, 6, 24, 8542);כמרעיתם וישבעו שבעו וירם לבם על כן שכחוני
(5926, 80, 4);[40, 300, 10, 8];משיח;1519;(15, 9, 9, 8, 1519);חטאותם;6;(15, 9, 9, 39, 5926);העמיקו שחתו כימי הגבעה יזכור עונם יפקוד חטאותם
(5643, 84, 4);[40, 300, 10, 8];משיח;1446;(15, 9, 4, 8, 1446);זבחיהם;6;(15, 9, 4, 30, 5643);לא יסכו ליהוה יין ולא יערבו לו זבחיהם כלחם אונים להם כל אכליו יטמאו כי לחמם לנפשם לא יבוא בית יהוה
(7214, 86, 4);[40, 300, 10, 8];משיח;1839;(15, 11, 3, 4, 1839);קחם;3;(15, 11, 3, 20, 7214);ואנכי תרגלתי לאפרים קחם על זרועתיו ולא ידעו כי רפאתים
(8542, 66, 5);[40, 300, 10, 8, 10];משיחי;2164;(15, 13, 6, 5, 2164);לבם;3;(15, 13, 6, 24, 8542);כמרעיתם וישבעו שבעו וירם לבם על כן שכחוני
(5926, 80, 5);[40, 300, 10, 8, 10];משיחי;1519;(15, 9, 9, 8, 1519);חטאותם;6;(15, 9, 9, 39, 5926);העמיקו שחתו כימי הגבעה יזכור עונם יפקוד חטאותם
(2828, 42, 5);[40, 300, 10, 8, 6];משיחו;726;(15, 4, 14, 16, 726);ועם;3;(15, 4, 14, 61, 2828);לא אפקוד על בנותיכם כי תזנינה ועל כלותיכם כי תנאפנה כי הם עם הזנות יפרדו ועם הקדשות יזבחו ועם לא יבין ילבט
(2682, 5, 5);[40, 300, 10, 8, 5];משיחה;690;(15, 4, 12, 13, 690);אלהיהם;6;(15, 4, 12, 52, 2682);עמי בעצו ישאל ומקלו יגיד לו כי רוח זנונים התעה ויזנו מתחת אלהיהם
