(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(46869, 2, 4);[40, 300, 10, 8];משיח;12491;(1, 32, 8, 15, 12491);והגמלים;7;(1, 32, 8, 54, 46869);ויירא יעקב מאד ויצר לו ויחץ את העם אשר אתו ואת הצאן ואת הבקר והגמלים לשני מחנות
(21138, 5, 4);[40, 300, 10, 8];משיח;5650;(1, 18, 14, 4, 5650);למועד;2;(1, 18, 14, 15, 21138);היפלא מיהוה דבר למועד אשוב אליך כעת חיה ולשרה בן
(28363, 5, 4);[40, 300, 10, 8];משיח;7569;(1, 23, 1, 6, 7569);ועשרים;6;(1, 23, 1, 23, 28363);ויהיו חיי שרה מאה שנה ועשרים שנה ושבע שנים שני חיי שרה
(61350, 5, 4);[40, 300, 10, 8];משיח;16282;(1, 41, 26, 8, 16282);השבלים;6;(1, 41, 26, 30, 61350);שבע פרת הטבת שבע שנים הנה ושבע השבלים הטבת שבע שנים הנה חלום אחד הוא
(61526, 5, 4);[40, 300, 10, 8];משיח;16328;(1, 41, 29, 9, 16328);מצרים;5;(1, 41, 29, 32, 61526);הנה שבע שנים באות שבע גדול בכל ארץ מצרים
(38513, 7, 4);[40, 300, 10, 8];משיח;10238;(1, 27, 45, 13, 10238);משם;1;(1, 27, 45, 43, 38513);עד שוב אף אחיך ממך ושכח את אשר עשית לו ושלחתי ולקחתיך משם למה אשכל גם שניכם יום אחד
(13936, 8, 4);[40, 300, 10, 8];משיח;3732;(1, 11, 29, 4, 3732);להם;3;(1, 11, 29, 16, 13936);ויקח אברם ונחור להם נשים שם אשת אברם שרי ושם אשת נחור מלכה בת הרן אבי מלכה ואבי יסכה
(48570, 8, 4);[40, 300, 10, 8];משיח;12935;(1, 33, 8, 5, 12935);המחנה;2;(1, 33, 8, 13, 48570);ויאמר מי לך כל המחנה הזה אשר פגשתי ויאמר למצא חן בעיני אדני
(7399, 9, 4);[40, 300, 10, 8];משיח;1977;(1, 6, 13, 2, 1977);אלהים;5;(1, 6, 13, 10, 7399);ויאמר אלהים לנח קץ כל בשר בא לפני כי מלאה הארץ חמס מפניהם והנני משחיתם את הארץ
(38127, 9, 4);[40, 300, 10, 8];משיח;10133;(1, 27, 38, 11, 10133);גם;2;(1, 27, 38, 37, 38127);ויאמר עשו אל אביו הברכה אחת הוא לך אבי ברכני גם אני אבי וישא עשו קלו ויבך
(74799, 9, 4);[40, 300, 10, 8];משיח;19754;(1, 48, 16, 8, 19754);הנערים;6;(1, 48, 16, 29, 74799);המלאך הגאל אתי מכל רע יברך את הנערים ויקרא בהם שמי ושם אבתי אברהם ויצחק וידגו לרב בקרב הארץ
(13283, 10, 4);[40, 300, 10, 8];משיח;3562;(1, 11, 13, 8, 3562);שנים;4;(1, 11, 13, 32, 13283);ויחי ארפכשד אחרי הולידו את שלח שלש שנים וארבע מאות שנה ויולד בנים ובנות
(9884, 11, 4);[40, 300, 10, 8];משיח;2651;(1, 8, 16, 2, 2651);מן;1;(1, 8, 16, 3, 9884);צא מן התבה אתה ואשתך ובניך ונשי בניך אתך
(48519, 12, 4);[40, 300, 10, 8];משיח;12922;(1, 33, 7, 2, 12922);גם;2;(1, 33, 7, 6, 48519);ותגש גם לאה וילדיה וישתחוו ואחר נגש יוסף ורחל וישתחוו
(7819, 13, 4);[40, 300, 10, 8];משיח;2091;(1, 6, 20, 7, 2091);רמש;2;(1, 6, 20, 29, 7819);מהעוף למינהו ומן הבהמה למינה מכל רמש האדמה למינהו שנים מכל יבאו אליך להחיות
(27093, 13, 4);[40, 300, 10, 8];משיח;7231;(1, 22, 2, 22, 7231);ההרים;5;(1, 22, 2, 71, 27093);ויאמר קח נא את בנך את יחידך אשר אהבת את יצחק ולך לך אל ארץ המריה והעלהו שם לעלה על אחד ההרים אשר אמר אליך
(6023, 14, 4);[40, 300, 10, 8];משיח;1609;(1, 5, 15, 2, 1609);מהללאל;1;(1, 5, 15, 5, 6023);ויחי מהללאל חמש שנים וששים שנה ויולד את ירד
(35363, 14, 4);[40, 300, 10, 8];משיח;9405;(1, 26, 18, 16, 9405);אברהם;5;(1, 26, 18, 68, 35363);וישב יצחק ויחפר את בארת המים אשר חפרו בימי אברהם אביו ויסתמום פלשתים אחרי מות אברהם ויקרא להן שמות כשמת אשר קרא להן אביו
(63804, 18, 4);[40, 300, 10, 8];משיח;16939;(1, 42, 18, 1, 16939);ויאמר;4;(1, 42, 18, 4, 63804);ויאמר אלהם יוסף ביום השלישי זאת עשו וחיו את האלהים אני ירא
(3257, 20, 4);[40, 300, 10, 8];משיח;855;(1, 3, 7, 6, 855);עירמם;4;(1, 3, 7, 27, 3257);ותפקחנה עיני שניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשו להם חגרת
(30887, 23, 4);[40, 300, 10, 8];משיח;8252;(1, 24, 30, 15, 8252);לאמר;3;(1, 24, 30, 55, 30887);ויהי כראת את הנזם ואת הצמדים על ידי אחתו וכשמעו את דברי רבקה אחתו לאמר כה דבר אלי האיש ויבא אל האיש והנה עמד על הגמלים על העין
(50396, 23, 4);[40, 300, 10, 8];משיח;13431;(1, 34, 25, 2, 13431);ביום;4;(1, 34, 25, 8, 50396);ויהי ביום השלישי בהיותם כאבים ויקחו שני בני יעקב שמעון ולוי אחי דינה איש חרבו ויבאו על העיר בטח ויהרגו כל זכר
(14519, 24, 4);[40, 300, 10, 8];משיח;3891;(1, 12, 7, 13, 3891);מזבח;1;(1, 12, 7, 44, 14519);וירא יהוה אל אברם ויאמר לזרעך אתן את הארץ הזאת ויבן שם מזבח ליהוה הנראה אליו
(18822, 30, 4);[40, 300, 10, 8];משיח;5044;(1, 16, 11, 1, 5044);ויאמר;4;(1, 16, 11, 4, 18822);ויאמר לה מלאך יהוה הנך הרה וילדת בן וקראת שמו ישמעאל כי שמע יהוה אל עניך
(63041, 30, 4);[40, 300, 10, 8];משיח;16740;(1, 42, 2, 1, 16740);ויאמר;4;(1, 42, 2, 4, 63041);ויאמר הנה שמעתי כי יש שבר במצרים רדו שמה ושברו לנו משם ונחיה ולא נמות
(65686, 30, 4);[40, 300, 10, 8];משיח;17424;(1, 43, 12, 7, 17424);המושב;2;(1, 43, 12, 25, 65686);וכסף משנה קחו בידכם ואת הכסף המושב בפי אמתחתיכם תשיבו בידכם אולי משגה הוא
(39618, 32, 4);[40, 300, 10, 8];משיח;10535;(1, 28, 19, 3, 10535);שם;2;(1, 28, 19, 9, 39618);ויקרא את שם המקום ההוא בית אל ואולם לוז שם העיר לראשנה
(50349, 33, 4);[40, 300, 10, 8];משיח;13417;(1, 34, 24, 5, 13417);שכם;3;(1, 34, 24, 18, 50349);וישמעו אל חמור ואל שכם בנו כל יצאי שער עירו וימלו כל זכר כל יצאי שער עירו
(65974, 33, 4);[40, 300, 10, 8];משיח;17494;(1, 43, 16, 21, 17494);בצהרים;6;(1, 43, 16, 83, 65974);וירא יוסף אתם את בנימין ויאמר לאשר על ביתו הבא את האנשים הביתה וטבח טבח והכן כי אתי יאכלו האנשים בצהרים
(33090, 36, 4);[40, 300, 10, 8];משיח;8820;(1, 25, 6, 14, 8820);קדמה;3;(1, 25, 6, 61, 33090);ולבני הפילגשים אשר לאברהם נתן אברהם מתנת וישלחם מעל יצחק בנו בעודנו חי קדמה אל ארץ קדם
(9503, 37, 4);[40, 300, 10, 8];משיח;2546;(1, 8, 8, 7, 2546);המים;4;(1, 8, 8, 29, 9503);וישלח את היונה מאתו לראות הקלו המים מעל פני האדמה
(58935, 37, 4);[40, 300, 10, 8];משיח;15666;(1, 40, 3, 3, 15666);במשמר;4;(1, 40, 3, 11, 58935);ויתן אתם במשמר בית שר הטבחים אל בית הסהר מקום אשר יוסף אסור שם
(38420, 38, 4);[40, 300, 10, 8];משיח;10210;(1, 27, 43, 5, 10210);וקום;4;(1, 27, 43, 18, 38420);ועתה בני שמע בקלי וקום ברח לך אל לבן אחי חרנה
(66541, 38, 4);[40, 300, 10, 8];משיח;17630;(1, 43, 26, 7, 17630);המנחה;2;(1, 43, 26, 25, 66541);ויבא יוסף הביתה ויביאו לו את המנחה אשר בידם הביתה וישתחוו לו ארצה
(6672, 39, 4);[40, 300, 10, 8];משיח;1772;(1, 5, 29, 12, 1772);האדמה;4;(1, 5, 29, 48, 6672);ויקרא את שמו נח לאמר זה ינחמנו ממעשנו ומעצבון ידינו מן האדמה אשר אררה יהוה
(26416, 39, 4);[40, 300, 10, 8];משיח;7050;(1, 21, 22, 12, 7050);אלהים;5;(1, 21, 22, 49, 26416);ויהי בעת ההוא ויאמר אבימלך ופיכל שר צבאו אל אברהם לאמר אלהים עמך בכל אשר אתה עשה
(77651, 40, 4);[40, 300, 10, 8];משיח;20504;(1, 50, 18, 9, 20504);לעבדים;6;(1, 50, 18, 39, 77651);וילכו גם אחיו ויפלו לפניו ויאמרו הננו לך לעבדים
(69980, 43, 4);[40, 300, 10, 8];משיח;18517;(1, 45, 23, 7, 18517);מטוב;1;(1, 45, 23, 28, 69980);ולאביו שלח כזאת עשרה חמרים נשאים מטוב מצרים ועשר אתנת נשאת בר ולחם ומזון לאביו לדרך
(75619, 44, 4);[40, 300, 10, 8];משיח;19967;(1, 49, 9, 11, 19967);מי;1;(1, 49, 9, 41, 75619);גור אריה יהודה מטרף בני עלית כרע רבץ כאריה וכלביא מי יקימנו
(11470, 45, 4);[40, 300, 10, 8];משיח;3086;(1, 9, 27, 2, 3086);אלהים;5;(1, 9, 27, 8, 11470);יפת אלהים ליפת וישכן באהלי שם ויהי כנען עבד למו
(27386, 47, 4);[40, 300, 10, 8];משיח;7308;(1, 22, 7, 4, 7308);אברהם;5;(1, 22, 7, 16, 27386);ויאמר יצחק אל אברהם אביו ויאמר אבי ויאמר הנני בני ויאמר הנה האש והעצים ואיה השה לעלה
(8267, 51, 4);[40, 300, 10, 8];משיח;2215;(1, 7, 7, 11, 2215);מי;1;(1, 7, 7, 38, 8267);ויבא נח ובניו ואשתו ונשי בניו אתו אל התבה מפני מי המבול
(58883, 51, 4);[40, 300, 10, 8];משיח;15652;(1, 40, 1, 12, 15652);מצרים;5;(1, 40, 1, 54, 58883);ויהי אחר הדברים האלה חטאו משקה מלך מצרים והאפה לאדניהם למלך מצרים
(60429, 51, 4);[40, 300, 10, 8];משיח;16047;(1, 41, 8, 10, 16047);מצרים;5;(1, 41, 8, 41, 60429);ויהי בבקר ותפעם רוחו וישלח ויקרא את כל חרטמי מצרים ואת כל חכמיה ויספר פרעה להם את חלמו ואין פותר אותם לפרעה
(69808, 51, 4);[40, 300, 10, 8];משיח;18470;(1, 45, 19, 15, 18470);ובאתם;5;(1, 45, 19, 65, 69808);ואתה צויתה זאת עשו קחו לכם מארץ מצרים עגלות לטפכם ולנשיכם ונשאתם את אביכם ובאתם
(52599, 52, 4);[40, 300, 10, 8];משיח;14017;(1, 36, 9, 5, 14017);אדום;4;(1, 36, 9, 19, 52599);ואלה תלדות עשו אבי אדום בהר שעיר
(54325, 54, 4);[40, 300, 10, 8];משיח;14470;(1, 37, 6, 1, 14470);ויאמר;4;(1, 37, 6, 4, 54325);ויאמר אליהם שמעו נא החלום הזה אשר חלמתי
(9256, 55, 4);[40, 300, 10, 8];משיח;2483;(1, 8, 3, 2, 2483);המים;4;(1, 8, 3, 9, 9256);וישבו המים מעל הארץ הלוך ושוב ויחסרו המים מקצה חמשים ומאת יום
(66989, 60, 4);[40, 300, 10, 8];משיח;17735;(1, 43, 34, 9, 17735);ממשאת;2;(1, 43, 34, 34, 66989);וישא משאת מאת פניו אלהם ותרב משאת בנימן ממשאת כלם חמש ידות וישתו וישכרו עמו
(75025, 60, 4);[40, 300, 10, 8];משיח;19816;(1, 48, 19, 14, 19816);ואולם;5;(1, 48, 19, 54, 75025);וימאן אביו ויאמר ידעתי בני ידעתי גם הוא יהיה לעם וגם הוא יגדל ואולם אחיו הקטן יגדל ממנו וזרעו יהיה מלא הגוים
(45351, 61, 4);[40, 300, 10, 8];משיח;12092;(1, 31, 34, 16, 12092);מצא;1;(1, 31, 34, 57, 45351);ורחל לקחה את התרפים ותשמם בכר הגמל ותשב עליהם וימשש לבן את כל האהל ולא מצא
(33512, 67, 4);[40, 300, 10, 8];משיח;8929;(1, 25, 16, 6, 8929);שמתם;4;(1, 25, 16, 22, 33512);אלה הם בני ישמעאל ואלה שמתם בחצריהם ובטירתם שנים עשר נשיאם לאמתם
(58995, 68, 4);[40, 300, 10, 8];משיח;15683;(1, 40, 4, 6, 15683);אתם;3;(1, 40, 4, 22, 58995);ויפקד שר הטבחים את יוסף אתם וישרת אתם ויהיו ימים במשמר
