(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(10081, 38, 4);[40, 300, 10, 8];משיח;2534;(25, 12, 9, 2, 2534);ביום;4;(25, 12, 9, 8, 10081);והיה ביום ההוא אבקש להשמיד את כל הגוים הבאים על ירושלם
(5046, 51, 4);[40, 300, 10, 8];משיח;1278;(25, 7, 6, 6, 1278);אתם;3;(25, 7, 6, 22, 5046);וכי תאכלו וכי תשתו הלוא אתם האכלים ואתם השתים
(11718, 78, 4);[40, 300, 10, 8];משיח;2947;(25, 14, 12, 3, 2947);המגפה;2;(25, 14, 12, 10, 11718);וזאת תהיה המגפה אשר יגף יהוה את כל העמים אשר צבאו על ירושלם המק בשרו והוא עמד על רגליו ועיניו תמקנה בחריהן ולשונו תמק בפיהם
(9462, 92, 4);[40, 300, 10, 8];משיח;2380;(25, 11, 17, 11, 2380);ימינו;2;(25, 11, 17, 37, 9462);הוי רעי האליל עזבי הצאן חרב על זרועו ועל עין ימינו זרעו יבוש תיבש ועין ימינו כהה תכהה
(6436, 98, 4);[40, 300, 10, 8];משיח;1618;(25, 8, 16, 2, 1618);הדברים;6;(25, 8, 16, 9, 6436);אלה הדברים אשר תעשו דברו אמת איש את רעהו אמת ומשפט שלום שפטו בשעריכם
(9370, 92, 5);[30, 40, 300, 10, 8];למשיח;2357;(25, 11, 16, 11, 2357);לא;1;(25, 11, 16, 38, 9370);כי הנה אנכי מקים רעה בארץ הנכחדות לא יפקד הנער לא יבקש והנשברת לא ירפא הנצבה לא יכלכל ובשר הבריאה יאכל ופרסיהן יפרק
(6338, 98, 5);[30, 40, 300, 10, 8];למשיח;1595;(25, 8, 14, 9, 1595);לכם;1;(25, 8, 14, 30, 6338);כי כה אמר יהוה צבאות כאשר זממתי להרע לכם בהקציף אבתיכם אתי אמר יהוה צבאות ולא נחמתי
(6436, 98, 5);[40, 300, 10, 8, 6];משיחו;1618;(25, 8, 16, 2, 1618);הדברים;6;(25, 8, 16, 9, 6436);אלה הדברים אשר תעשו דברו אמת איש את רעהו אמת ומשפט שלום שפטו בשעריכם
(6338, 98, 6);[30, 40, 300, 10, 8, 6];למשיחו;1595;(25, 8, 14, 9, 1595);לכם;1;(25, 8, 14, 30, 6338);כי כה אמר יהוה צבאות כאשר זממתי להרע לכם בהקציף אבתיכם אתי אמר יהוה צבאות ולא נחמתי
(11718, 78, 6);[40, 300, 10, 8, 50, 6];משיחנו;2947;(25, 14, 12, 3, 2947);המגפה;2;(25, 14, 12, 10, 11718);וזאת תהיה המגפה אשר יגף יהוה את כל העמים אשר צבאו על ירושלם המק בשרו והוא עמד על רגליו ועיניו תמקנה בחריהן ולשונו תמק בפיהם
