(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(21034, 5, 4);[40, 300, 10, 8];משיח;5476;(28, 25, 21, 6, 5476);ואם;3;(28, 25, 21, 21, 21034);אם רעב שנאך האכלהו לחם ואם צמא השקהו מים
(22509, 7, 4);[40, 300, 10, 8];משיח;5872;(28, 27, 15, 6, 5872);מדונים;1;(28, 27, 15, 21, 22509);דלף טורד ביום סגריר ואשת מדונים נשתוה
(4711, 10, 4);[40, 300, 10, 8];משיח;1190;(28, 6, 26, 7, 1190);לחם;3;(28, 6, 26, 20, 4711);כי בעד אשה זונה עד ככר לחם ואשת איש נפש יקרה תצוד
(17065, 10, 4);[40, 300, 10, 8];משיח;4418;(28, 21, 16, 1, 4418);אדם;3;(28, 21, 16, 3, 17065);אדם תועה מדרך השכל בקהל רפאים ינוח
(6962, 13, 4);[40, 300, 10, 8];משיח;1768;(28, 9, 7, 8, 1768);מומו;3;(28, 9, 7, 27, 6962);יסר לץ לקח לו קלון ומוכיח לרשע מומו
(15387, 14, 4);[40, 300, 10, 8];משיח;3964;(28, 19, 15, 5, 3964);רמיה;2;(28, 19, 15, 19, 15387);עצלה תפיל תרדמה ונפש רמיה תרעב
(15830, 15, 4);[40, 300, 10, 8];משיח;4086;(28, 20, 2, 4, 4086);מלך;1;(28, 20, 2, 13, 15830);נהם ככפיר אימת מלך מתעברו חוטא נפשו
(2352, 22, 4);[40, 300, 10, 8];משיח;578;(28, 3, 28, 2, 578);תאמר;3;(28, 3, 28, 5, 2352);אל תאמר לרעיך לך ושוב ומחר אתן ויש אתך
(5289, 31, 4);[40, 300, 10, 8];משיח;1344;(28, 7, 12, 3, 1344);פעם;3;(28, 7, 12, 10, 5289);פעם בחוץ פעם ברחבות ואצל כל פנה תארב
(22283, 33, 4);[40, 300, 10, 8];משיח;5811;(28, 27, 8, 8, 5811);ממקומו;2;(28, 27, 8, 26, 22283);כצפור נודדת מן קנה כן איש נודד ממקומו
(23094, 43, 4);[40, 300, 10, 8];משיח;6020;(28, 28, 8, 1, 6020);מרבה;1;(28, 28, 8, 1, 23094);מרבה הונו בנשך ובתרבית לחונן דלים יקבצנו
(5610, 44, 4);[40, 300, 10, 8];משיח;1425;(28, 7, 23, 5, 1425);כמהר;2;(28, 7, 23, 14, 5610);עד יפלח חץ כבדו כמהר צפור אל פח ולא ידע כי בנפשו הוא
(11060, 45, 4);[40, 300, 10, 8];משיח;2819;(28, 14, 19, 2, 2819);רעים;4;(28, 14, 19, 7, 11060);שחו רעים לפני טובים ורשעים על שערי צדיק
(24051, 45, 4);[40, 300, 10, 8];משיח;6268;(28, 29, 10, 5, 6268);וישרים;6;(28, 29, 10, 21, 24051);אנשי דמים ישנאו תם וישרים יבקשו נפשו
(12919, 49, 4);[40, 300, 10, 8];משיח;3303;(28, 16, 16, 2, 3303);חכמה;3;(28, 16, 16, 6, 12919);קנה חכמה מה טוב מחרוץ וקנות בינה נבחר מכסף
(6721, 51, 4);[40, 300, 10, 8];משיח;1705;(28, 8, 34, 11, 1705);מזוזת;1;(28, 8, 34, 34, 6721);אשרי אדם שמע לי לשקד על דלתתי יום יום לשמר מזוזת פתחי
(9369, 53, 4);[40, 300, 10, 8];משיח;2379;(28, 12, 11, 5, 2379);ומרדף;2;(28, 12, 11, 17, 9369);עבד אדמתו ישבע לחם ומרדף ריקים חסר לב
(19031, 54, 4);[40, 300, 10, 8];משיח;4944;(28, 23, 24, 7, 4944);וישמח;4;(28, 23, 24, 25, 19031);גול יגול אבי צדיק יולד חכם וישמח בו
(25117, 60, 4);[40, 300, 10, 8];משיח;6549;(28, 30, 16, 7, 6549);מים;1;(28, 30, 16, 21, 25117);שאול ועצר רחם ארץ לא שבעה מים ואש לא אמרה הון
(6771, 66, 4);[40, 300, 10, 8];משיח;1718;(28, 8, 36, 5, 1718);משנאי;1;(28, 8, 36, 15, 6771);וחטאי חמס נפשו כל משנאי אהבו מות
(18309, 67, 4);[40, 300, 10, 8];משיח;4749;(28, 22, 29, 3, 4749);מהיר;1;(28, 22, 29, 8, 18309);חזית איש מהיר במלאכתו לפני מלכים יתיצב בל יתיצב לפני חשכים
(14002, 69, 4);[40, 300, 10, 8];משיח;3596;(28, 17, 19, 7, 3596);מבקש;1;(28, 17, 19, 22, 14002);אהב פשע אהב מצה מגביה פתחו מבקש שבר
