(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(24718, 2, 4);[40, 300, 10, 8];משיח;6495;(2, 16, 29, 12, 6495);ביום;4;(2, 16, 29, 36, 24718);ראו כי יהוה נתן לכם השבת על כן הוא נתן לכם ביום הששי לחם יומים שבו איש תחתיו אל יצא איש ממקמו ביום השביעי
(45856, 4, 4);[40, 300, 10, 8];משיח;12066;(2, 30, 17, 5, 12066);לאמר;3;(2, 30, 17, 17, 45856);וידבר יהוה אל משה לאמר
(21024, 5, 4);[40, 300, 10, 8];משיח;5529;(2, 14, 19, 6, 5529);מחנה;1;(2, 14, 19, 23, 21024);ויסע מלאך האלהים ההלך לפני מחנה ישראל וילך מאחריהם ויסע עמוד הענן מפניהם ויעמד מאחריהם
(42177, 6, 4);[40, 300, 10, 8];משיח;11108;(2, 28, 38, 15, 11108);מתנת;1;(2, 28, 38, 53, 42177);והיה על מצח אהרן ונשא אהרן את עון הקדשים אשר יקדישו בני ישראל לכל מתנת קדשיהם והיה על מצחו תמיד לרצון להם לפני יהוה
(34643, 10, 4);[40, 300, 10, 8];משיח;9225;(2, 24, 4, 13, 9225);ושתים;5;(2, 24, 4, 48, 34643);ויכתב משה את כל דברי יהוה וישכם בבקר ויבן מזבח תחת ההר ושתים עשרה מצבה לשנים עשר שבטי ישראל
(45604, 10, 4);[40, 300, 10, 8];משיח;12003;(2, 30, 13, 7, 12003);מחצית;1;(2, 30, 13, 21, 45604);זה יתנו כל העבר על הפקדים מחצית השקל בשקל הקדש עשרים גרה השקל מחצית השקל תרומה ליהוה
(21215, 12, 4);[40, 300, 10, 8];משיח;5579;(2, 14, 21, 21, 5579);המים;2;(2, 14, 21, 70, 21215);ויט משה את ידו על הים ויולך יהוה את הים ברוח קדים עזה כל הלילה וישם את הים לחרבה ויבקעו המים
(47813, 12, 4);[40, 300, 10, 8];משיח;12587;(2, 32, 3, 3, 12587);העם;3;(2, 32, 3, 12, 47813);ויתפרקו כל העם את נזמי הזהב אשר באזניהם ויביאו אל אהרן
(53971, 12, 4);[40, 300, 10, 8];משיח;14254;(2, 35, 23, 14, 14254);מאדמים;1;(2, 35, 23, 52, 53971);וכל איש אשר נמצא אתו תכלת וארגמן ותולעת שני ושש ועזים וערת אילם מאדמים וערת תחשים הביאו
(19971, 13, 4);[40, 300, 10, 8];משיח;5258;(2, 13, 22, 10, 5258);העם;3;(2, 13, 22, 37, 19971);לא ימיש עמוד הענן יומם ועמוד האש לילה לפני העם
(49973, 14, 4);[40, 300, 10, 8];משיח;13165;(2, 33, 5, 21, 13165);מעליך;1;(2, 33, 5, 73, 49973);ויאמר יהוה אל משה אמר אל בני ישראל אתם עם קשה ערף רגע אחד אעלה בקרבך וכליתיך ועתה הורד עדיך מעליך ואדעה מה אעשה לך
(18877, 17, 4);[40, 300, 10, 8];משיח;4974;(2, 13, 3, 23, 4974);חמץ;2;(2, 13, 3, 82, 18877);ויאמר משה אל העם זכור את היום הזה אשר יצאתם ממצרים מבית עבדים כי בחזק יד הוציא יהוה אתכם מזה ולא יאכל חמץ
