(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(19465, 1, 4);[40, 300, 10, 8];משיח;4736;(35, 9, 25, 10, 4736);משיח;1;(35, 9, 25, 37, 19465);ותדע ותשכל מן מצא דבר להשיב ולבנות ירושלם עד משיח נגיד שבעים שבעה ושבעים ששים ושנים תשוב ונבנתה רחוב וחרוץ ובצוק העתים
(19550, 1, 4);[40, 300, 10, 8];משיח;4754;(35, 9, 26, 6, 4754);משיח;1;(35, 9, 26, 25, 19550);ואחרי השבעים ששים ושנים יכרת משיח ואין לו והעיר והקדש ישחית עם נגיד הבא וקצו בשטף ועד קץ מלחמה נחרצת שממות
(19800, 7, 4);[40, 300, 10, 8];משיח;4817;(35, 10, 2, 6, 4817);מתאבל;1;(35, 10, 2, 22, 19800);בימים ההם אני דניאל הייתי מתאבל שלשה שבעים ימים
(10682, 12, 4);[40, 300, 10, 8];משיח;2594;(35, 5, 12, 18, 2594);מלכא;1;(35, 5, 12, 74, 10682);כל קבל די רוח יתירה ומנדע ושכלתנו מפשר חלמין ואחוית אחידן ומשרא קטרין השתכחת בה בדניאל די מלכא שם שמה בלטשאצר כען דניאל יתקרי ופשרה יהחוה
(19887, 14, 4);[40, 300, 10, 8];משיח;4840;(35, 10, 4, 2, 4840);עשרים;5;(35, 10, 4, 10, 19887);וביום עשרים וארבעה לחדש הראשון ואני הייתי על יד הנהר הגדול הוא חדקל
(24012, 20, 4);[40, 300, 10, 8];משיח;5852;(35, 12, 7, 20, 5852);מועדים;6;(35, 12, 7, 84, 24012);ואשמע את האיש לבוש הבדים אשר ממעל למימי היאר וירם ימינו ושמאלו אל השמים וישבע בחי העולם כי למועד מועדים וחצי וככלות נפץ יד עם קדש תכלינה כל אלה
(3497, 26, 4);[40, 300, 10, 8];משיח;856;(35, 2, 34, 18, 856);המון;2;(35, 2, 34, 65, 3497);חזה הוית עד די התגזרת אבן די לא בידין ומחת לצלמא על רגלוהי די פרזלא וחספא והדקת המון
(8514, 29, 4);[40, 300, 10, 8];משיח;2071;(35, 4, 19, 3, 2071);מלכא;1;(35, 4, 19, 8, 8514);אנתה הוא מלכא די רבית ותקפת ורבותך רבת ומטת לשמיא ושלטנך לסוף ארעא
(7479, 30, 4);[40, 300, 10, 8];משיח;1819;(35, 4, 4, 13, 1819);מהודעין;1;(35, 4, 4, 58, 7479);באדין עללין חרטמיא אשפיא כשדיא וגזריא וחלמא אמר אנה קדמיהון ופשרה לא מהודעין לי
(1571, 32, 4);[40, 300, 10, 8];משיח;364;(35, 2, 5, 11, 364);חלמא;3;(35, 2, 5, 44, 1571);ענה מלכא ואמר לכשדיא מלתא מני אזדא הן לא תהודעונני חלמא ופשרה הדמין תתעבדון ובתיכון נולי יתשמון
(4165, 44, 4);[40, 300, 10, 8];משיח;1027;(35, 2, 44, 5, 1027);יקים;4;(35, 2, 44, 24, 4165);וביומיהון די מלכיא אנון יקים אלה שמיא מלכו די לעלמין לא תתחבל ומלכותה לעם אחרן לא תשתבק תדק ותסיף כל אלין מלכותא והיא תקום לעלמיא
(19820, 45, 4);[40, 300, 10, 8];משיח;4821;(35, 10, 3, 1, 4821);לחם;3;(35, 10, 3, 3, 19820);לחם חמדות לא אכלתי ובשר ויין לא בא אל פי וסוך לא סכתי עד מלאת שלשת שבעים ימים
(19440, 53, 4);[40, 300, 10, 8];משיח;4730;(35, 9, 25, 4, 4730);מצא;1;(35, 9, 25, 12, 19440);ותדע ותשכל מן מצא דבר להשיב ולבנות ירושלם עד משיח נגיד שבעים שבעה ושבעים ששים ושנים תשוב ונבנתה רחוב וחרוץ ובצוק העתים
(11456, 64, 4);[40, 300, 10, 8];משיח;2784;(35, 5, 21, 28, 2784);ולמן;3;(35, 5, 21, 110, 11456);ומן בני אנשא טריד ולבבה עם חיותא שוי ועם ערדיא מדורה עשבא כתורין יטעמונה ומטל שמיא גשמה יצטבע עד די ידע די שליט אלהא עליא במלכות אנשא ולמן די יצבה יהקים עליה
