(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(1550, 4, 4);[40, 300, 10, 8];משיח;373;(36, 2, 28, 6, 373);עשרים;5;(36, 2, 28, 23, 1550);אנשי בית אל והעי מאתים עשרים ושלשה
(992, 6, 4);[40, 300, 10, 8];משיח;237;(36, 2, 5, 4, 237);מאות;1;(36, 2, 5, 10, 992);בני ארח שבע מאות חמשה ושבעים
(4419, 17, 4);[40, 300, 10, 8];משיח;1055;(36, 4, 5, 3, 1055);יועצים;6;(36, 4, 5, 17, 4419);וסכרים עליהם יועצים להפר עצתם כל ימי כורש מלך פרס ועד מלכות דריוש מלך פרס
(2304, 19, 4);[40, 300, 10, 8];משיח;568;(36, 2, 57, 9, 568);אמי;2;(36, 2, 57, 33, 2304);בני שפטיה בני חטיל בני פכרת הצביים בני אמי
(2989, 30, 4);[40, 300, 10, 8];משיח;724;(36, 2, 70, 8, 724);והנתינים;8;(36, 2, 70, 47, 2989);וישבו הכהנים והלוים ומן העם והמשררים והשוערים והנתינים בעריהם וכל ישראל בעריהם
(9798, 36, 4);[40, 300, 10, 8];משיח;2375;(36, 7, 21, 4, 2375);מלכא;1;(36, 7, 21, 16, 9798);ומני אנה ארתחשסתא מלכא שים טעם לכל גזבריא די בעבר נהרה די כל די ישאלנכון עזרא כהנה ספר דתא די אלה שמיא אספרנא יתעבד
(1279, 37, 4);[40, 300, 10, 8];משיח;307;(36, 2, 16, 5, 307);ושמנה;3;(36, 2, 16, 21, 1279);בני אטר ליחזקיה תשעים ושמנה
(12307, 42, 4);[40, 300, 10, 8];משיח;2962;(36, 8, 35, 2, 2962);מהשבי;1;(36, 8, 35, 6, 12307);הבאים מהשבי בני הגולה הקריבו עלות לאלהי ישראל פרים שנים עשר על כל ישראל אילים תשעים וששה כבשים שבעים ושבעה צפירי חטאת שנים עשר הכל עולה ליהוה
(14778, 48, 4);[40, 300, 10, 8];משיח;3538;(36, 10, 15, 11, 3538);ומשלם;2;(36, 10, 15, 37, 14778);אך יונתן בן עשהאל ויחזיה בן תקוה עמדו על זאת ומשלם ושבתי הלוי עזרם
(1626, 54, 4);[40, 300, 10, 8];משיח;392;(36, 2, 32, 2, 392);חרם;3;(36, 2, 32, 6, 1626);בני חרם שלש מאות ועשרים
(1065, 61, 4);[40, 300, 10, 8];משיח;255;(36, 2, 7, 5, 255);חמשים;2;(36, 2, 7, 17, 1065);בני עילם אלף מאתים חמשים וארבעה
(1426, 66, 4);[40, 300, 10, 8];משיח;344;(36, 2, 24, 2, 344);עזמות;3;(36, 2, 24, 6, 1426);בני עזמות ארבעים ושנים
(1768, 68, 4);[40, 300, 10, 8];משיח;427;(36, 2, 37, 2, 427);אמר;2;(36, 2, 37, 5, 1768);בני אמר אלף חמשים ושנים
(8868, 74, 4);[40, 300, 10, 8];משיח;2152;(36, 7, 6, 7, 2152);מהיר;1;(36, 7, 6, 22, 8868);הוא עזרא עלה מבבל והוא ספר מהיר בתורת משה אשר נתן יהוה אלהי ישראל ויתן לו המלך כיד יהוה אלהיו עליו כל בקשתו
(176, 75, 4);[40, 300, 10, 8];משיח;49;(36, 1, 3, 3, 49);מכל;1;(36, 1, 3, 6, 176);מי בכם מכל עמו יהי אלהיו עמו ויעל לירושלם אשר ביהודה ויבן את בית יהוה אלהי ישראל הוא האלהים אשר בירושלם
(4594, 75, 4);[40, 300, 10, 8];משיח;1095;(36, 4, 7, 18, 1095);ארמית;3;(36, 4, 7, 82, 4594);ובימי ארתחששתא כתב בשלם מתרדת טבאל ושאר כנותו על ארתחששתא מלך פרס וכתב הנשתון כתוב ארמית ומתרגם ארמית
(8789, 89, 4);[40, 300, 10, 8];משיח;2129;(36, 7, 3, 6, 2129);מריות;1;(36, 7, 3, 17, 8789);בן אמריה בן עזריה בן מריות
(2959, 30, 5);[40, 40, 300, 10, 8];ממשיח;719;(36, 2, 70, 3, 719);והלוים;6;(36, 2, 70, 17, 2959);וישבו הכהנים והלוים ומן העם והמשררים והשוערים והנתינים בעריהם וכל ישראל בעריהם
(9762, 36, 5);[40, 40, 300, 10, 8];ממשיח;2366;(36, 7, 20, 8, 2366);למנתן;2;(36, 7, 20, 25, 9762);ושאר חשחות בית אלהך די יפל לך למנתן תנתן מן בית גנזי מלכא
(14730, 48, 5);[40, 40, 300, 10, 8];ממשיח;3524;(36, 10, 14, 25, 3524);ממנו;2;(36, 10, 14, 103, 14730);יעמדו נא שרינו לכל הקהל וכל אשר בערינו ההשיב נשים נכריות יבא לעתים מזמנים ועמהם זקני עיר ועיר ושפטיה עד להשיב חרון אף אלהינו ממנו עד לדבר הזה
(1550, 4, 6);[40, 300, 10, 8, 40, 10];משיח מי;373;(36, 2, 28, 6, 373);עשרים;5;(36, 2, 28, 23, 1550);אנשי בית אל והעי מאתים עשרים ושלשה
(12265, 42, 5);[5, 40, 300, 10, 8];המשיח;2952;(36, 8, 33, 26, 2952);הלוים;1;(36, 8, 33, 106, 12265);וביום הרביעי נשקל הכסף והזהב והכלים בבית אלהינו על יד מרמות בן אוריה הכהן ועמו אלעזר בן פינחס ועמהם יוזבד בן ישוע ונועדיה בן בנוי הלוים
(2989, 30, 5);[40, 300, 10, 8, 10];משיחי;724;(36, 2, 70, 8, 724);והנתינים;8;(36, 2, 70, 47, 2989);וישבו הכהנים והלוים ומן העם והמשררים והשוערים והנתינים בעריהם וכל ישראל בעריהם
(14778, 48, 5);[40, 300, 10, 8, 10];משיחי;3538;(36, 10, 15, 11, 3538);ומשלם;2;(36, 10, 15, 37, 14778);אך יונתן בן עשהאל ויחזיה בן תקוה עמדו על זאת ומשלם ושבתי הלוי עזרם
(1768, 68, 5);[40, 300, 10, 8, 10];משיחי;427;(36, 2, 37, 2, 427);אמר;2;(36, 2, 37, 5, 1768);בני אמר אלף חמשים ושנים
(2959, 30, 6);[40, 40, 300, 10, 8, 10];ממשיחי;719;(36, 2, 70, 3, 719);והלוים;6;(36, 2, 70, 17, 2959);וישבו הכהנים והלוים ומן העם והמשררים והשוערים והנתינים בעריהם וכל ישראל בעריהם
(14730, 48, 6);[40, 40, 300, 10, 8, 10];ממשיחי;3524;(36, 10, 14, 25, 3524);ממנו;2;(36, 10, 14, 103, 14730);יעמדו נא שרינו לכל הקהל וכל אשר בערינו ההשיב נשים נכריות יבא לעתים מזמנים ועמהם זקני עיר ועיר ושפטיה עד להשיב חרון אף אלהינו ממנו עד לדבר הזה
(4419, 17, 5);[40, 300, 10, 8, 20];משיחך;1055;(36, 4, 5, 3, 1055);יועצים;6;(36, 4, 5, 17, 4419);וסכרים עליהם יועצים להפר עצתם כל ימי כורש מלך פרס ועד מלכות דריוש מלך פרס
(1279, 37, 5);[40, 300, 10, 8, 6];משיחו;307;(36, 2, 16, 5, 307);ושמנה;3;(36, 2, 16, 21, 1279);בני אטר ליחזקיה תשעים ושמנה
(1065, 61, 5);[40, 300, 10, 8, 6];משיחו;255;(36, 2, 7, 5, 255);חמשים;2;(36, 2, 7, 17, 1065);בני עילם אלף מאתים חמשים וארבעה
