(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(29973, 3, 4);[40, 300, 10, 8];משיח;7781;(10, 13, 18, 18, 7781);לחם;3;(10, 13, 18, 65, 29973);ויאמר לו גם אני נביא כמוך ומלאך דבר אלי בדבר יהוה לאמר השבהו אתך אל ביתך ויאכל לחם וישת מים כחש לו
(28701, 4, 4);[40, 300, 10, 8];משיח;7435;(10, 12, 33, 10, 7435);יום;3;(10, 12, 33, 34, 28701);ויעל על המזבח אשר עשה בבית אל בחמשה עשר יום בחדש השמיני בחדש אשר בדא מלבד ויעש חג לבני ישראל ויעל על המזבח להקטיר
(94771, 4, 4);[40, 300, 10, 8];משיח;24486;(11, 23, 31, 2, 24486);עשרים;5;(11, 23, 31, 7, 94771);בן עשרים ושלש שנה יהואחז במלכו ושלשה חדשים מלך בירושלם ושם אמו חמוטל בת ירמיהו מלבנה
(49882, 5, 4);[40, 300, 10, 8];משיח;12955;(10, 22, 39, 22, 12955);למלכי;2;(10, 22, 39, 76, 49882);ויתר דברי אחאב וכל אשר עשה ובית השן אשר בנה וכל הערים אשר בנה הלוא הם כתובים על ספר דברי הימים למלכי ישראל
(68846, 5, 4);[40, 300, 10, 8];משיח;17825;(11, 10, 14, 3, 17825);חיים;4;(11, 10, 14, 14, 68846);ויאמר תפשום חיים ויתפשום חיים וישחטום אל בור בית עקד ארבעים ושנים איש ולא השאיר איש מהם
(74193, 5, 4);[40, 300, 10, 8];משיח;19198;(11, 13, 17, 10, 19198);ויאמר;4;(11, 13, 17, 43, 74193);ויאמר פתח החלון קדמה ויפתח ויאמר אלישע ירה ויור ויאמר חץ תשועה ליהוה וחץ תשועה בארם והכית את ארם באפק עד כלה
(56953, 7, 4);[40, 300, 10, 8];משיח;14780;(11, 4, 28, 7, 14780);אמרתי;2;(11, 4, 28, 25, 56953);ותאמר השאלתי בן מאת אדני הלא אמרתי לא תשלה אתי
(9969, 9, 4);[40, 300, 10, 8];משיח;2638;(10, 5, 22, 6, 2638);שמעתי;2;(10, 5, 22, 21, 9969);וישלח חירם אל שלמה לאמר שמעתי את אשר שלחת אלי אני אעשה את כל חפצך בעצי ארזים ובעצי ברושים
(28584, 9, 4);[40, 300, 10, 8];משיח;7402;(10, 12, 32, 8, 7402);יום;3;(10, 12, 32, 32, 28584);ויעש ירבעם חג בחדש השמיני בחמשה עשר יום לחדש כחג אשר ביהודה ויעל על המזבח כן עשה בבית אל לזבח לעגלים אשר עשה והעמיד בבית אל את כהני הבמות אשר עשה
(84821, 9, 4);[40, 300, 10, 8];משיח;21929;(11, 18, 27, 1, 21929);ויאמר;4;(11, 18, 27, 4, 84821);ויאמר אליהם רב שקה העל אדניך ואליך שלחני אדני לדבר את הדברים האלה הלא על האנשים הישבים על החמה לאכל את חריהם ולשתות את שיניהם עמכם
(87723, 9, 4);[40, 300, 10, 8];משיח;22674;(11, 19, 36, 5, 22674);מלך;1;(11, 19, 36, 19, 87723);ויסע וילך וישב סנחריב מלך אשור וישב בנינוה
(54028, 10, 4);[40, 300, 10, 8];משיח;14011;(11, 3, 7, 7, 14011);לאמר;3;(11, 3, 7, 28, 54028);וילך וישלח אל יהושפט מלך יהודה לאמר מלך מואב פשע בי התלך אתי אל מואב למלחמה ויאמר אעלה כמוני כמוך כעמי כעמך כסוסי כסוסיך
(83610, 10, 4);[40, 300, 10, 8];משיח;21615;(11, 18, 11, 2, 21615);מלך;1;(11, 18, 11, 5, 83610);ויגל מלך אשור את ישראל אשורה וינחם בחלח ובחבור נהר גוזן וערי מדי
(94112, 10, 4);[40, 300, 10, 8];משיח;24319;(11, 23, 23, 2, 24319);אם;2;(11, 23, 23, 4, 94112);כי אם בשמנה עשרה שנה למלך יאשיהו נעשה הפסח הזה ליהוה בירושלם
(32313, 11, 4);[40, 300, 10, 8];משיח;8389;(10, 14, 20, 5, 8389);עשרים;5;(10, 14, 20, 22, 32313);והימים אשר מלך ירבעם עשרים ושתים שנה וישכב עם אבתיו וימלך נדב בנו תחתיו
(24187, 12, 4);[40, 300, 10, 8];משיח;6256;(10, 11, 5, 8, 6256);מלכם;4;(10, 11, 5, 35, 24187);וילך שלמה אחרי עשתרת אלהי צדנים ואחרי מלכם שקץ עמנים
(44190, 12, 4);[40, 300, 10, 8];משיח;11480;(10, 20, 23, 20, 11480);מהם;3;(10, 20, 23, 74, 44190);ועבדי מלך ארם אמרו אליו אלהי הרים אלהיהם על כן חזקו ממנו ואולם נלחם אתם במישור אם לא נחזק מהם
(55798, 12, 4);[40, 300, 10, 8];משיח;14471;(11, 4, 7, 5, 14471);ויאמר;4;(11, 4, 7, 22, 55798);ותבא ותגד לאיש האלהים ויאמר לכי מכרי את השמן ושלמי את נשיכי ואת בניכי תחיי בנותר
