(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(1550, 4, 4);[40, 300, 10, 8];משיח;373;(36, 2, 28, 6, 373);עשרים;5;(36, 2, 28, 23, 1550);אנשי בית אל והעי מאתים עשרים ושלשה
(992, 6, 4);[40, 300, 10, 8];משיח;237;(36, 2, 5, 4, 237);מאות;1;(36, 2, 5, 10, 992);בני ארח שבע מאות חמשה ושבעים
(24620, 6, 4);[40, 300, 10, 8];משיח;5895;(37, 7, 10, 4, 5895);מאות;1;(37, 7, 10, 9, 24620);בני ארח שש מאות חמשים ושנים
(18357, 9, 4);[40, 300, 10, 8];משיח;4401;(37, 3, 5, 10, 4401);אדניהם;6;(37, 3, 5, 49, 18357);ועל ידם החזיקו התקועים ואדיריהם לא הביאו צורם בעבדת אדניהם
(34134, 12, 4);[40, 300, 10, 8];משיח;8144;(37, 12, 5, 1, 8144);מימין;3;(37, 12, 5, 3, 34134);מימין מעדיה בלגה
(4419, 17, 4);[40, 300, 10, 8];משיח;1055;(36, 4, 5, 3, 1055);יועצים;6;(36, 4, 5, 17, 4419);וסכרים עליהם יועצים להפר עצתם כל ימי כורש מלך פרס ועד מלכות דריוש מלך פרס
(2304, 19, 4);[40, 300, 10, 8];משיח;568;(36, 2, 57, 9, 568);אמי;2;(36, 2, 57, 33, 2304);בני שפטיה בני חטיל בני פכרת הצביים בני אמי
(22355, 22, 4);[40, 300, 10, 8];משיח;5348;(37, 5, 14, 11, 5348);עשרים;5;(37, 5, 14, 41, 22355);גם מיום אשר צוה אתי להיות פחם בארץ יהודה משנת עשרים ועד שנת שלשים ושתים לארתחשסתא המלך שנים שתים עשרה אני ואחי לחם הפחה לא אכלתי
(24809, 24, 4);[40, 300, 10, 8];משיח;5942;(37, 7, 17, 5, 5942);מאות;1;(37, 7, 17, 16, 24809);בני עזגד אלפים שלש מאות עשרים ושנים
(34513, 24, 4);[40, 300, 10, 8];משיח;8223;(37, 12, 17, 3, 8223);למנימין;5;(37, 12, 17, 14, 34513);לאביה זכרי למנימין למועדיה פלטי
(35147, 25, 4);[40, 300, 10, 8];משיח;8357;(37, 12, 30, 6, 8357);העם;3;(37, 12, 30, 29, 35147);ויטהרו הכהנים והלוים ויטהרו את העם ואת השערים ואת החומה
(36099, 25, 4);[40, 300, 10, 8];משיח;8561;(37, 12, 45, 10, 8561);שלמה;3;(37, 12, 45, 55, 36099);וישמרו משמרת אלהיהם ומשמרת הטהרה והמשררים והשערים כמצות דויד שלמה בנו
(25153, 28, 4);[40, 300, 10, 8];משיח;6024;(37, 7, 31, 4, 6024);ועשרים;6;(37, 7, 31, 17, 25153);אנשי מכמס מאה ועשרים ושנים
(2989, 30, 4);[40, 300, 10, 8];משיח;724;(36, 2, 70, 8, 724);והנתינים;8;(36, 2, 70, 47, 2989);וישבו הכהנים והלוים ומן העם והמשררים והשוערים והנתינים בעריהם וכל ישראל בעריהם
(31074, 31, 4);[40, 300, 10, 8];משיח;7439;(37, 10, 9, 1, 7439);מעזיה;1;(37, 10, 9, 1, 31074);מעזיה בלגי שמעיה אלה הכהנים
(22572, 32, 4);[40, 300, 10, 8];משיח;5401;(37, 5, 16, 11, 5401);קבוצים;6;(37, 5, 16, 48, 22572);וגם במלאכת החומה הזאת החזקתי ושדה לא קנינו וכל נערי קבוצים שם על המלאכה
(34811, 32, 4);[40, 300, 10, 8];משיח;8287;(37, 12, 24, 18, 8287);משמר;3;(37, 12, 24, 83, 34811);וראשי הלוים חשביה שרביה וישוע בן קדמיאל ואחיהם לנגדם להלל להודות במצות דויד איש האלהים משמר לעמת משמר
(9798, 36, 4);[40, 300, 10, 8];משיח;2375;(36, 7, 21, 4, 2375);מלכא;1;(36, 7, 21, 16, 9798);ומני אנה ארתחשסתא מלכא שים טעם לכל גזבריא די בעבר נהרה די כל די ישאלנכון עזרא כהנה ספר דתא די אלה שמיא אספרנא יתעבד
(1279, 37, 4);[40, 300, 10, 8];משיח;307;(36, 2, 16, 5, 307);ושמנה;3;(36, 2, 16, 21, 1279);בני אטר ליחזקיה תשעים ושמנה
(20290, 40, 4);[40, 300, 10, 8];משיח;4871;(37, 3, 38, 3, 4871);החומה;4;(37, 3, 38, 11, 20290);ונבנה את החומה ותקשר כל החומה עד חציה ויהי לב לעם לעשות
(33330, 41, 4);[40, 300, 10, 8];משיח;7962;(37, 11, 17, 3, 7962);מיכה;1;(37, 11, 17, 9, 33330);ומתניה בן מיכה בן זבדי בן אסף ראש התחלה יהודה לתפלה ובקבקיה משנה מאחיו ועבדא בן שמוע בן גלל בן ידיתון
(12307, 42, 4);[40, 300, 10, 8];משיח;2962;(36, 8, 35, 2, 2962);מהשבי;1;(36, 8, 35, 6, 12307);הבאים מהשבי בני הגולה הקריבו עלות לאלהי ישראל פרים שנים עשר על כל ישראל אילים תשעים וששה כבשים שבעים ושבעה צפירי חטאת שנים עשר הכל עולה ליהוה
(28486, 45, 4);[40, 300, 10, 8];משיח;6826;(37, 9, 5, 23, 6826);ומרומם;6;(37, 9, 5, 104, 28486);ויאמרו הלוים ישוע וקדמיאל בני חשבניה שרביה הודיה שבניה פתחיה קומו ברכו את יהוה אלהיכם מן העולם עד העולם ויברכו שם כבודך ומרומם על כל ברכה ותהלה
(25511, 47, 4);[40, 300, 10, 8];משיח;6110;(37, 7, 45, 1, 6110);השערים;6;(37, 7, 45, 6, 25511);השערים בני שלום בני אטר בני טלמן בני עקוב בני חטיטא בני שבי מאה שלשים ושמנה
(28290, 47, 4);[40, 300, 10, 8];משיח;6783;(37, 9, 3, 13, 6783);ומשתחוים;2;(37, 9, 3, 59, 28290);ויקומו על עמדם ויקראו בספר תורת יהוה אלהיהם רבעית היום ורבעית מתודים ומשתחוים ליהוה אלהיהם
(34784, 47, 4);[40, 300, 10, 8];משיח;8281;(37, 12, 24, 12, 8281);במצות;2;(37, 12, 24, 56, 34784);וראשי הלוים חשביה שרביה וישוע בן קדמיאל ואחיהם לנגדם להלל להודות במצות דויד איש האלהים משמר לעמת משמר
(37655, 47, 4);[40, 300, 10, 8];משיח;8927;(37, 13, 22, 1, 8927);ואמרה;3;(37, 13, 22, 3, 37655);ואמרה ללוים אשר יהיו מטהרים ובאים שמרים השערים לקדש את יום השבת גם זאת זכרה לי אלהי וחוסה עלי כרב חסדך
(14778, 48, 4);[40, 300, 10, 8];משיח;3538;(36, 10, 15, 11, 3538);ומשלם;2;(36, 10, 15, 37, 14778);אך יונתן בן עשהאל ויחזיה בן תקוה עמדו על זאת ומשלם ושבתי הלוי עזרם
(30267, 50, 4);[40, 300, 10, 8];משיח;7255;(37, 9, 29, 13, 7255);בם;2;(37, 9, 29, 57, 30267);ותעד בהם להשיבם אל תורתך והמה הזידו ולא שמעו למצותיך ובמשפטיך חטאו בם אשר יעשה אדם וחיה בהם ויתנו כתף סוררת וערפם הקשו ולא שמעו
(20279, 53, 4);[40, 300, 10, 8];משיח;4868;(37, 3, 37, 12, 4868);הבונים;6;(37, 3, 37, 48, 20279);ואל תכס על עונם וחטאתם מלפניך אל תמחה כי הכעיסו לנגד הבונים
(1626, 54, 4);[40, 300, 10, 8];משיח;392;(36, 2, 32, 2, 392);חרם;3;(36, 2, 32, 6, 1626);בני חרם שלש מאות ועשרים
(30541, 56, 4);[40, 300, 10, 8];משיח;7319;(37, 9, 32, 25, 7319);מימי;3;(37, 9, 32, 119, 30541);ועתה אלהינו האל הגדול הגבור והנורא שומר הברית והחסד אל ימעט לפניך את כל התלאה אשר מצאתנו למלכינו לשרינו ולכהנינו ולנביאנו ולאבתינו ולכל עמך מימי מלכי אשור עד היום הזה
