(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(25251, 1, 4);[40, 300, 10, 8];משיח;6100;(38, 16, 22, 3, 6100);במשיחי;2;(38, 16, 22, 8, 25251);אל תגעו במשיחי ובנביאי אל תרעו
(53203, 1, 4);[40, 300, 10, 8];משיח;12888;(39, 6, 42, 6, 12888);משיחיך;1;(39, 6, 42, 18, 53203);יהוה אלהים אל תשב פני משיחיך זכרה לחסדי דויד עבדך
(38900, 3, 4);[40, 300, 10, 8];משיח;9419;(38, 26, 29, 8, 9419);לשטרים;6;(38, 26, 29, 43, 38900);ליצהרי כנניהו ובניו למלאכה החיצונה על ישראל לשטרים ולשפטים
(47861, 3, 4);[40, 300, 10, 8];משיח;11556;(39, 3, 15, 6, 11556);אמות;2;(39, 3, 15, 24, 47861);ויעש לפני הבית עמודים שנים אמות שלשים וחמש ארך והצפת אשר על ראשו אמות חמש
(30270, 4, 4);[40, 300, 10, 8];משיח;7365;(38, 20, 3, 21, 7365);העם;3;(38, 20, 3, 82, 30270);ואת העם אשר בה הוציא וישר במגרה ובחריצי הברזל ובמגרות וכן יעשה דויד לכל ערי בני עמון וישב דויד וכל העם ירושלם
(53194, 4, 4);[40, 300, 10, 8];משיח;12884;(39, 6, 42, 2, 12884);אלהים;5;(39, 6, 42, 9, 53194);יהוה אלהים אל תשב פני משיחיך זכרה לחסדי דויד עבדך
(55669, 4, 4);[40, 300, 10, 8];משיח;13507;(39, 8, 14, 19, 13507);ביומו;4;(39, 8, 14, 83, 55669);ויעמד כמשפט דויד אביו את מחלקות הכהנים על עבדתם והלוים על משמרותם להלל ולשרת נגד הכהנים לדבר יום ביומו והשוערים במחלקותם לשער ושער כי כן מצות דויד איש האלהים
(83816, 5, 4);[40, 300, 10, 8];משיח;20408;(39, 28, 27, 12, 20408);מלכי;1;(39, 28, 27, 49, 83816);וישכב אחז עם אבתיו ויקברהו בעיר בירושלם כי לא הביאהו לקברי מלכי ישראל וימלך יחזקיהו בנו תחתיו
(53159, 7, 4);[40, 300, 10, 8];משיח;12877;(39, 6, 41, 11, 12877);אלהים;5;(39, 6, 41, 47, 53159);ועתה קומה יהוה אלהים לנוחך אתה וארון עזך כהניך יהוה אלהים ילבשו תשועה וחסידיך ישמחו בטוב
(4888, 9, 4);[40, 300, 10, 8];משיח;1214;(38, 4, 6, 9, 1214);תימני;3;(38, 4, 6, 28, 4888);ותלד לו נערה את אחזם ואת חפר ואת תימני ואת האחשתרי אלה בני נערה
(60205, 9, 4);[40, 300, 10, 8];משיח;14636;(39, 11, 21, 19, 14636);ושמונה;3;(39, 11, 21, 82, 60205);ויאהב רחבעם את מעכה בת אבשלום מכל נשיו ופילגשיו כי נשים שמונה עשרה נשא ופילגשים ששים ויולד עשרים ושמונה בנים וששים בנות
(30186, 10, 4);[40, 300, 10, 8];משיח;7344;(38, 20, 2, 23, 7344);מאד;1;(38, 20, 2, 82, 30186);ויקח דויד את עטרת מלכם מעל ראשו וימצאה משקל ככר זהב ובה אבן יקרה ותהי על ראש דויד ושלל העיר הוציא הרבה מאד
(46379, 10, 4);[40, 300, 10, 8];משיח;11199;(39, 2, 9, 17, 11199);בתים;4;(39, 2, 9, 76, 46379);והנה לחטבים לכרתי העצים נתתי חטים מכות לעבדיך כרים עשרים אלף ושערים כרים עשרים אלף ויין בתים עשרים אלף ושמן בתים עשרים אלף
