(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(32987, 2, 4);[40, 300, 10, 8];משיח;8511;(13, 23, 27, 4, 8511);עמי;2;(13, 23, 27, 16, 32987);החשבים להשכיח את עמי שמי בחלומתם אשר יספרו איש לרעהו כאשר שכחו אבותם את שמי בבעל
(52674, 5, 4);[40, 300, 10, 8];משיח;13579;(13, 34, 13, 18, 13579);לאמר;3;(13, 34, 13, 73, 52674);כה אמר יהוה אלהי ישראל אנכי כרתי ברית את אבותיכם ביום הוצאי אותם מארץ מצרים מבית עבדים לאמר
(76085, 7, 4);[40, 300, 10, 8];משיח;19570;(13, 49, 32, 5, 19570);מקניהם;1;(13, 49, 32, 19, 76085);והיו גמליהם לבז והמון מקניהם לשלל וזרתים לכל רוח קצוצי פאה ומכל עבריו אביא את אידם נאם יהוה
(78919, 8, 4);[40, 300, 10, 8];משיח;20310;(13, 50, 43, 2, 20310);מלך;1;(13, 50, 43, 4, 78919);שמע מלך בבל את שמעם ורפו ידיו צרה החזיקתהו חיל כיולדה
(80651, 10, 4);[40, 300, 10, 8];משיח;20762;(13, 51, 28, 15, 20762);ממשלתו;1;(13, 51, 28, 48, 80651);קדשו עליה גוים את מלכי מדי את פחותיה ואת כל סגניה ואת כל ארץ ממשלתו
(59439, 11, 4);[40, 300, 10, 8];משיח;15309;(13, 38, 12, 1, 15309);ויאמר;4;(13, 38, 12, 4, 59439);ויאמר עבד מלך הכושי אל ירמיהו שים נא בלואי הסחבות והמלחים תחת אצלות ידיך מתחת לחבלים ויעש ירמיהו כן
(23101, 23, 4);[40, 300, 10, 8];משיח;5957;(13, 16, 13, 14, 5957);שם;2;(13, 16, 13, 56, 23101);והטלתי אתכם מעל הארץ הזאת על הארץ אשר לא ידעתם אתם ואבותיכם ועבדתם שם את אלהים אחרים יומם ולילה אשר לא אתן לכם חנינה
(26280, 25, 4);[40, 300, 10, 8];משיח;6761;(13, 18, 21, 4, 6761);בניהם;5;(13, 18, 21, 12, 26280);לכן תן את בניהם לרעב והגרם על ידי חרב ותהינה נשיהם שכלות ואלמנות ואנשיהם יהיו הרגי מות בחוריהם מכי חרב במלחמה
(73427, 25, 4);[40, 300, 10, 8];משיח;18880;(13, 48, 32, 1, 18880);מבכי;1;(13, 48, 32, 1, 73427);מבכי יעזר אבכה לך הגפן שבמה נטישתיך עברו ים עד ים יעזר נגעו על קיצך ועל בצירך שדד נפל
(21868, 26, 4);[40, 300, 10, 8];משיח;5641;(13, 15, 16, 1, 5641);נמצאו;2;(13, 15, 16, 2, 21868);נמצאו דבריך ואכלם ויהי דבריך לי לששון ולשמחת לבבי כי נקרא שמך עלי יהוה אלהי צבאות
(28697, 26, 4);[40, 300, 10, 8];משיח;7386;(13, 20, 18, 3, 7386);מרחם;4;(13, 20, 18, 9, 28697);למה זה מרחם יצאתי לראות עמל ויגון ויכלו בבשת ימי
(67178, 28, 4);[40, 300, 10, 8];משיח;17292;(13, 43, 13, 8, 17292);מצרים;5;(13, 43, 13, 29, 67178);ושבר את מצבות בית שמש אשר בארץ מצרים ואת בתי אלהי מצרים ישרף באש
(50525, 30, 4);[40, 300, 10, 8];משיח;13019;(13, 33, 8, 9, 13019);עונותיהם;8;(13, 33, 8, 41, 50525);וטהרתים מכל עונם אשר חטאו לי וסלחתי לכול עונותיהם אשר חטאו לי ואשר פשעו בי
(36838, 33, 4);[40, 300, 10, 8];משיח;9510;(13, 25, 38, 6, 9510);ארצם;4;(13, 25, 38, 21, 36838);עזב ככפיר סכו כי היתה ארצם לשמה מפני חרון היונה ומפני חרון אפו
(62082, 33, 4);[40, 300, 10, 8];משיח;15982;(13, 40, 3, 13, 15982);לכם;3;(13, 40, 3, 51, 62082);ויבא ויעש יהוה כאשר דבר כי חטאתם ליהוה ולא שמעתם בקולו והיה לכם דבר הזה
(65885, 36, 4);[40, 300, 10, 8];משיח;16964;(13, 42, 17, 25, 16964);מביא;1;(13, 42, 17, 93, 65885);ויהיו כל האנשים אשר שמו את פניהם לבוא מצרים לגור שם ימותו בחרב ברעב ובדבר ולא יהיה להם שריד ופליט מפני הרעה אשר אני מביא עליהם
(68268, 37, 4);[40, 300, 10, 8];משיח;17559;(13, 44, 14, 11, 17559);מצרים;1;(13, 44, 14, 43, 68268);ולא יהיה פליט ושריד לשארית יהודה הבאים לגור שם בארץ מצרים ולשוב ארץ יהודה אשר המה מנשאים את נפשם לשוב לשבת שם כי לא ישובו כי אם פלטים
(59317, 38, 4);[40, 300, 10, 8];משיח;15279;(13, 38, 10, 15, 15279);ירמיהו;3;(13, 38, 10, 56, 59317);ויצוה המלך את עבד מלך הכושי לאמר קח בידך מזה שלשים אנשים והעלית את ירמיהו הנביא מן הבור בטרם ימות
(45833, 39, 4);[40, 300, 10, 8];משיח;11813;(13, 31, 19, 4, 11813);נחמתי;3;(13, 31, 19, 13, 45833);כי אחרי שובי נחמתי ואחרי הודעי ספקתי על ירך בשתי וגם נכלמתי כי נשאתי חרפת נעורי
(50498, 39, 4);[40, 300, 10, 8];משיח;13013;(13, 33, 8, 3, 13013);עונם;4;(13, 33, 8, 14, 50498);וטהרתים מכל עונם אשר חטאו לי וסלחתי לכול עונותיהם אשר חטאו לי ואשר פשעו בי
(72629, 39, 4);[40, 300, 10, 8];משיח;18670;(13, 48, 12, 9, 18670);צעים;4;(13, 48, 12, 33, 72629);לכן הנה ימים באים נאם יהוה ושלחתי לו צעים וצעהו וכליו יריקו ונבליהם ינפצו
(59409, 41, 4);[40, 300, 10, 8];משיח;15302;(13, 38, 11, 18, 15302);מלחים;5;(13, 38, 11, 70, 59409);ויקח עבד מלך את האנשים בידו ויבא בית המלך אל תחת האוצר ויקח משם בלוי הסחבות ובלוי מלחים וישלחם אל ירמיהו אל הבור בחבלים
(78377, 41, 4);[40, 300, 10, 8];משיח;20165;(13, 50, 33, 2, 20165);אמר;2;(13, 50, 33, 4, 78377);כה אמר יהוה צבאות עשוקים בני ישראל ובני יהודה יחדו וכל שביהם החזיקו בם מאנו שלחם
(57510, 43, 4);[40, 300, 10, 8];משיח;14815;(13, 37, 5, 4, 14815);ממצרים;6;(13, 37, 5, 17, 57510);וחיל פרעה יצא ממצרים וישמעו הכשדים הצרים על ירושלם את שמעם ויעלו מעל ירושלם
(31733, 44, 4);[40, 300, 10, 8];משיח;8189;(13, 23, 5, 14, 8189);משפט;1;(13, 23, 5, 53, 31733);הנה ימים באים נאם יהוה והקמתי לדוד צמח צדיק ומלך מלך והשכיל ועשה משפט וצדקה בארץ
(59527, 45, 4);[40, 300, 10, 8];משיח;15330;(13, 38, 13, 3, 15330);ירמיהו;3;(13, 38, 13, 11, 59527);וימשכו את ירמיהו בחבלים ויעלו אתו מן הבור וישב ירמיהו בחצר המטרה
(76506, 46, 4);[40, 300, 10, 8];משיח;19677;(13, 49, 38, 8, 19677);נאם;3;(13, 49, 38, 35, 76506);ושמתי כסאי בעילם והאבדתי משם מלך ושרים נאם יהוה
