(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(4755, 49, 4);[40, 300, 10, 8];משיח;1200;(17, 6, 2, 18, 1200);מגבלכם;6;(17, 6, 2, 71, 4755);עברו כלנה וראו ולכו משם חמת רבה ורדו גת פלשתים הטובים מן הממלכות האלה אם רב גבולם מגבלכם
(2262, 74, 4);[40, 300, 10, 8];משיח;568;(17, 3, 11, 10, 568);ממך;1;(17, 3, 11, 34, 2262);לכן כה אמר אדני יהוה צר וסביב הארץ והוריד ממך עזך ונבזו ארמנותיך
(4818, 77, 4);[40, 300, 10, 8];משיח;1216;(17, 6, 4, 10, 1216);מצאן;1;(17, 6, 4, 39, 4818);השכבים על מטות שן וסרחים על ערשותם ואכלים כרים מצאן ועגלים מתוך מרבק
(2920, 79, 4);[40, 300, 10, 8];משיח;725;(17, 4, 7, 9, 725);חדשים;5;(17, 4, 7, 34, 2920);וגם אנכי מנעתי מכם את הגשם בעוד שלשה חדשים לקציר והמטרתי על עיר אחת ועל עיר אחת לא אמטיר חלקה אחת תמטר וחלקה אשר לא תמטיר עליה תיבש
(6973, 84, 4);[40, 300, 10, 8];משיח;1779;(17, 8, 14, 3, 1779);שמרון;2;(17, 8, 14, 14, 6973);הנשבעים באשמת שמרון ואמרו חי אלהיך דן וחי דרך באר שבע ונפלו ולא יקומו עוד
(4378, 89, 4);[40, 300, 10, 8];משיח;1110;(17, 5, 21, 3, 1110);חגיכם;5;(17, 5, 21, 15, 4378);שנאתי מאסתי חגיכם ולא אריח בעצרתיכם
(1285, 97, 4);[40, 300, 10, 8];משיח;320;(17, 2, 8, 2, 320);בגדים;5;(17, 2, 8, 8, 1285);ועל בגדים חבלים יטו אצל כל מזבח ויין ענושים ישתו בית אלהיהם
(4818, 77, 5);[40, 300, 10, 8, 10];משיחי;1216;(17, 6, 4, 10, 1216);מצאן;1;(17, 6, 4, 39, 4818);השכבים על מטות שן וסרחים על ערשותם ואכלים כרים מצאן ועגלים מתוך מרבק
(4378, 89, 5);[40, 300, 10, 8, 20];משיחך;1110;(17, 5, 21, 3, 1110);חגיכם;5;(17, 5, 21, 15, 4378);שנאתי מאסתי חגיכם ולא אריח בעצרתיכם
(1285, 97, 5);[40, 300, 10, 8, 6];משיחו;320;(17, 2, 8, 2, 320);בגדים;5;(17, 2, 8, 8, 1285);ועל בגדים חבלים יטו אצל כל מזבח ויין ענושים ישתו בית אלהיהם
