(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(1806, 4, 4);[40, 300, 10, 8];משיח;459;(20, 3, 5, 17, 459);פיהם;4;(20, 3, 5, 65, 1806);כה אמר יהוה על הנביאים המתעים את עמי הנשכים בשניהם וקראו שלום ואשר לא יתן על פיהם וקדשו עליו מלחמה
(2167, 16, 4);[40, 300, 10, 8];משיח;544;(20, 3, 12, 2, 544);בגללכם;6;(20, 3, 12, 9, 2167);לכן בגללכם ציון שדה תחרש וירושלם עיין תהיה והר הבית לבמות יער
(863, 29, 4);[40, 300, 10, 8];משיח;219;(20, 2, 1, 7, 219);משכבותם;7;(20, 2, 1, 26, 863);הוי חשבי און ופעלי רע על משכבותם באור הבקר יעשוה כי יש לאל ידם
(2897, 38, 4);[40, 300, 10, 8];משיח;724;(20, 4, 11, 5, 724);רבים;4;(20, 4, 11, 21, 2897);ועתה נאספו עליך גוים רבים האמרים תחנף ותחז בציון עינינו
(978, 41, 4);[40, 300, 10, 8];משיח;250;(20, 2, 3, 14, 250);משם;1;(20, 2, 3, 45, 978);לכן כה אמר יהוה הנני חשב על המשפחה הזאת רעה אשר לא תמישו משם צוארתיכם ולא תלכו רומה כי עת רעה היא
(1226, 43, 4);[40, 300, 10, 8];משיח;316;(20, 2, 8, 5, 316);ממול;2;(20, 2, 8, 21, 1226);ואתמול עמי לאויב יקומם ממול שלמה אדר תפשטון מעברים בטח שובי מלחמה
(657, 47, 4);[40, 300, 10, 8];משיח;166;(20, 1, 13, 2, 166);המרכבה;2;(20, 1, 13, 5, 657);רתם המרכבה לרכש יושבת לכיש ראשית חטאת היא לבת ציון כי בך נמצאו פשעי ישראל
(4293, 52, 4);[40, 300, 10, 8];משיח;1074;(20, 6, 9, 10, 1074);ומי;2;(20, 6, 9, 37, 4293);קול יהוה לעיר יקרא ותושיה יראה שמך שמעו מטה ומי יעדה
(4203, 82, 4);[40, 300, 10, 8];משיח;1049;(20, 6, 8, 4, 1049);מה;1;(20, 6, 8, 10, 4203);הגיד לך אדם מה טוב ומה יהוה דורש ממך כי אם עשות משפט ואהבת חסד והצנע לכת עם אלהיך
(3969, 90, 4);[40, 300, 10, 8];משיח;989;(20, 6, 4, 4, 989);מצרים;1;(20, 6, 4, 13, 3969);כי העלתיך מארץ מצרים ומבית עבדים פדיתיך ואשלח לפניך את משה אהרן ומרים
(1802, 4, 5);[30, 40, 300, 10, 8];למשיח;458;(20, 3, 5, 16, 458);על;2;(20, 3, 5, 61, 1802);כה אמר יהוה על הנביאים המתעים את עמי הנשכים בשניהם וקראו שלום ואשר לא יתן על פיהם וקדשו עליו מלחמה
(2859, 38, 5);[40, 40, 300, 10, 8];ממשיח;715;(20, 4, 10, 17, 715);שם;2;(20, 4, 10, 61, 2859);חולי וגחי בת ציון כיולדה כי עתה תצאי מקריה ושכנת בשדה ובאת עד בבל שם תנצלי שם יגאלך יהוה מכף איביך
(1183, 43, 5);[5, 40, 300, 10, 8];המשיח;306;(20, 2, 7, 10, 306);הלוא;1;(20, 2, 7, 35, 1183);האמור בית יעקב הקצר רוח יהוה אם אלה מעלליו הלוא דברי ייטיבו עם הישר הלך
(2167, 16, 5);[40, 300, 10, 8, 10];משיחי;544;(20, 3, 12, 2, 544);בגללכם;6;(20, 3, 12, 9, 2167);לכן בגללכם ציון שדה תחרש וירושלם עיין תהיה והר הבית לבמות יער
(1226, 43, 5);[40, 300, 10, 8, 10];משיחי;316;(20, 2, 8, 5, 316);ממול;2;(20, 2, 8, 21, 1226);ואתמול עמי לאויב יקומם ממול שלמה אדר תפשטון מעברים בטח שובי מלחמה
(4203, 82, 5);[40, 300, 10, 8, 10];משיחי;1049;(20, 6, 8, 4, 1049);מה;1;(20, 6, 8, 10, 4203);הגיד לך אדם מה טוב ומה יהוה דורש ממך כי אם עשות משפט ואהבת חסד והצנע לכת עם אלהיך
(1806, 4, 5);[40, 300, 10, 8, 20];משיחך;459;(20, 3, 5, 17, 459);פיהם;4;(20, 3, 5, 65, 1806);כה אמר יהוה על הנביאים המתעים את עמי הנשכים בשניהם וקראו שלום ואשר לא יתן על פיהם וקדשו עליו מלחמה
(1802, 4, 6);[30, 40, 300, 10, 8, 20];למשיחך;458;(20, 3, 5, 16, 458);על;2;(20, 3, 5, 61, 1802);כה אמר יהוה על הנביאים המתעים את עמי הנשכים בשניהם וקראו שלום ואשר לא יתן על פיהם וקדשו עליו מלחמה
