(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(5236, 1, 4);[40, 300, 10, 8];משיח;1362;(32, 4, 20, 3, 1362);משיח;1;(32, 4, 20, 9, 5236);רוח אפינו משיח יהוה נלכד בשחיתותם אשר אמרנו בצלו נחיה בגוים
(4196, 5, 4);[40, 300, 10, 8];משיח;1100;(32, 3, 60, 3, 1100);נקמתם;5;(32, 3, 60, 12, 4196);ראיתה כל נקמתם כל מחשבתם לי
(3483, 26, 4);[40, 300, 10, 8];משיח;910;(32, 3, 28, 3, 910);וידם;4;(32, 3, 28, 10, 3483);ישב בדד וידם כי נטל עליו
(1058, 32, 4);[40, 300, 10, 8];משיח;280;(32, 1, 17, 5, 280);מנחם;4;(32, 1, 17, 20, 1058);פרשה ציון בידיה אין מנחם לה צוה יהוה ליעקב סביביו צריו היתה ירושלם לנדה ביניהם
(3442, 33, 4);[40, 300, 10, 8];משיח;899;(32, 3, 26, 3, 899);ודומם;5;(32, 3, 26, 13, 3442);טוב ויחיל ודומם לתשועת יהוה
(4745, 51, 4);[40, 300, 10, 8];משיח;1240;(32, 4, 9, 9, 1240);מדקרים;1;(32, 4, 9, 31, 4745);טובים היו חללי חרב מחללי רעב שהם יזבו מדקרים מתנובת שדי
(996, 94, 4);[40, 300, 10, 8];משיח;263;(32, 1, 16, 8, 263);מים;3;(32, 1, 16, 28, 996);על אלה אני בוכיה עיני עיני ירדה מים כי רחק ממני מנחם משיב נפשי היו בני שוממים כי גבר אויב
(4191, 5, 5);[30, 40, 300, 10, 8];למשיח;1099;(32, 3, 60, 2, 1099);כל;2;(32, 3, 60, 7, 4191);ראיתה כל נקמתם כל מחשבתם לי
(1026, 32, 5);[40, 40, 300, 10, 8];ממשיח;272;(32, 1, 16, 17, 272);שוממים;3;(32, 1, 16, 58, 1026);על אלה אני בוכיה עיני עיני ירדה מים כי רחק ממני מנחם משיב נפשי היו בני שוממים כי גבר אויב
(5236, 1, 5);[40, 300, 10, 8, 10];משיחי;1362;(32, 4, 20, 3, 1362);משיח;1;(32, 4, 20, 9, 5236);רוח אפינו משיח יהוה נלכד בשחיתותם אשר אמרנו בצלו נחיה בגוים
(4196, 5, 5);[40, 300, 10, 8, 10];משיחי;1100;(32, 3, 60, 3, 1100);נקמתם;5;(32, 3, 60, 12, 4196);ראיתה כל נקמתם כל מחשבתם לי
(4191, 5, 6);[30, 40, 300, 10, 8, 10];למשיחי;1099;(32, 3, 60, 2, 1099);כל;2;(32, 3, 60, 7, 4191);ראיתה כל נקמתם כל מחשבתם לי
(4745, 51, 5);[40, 300, 10, 8, 6];משיחו;1240;(32, 4, 9, 9, 1240);מדקרים;1;(32, 4, 9, 31, 4745);טובים היו חללי חרב מחללי רעב שהם יזבו מדקרים מתנובת שדי
(996, 94, 5);[40, 300, 10, 8, 6];משיחו;263;(32, 1, 16, 8, 263);מים;3;(32, 1, 16, 28, 996);על אלה אני בוכיה עיני עיני ירדה מים כי רחק ממני מנחם משיב נפשי היו בני שוממים כי גבר אויב
(1058, 32, 5);[40, 300, 10, 8, 5];משיחה;280;(32, 1, 17, 5, 280);מנחם;4;(32, 1, 17, 20, 1058);פרשה ציון בידיה אין מנחם לה צוה יהוה ליעקב סביביו צריו היתה ירושלם לנדה ביניהם
(1026, 32, 6);[40, 40, 300, 10, 8, 5];ממשיחה;272;(32, 1, 16, 17, 272);שוממים;3;(32, 1, 16, 58, 1026);על אלה אני בוכיה עיני עיני ירדה מים כי רחק ממני מנחם משיב נפשי היו בני שוממים כי גבר אויב
