(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(114, 8, 4);[40, 300, 10, 8];משיח;27;(34, 1, 3, 3, 27);למלכו;2;(34, 1, 3, 10, 114);בשנת שלוש למלכו עשה משתה לכל שריו ועבדיו חיל פרס ומדי הפרתמים ושרי המדינות לפניו
(6844, 15, 4);[40, 300, 10, 8];משיח;1750;(34, 6, 6, 5, 1750);המלך;2;(34, 6, 6, 17, 6844);ויבוא המן ויאמר לו המלך מה לעשות באיש אשר המלך חפץ ביקרו ויאמר המן בלבו למי יחפץ המלך לעשות יקר יותר ממני
(9444, 20, 4);[40, 300, 10, 8];משיח;2398;(34, 8, 14, 7, 2398);ודחופים;7;(34, 8, 14, 39, 9444);הרצים רכבי הרכש האחשתרנים יצאו מבהלים ודחופים בדבר המלך והדת נתנה בשושן הבירה
(11527, 21, 4);[40, 300, 10, 8];משיח;2908;(34, 9, 27, 17, 2908);הימים;3;(34, 9, 27, 68, 11527);קימו וקבל היהודים עליהם ועל זרעם ועל כל הנלוים עליהם ולא יעבור להיות עשים את שני הימים האלה ככתבם וכזמנם בכל שנה ושנה
(4079, 56, 4);[40, 300, 10, 8];משיח;1034;(34, 3, 12, 23, 1034);ומדינה;2;(34, 3, 12, 89, 4079);ויקראו ספרי המלך בחדש הראשון בשלושה עשר יום בו ויכתב ככל אשר צוה המן אל אחשדרפני המלך ואל הפחות אשר על מדינה ומדינה ואל שרי עם ועם מדינה ומדינה ככתבה ועם ועם כלשונו בשם המלך אחשורש נכתב ונחתם בטבעת המלך
(11766, 56, 4);[40, 300, 10, 8];משיח;2964;(34, 9, 30, 10, 2964);מדינה;1;(34, 9, 30, 37, 11766);וישלח ספרים אל כל היהודים אל שבע ועשרים ומאה מדינה מלכות אחשורוש דברי שלום ואמת
(11486, 66, 4);[40, 300, 10, 8];משיח;2897;(34, 9, 27, 6, 2897);זרעם;4;(34, 9, 27, 27, 11486);קימו וקבל היהודים עליהם ועל זרעם ועל כל הנלוים עליהם ולא יעבור להיות עשים את שני הימים האלה ככתבם וכזמנם בכל שנה ושנה
(11320, 90, 4);[40, 300, 10, 8];משיח;2850;(34, 9, 25, 3, 2850);המלך;2;(34, 9, 25, 11, 11320);ובבאה לפני המלך אמר עם הספר ישוב מחשבתו הרעה אשר חשב על היהודים על ראשו ותלו אתו ואת בניו על העץ
(5777, 91, 4);[40, 300, 10, 8];משיח;1462;(34, 5, 4, 3, 1462);אם;2;(34, 5, 4, 11, 5777);ותאמר אסתר אם על המלך טוב יבוא המלך והמן היום אל המשתה אשר עשיתי לו
(6844, 15, 5);[40, 300, 10, 8, 10];משיחי;1750;(34, 6, 6, 5, 1750);המלך;2;(34, 6, 6, 17, 6844);ויבוא המן ויאמר לו המלך מה לעשות באיש אשר המלך חפץ ביקרו ויאמר המן בלבו למי יחפץ המלך לעשות יקר יותר ממני
(9444, 20, 5);[40, 300, 10, 8, 10];משיחי;2398;(34, 8, 14, 7, 2398);ודחופים;7;(34, 8, 14, 39, 9444);הרצים רכבי הרכש האחשתרנים יצאו מבהלים ודחופים בדבר המלך והדת נתנה בשושן הבירה
(11527, 21, 5);[40, 300, 10, 8, 10];משיחי;2908;(34, 9, 27, 17, 2908);הימים;3;(34, 9, 27, 68, 11527);קימו וקבל היהודים עליהם ועל זרעם ועל כל הנלוים עליהם ולא יעבור להיות עשים את שני הימים האלה ככתבם וכזמנם בכל שנה ושנה
