(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(1550, 4, 4);[40, 300, 10, 8];משיח;373;(36, 2, 28, 6, 373);עשרים;5;(36, 2, 28, 23, 1550);אנשי בית אל והעי מאתים עשרים ושלשה
(992, 6, 4);[40, 300, 10, 8];משיח;237;(36, 2, 5, 4, 237);מאות;1;(36, 2, 5, 10, 992);בני ארח שבע מאות חמשה ושבעים
(4418, 17, 4);[40, 300, 10, 8];משיח;1056;(36, 4, 5, 3, 1056);יועצים;6;(36, 4, 5, 17, 4418);וסכרים עליהם יועצים להפר עצתם כל ימי כורש מלך פרס ועד מלכות דריוש מלך פרס
(2303, 19, 4);[40, 300, 10, 8];משיח;568;(36, 2, 57, 9, 568);אמי;2;(36, 2, 57, 33, 2303);בני שפטיה בני חטיל בני פכרת הצביים בני אמי
(2988, 30, 4);[40, 300, 10, 8];משיח;724;(36, 2, 70, 8, 724);והנתינים;8;(36, 2, 70, 47, 2988);וישבו הכהנים והלוים ומן העם והמשררים והשוערים והנתינים בעריהם וכל ישראל בעריהם
(1279, 37, 4);[40, 300, 10, 8];משיח;307;(36, 2, 16, 5, 307);ושמנה;3;(36, 2, 16, 21, 1279);בני אטר ליחזקיה תשעים ושמנה
(1860, 37, 4);[40, 300, 10, 8];משיח;448;(36, 2, 40, 7, 448);שבעים;5;(36, 2, 40, 34, 1860);הלוים בני ישוע וקדמיאל לבני הודויה שבעים וארבעה
(12305, 42, 4);[40, 300, 10, 8];משיח;2963;(36, 8, 35, 2, 2963);מהשבי;1;(36, 8, 35, 6, 12305);הבאים מהשבי בני הגולה הקריבו עלות לאלהי ישראל פרים שנים עשר על כל ישראל אילים תשעים וששה כבשים שבעים ושבעה צפירי חטאת שנים עשר הכל עולה ליהוה
(14775, 48, 4);[40, 300, 10, 8];משיח;3539;(36, 10, 15, 11, 3539);ומשלם;2;(36, 10, 15, 37, 14775);אך יונתן בן עשהאל ויחזיה בן תקוה עמדו על זאת ומשלם ושבתי הלוי עזרם
(1626, 54, 4);[40, 300, 10, 8];משיח;392;(36, 2, 32, 2, 392);חרם;3;(36, 2, 32, 6, 1626);בני חרם שלש מאות ועשרים
(1065, 61, 4);[40, 300, 10, 8];משיח;255;(36, 2, 7, 5, 255);חמשים;2;(36, 2, 7, 17, 1065);בני עילם אלף מאתים חמשים וארבעה
(1426, 66, 4);[40, 300, 10, 8];משיח;344;(36, 2, 24, 2, 344);עזמות;3;(36, 2, 24, 6, 1426);בני עזמות ארבעים ושנים
(8867, 74, 4);[40, 300, 10, 8];משיח;2153;(36, 7, 6, 7, 2153);מהיר;1;(36, 7, 6, 22, 8867);הוא עזרא עלה מבבל והוא ספר מהיר בתורת משה אשר נתן יהוה אלהי ישראל ויתן לו המלך כיד יהוה אלהיו עליו כל בקשתו
(176, 75, 4);[40, 300, 10, 8];משיח;49;(36, 1, 3, 3, 49);מכל;1;(36, 1, 3, 6, 176);מי בכם מכל עמו יהי אלהיו עמו ויעל לירושלם אשר ביהודה ויבן את בית יהוה אלהי ישראל הוא האלהים אשר בירושלם
(4593, 75, 4);[40, 300, 10, 8];משיח;1096;(36, 4, 7, 18, 1096);ארמית;3;(36, 4, 7, 82, 4593);ובימי ארתחששתא כתב בשלם מתרדת טבאל ושאר כנותו על ארתחששתא מלך פרס וכתב הנשתון כתוב ארמית ומתרגם ארמית
(1665, 89, 4);[40, 300, 10, 8];משיח;402;(36, 2, 33, 7, 402);עשרים;5;(36, 2, 33, 26, 1665);בני לד חדיד ואונו שבע מאות עשרים וחמשה
(8788, 89, 4);[40, 300, 10, 8];משיח;2130;(36, 7, 3, 6, 2130);מריות;1;(36, 7, 3, 17, 8788);בן אמריה בן עזריה בן מריות
(2958, 30, 5);[40, 40, 300, 10, 8];ממשיח;719;(36, 2, 70, 3, 719);והלוים;6;(36, 2, 70, 17, 2958);וישבו הכהנים והלוים ומן העם והמשררים והשוערים והנתינים בעריהם וכל ישראל בעריהם
(14727, 48, 5);[40, 40, 300, 10, 8];ממשיח;3525;(36, 10, 14, 25, 3525);ממנו;2;(36, 10, 14, 103, 14727);יעמדו נא שרינו לכל הקהל וכל אשר בערינו ההשיב נשים נכריות יבא לעתים מזמנים ועמהם זקני עיר ועיר ושפטיה עד להשיב חרון אף אלהינו ממנו עד לדבר הזה
(1550, 4, 6);[40, 300, 10, 8, 40, 10];משיח מי;373;(36, 2, 28, 6, 373);עשרים;5;(36, 2, 28, 23, 1550);אנשי בית אל והעי מאתים עשרים ושלשה
(1823, 37, 5);[5, 40, 300, 10, 8];המשיח;440;(36, 2, 39, 4, 440);ושבעה;5;(36, 2, 39, 14, 1823);בני חרם אלף ושבעה עשר
(12263, 42, 5);[5, 40, 300, 10, 8];המשיח;2953;(36, 8, 33, 26, 2953);הלוים;1;(36, 8, 33, 106, 12263);וביום הרביעי נשקל הכסף והזהב והכלים בבית אלהינו על יד מרמות בן אוריה הכהן ועמו אלעזר בן פינחס ועמהם יוזבד בן ישוע ונועדיה בן בנוי הלוים
(2988, 30, 5);[40, 300, 10, 8, 10];משיחי;724;(36, 2, 70, 8, 724);והנתינים;8;(36, 2, 70, 47, 2988);וישבו הכהנים והלוים ומן העם והמשררים והשוערים והנתינים בעריהם וכל ישראל בעריהם
(14775, 48, 5);[40, 300, 10, 8, 10];משיחי;3539;(36, 10, 15, 11, 3539);ומשלם;2;(36, 10, 15, 37, 14775);אך יונתן בן עשהאל ויחזיה בן תקוה עמדו על זאת ומשלם ושבתי הלוי עזרם
(2958, 30, 6);[40, 40, 300, 10, 8, 10];ממשיחי;719;(36, 2, 70, 3, 719);והלוים;6;(36, 2, 70, 17, 2958);וישבו הכהנים והלוים ומן העם והמשררים והשוערים והנתינים בעריהם וכל ישראל בעריהם
(14727, 48, 6);[40, 40, 300, 10, 8, 10];ממשיחי;3525;(36, 10, 14, 25, 3525);ממנו;2;(36, 10, 14, 103, 14727);יעמדו נא שרינו לכל הקהל וכל אשר בערינו ההשיב נשים נכריות יבא לעתים מזמנים ועמהם זקני עיר ועיר ושפטיה עד להשיב חרון אף אלהינו ממנו עד לדבר הזה
(4418, 17, 5);[40, 300, 10, 8, 20];משיחך;1056;(36, 4, 5, 3, 1056);יועצים;6;(36, 4, 5, 17, 4418);וסכרים עליהם יועצים להפר עצתם כל ימי כורש מלך פרס ועד מלכות דריוש מלך פרס
(1279, 37, 5);[40, 300, 10, 8, 6];משיחו;307;(36, 2, 16, 5, 307);ושמנה;3;(36, 2, 16, 21, 1279);בני אטר ליחזקיה תשעים ושמנה
(1860, 37, 5);[40, 300, 10, 8, 6];משיחו;448;(36, 2, 40, 7, 448);שבעים;5;(36, 2, 40, 34, 1860);הלוים בני ישוע וקדמיאל לבני הודויה שבעים וארבעה
(1065, 61, 5);[40, 300, 10, 8, 6];משיחו;255;(36, 2, 7, 5, 255);חמשים;2;(36, 2, 7, 17, 1065);בני עילם אלף מאתים חמשים וארבעה
