(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(25245, 1, 4);[40, 300, 10, 8];משיח;6095;(38, 16, 22, 3, 6095);במשיחי;2;(38, 16, 22, 8, 25245);אל תגעו במשיחי ובנביאי אל תרעו
(38900, 3, 4);[40, 300, 10, 8];משיח;9415;(38, 26, 29, 8, 9415);לשטרים;6;(38, 26, 29, 43, 38900);ליצהרי כנניהו ובניו למלאכה החיצונה על ישראל לשטרים ולשפטים
(30264, 4, 4);[40, 300, 10, 8];משיח;7360;(38, 20, 3, 21, 7360);העם;3;(38, 20, 3, 82, 30264);ואת העם אשר בה הוציא וישר במגרה ובחריצי הברזל ובמגרות וכן יעשה דויד לכל ערי בני עמון וישב דויד וכל העם ירושלם
(4887, 9, 4);[40, 300, 10, 8];משיח;1213;(38, 4, 6, 9, 1213);תימני;3;(38, 4, 6, 28, 4887);ותלד לו נערה את אחזם ואת חפר ואת תימני ואת האחשתרי אלה בני נערה
(30180, 10, 4);[40, 300, 10, 8];משיח;7339;(38, 20, 2, 23, 7339);מאד;1;(38, 20, 2, 82, 30180);ויקח דויד את עטרת מלכם מעל ראשו וימצאה משקל ככר זהב ובה אבן יקרה ותהי על ראש דויד ושלל העיר הוציא הרבה מאד
(23104, 11, 4);[40, 300, 10, 8];משיח;5622;(38, 15, 7, 7, 5622);ושלשים;6;(38, 15, 7, 30, 23104);לבני גרשום יואל השר ואחיו מאה ושלשים
(2755, 13, 4);[40, 300, 10, 8];משיח;695;(38, 2, 28, 7, 695);שמי;2;(38, 2, 28, 25, 2755);ויהיו בני אונם שמי וידע ובני שמי נדב ואבישור
(2523, 14, 4);[40, 300, 10, 8];משיח;634;(38, 2, 23, 7, 634);מאתם;4;(38, 2, 23, 25, 2523);ויקח גשור וארם את חות יאיר מאתם את קנת ואת בנתיה ששים עיר כל אלה בני מכיר אבי גלעד
(13179, 14, 4);[40, 300, 10, 8];משיח;3233;(38, 8, 13, 3, 3233);המה;2;(38, 8, 13, 11, 13179);וברעה ושמע המה ראשי האבות ליושבי אילון המה הבריחו את יושבי גת
(37468, 16, 4);[40, 300, 10, 8];משיח;9099;(38, 25, 29, 2, 9099);ועשרים;6;(38, 25, 29, 11, 37468);לשנים ועשרים לגדלתי בניו ואחיו שנים עשר
(18658, 17, 4);[40, 300, 10, 8];משיח;4555;(38, 11, 33, 1, 4555);עזמות;3;(38, 11, 33, 3, 18658);עזמות הבחרומי אליחבא השעלבני
(7086, 19, 4);[40, 300, 10, 8];משיח;1751;(38, 5, 13, 1, 1751);ואחיהם;6;(38, 5, 13, 6, 7086);ואחיהם לבית אבותיהם מיכאל ומשלם ושבע ויורי ויעכן וזיע ועבר שבעה
