(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(80723, 1, 4);[40, 300, 10, 8];משיח;20447;(8, 2, 10, 16, 20447);משיחו;1;(8, 2, 10, 59, 80723);יהוה יחתו מריבו עלו בשמים ירעם יהוה ידין אפסי ארץ ויתן עז למלכו וירם קרן משיחו
(82283, 1, 4);[40, 300, 10, 8];משיח;20865;(8, 2, 35, 15, 20865);משיחי;1;(8, 2, 35, 61, 82283);והקימתי לי כהן נאמן כאשר בלבבי ובנפשי יעשה ובניתי לו בית נאמן והתהלך לפני משיחי כל הימים
(94641, 1, 4);[40, 300, 10, 8];משיח;23965;(8, 12, 3, 7, 23965);משיחו;1;(8, 12, 3, 21, 94641);הנני ענו בי נגד יהוה ונגד משיחו את שור מי לקחתי וחמור מי לקחתי ואת מי עשקתי את מי רצותי ומיד מי לקחתי כפר ואעלים עיני בו ואשיב לכם
(94786, 1, 4);[40, 300, 10, 8];משיח;24004;(8, 12, 5, 7, 24004);משיחו;1;(8, 12, 5, 23, 94786);ויאמר אליהם עד יהוה בכם ועד משיחו היום הזה כי לא מצאתם בידי מאומה ויאמר עד
(103243, 1, 4);[40, 300, 10, 8];משיח;26181;(8, 16, 6, 10, 26181);משיחו;1;(8, 16, 6, 35, 103243);ויהי בבואם וירא את אליאב ויאמר אך נגד יהוה משיחו
(118418, 1, 4);[40, 300, 10, 8];משיח;30144;(8, 24, 7, 12, 30144);למשיח;2;(8, 24, 7, 45, 118418);ויאמר לאנשיו חלילה לי מיהוה אם אעשה את הדבר הזה לאדני למשיח יהוה לשלח ידי בו כי משיח יהוה הוא
(118437, 1, 4);[40, 300, 10, 8];משיח;30150;(8, 24, 7, 18, 30150);משיח;1;(8, 24, 7, 64, 118437);ויאמר לאנשיו חלילה לי מיהוה אם אעשה את הדבר הזה לאדני למשיח יהוה לשלח ידי בו כי משיח יהוה הוא
(118718, 1, 4);[40, 300, 10, 8];משיח;30224;(8, 24, 11, 23, 30224);משיח;1;(8, 24, 11, 82, 118718);הנה היום הזה ראו עיניך את אשר נתנך יהוה היום בידי במערה ואמר להרגך ותחס עליך ואמר לא אשלח ידי באדני כי משיח יהוה הוא
(122883, 1, 4);[40, 300, 10, 8];משיח;31318;(8, 26, 9, 11, 31318);במשיח;2;(8, 26, 9, 36, 122883);ויאמר דוד אל אבישי אל תשחיתהו כי מי שלח ידו במשיח יהוה ונקה
(122971, 1, 4);[40, 300, 10, 8];משיח;31342;(8, 26, 11, 6, 31342);במשיח;2;(8, 26, 11, 21, 122971);חלילה לי מיהוה משלח ידי במשיח יהוה ועתה קח נא את החנית אשר מראשתו ואת צפחת המים ונלכה לנו
(123369, 1, 4);[40, 300, 10, 8];משיח;31454;(8, 26, 16, 19, 31454);משיח;1;(8, 26, 16, 57, 123369);לא טוב הדבר הזה אשר עשית חי יהוה כי בני מות אתם אשר לא שמרתם על אדניכם על משיח יהוה ועתה ראה אי חנית המלך ואת צפחת המים אשר מראשתו
(123891, 1, 4);[40, 300, 10, 8];משיח;31595;(8, 26, 23, 17, 31595);במשיח;2;(8, 26, 23, 63, 123891);ויהוה ישיב לאיש את צדקתו ואת אמנתו אשר נתנך יהוה היום ביד ולא אביתי לשלח ידי במשיח יהוה
(130819, 1, 4);[40, 300, 10, 8];משיח;33387;(9, 1, 14, 11, 33387);משיח;1;(9, 1, 14, 35, 130819);ויאמר אליו דוד איך לא יראת לשלח ידך לשחת את משיח יהוה
(130913, 1, 4);[40, 300, 10, 8];משיח;33413;(9, 1, 16, 15, 33413);משיח;1;(9, 1, 16, 47, 130913);ויאמר אליו דוד דמיך על ראשך כי פיך ענה בך לאמר אנכי מתתי את משיח יהוה
(131151, 1, 4);[40, 300, 10, 8];משיח;33475;(9, 1, 21, 18, 33475);משיח;1;(9, 1, 21, 60, 131151);הרי בגלבע אל טל ואל מטר עליכם ושדי תרומת כי שם נגעל מגן גבורים מגן שאול בלי משיח בשמן
(162444, 1, 4);[40, 300, 10, 8];משיח;41659;(9, 19, 22, 14, 41659);משיח;1;(9, 19, 22, 46, 162444);ויען אבישי בן צרויה ויאמר התחת זאת לא יומת שמעי כי קלל את משיח יהוה
