(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(2041, 1, 4);[40, 300, 10, 8];משיח;531;(8, 2, 10, 16, 531);משיחו;1;(8, 2, 10, 59, 2041);יהוה יחתו מריבו עלו בשמים ירעם יהוה ידין אפסי ארץ ויתן עז למלכו וירם קרן משיחו
(3601, 1, 4);[40, 300, 10, 8];משיח;949;(8, 2, 35, 15, 949);משיחי;1;(8, 2, 35, 61, 3601);והקימתי לי כהן נאמן כאשר בלבבי ובנפשי יעשה ובניתי לו בית נאמן והתהלך לפני משיחי כל הימים
(15959, 1, 4);[40, 300, 10, 8];משיח;4049;(8, 12, 3, 7, 4049);משיחו;1;(8, 12, 3, 21, 15959);הנני ענו בי נגד יהוה ונגד משיחו את שור מי לקחתי וחמור מי לקחתי ואת מי עשקתי את מי רצותי ומיד מי לקחתי כפר ואעלים עיני בו ואשיב לכם
(16104, 1, 4);[40, 300, 10, 8];משיח;4088;(8, 12, 5, 7, 4088);משיחו;1;(8, 12, 5, 23, 16104);ויאמר אליהם עד יהוה בכם ועד משיחו היום הזה כי לא מצאתם בידי מאומה ויאמר עד
(24561, 1, 4);[40, 300, 10, 8];משיח;6265;(8, 16, 6, 10, 6265);משיחו;1;(8, 16, 6, 35, 24561);ויהי בבואם וירא את אליאב ויאמר אך נגד יהוה משיחו
(39736, 1, 4);[40, 300, 10, 8];משיח;10228;(8, 24, 7, 12, 10228);למשיח;2;(8, 24, 7, 45, 39736);ויאמר לאנשיו חלילה לי מיהוה אם אעשה את הדבר הזה לאדני למשיח יהוה לשלח ידי בו כי משיח יהוה הוא
(39755, 1, 4);[40, 300, 10, 8];משיח;10234;(8, 24, 7, 18, 10234);משיח;1;(8, 24, 7, 64, 39755);ויאמר לאנשיו חלילה לי מיהוה אם אעשה את הדבר הזה לאדני למשיח יהוה לשלח ידי בו כי משיח יהוה הוא
(40036, 1, 4);[40, 300, 10, 8];משיח;10308;(8, 24, 11, 23, 10308);משיח;1;(8, 24, 11, 82, 40036);הנה היום הזה ראו עיניך את אשר נתנך יהוה היום בידי במערה ואמר להרגך ותחס עליך ואמר לא אשלח ידי באדני כי משיח יהוה הוא
(44201, 1, 4);[40, 300, 10, 8];משיח;11402;(8, 26, 9, 11, 11402);במשיח;2;(8, 26, 9, 36, 44201);ויאמר דוד אל אבישי אל תשחיתהו כי מי שלח ידו במשיח יהוה ונקה
(44289, 1, 4);[40, 300, 10, 8];משיח;11426;(8, 26, 11, 6, 11426);במשיח;2;(8, 26, 11, 21, 44289);חלילה לי מיהוה משלח ידי במשיח יהוה ועתה קח נא את החנית אשר מראשתו ואת צפחת המים ונלכה לנו
