(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(29978, 3, 4);[40, 300, 10, 8];משיח;7781;(10, 13, 18, 18, 7781);לחם;3;(10, 13, 18, 65, 29978);ויאמר לו גם אני נביא כמוך ומלאך דבר אלי בדבר יהוה לאמר השבהו אתך אל ביתך ויאכל לחם וישת מים כחש לו
(28706, 4, 4);[40, 300, 10, 8];משיח;7435;(10, 12, 33, 10, 7435);יום;3;(10, 12, 33, 34, 28706);ויעל על המזבח אשר עשה בבית אל בחמשה עשר יום בחדש השמיני בחדש אשר בדא מלבד ויעש חג לבני ישראל ויעל על המזבח להקטיר
(94759, 4, 4);[40, 300, 10, 8];משיח;24479;(11, 23, 31, 2, 24479);עשרים;5;(11, 23, 31, 7, 94759);בן עשרים ושלש שנה יהואחז במלכו ושלשה חדשים מלך בירושלם ושם אמו חמוטל בת ירמיהו מלבנה
(49885, 5, 4);[40, 300, 10, 8];משיח;12955;(10, 22, 39, 22, 12955);למלכי;2;(10, 22, 39, 76, 49885);ויתר דברי אחאב וכל אשר עשה ובית השן אשר בנה וכל הערים אשר בנה הלוא הם כתובים על ספר דברי הימים למלכי ישראל
(68843, 5, 4);[40, 300, 10, 8];משיח;17826;(11, 10, 14, 3, 17826);חיים;4;(11, 10, 14, 14, 68843);ויאמר תפשום חיים ויתפשום חיים וישחטום אל בור בית עקד ארבעים ושנים איש ולא השאיר איש מהם
(74185, 5, 4);[40, 300, 10, 8];משיח;19199;(11, 13, 17, 10, 19199);ויאמר;4;(11, 13, 17, 43, 74185);ויאמר פתח החלון קדמה ויפתח ויאמר אלישע ירה ויור ויאמר חץ תשועה ליהוה וחץ תשועה בארם והכית את ארם באפק עד כלה
(56955, 7, 4);[40, 300, 10, 8];משיח;14780;(11, 4, 28, 7, 14780);אמרתי;2;(11, 4, 28, 25, 56955);ותאמר השאלתי בן מאת אדני הלא אמרתי לא תשלה אתי
(9970, 9, 4);[40, 300, 10, 8];משיח;2638;(10, 5, 22, 6, 2638);שמעתי;2;(10, 5, 22, 21, 9970);וישלח חירם אל שלמה לאמר שמעתי את אשר שלחת אלי אני אעשה את כל חפצך בעצי ארזים ובעצי ברושים
(28589, 9, 4);[40, 300, 10, 8];משיח;7402;(10, 12, 32, 8, 7402);יום;3;(10, 12, 32, 32, 28589);ויעש ירבעם חג בחדש השמיני בחמשה עשר יום לחדש כחג אשר ביהודה ויעל על המזבח כן עשה בבית אל לזבח לעגלים אשר עשה והעמיד בבית אל את כהני הבמות אשר עשה
(84811, 9, 4);[40, 300, 10, 8];משיח;21927;(11, 18, 27, 1, 21927);ויאמר;4;(11, 18, 27, 4, 84811);ויאמר אליהם רבשקה העל אדניך ואליך שלחני אדני לדבר את הדברים האלה הלא על האנשים הישבים על החמה לאכל את חריהם ולשתות את שניהם עמכם
(87710, 9, 4);[40, 300, 10, 8];משיח;22667;(11, 19, 36, 5, 22667);מלך;1;(11, 19, 36, 19, 87710);ויסע וילך וישב סנחריב מלך אשור וישב בנינוה
(54029, 10, 4);[40, 300, 10, 8];משיח;14011;(11, 3, 7, 7, 14011);לאמר;3;(11, 3, 7, 28, 54029);וילך וישלח אל יהושפט מלך יהודה לאמר מלך מואב פשע בי התלך אתי אל מואב למלחמה ויאמר אעלה כמוני כמוך כעמי כעמך כסוסי כסוסיך
(83600, 10, 4);[40, 300, 10, 8];משיח;21616;(11, 18, 11, 2, 21616);מלך;1;(11, 18, 11, 5, 83600);ויגל מלך אשור את ישראל אשורה וינחם בחלח ובחבור נהר גוזן וערי מדי
(94100, 10, 4);[40, 300, 10, 8];משיח;24312;(11, 23, 23, 2, 24312);אם;2;(11, 23, 23, 4, 94100);כי אם בשמנה עשרה שנה למלך יאשיהו נעשה הפסח הזה ליהוה בירושלם
(32317, 11, 4);[40, 300, 10, 8];משיח;8389;(10, 14, 20, 5, 8389);עשרים;5;(10, 14, 20, 22, 32317);והימים אשר מלך ירבעם עשרים ושתים שנה וישכב עם אבתיו וימלך נדב בנו תחתיו
(24193, 12, 4);[40, 300, 10, 8];משיח;6256;(10, 11, 5, 8, 6256);מלכם;4;(10, 11, 5, 35, 24193);וילך שלמה אחרי עשתרת אלהי צדנים ואחרי מלכם שקץ עמנים
(44195, 12, 4);[40, 300, 10, 8];משיח;11480;(10, 20, 23, 20, 11480);מהם;3;(10, 20, 23, 74, 44195);ועבדי מלך ארם אמרו אליו אלהי הרים אלהיהם על כן חזקו ממנו ואולם נלחם אתם במישור אם לא נחזק מהם
