(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(14511, 2, 4);[40, 300, 10, 8];משיח;3690;(6, 9, 27, 16, 3690);המקום;5;(6, 9, 27, 64, 14511);ויתנם יהושע ביום ההוא חטבי עצים ושאבי מים לעדה ולמזבח יהוה עד היום הזה אל המקום אשר יבחר
(14057, 3, 4);[40, 300, 10, 8];משיח;3577;(6, 9, 21, 2, 3577);אליהם;5;(6, 9, 21, 11, 14057);ויאמרו אליהם הנשיאים יחיו ויהיו חטבי עצים ושאבי מים לכל העדה כאשר דברו להם הנשיאים
(15907, 20, 4);[40, 300, 10, 8];משיח;4037;(6, 10, 21, 3, 4037);העם;3;(6, 10, 21, 10, 15907);וישבו כל העם אל המחנה אל יהושע מקדה בשלום לא חרץ לבני ישראל לאיש את לשנו
(25063, 25, 4);[40, 300, 10, 8];משיח;6376;(6, 15, 63, 9, 6376);להורישם;7;(6, 15, 63, 42, 25063);ואת היבוסי יושבי ירושלם לא יוכלו בני יהודה להורישם וישב היבוסי את בני יהודה בירושלם עד היום הזה
(9951, 29, 4);[40, 300, 10, 8];משיח;2544;(6, 7, 21, 7, 2544);ומאתים;2;(6, 7, 21, 26, 9951);ואראה בשלל אדרת שנער אחת טובה ומאתים שקלים כסף ולשון זהב אחד חמשים שקלים משקלו ואחמדם ואקחם והנם טמונים בארץ בתוך האהלי והכסף תחתיה
(20717, 30, 4);[40, 300, 10, 8];משיח;5287;(6, 13, 12, 13, 5287);ויכם;4;(6, 13, 12, 56, 20717);כל ממלכות עוג בבשן אשר מלך בעשתרות ובאדרעי הוא נשאר מיתר הרפאים ויכם משה וירשם
(34564, 41, 4);[40, 300, 10, 8];משיח;8745;(6, 22, 14, 17, 8745);המה;2;(6, 22, 14, 62, 34564);ועשרה נשאים עמו נשיא אחד נשיא אחד לבית אב לכל מטות ישראל ואיש ראש בית אבותם המה לאלפי ישראל
(29976, 47, 4);[40, 300, 10, 8];משיח;7573;(6, 19, 34, 18, 7573);השמש;3;(6, 19, 34, 76, 29976);ושב הגבול ימה אזנות תבור ויצא משם חוקקה ופגע בזבלון מנגב ובאשר פגע מים וביהודה הירדן מזרח השמש
(15606, 53, 4);[40, 300, 10, 8];משיח;3969;(6, 10, 15, 7, 3969);המחנה;2;(6, 10, 15, 24, 15606);וישב יהושע וכל ישראל עמו אל המחנה הגלגלה
(7639, 54, 4);[40, 300, 10, 8];משיח;1944;(6, 6, 16, 7, 1944);ויאמר;4;(6, 6, 16, 36, 7639);ויהי בפעם השביעית תקעו הכהנים בשופרות ויאמר יהושע אל העם הריעו כי נתן יהוה לכם את העיר
