(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(32477, 8, 4);[40, 300, 10, 8];משיח;8270;(7, 19, 2, 15, 8270);ימים;4;(7, 19, 2, 55, 32477);ותזנה עליו פילגשו ותלך מאתו אל בית אביה אל בית לחם יהודה ותהי שם ימים ארבעה חדשים
(37793, 10, 4);[40, 300, 10, 8];משיח;9598;(7, 21, 6, 12, 9598);מישראל;1;(7, 21, 6, 46, 37793);וינחמו בני ישראל אל בנימן אחיו ויאמרו נגדע היום שבט אחד מישראל
(35149, 12, 4);[40, 300, 10, 8];משיח;8943;(7, 20, 13, 9, 8943);ונמיתם;6;(7, 20, 13, 37, 35149);ועתה תנו את האנשים בני בליעל אשר בגבעה ונמיתם ונבערה רעה מישראל ולא אבו בנימן לשמע בקול אחיהם בני ישראל
(10133, 16, 4);[40, 300, 10, 8];משיח;2580;(7, 6, 26, 9, 2580);במערכה;2;(7, 6, 26, 34, 10133);ובנית מזבח ליהוה אלהיך על ראש המעוז הזה במערכה ולקחת את הפר השני והעלית עולה בעצי האשרה אשר תכרת
(385, 19, 4);[40, 300, 10, 8];משיח;91;(7, 1, 7, 11, 91);מלקטים;1;(7, 1, 7, 49, 385);ויאמר אדני בזק שבעים מלכים בהנות ידיהם ורגליהם מקצצים היו מלקטים תחת שלחני כאשר עשיתי כן שלם לי אלהים ויביאהו ירושלם וימת שם
(29154, 20, 4);[40, 300, 10, 8];משיח;7404;(7, 16, 27, 12, 7404);אלפים;5;(7, 16, 27, 52, 29154);והבית מלא האנשים והנשים ושמה כל סרני פלשתים ועל הגג כשלשת אלפים איש ואשה הראים בשחוק שמשון
(12616, 21, 4);[40, 300, 10, 8];משיח;3227;(7, 7, 20, 9, 3227);שמאולם;2;(7, 7, 20, 46, 12616);ויתקעו שלשת הראשים בשופרות וישברו הכדים ויחזיקו ביד שמאולם בלפדים וביד ימינם השופרות לתקוע ויקראו חרב ליהוה ולגדעון
(29248, 22, 4);[40, 300, 10, 8];משיח;7428;(7, 16, 28, 19, 7428);משתי;1;(7, 16, 28, 72, 29248);ויקרא שמשון אל יהוה ויאמר אדני יהוה זכרני נא וחזקני נא אך הפעם הזה האלהים ואנקמה נקם אחת משתי עיני מפלשתים
(34233, 33, 4);[40, 300, 10, 8];משיח;8714;(7, 19, 28, 3, 8714);קומי;3;(7, 19, 28, 12, 34233);ויאמר אליה קומי ונלכה ואין ענה ויקחה על החמור ויקם האיש וילך למקמו
(13855, 34, 4);[40, 300, 10, 8];משיח;3539;(7, 8, 13, 6, 3539);המלחמה;2;(7, 8, 13, 19, 13855);וישב גדעון בן יואש מן המלחמה מלמעלה החרס
(1256, 36, 4);[40, 300, 10, 8];משיח;320;(7, 1, 22, 4, 320);גם;2;(7, 1, 22, 14, 1256);ויעלו בית יוסף גם הם בית אל ויהוה עמם
(18379, 36, 4);[40, 300, 10, 8];משיח;4703;(7, 9, 54, 13, 4703);יאמרו;3;(7, 9, 54, 48, 18379);ויקרא מהרה אל הנער נשא כליו ויאמר לו שלף חרבך ומותתני פן יאמרו לי אשה הרגתהו וידקרהו נערו וימת
(29138, 36, 4);[40, 300, 10, 8];משיח;7400;(7, 16, 27, 8, 7400);פלשתים;6;(7, 16, 27, 36, 29138);והבית מלא האנשים והנשים ושמה כל סרני פלשתים ועל הגג כשלשת אלפים איש ואשה הראים בשחוק שמשון
(3686, 37, 4);[40, 300, 10, 8];משיח;936;(7, 3, 3, 13, 936);חרמון;3;(7, 3, 3, 55, 3686);חמשת סרני פלשתים וכל הכנעני והצידני והחוי ישב הר הלבנון מהר בעל חרמון עד לבוא חמת
