(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(14962, -100, 4);[8, 10, 300, 40];משיח;4005;(1, 12, 16, 10, 4005);ושפחת;4;(1, 12, 16, 46, 14962);ולאברם היטיב בעבורה ויהי לו צאן ובקר וחמרים ועבדים ושפחת ואתנת וגמלים
(22061, -100, 4);[8, 10, 300, 40];משיח;5886;(1, 18, 31, 14, 5886);אשחית;3;(1, 18, 31, 53, 22061);ויאמר הנה נא הואלתי לדבר אל אדני אולי ימצאון שם עשרים ויאמר לא אשחית בעבור העשרים
(20039, -99, 4);[8, 10, 300, 40];משיח;5366;(1, 17, 19, 12, 5366);יצחק;3;(1, 17, 19, 41, 20039);ויאמר אלהים אבל שרה אשתך ילדת לך בן וקראת את שמו יצחק והקמתי את בריתי אתו לברית עולם לזרעו אחריו
(38486, -99, 4);[8, 10, 300, 40];משיח;10231;(1, 27, 45, 6, 10231);ושכח;4;(1, 27, 45, 18, 38486);עד שוב אף אחיך ממך ושכח את אשר עשית לו ושלחתי ולקחתיך משם למה אשכל גם שניכם יום אחד
(27120, -98, 4);[8, 10, 300, 40];משיח;7238;(1, 22, 3, 4, 7238);ויחבש;3;(1, 22, 3, 17, 27120);וישכם אברהם בבקר ויחבש את חמרו ויקח את שני נעריו אתו ואת יצחק בנו ויבקע עצי עלה ויקם וילך אל המקום אשר אמר לו האלהים
(16412, -96, 4);[8, 10, 300, 40];משיח;4401;(1, 14, 7, 17, 4401);בחצצן;2;(1, 14, 7, 58, 16412);וישבו ויבאו אל עין משפט הוא קדש ויכו את כל שדה העמלקי וגם את האמרי הישב בחצצן תמר
(48322, -95, 4);[8, 10, 300, 40];משיח;12876;(1, 33, 2, 15, 12876);אחרנים;2;(1, 33, 2, 59, 48322);וישם את השפחות ואת ילדיהן ראשנה ואת לאה וילדיה אחרנים ואת רחל ואת יוסף אחרנים
(29824, -94, 4);[8, 10, 300, 40];משיח;7969;(1, 24, 9, 5, 7969);תחת;2;(1, 24, 9, 15, 29824);וישם העבד את ידו תחת ירך אברהם אדניו וישבע לו על הדבר הזה
(7304, -93, 4);[8, 10, 300, 40];משיח;1952;(1, 6, 10, 8, 1952);חם;1;(1, 6, 10, 22, 7304);ויולד נח שלשה בנים את שם את חם ואת יפת
(5773, -92, 4);[8, 10, 300, 40];משיח;1545;(1, 5, 9, 1, 1545);ויחי;3;(1, 5, 9, 3, 5773);ויחי אנוש תשעים שנה ויולד את קינן
(6910, -92, 4);[8, 10, 300, 40];משיח;1841;(1, 6, 2, 15, 1841);בחרו;2;(1, 6, 2, 52, 6910);ויראו בני האלהים את בנות האדם כי טבת הנה ויקחו להם נשים מכל אשר בחרו
(31409, -92, 4);[8, 10, 300, 40];משיח;8386;(1, 24, 40, 15, 8386);ממשפחתי;5;(1, 24, 40, 66, 31409);ויאמר אלי יהוה אשר התהלכתי לפניו ישלח מלאכו אתך והצליח דרכך ולקחת אשה לבני ממשפחתי ומבית אבי
(66756, -92, 4);[8, 10, 300, 40];משיח;17681;(1, 43, 30, 7, 17681);אחיו;2;(1, 43, 30, 25, 66756);וימהר יוסף כי נכמרו רחמיו אל אחיו ויבקש לבכות ויבא החדרה ויבך שמה
(993, -89, 4);[8, 10, 300, 40];משיח;252;(1, 1, 21, 9, 252);החיה;2;(1, 1, 21, 34, 993);ויברא אלהים את התנינם הגדלים ואת כל נפש החיה הרמשת אשר שרצו המים למינהם ואת כל עוף כנף למינהו וירא אלהים כי טוב
(16784, -88, 4);[8, 10, 300, 40];משיח;4496;(1, 14, 14, 5, 4496);אחיו;2;(1, 14, 14, 17, 16784);וישמע אברם כי נשבה אחיו וירק את חניכיו ילידי ביתו שמנה עשר ושלש מאות וירדף עד דן
(6707, -87, 4);[8, 10, 300, 40];משיח;1782;(1, 5, 30, 7, 1782);חמש;1;(1, 5, 30, 22, 6707);ויחי למך אחרי הולידו את נח חמש ותשעים שנה וחמש מאת שנה ויולד בנים ובנות
(20573, -86, 4);[8, 10, 300, 40];משיח;5501;(1, 18, 2, 12, 5501);מפתח;4;(1, 18, 2, 53, 20573);וישא עיניו וירא והנה שלשה אנשים נצבים עליו וירא וירץ לקראתם מפתח האהל וישתחו ארצה
(28761, -86, 4);[8, 10, 300, 40];משיח;7677;(1, 23, 9, 16, 7677);לאחזת;3;(1, 23, 9, 57, 28761);ויתן לי את מערת המכפלה אשר לו אשר בקצה שדהו בכסף מלא יתננה לי בתוככם לאחזת קבר
(65788, -81, 4);[8, 10, 300, 40];משיח;17450;(1, 43, 14, 12, 17450);אחר;2;(1, 43, 14, 41, 65788);ואל שדי יתן לכם רחמים לפני האיש ושלח לכם את אחיכם אחר ואת בנימין ואני כאשר שכלתי שכלתי
(6191, -76, 4);[8, 10, 300, 40];משיח;1651;(1, 5, 18, 10, 1651);חנוך;1;(1, 5, 18, 34, 6191);ויחי ירד שתים וששים שנה ומאת שנה ויולד את חנוך
(13509, -75, 4);[8, 10, 300, 40];משיח;3621;(1, 11, 19, 3, 3621);אחרי;2;(1, 11, 19, 9, 13509);ויחי פלג אחרי הולידו את רעו תשע שנים ומאתים שנה ויולד בנים ובנות
(22542, -75, 4);[8, 10, 300, 40];משיח;6006;(1, 19, 7, 4, 6006);אחי;2;(1, 19, 7, 11, 22542);ויאמר אל נא אחי תרעו
(2351, -74, 4);[8, 10, 300, 40];משיח;613;(1, 2, 15, 1, 613);ויקח;4;(1, 2, 15, 4, 2351);ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה
(13503, -73, 4);[8, 10, 300, 40];משיח;3619;(1, 11, 19, 1, 3619);ויחי;3;(1, 11, 19, 3, 13503);ויחי פלג אחרי הולידו את רעו תשע שנים ומאתים שנה ויולד בנים ובנות
(48231, -72, 4);[8, 10, 300, 40];משיח;12852;(1, 33, 1, 12, 12852);ויחץ;3;(1, 33, 1, 44, 48231);וישא יעקב עיניו וירא והנה עשו בא ועמו ארבע מאות איש ויחץ את הילדים על לאה ועל רחל ועל שתי השפחות
(12490, -71, 4);[8, 10, 300, 40];משיח;3350;(1, 10, 26, 8, 3350);חצרמות;1;(1, 10, 26, 26, 12490);ויקטן ילד את אלמודד ואת שלף ואת חצרמות ואת ירח
(65696, -71, 4);[8, 10, 300, 40];משיח;17426;(1, 43, 12, 9, 17426);אמתחתיכם;4;(1, 43, 12, 35, 65696);וכסף משנה קחו בידכם ואת הכסף המושב בפי אמתחתיכם תשיבו בידכם אולי משגה הוא
(37559, -70, 4);[8, 10, 300, 40];משיח;9981;(1, 27, 29, 9, 9981);וישתחוו;5;(1, 27, 29, 40, 37559);יעבדוך עמים וישתחו לך לאמים הוה גביר לאחיך וישתחוו לך בני אמך ארריך ארור ומברכיך ברוך
(59198, -68, 4);[8, 10, 300, 40];משיח;15732;(1, 40, 8, 3, 15732);חלום;1;(1, 40, 8, 11, 59198);ויאמרו אליו חלום חלמנו ופתר אין אתו ויאמר אלהם יוסף הלוא לאלהים פתרנים ספרו נא לי
(33712, -67, 4);[8, 10, 300, 40];משיח;8980;(1, 25, 20, 6, 8980);בקחתו;3;(1, 25, 20, 22, 33712);ויהי יצחק בן ארבעים שנה בקחתו את רבקה בת בתואל הארמי מפדן ארם אחות לבן הארמי לו לאשה
(45532, -61, 4);[8, 10, 300, 40];משיח;12144;(1, 31, 37, 16, 12144);ויוכיחו;6;(1, 31, 37, 51, 45532);כי מששת את כל כלי מה מצאת מכל כלי ביתך שים כה נגד אחי ואחיך ויוכיחו בין שנינו
(67169, -60, 4);[8, 10, 300, 40];משיח;17782;(1, 44, 3, 6, 17782);וחמריהם;2;(1, 44, 3, 23, 67169);הבקר אור והאנשים שלחו המה וחמריהם
(75201, -60, 4);[8, 10, 300, 40];משיח;19861;(1, 48, 22, 5, 19861);אחד;2;(1, 48, 22, 15, 75201);ואני נתתי לך שכם אחד על אחיך אשר לקחתי מיד האמרי בחרבי ובקשתי
(9423, -55, 4);[8, 10, 300, 40];משיח;2525;(1, 8, 6, 8, 2525);חלון;1;(1, 8, 6, 26, 9423);ויהי מקץ ארבעים יום ויפתח נח את חלון התבה אשר עשה
(54486, -54, 4);[8, 10, 300, 40];משיח;14509;(1, 37, 8, 16, 14509);חלמתיו;1;(1, 37, 8, 56, 54486);ויאמרו לו אחיו המלך תמלך עלינו אם משול תמשל בנו ויוספו עוד שנא אתו על חלמתיו ועל דבריו
(52754, -52, 4);[8, 10, 300, 40];משיח;14060;(1, 36, 13, 4, 14060);נחת;2;(1, 36, 13, 14, 52754);ואלה בני רעואל נחת וזרח שמה ומזה אלה היו בני בשמת אשת עשו
(8421, -51, 4);[8, 10, 300, 40];משיח;2258;(1, 7, 11, 5, 2258);לחיי;2;(1, 7, 11, 15, 8421);בשנת שש מאות שנה לחיי נח בחדש השני בשבעה עשר יום לחדש ביום הזה נבקעו כל מעינות תהום רבה וארבת השמים נפתחו
(59035, -51, 4);[8, 10, 300, 40];משיח;15693;(1, 40, 5, 5, 15693);חלמו;1;(1, 40, 5, 19, 59035);ויחלמו חלום שניהם איש חלמו בלילה אחד איש כפתרון חלמו המשקה והאפה אשר למלך מצרים אשר אסורים בבית הסהר
(60581, -51, 4);[8, 10, 300, 40];משיח;16088;(1, 41, 11, 4, 16088);אחד;2;(1, 41, 11, 17, 60581);ונחלמה חלום בלילה אחד אני והוא איש כפתרון חלמו חלמנו
(69960, -51, 4);[8, 10, 300, 40];משיח;18512;(1, 45, 23, 2, 18512);שלח;3;(1, 45, 23, 9, 69960);ולאביו שלח כזאת עשרה חמרים נשאים מטוב מצרים ועשר אתנת נשאת בר ולחם ומזון לאביו לדרך
(27527, -47, 4);[8, 10, 300, 40];משיח;7344;(1, 22, 9, 12, 7344);המזבח;5;(1, 22, 9, 44, 27527);ויבאו אל המקום אשר אמר לו האלהים ויבן שם אברהם את המזבח ויערך את העצים ויעקד את יצחק בנו וישם אתו על המזבח ממעל לעצים
(51211, -44, 4);[8, 10, 300, 40];משיח;13647;(1, 35, 7, 16, 13647);אחיו;2;(1, 35, 7, 56, 51211);ויבן שם מזבח ויקרא למקום אל בית אל כי שם נגלו אליו האלהים בברחו מפני אחיו
(75747, -44, 4);[8, 10, 300, 40];משיח;20000;(1, 49, 12, 6, 20000);מחלב;2;(1, 49, 12, 25, 75747);חכלילי עינים מיין ולבן שנים מחלב
(70108, -43, 4);[8, 10, 300, 40];משיח;18549;(1, 45, 26, 6, 18549);חי;1;(1, 45, 26, 19, 70108);ויגדו לו לאמר עוד יוסף חי וכי הוא משל בכל ארץ מצרים ויפג לבו כי לא האמין להם
(77766, -40, 4);[8, 10, 300, 40];משיח;20536;(1, 50, 21, 9, 20536);וינחם;4;(1, 50, 21, 35, 77766);ועתה אל תיראו אנכי אכלכל אתכם ואת טפכם וינחם אותם וידבר על לבם
(6790, -39, 4);[8, 10, 300, 40];משיח;1805;(1, 5, 32, 4, 1805);חמש;1;(1, 5, 32, 9, 6790);ויהי נח בן חמש מאות שנה ויולד נח את שם את חם ואת יפת
(26533, -39, 4);[8, 10, 300, 40];משיח;7081;(1, 21, 25, 1, 7081);והוכח;5;(1, 21, 25, 5, 26533);והוכח אברהם את אבימלך על אדות באר המים אשר גזלו עבדי אבימלך
(38532, -38, 4);[8, 10, 300, 40];משיח;10244;(1, 27, 45, 19, 10244);אחד;2;(1, 27, 45, 64, 38532);עד שוב אף אחיך ממך ושכח את אשר עשית לו ושלחתי ולקחתיך משם למה אשכל גם שניכם יום אחד
(66655, -38, 4);[8, 10, 300, 40];משיח;17655;(1, 43, 28, 8, 17655);וישתחו;5;(1, 43, 28, 38, 66655);ויאמרו שלום לעבדך לאבינו עודנו חי ויקדו וישתחו
(9616, -37, 4);[8, 10, 300, 40];משיח;2578;(1, 8, 10, 5, 2578);אחרים;2;(1, 8, 10, 17, 9616);ויחל עוד שבעת ימים אחרים ויסף שלח את היונה מן התבה
(59045, -37, 4);[8, 10, 300, 40];משיח;15695;(1, 40, 5, 7, 15695);אחד;2;(1, 40, 5, 29, 59045);ויחלמו חלום שניהם איש חלמו בלילה אחד איש כפתרון חלמו המשקה והאפה אשר למלך מצרים אשר אסורים בבית הסהר
(33197, -36, 4);[8, 10, 300, 40];משיח;8849;(1, 25, 9, 3, 8849);יצחק;3;(1, 25, 9, 12, 33197);ויקברו אתו יצחק וישמעאל בניו אל מערת המכפלה אל שדה עפרן בן צחר החתי אשר על פני ממרא
