(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(31114, -99, 4);[8, 10, 300, 40];משיח;8048;(4, 17, 6, 6, 8048);ממחרת;3;(4, 17, 6, 21, 31114);וילנו כל עדת בני ישראל ממחרת על משה ועל אהרן לאמר אתם המתם את עם יהוה
(55150, -96, 4);[8, 10, 300, 40];משיח;14276;(4, 31, 47, 10, 14276);החמשים;2;(4, 31, 47, 33, 55150);ויקח משה ממחצת בני ישראל את האחז אחד מן החמשים מן האדם ומן הבהמה ויתן אתם ללוים שמרי משמרת משכן יהוה כאשר צוה יהוה את משה
(63529, -95, 4);[8, 10, 300, 40];משיח;16408;(4, 36, 13, 16, 16408);ירחו;3;(4, 36, 13, 60, 63529);אלה המצות והמשפטים אשר צוה יהוה ביד משה אל בני ישראל בערבת מואב על ירדן ירחו
(51166, -94, 4);[8, 10, 300, 40];משיח;13258;(4, 29, 19, 3, 13258);אחד;2;(4, 29, 19, 11, 51166);ושעיר עזים אחד חטאת מלבד עלת התמיד ומנחתה ונסכיהם
(46999, -93, 4);[8, 10, 300, 40];משיח;12210;(4, 26, 55, 3, 12210);יחלק;2;(4, 26, 55, 9, 46999);אך בגורל יחלק את הארץ לשמות מטות אבתם ינחלו
(15930, -92, 4);[8, 10, 300, 40];משיח;4061;(4, 7, 88, 18, 4061);המזבח;5;(4, 7, 88, 74, 15930);וכל בקר זבח השלמים עשרים וארבעה פרים אילם ששים עתדים ששים כבשים בני שנה ששים זאת חנכת המזבח אחרי המשח אתו
(5095, -91, 4);[8, 10, 300, 40];משיח;1234;(4, 3, 28, 5, 1234);חדש;1;(4, 3, 28, 14, 5095);במספר כל זכר מבן חדש ומעלה שמנת אלפים ושש מאות שמרי משמרת הקדש
(4959, -90, 4);[8, 10, 300, 40];משיח;1202;(4, 3, 26, 2, 1202);החצר;2;(4, 3, 26, 7, 4959);וקלעי החצר ואת מסך פתח החצר אשר על המשכן ועל המזבח סביב ואת מיתריו לכל עבדתו
(45978, -90, 4);[8, 10, 300, 40];משיח;11985;(4, 26, 30, 9, 11985);החלקי;2;(4, 26, 30, 38, 45978);אלה בני גלעד איעזר משפחת האיעזרי לחלק משפחת החלקי
(49978, -90, 4);[8, 10, 300, 40];משיח;12974;(4, 28, 26, 5, 12974);חדשה;1;(4, 28, 26, 25, 49978);וביום הבכורים בהקריבכם מנחה חדשה ליהוה בשבעתיכם מקרא קדש יהיה לכם כל מלאכת עבדה לא תעשו
(51930, -89, 4);[8, 10, 300, 40];משיח;13427;(4, 29, 37, 1, 13427);מנחתם;3;(4, 29, 37, 3, 51930);מנחתם ונסכיהם לפר לאיל ולכבשים במספרם כמשפט
(15495, -86, 4);[8, 10, 300, 40];משיח;3952;(4, 7, 82, 3, 3952);אחד;2;(4, 7, 82, 10, 15495);שעיר עזים אחד לחטאת
(4818, -85, 4);[8, 10, 300, 40];משיח;1169;(4, 3, 22, 6, 1169);חדש;1;(4, 3, 22, 20, 4818);פקדיהם במספר כל זכר מבן חדש ומעלה פקדיהם שבעת אלפים וחמש מאות
(23069, -85, 4);[8, 10, 300, 40];משיח;5925;(4, 12, 16, 5, 5925);ויחנו;3;(4, 12, 16, 20, 23069);ואחר נסעו העם מחצרות ויחנו במדבר פארן
(50589, -85, 4);[8, 10, 300, 40];משיח;13120;(4, 29, 8, 5, 13120);ניחח;3;(4, 29, 8, 21, 50589);והקרבתם עלה ליהוה ריח ניחח פר בן בקר אחד איל אחד כבשים בני שנה שבעה תמימם יהיו לכם
(54861, -83, 4);[8, 10, 300, 40];משיח;14201;(4, 31, 39, 4, 14201);וחמש;2;(4, 31, 39, 16, 54861);וחמרים שלשים אלף וחמש מאות ומכסם ליהוה אחד וששים
(19031, -81, 4);[8, 10, 300, 40];משיח;4871;(4, 10, 8, 8, 4871);לחקת;2;(4, 10, 8, 35, 19031);ובני אהרן הכהנים יתקעו בחצצרות והיו לכם לחקת עולם לדרתיכם
(31991, -81, 4);[8, 10, 300, 40];משיח;8288;(4, 17, 23, 15, 8288);פרח;3;(4, 17, 23, 54, 31991);ויהי ממחרת ויבא משה אל אהל העדות והנה פרח מטה אהרן לבית לוי ויצא פרח ויצץ ציץ ויגמל שקדים
