(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(44422, -100, 4);[8, 10, 300, 40];משיח;11538;(10, 20, 27, 12, 11538);חשפי;1;(10, 20, 27, 54, 44422);ובני ישראל התפקדו וכלכלו וילכו לקראתם ויחנו בני ישראל נגדם כשני חשפי עזים וארם מלאו את הארץ
(11753, -99, 4);[8, 10, 300, 40];משיח;3080;(10, 6, 20, 16, 3080);מזבח;4;(10, 6, 20, 68, 11753);ולפני הדביר עשרים אמה ארך ועשרים אמה רחב ועשרים אמה קומתו ויצפהו זהב סגור ויצף מזבח ארז
(14970, -96, 4);[8, 10, 300, 40];משיח;3856;(10, 7, 37, 7, 3856);אחד;2;(10, 7, 37, 24, 14970);כזאת עשה את עשר המכנות מוצק אחד מדה אחת קצב אחד לכלהנה
(37824, -95, 4);[8, 10, 300, 40];משיח;9829;(10, 17, 14, 8, 9829);הקמח;4;(10, 17, 14, 26, 37824);כי כה אמר יהוה אלהי ישראל כד הקמח לא תכלה וצפחת השמן לא תחסר עד יום תתן יהוה גשם על פני האדמה
(50167, -95, 4);[8, 10, 300, 40];משיח;13025;(10, 22, 46, 8, 13025);נלחם;3;(10, 22, 46, 34, 50167);ויתר דברי יהושפט וגבורתו אשר עשה ואשר נלחם הלא הם כתובים על ספר דברי הימים למלכי יהודה
(19173, -93, 4);[8, 10, 300, 40];משיח;4954;(10, 8, 50, 12, 4954);לרחמים;3;(10, 8, 50, 45, 19173);וסלחת לעמך אשר חטאו לך ולכל פשעיהם אשר פשעו בך ונתתם לרחמים לפני שביהם ורחמום
(42741, -91, 4);[8, 10, 300, 40];משיח;11104;(10, 19, 21, 17, 11104);אחרי;2;(10, 19, 21, 70, 42741);וישב מאחריו ויקח את צמד הבקר ויזבחהו ובכלי הבקר בשלם הבשר ויתן לעם ויאכלו ויקם וילך אחרי אליהו וישרתהו
(27694, -89, 4);[8, 10, 300, 40];משיח;7169;(10, 12, 18, 3, 7169);רחבעם;2;(10, 12, 18, 11, 27694);וישלח המלך רחבעם את אדרם אשר על המס וירגמו כל ישראל בו אבן וימת והמלך רחבעם התאמץ לעלות במרכבה לנוס ירושלם
(44226, -84, 4);[8, 10, 300, 40];משיח;11490;(10, 20, 24, 10, 11490);פחות;2;(10, 20, 24, 36, 44226);ואת הדבר הזה עשה הסר המלכים איש ממקמו ושים פחות תחתיהם
(10568, -82, 4);[8, 10, 300, 40];משיח;2788;(10, 5, 32, 5, 2788);חירום;1;(10, 5, 32, 18, 10568);ויפסלו בני שלמה ובני חירום והגבלים ויכינו העצים והאבנים לבנות הבית
