(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(25387, -99, 4);[8, 10, 300, 40];משיח;6535;(13, 18, 4, 12, 6535);אחר;2;(13, 18, 4, 44, 25387);ונשחת הכלי אשר הוא עשה בחמר ביד היוצר ושב ויעשהו כלי אחר כאשר ישר בעיני היוצר לעשות
(46539, -99, 4);[8, 10, 300, 40];משיח;11994;(13, 31, 31, 14, 11994);חדשה;1;(13, 31, 31, 49, 46539);הנה ימים באים נאם יהוה וכרתי את בית ישראל ואת בית יהודה ברית חדשה
(59420, -96, 4);[8, 10, 300, 40];משיח;15302;(13, 38, 11, 18, 15302);מלחים;3;(13, 38, 11, 68, 59420);ויקח עבד מלך את האנשים בידו ויבא בית המלך אל תחת האוצר ויקח משם בלוי הסחבות ובלוי מלחים וישלחם אל ירמיהו אל הבור בחבלים
(56497, -94, 4);[8, 10, 300, 40];משיח;14556;(13, 36, 24, 2, 14556);פחדו;2;(13, 36, 24, 5, 56497);ולא פחדו ולא קרעו את בגדיהם המלך וכל עבדיו השמעים את כל הדברים האלה
(66901, -94, 4);[8, 10, 300, 40];משיח;17225;(13, 43, 9, 12, 17225);בתחפנחס;3;(13, 43, 9, 48, 66901);קח בידך אבנים גדלות וטמנתם במלט במלבן אשר בפתח בית פרעה בתחפנחס לעיני אנשים יהודים
(21478, -93, 4);[8, 10, 300, 40];משיח;5538;(13, 15, 8, 10, 5538);בחור;2;(13, 15, 8, 34, 21478);עצמו לי אלמנתו מחול ימים הבאתי להם על אם בחור שדד בצהרים הפלתי עליה פתאם עיר ובהלות
(79370, -91, 4);[8, 10, 300, 40];משיח;20429;(13, 51, 4, 6, 20429);בחוצותיה;2;(13, 51, 4, 28, 79370);ונפלו חללים בארץ כשדים ומדקרים בחוצותיה
(67926, -87, 4);[8, 10, 300, 40];משיח;17476;(13, 44, 9, 21, 17476);ובחצות;3;(13, 44, 9, 83, 67926);השכחתם את רעות אבותיכם ואת רעות מלכי יהודה ואת רעות נשיו ואת רעתכם ואת רעת נשיכם אשר עשו בארץ יהודה ובחצות ירושלם
(8254, -84, 4);[8, 10, 300, 40];משיח;2120;(13, 6, 7, 7, 2120);חמס;1;(13, 6, 7, 24, 8254);כהקיר בור מימיה כן הקרה רעתה חמס ושד ישמע בה על פני תמיד חלי ומכה
(24508, -84, 4);[8, 10, 300, 40];משיח;6318;(13, 17, 18, 9, 6318);אחתה;2;(13, 17, 18, 30, 24508);יבשו רדפי ואל אבשה אני יחתו המה ואל אחתה אני הביא עליהם יום רעה ומשנה שברון שברם
(65964, -82, 4);[8, 10, 300, 40];משיח;16986;(13, 42, 18, 17, 16986);חמתי;1;(13, 42, 18, 58, 65964);כי כה אמר יהוה צבאות אלהי ישראל כאשר נתך אפי וחמתי על ישבי ירושלם כן תתך חמתי עליכם בבאכם מצרים והייתם לאלה ולשמה ולקללה ולחרפה ולא תראו עוד את המקום הזה
(1123, -81, 4);[8, 10, 300, 40];משיח;287;(13, 2, 2, 16, 287);אחרי;2;(13, 2, 2, 65, 1123);הלך וקראת באזני ירושלם לאמר כה אמר יהוה זכרתי לך חסד נעוריך אהבת כלולתיך לכתך אחרי במדבר בארץ לא זרועה
(910, -80, 4);[8, 10, 300, 40];משיח;235;(13, 1, 17, 16, 235);אחתך;2;(13, 1, 17, 57, 910);ואתה תאזר מתניך וקמת ודברת אליהם את כל אשר אנכי אצוך אל תחת מפניהם פן אחתך לפניהם
(61164, -79, 4);[8, 10, 300, 40];משיח;15748;(13, 39, 7, 6, 15748);בנחשתים;3;(13, 39, 7, 26, 61164);ואת עיני צדקיהו עור ויאסרהו בנחשתים לביא אתו בבלה
(76441, -79, 4);[8, 10, 300, 40];משיח;19663;(13, 49, 37, 13, 19663);חרון;1;(13, 49, 37, 53, 76441);והחתתי את עילם לפני איביהם ולפני מבקשי נפשם והבאתי עליהם רעה את חרון אפי נאם יהוה ושלחתי אחריהם את החרב עד כלותי אותם
(11718, -76, 4);[8, 10, 300, 40];משיח;3018;(13, 8, 2, 1, 3018);ושטחום;4;(13, 8, 2, 4, 11718);ושטחום לשמש ולירח ולכל צבא השמים אשר אהבום ואשר עבדום ואשר הלכו אחריהם ואשר דרשום ואשר השתחוו להם לא יאספו ולא יקברו לדמן על פני האדמה יהיו
(27625, -74, 4);[8, 10, 300, 40];משיח;7101;(13, 20, 1, 2, 7101);פשחור;3;(13, 20, 1, 8, 27625);וישמע פשחור בן אמר הכהן והוא פקיד נגיד בבית יהוה את ירמיהו נבא את הדברים האלה
(64325, -69, 4);[8, 10, 300, 40];משיח;16556;(13, 41, 13, 9, 16556);יוחנן;3;(13, 41, 13, 30, 64325);ויהי כראות כל העם אשר את ישמעאל את יוחנן בן קרח ואת כל שרי החילים אשר אתו וישמחו
(37183, -68, 4);[8, 10, 300, 40];משיח;9595;(13, 26, 5, 8, 9595);שלח;3;(13, 26, 5, 30, 37183);לשמע על דברי עבדי הנבאים אשר אנכי שלח אליכם והשכם ושלח ולא שמעתם
(21747, -67, 4);[8, 10, 300, 40];משיח;5608;(13, 15, 13, 6, 5608);במחיר;3;(13, 15, 13, 24, 21747);חילך ואוצרותיך לבז אתן לא במחיר ובכל חטאותיך ובכל גבוליך
(66845, -66, 4);[8, 10, 300, 40];משיח;17212;(13, 43, 8, 6, 17212);בתחפנחס;3;(13, 43, 8, 22, 66845);ויהי דבר יהוה אל ירמיהו בתחפנחס לאמר
(77097, -66, 4);[8, 10, 300, 40];משיח;19831;(13, 50, 9, 17, 19831);חציו;1;(13, 50, 9, 58, 77097);כי הנה אנכי מעיר ומעלה על בבל קהל גוים גדלים מארץ צפון וערכו לה משם תלכד חציו כגבור משכיל לא ישוב ריקם
(25347, -64, 4);[8, 10, 300, 40];משיח;6524;(13, 18, 4, 1, 6524);ונשחת;4;(13, 18, 4, 4, 25347);ונשחת הכלי אשר הוא עשה בחמר ביד היוצר ושב ויעשהו כלי אחר כאשר ישר בעיני היוצר לעשות
(58739, -61, 4);[8, 10, 300, 40];משיח;15121;(13, 38, 2, 19, 15121);וחי;2;(13, 38, 2, 72, 58739);כה אמר יהוה הישב בעיר הזאת ימות בחרב ברעב ובדבר והיצא אל הכשדים יחיה והיתה לו נפשו לשלל וחי
(3083, -60, 4);[8, 10, 300, 40];משיח;794;(13, 3, 1, 16, 794);חנוף;1;(13, 3, 1, 57, 3083);לאמר הן ישלח איש את אשתו והלכה מאתו והיתה לאיש אחר הישוב אליה עוד הלוא חנוף תחנף הארץ ההיא ואת זנית רעים רבים ושוב אלי נאם יהוה
(28854, -60, 4);[8, 10, 300, 40];משיח;7424;(13, 21, 2, 10, 7424);נלחם;3;(13, 21, 2, 36, 28854);דרש נא בעדנו את יהוה כי נבוכדראצר מלך בבל נלחם עלינו אולי יעשה יהוה אותנו ככל נפלאתיו ויעלה מעלינו
(710, -58, 4);[8, 10, 300, 40];משיח;186;(13, 1, 15, 5, 186);משפחות;4;(13, 1, 15, 16, 710);כי הנני קרא לכל משפחות ממלכות צפונה נאם יהוה ובאו ונתנו איש כסאו פתח שערי ירושלם ועל כל חומתיה סביב ועל כל ערי יהודה
(51572, -58, 4);[8, 10, 300, 40];משיח;13294;(13, 33, 24, 9, 13294);המשפחות;5;(13, 33, 24, 32, 51572);הלוא ראית מה העם הזה דברו לאמר שתי המשפחות אשר בחר יהוה בהם וימאסם ואת עמי ינאצון מהיות עוד גוי לפניהם
(7122, -56, 4);[8, 10, 300, 40];משיח;1834;(13, 5, 16, 3, 1834);פתוח;4;(13, 5, 16, 13, 7122);אשפתו כקבר פתוח כלם גבורים
(59014, -55, 4);[8, 10, 300, 40];משיח;15197;(13, 38, 6, 12, 15197);בחצר;2;(13, 38, 6, 45, 59014);ויקחו את ירמיהו וישלכו אתו אל הבור מלכיהו בן המלך אשר בחצר המטרה וישלחו את ירמיהו בחבלים ובבור אין מים כי אם טיט ויטבע ירמיהו בטיט
(54916, -53, 4);[8, 10, 300, 40];משיח;14148;(13, 36, 2, 1, 14148);קח;2;(13, 36, 2, 2, 54916);קח לך מגלת ספר וכתבת אליה את כל הדברים אשר דברתי אליך על ישראל ועל יהודה ועל כל הגוים מיום דברתי אליך מימי יאשיהו ועד היום הזה
(82055, -51, 4);[8, 10, 300, 40];משיח;21124;(13, 51, 56, 9, 21124);חתתה;1;(13, 51, 56, 30, 82055);כי בא עליה על בבל שודד ונלכדו גבוריה חתתה קשתותם כי אל גמלות יהוה שלם ישלם
(53565, -50, 4);[8, 10, 300, 40];משיח;13799;(13, 35, 3, 7, 13799);חבצניה;1;(13, 35, 3, 23, 53565);ואקח את יאזניה בן ירמיהו בן חבצניה ואת אחיו ואת כל בניו ואת כל בית הרכבים
(67275, -49, 4);[8, 10, 300, 40];משיח;17316;(13, 44, 1, 14, 17316);ובתחפנחס;7;(13, 44, 1, 62, 67275);הדבר אשר היה אל ירמיהו אל כל היהודים הישבים בארץ מצרים הישבים במגדל ובתחפנחס ובנף ובארץ פתרוס לאמר
(65725, -48, 4);[8, 10, 300, 40];משיח;16923;(13, 42, 16, 2, 16923);החרב;2;(13, 42, 16, 7, 65725);והיתה החרב אשר אתם יראים ממנה שם תשיג אתכם בארץ מצרים והרעב אשר אתם דאגים ממנו שם ידבק אחריכם מצרים ושם תמתו
(76656, -46, 4);[8, 10, 300, 40];משיח;19717;(13, 50, 2, 14, 19717);חת;1;(13, 50, 2, 55, 76656);הגידו בגוים והשמיעו ושאו נס השמיעו אל תכחדו אמרו נלכדה בבל הביש בל חת מרדך הבישו עצביה חתו גלוליה
(59675, -45, 4);[8, 10, 300, 40];משיח;15363;(13, 38, 14, 24, 15363);תכחד;3;(13, 38, 14, 93, 59675);וישלח המלך צדקיהו ויקח את ירמיהו הנביא אליו אל מבוא השלישי אשר בבית יהוה ויאמר המלך אל ירמיהו שאל אני אתך דבר אל תכחד ממני דבר
