(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(6730, -98, 4);[8, 10, 300, 40];משיח;1693;(25, 8, 21, 5, 1693);אחת;2;(25, 8, 21, 16, 6730);והלכו ישבי אחת אל אחת לאמר נלכה הלוך לחלות את פני יהוה ולבקש את יהוה צבאות אלכה גם אני
(9738, -92, 4);[8, 10, 300, 40];משיח;2452;(25, 12, 4, 14, 2452);אפקח;4;(25, 12, 4, 55, 9738);ביום ההוא נאם יהוה אכה כל סוס בתמהון ורכבו בשגעון ועל בית יהודה אפקח את עיני וכל סוס העמים אכה בעורון
(11952, -78, 4);[8, 10, 300, 40];משיח;3007;(25, 14, 15, 7, 3007);והחמור;3;(25, 14, 15, 26, 11952);וכן תהיה מגפת הסוס הפרד הגמל והחמור וכל הבהמה אשר יהיה במחנות ההמה כמגפה הזאת
(5199, -51, 4);[8, 10, 300, 40];משיח;1314;(25, 7, 9, 9, 1314);וחסד;2;(25, 7, 9, 31, 5199);כה אמר יהוה צבאות לאמר משפט אמת שפטו וחסד ורחמים עשו איש את אחיו
(10195, -38, 4);[8, 10, 300, 40];משיח;2563;(25, 12, 10, 20, 2563);היחיד;3;(25, 12, 10, 78, 10195);ושפכתי על בית דויד ועל יושב ירושלם רוח חן ותחנונים והביטו אלי את אשר דקרו וספדו עליו כמספד על היחיד והמר עליו כהמר על הבכור
(6730, -98, 5);[8, 10, 300, 40, 30];למשיח;1693;(25, 8, 21, 5, 1693);אחת;2;(25, 8, 21, 16, 6730);והלכו ישבי אחת אל אחת לאמר נלכה הלוך לחלות את פני יהוה ולבקש את יהוה צבאות אלכה גם אני
(9738, -92, 5);[8, 10, 300, 40, 30];למשיח;2452;(25, 12, 4, 14, 2452);אפקח;4;(25, 12, 4, 55, 9738);ביום ההוא נאם יהוה אכה כל סוס בתמהון ורכבו בשגעון ועל בית יהודה אפקח את עיני וכל סוס העמים אכה בעורון
(6828, -98, 5);[6, 8, 10, 300, 40];משיחו;1718;(25, 8, 22, 11, 1718);ולחלות;1;(25, 8, 22, 46, 6828);ובאו עמים רבים וגוים עצומים לבקש את יהוה צבאות בירושלם ולחלות את פני יהוה
(6828, -98, 6);[6, 8, 10, 300, 40, 30];למשיחו;1718;(25, 8, 22, 11, 1718);ולחלות;1;(25, 8, 22, 46, 6828);ובאו עמים רבים וגוים עצומים לבקש את יהוה צבאות בירושלם ולחלות את פני יהוה
(12108, -78, 6);[6, 50, 8, 10, 300, 40];משיחנו;3045;(25, 14, 17, 10, 3045);להשתחות;6;(25, 14, 17, 40, 12108);והיה אשר לא יעלה מאת משפחות הארץ אל ירושלם להשתחות למלך יהוה צבאות ולא עליהם יהיה הגשם
