(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(4206, -100, 4);[8, 10, 300, 40];משיח;1143;(33, 5, 3, 6, 1143);תאחר;3;(33, 5, 3, 21, 4206);כאשר תדר נדר לאלהים אל תאחר לשלמו כי אין חפץ בכסילים את אשר תדר שלם
(3519, -99, 4);[8, 10, 300, 40];משיח;952;(33, 4, 6, 6, 952);חפנים;1;(33, 4, 6, 16, 3519);טוב מלא כף נחת ממלא חפנים עמל ורעות רוח
(7760, -98, 4);[8, 10, 300, 40];משיח;2137;(33, 8, 17, 15, 2137);תחת;2;(33, 8, 17, 53, 7760);וראיתי את כל מעשה האלהים כי לא יוכל האדם למצוא את המעשה אשר נעשה תחת השמש בשל אשר יעמל האדם לבקש ולא ימצא וגם אם יאמר החכם לדעת לא יוכל למצא
(5283, -96, 4);[8, 10, 300, 40];משיח;1439;(33, 6, 4, 4, 1439);ובחשך;3;(33, 6, 4, 11, 5283);כי בהבל בא ובחשך ילך ובחשך שמו יכסה
(8422, -89, 4);[8, 10, 300, 40];משיח;2323;(33, 9, 9, 27, 2323);תחת;2;(33, 9, 9, 86, 8422);ראה חיים עם אשה אשר אהבת כל ימי חיי הבלך אשר נתן לך תחת השמש כל ימי הבלך כי הוא חלקך בחיים ובעמלך אשר אתה עמל תחת השמש
(1707, -85, 4);[8, 10, 300, 40];משיח;447;(33, 2, 16, 15, 447);החכם;2;(33, 2, 16, 58, 1707);כי אין זכרון לחכם עם הכסיל לעולם בשכבר הימים הבאים הכל נשכח ואיך ימות החכם עם הכסיל
(8264, -83, 4);[8, 10, 300, 40];משיח;2276;(33, 9, 7, 4, 2276);לחמך;2;(33, 9, 7, 12, 8264);לך אכל בשמחה לחמך ושתה בלב טוב יינך כי כבר רצה האלהים את מעשיך
(1255, -81, 4);[8, 10, 300, 40];משיח;330;(33, 2, 9, 8, 330);חכמתי;1;(33, 2, 9, 34, 1255);וגדלתי והוספתי מכל שהיה לפני בירושלם אף חכמתי עמדה לי
(9466, -67, 4);[8, 10, 300, 40];משיח;2590;(33, 10, 14, 11, 2590);מאחריו;3;(33, 10, 14, 41, 9466);והסכל ירבה דברים לא ידע האדם מה שיהיה ואשר יהיה מאחריו מי יגיד לו
(3796, -61, 4);[8, 10, 300, 40];משיח;1031;(33, 4, 12, 7, 1031);והחוט;3;(33, 4, 12, 29, 3796);ואם יתקפו האחד השנים יעמדו נגדו והחוט המשלש לא במהרה ינתק
(509, -48, 4);[8, 10, 300, 40];משיח;136;(33, 1, 13, 6, 136);בחכמה;2;(33, 1, 13, 22, 509);ונתתי את לבי לדרוש ולתור בחכמה על כל אשר נעשה תחת השמים הוא ענין רע נתן אלהים לבני האדם לענות בו
(9767, -43, 4);[8, 10, 300, 40];משיח;2669;(33, 11, 2, 2, 2669);חלק;1;(33, 11, 2, 3, 9767);תן חלק לשבעה וגם לשמונה כי לא תדע מה יהיה רעה על הארץ
(10505, -41, 4);[8, 10, 300, 40];משיח;2863;(33, 12, 5, 4, 2863);וחתחתים;4;(33, 12, 5, 14, 10505);גם מגבה יראו וחתחתים בדרך וינאץ השקד ויסתבל החגב ותפר האביונה כי הלך האדם אל בית עולמו וסבבו בשוק הספדים
(2838, -20, 4);[8, 10, 300, 40];משיח;759;(33, 3, 16, 3, 759);תחת;2;(33, 3, 16, 11, 2838);ועוד ראיתי תחת השמש מקום המשפט שמה הרשע ומקום הצדק שמה הרשע
(3623, -9, 4);[8, 10, 300, 40];משיח;983;(33, 4, 8, 22, 983);ומחסר;3;(33, 4, 8, 66, 3623);יש אחד ואין שני גם בן ואח אין לו ואין קץ לכל עמלו גם עיניו לא תשבע עשר ולמי אני עמל ומחסר את נפשי מטובה גם זה הבל וענין רע הוא
(3202, -4, 4);[8, 10, 300, 40];משיח;862;(33, 3, 22, 11, 862);חלקו;1;(33, 3, 22, 38, 3202);וראיתי כי אין טוב מאשר ישמח האדם במעשיו כי הוא חלקו כי מי יביאנו לראות במה שיהיה אחריו
(10588, -4, 4);[8, 10, 300, 40];משיח;2884;(33, 12, 6, 5, 2884);חבל;1;(33, 12, 6, 12, 10588);עד אשר לא ירחק חבל הכסף ותרץ גלת הזהב ותשבר כד על המבוע ונרץ הגלגל אל הבור
(1707, -85, 5);[8, 10, 300, 40, 40];ממשיח;447;(33, 2, 16, 15, 447);החכם;2;(33, 2, 16, 58, 1707);כי אין זכרון לחכם עם הכסיל לעולם בשכבר הימים הבאים הכל נשכח ואיך ימות החכם עם הכסיל
(7760, -98, 5);[8, 10, 300, 40, 5];המשיח;2137;(33, 8, 17, 15, 2137);תחת;2;(33, 8, 17, 53, 7760);וראיתי את כל מעשה האלהים כי לא יוכל האדם למצוא את המעשה אשר נעשה תחת השמש בשל אשר יעמל האדם לבקש ולא ימצא וגם אם יאמר החכם לדעת לא יוכל למצא
(509, -48, 5);[8, 10, 300, 40, 5];המשיח;136;(33, 1, 13, 6, 136);בחכמה;2;(33, 1, 13, 22, 509);ונתתי את לבי לדרוש ולתור בחכמה על כל אשר נעשה תחת השמים הוא ענין רע נתן אלהים לבני האדם לענות בו
(509, -48, 6);[8, 10, 300, 40, 5, 40];מהמשיח;136;(33, 1, 13, 6, 136);בחכמה;2;(33, 1, 13, 22, 509);ונתתי את לבי לדרוש ולתור בחכמה על כל אשר נעשה תחת השמים הוא ענין רע נתן אלהים לבני האדם לענות בו
