(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(6050, -91, 4);[8, 10, 300, 40];משיח;1535;(34, 5, 8, 24, 1535);ומחר;3;(34, 5, 8, 85, 6050);אם מצאתי חן בעיני המלך ואם על המלך טוב לתת את שאלתי ולעשות את בקשתי יבוא המלך והמן אל המשתה אשר אעשה להם ומחר אעשה כדבר המלך
(11592, -90, 4);[8, 10, 300, 40];משיח;2922;(34, 9, 28, 8, 2922);משפחה;4;(34, 9, 28, 36, 11592);והימים האלה נזכרים ונעשים בכל דור ודור משפחה ומשפחה מדינה ומדינה ועיר ועיר וימי הפורים האלה לא יעברו מתוך היהודים וזכרם לא יסוף מזרעם
(11162, -82, 4);[8, 10, 300, 40];משיח;2812;(34, 9, 22, 20, 2812);ושמחה;4;(34, 9, 22, 86, 11162);כימים אשר נחו בהם היהודים מאויביהם והחדש אשר נהפך להם מיגון לשמחה ומאבל ליום טוב לעשות אותם ימי משתה ושמחה ומשלוח מנות איש לרעהו ומתנות לאביונים
(10683, -80, 4);[8, 10, 300, 40];משיח;2695;(34, 9, 16, 14, 2695);חמשה;1;(34, 9, 16, 63, 10683);ושאר היהודים אשר במדינות המלך נקהלו ועמד על נפשם ונוח מאיביהם והרג בשנאיהם חמשה ושבעים אלף ובבזה לא שלחו את ידם
(11686, -66, 4);[8, 10, 300, 40];משיח;2943;(34, 9, 29, 5, 2943);אביחיל;4;(34, 9, 29, 20, 11686);ותכתב אסתר המלכה בת אביחיל ומרדכי היהודי את כל תקף לקים את אגרת הפורים הזאת השנית
(4247, -56, 4);[8, 10, 300, 40];משיח;1075;(34, 3, 13, 24, 1075);לחדש;2;(34, 3, 13, 94, 4247);ונשלוח ספרים ביד הרצים אל כל מדינות המלך להשמיד להרג ולאבד את כל היהודים מנער ועד זקן טף ונשים ביום אחד בשלושה עשר לחדש שנים עשר הוא חדש אדר ושללם לבוז
(11592, -21, 4);[8, 10, 300, 40];משיח;2922;(34, 9, 28, 8, 2922);משפחה;4;(34, 9, 28, 36, 11592);והימים האלה נזכרים ונעשים בכל דור ודור משפחה ומשפחה מדינה ומדינה ועיר ועיר וימי הפורים האלה לא יעברו מתוך היהודים וזכרם לא יסוף מזרעם
(9504, -20, 4);[8, 10, 300, 40];משיח;2412;(34, 8, 15, 8, 2412);וחור;2;(34, 8, 15, 34, 9504);ומרדכי יצא מלפני המלך בלבוש מלכות תכלת וחור ועטרת זהב גדולה ותכריך בוץ וארגמן והעיר שושן צהלה ושמחה
(6889, -15, 4);[8, 10, 300, 40];משיח;1762;(34, 6, 6, 17, 1762);יחפץ;2;(34, 6, 6, 62, 6889);ויבוא המן ויאמר לו המלך מה לעשות באיש אשר המלך חפץ ביקרו ויאמר המן בלבו למי יחפץ המלך לעשות יקר יותר ממני
(138, -8, 4);[8, 10, 300, 40];משיח;33;(34, 1, 3, 9, 33);חיל;1;(34, 1, 3, 34, 138);בשנת שלוש למלכו עשה משתה לכל שריו ועבדיו חיל פרס ומדי הפרתמים ושרי המדינות לפניו
(11752, -66, 5);[10, 8, 10, 300, 40];משיחי;2959;(34, 9, 30, 5, 2959);היהודים;6;(34, 9, 30, 20, 11752);וישלח ספרים אל כל היהודים אל שבע ועשרים ומאה מדינה מלכות אחשורוש דברי שלום ואמת
(11613, -21, 5);[10, 8, 10, 300, 40];משיחי;2926;(34, 9, 28, 12, 2926);ועיר;3;(34, 9, 28, 57, 11613);והימים האלה נזכרים ונעשים בכל דור ודור משפחה ומשפחה מדינה ומדינה ועיר ועיר וימי הפורים האלה לא יעברו מתוך היהודים וזכרם לא יסוף מזרעם
(9524, -20, 5);[10, 8, 10, 300, 40];משיחי;2416;(34, 8, 15, 12, 2416);ותכריך;5;(34, 8, 15, 54, 9524);ומרדכי יצא מלפני המלך בלבוש מלכות תכלת וחור ועטרת זהב גדולה ותכריך בוץ וארגמן והעיר שושן צהלה ושמחה
(6904, -15, 5);[10, 8, 10, 300, 40];משיחי;1766;(34, 6, 6, 21, 1766);יותר;1;(34, 6, 6, 77, 6904);ויבוא המן ויאמר לו המלך מה לעשות באיש אשר המלך חפץ ביקרו ויאמר המן בלבו למי יחפץ המלך לעשות יקר יותר ממני
(10763, -80, 5);[5, 8, 10, 300, 40];משיחה;2716;(34, 9, 17, 14, 2716);ושמחה;5;(34, 9, 17, 52, 10763);ביום שלשה עשר לחדש אדר ונוח בארבעה עשר בו ועשה אתו יום משתה ושמחה
