(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(6055, -90, 4);[8, 10, 300, 40];משיח;1479;(35, 3, 18, 11, 1479);פלחין;3;(35, 3, 18, 38, 6055);והן לא ידיע להוא לך מלכא די לאלהיך לא איתינא פלחין ולצלם דהבא די הקימת לא נסגד
(16031, -87, 4);[8, 10, 300, 40];משיח;3914;(35, 7, 27, 6, 3914);תחות;2;(35, 7, 27, 28, 16031);ומלכותה ושלטנא ורבותא די מלכות תחות כל שמיא יהיבת לעם קדישי עליונין מלכותה מלכות עלם וכל שלטניא לה יפלחון וישתמעון
(19632, -86, 4);[8, 10, 300, 40];משיח;4774;(35, 9, 27, 5, 4774);אחד;2;(35, 9, 27, 21, 19632);והגביר ברית לרבים שבוע אחד וחצי השבוע ישבית זבח ומנחה ועל כנף שקוצים משמם ועד כלה ונחרצה תתך על שמם
(6098, -85, 4);[8, 10, 300, 40];משיח;1489;(35, 3, 19, 4, 1489);חמא;1;(35, 3, 19, 19, 6098);באדין נבוכדנצר התמלי חמא וצלם אנפוהי אשתנו על שדרך מישך ועבד נגו ענה ואמר למזא לאתונא חד שבעה על די חזה למזיה
(10855, -71, 4);[8, 10, 300, 40];משיח;2637;(35, 5, 14, 11, 2637);השתכחת;5;(35, 5, 14, 49, 10855);ושמעת עליך די רוח אלהין בך ונהירו ושכלתנו וחכמה יתירה השתכחת בך
(11648, -64, 4);[8, 10, 300, 40];משיח;2831;(35, 5, 23, 31, 2831);שבחת;3;(35, 5, 23, 135, 11648);ועל מרא שמיא התרוממת ולמאניא די ביתה היתיו קדמיך ואנתה ורברבניך שגלתך ולחנתך חמרא שתין בהון ולאלהי כספא ודהבא נחשא פרזלא אעא ואבנא די לא חזין ולא שמעין ולא ידעין שבחת ולאלהא די נשמתך בידה וכל ארחתך לה לא הדרת
(20223, -64, 4);[8, 10, 300, 40];משיח;4921;(35, 10, 8, 19, 4921);כח;2;(35, 10, 8, 74, 20223);ואני נשארתי לבדי ואראה את המראה הגדלה הזאת ולא נשאר בי כח והודי נהפך עלי למשחית ולא עצרתי כח
(19599, -53, 4);[8, 10, 300, 40];משיח;4767;(35, 9, 26, 19, 4767);מלחמה;3;(35, 9, 26, 74, 19599);ואחרי השבעים ששים ושנים יכרת משיח ואין לו והעיר והקדש ישחית עם נגיד הבא וקצו בשטף ועד קץ מלחמה נחרצת שממות
(19955, -45, 4);[8, 10, 300, 40];משיח;4858;(35, 10, 5, 7, 4858);אחד;2;(35, 10, 5, 23, 19955);ואשא את עיני וארא והנה איש אחד לבוש בדים ומתניו חגרים בכתם אופז
(4297, -44, 4);[8, 10, 300, 40];משיח;1062;(35, 2, 45, 15, 1062);חספא;1;(35, 2, 45, 51, 4297);כל קבל די חזית די מטורא אתגזרת אבן די לא בידין והדקת פרזלא נחשא חספא כספא ודהבא אלה רב הודע למלכא מה די להוא אחרי דנה ויציב חלמא ומהימן פשרה
