(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(11227, -97, 4);[8, 10, 300, 40];משיח;2766;(38, 7, 5, 3, 2766);משפחות;4;(38, 7, 5, 13, 11227);ואחיהם לכל משפחות יששכר גבורי חילים שמונים ושבעה אלף התיחשם לכל
(26848, -95, 4);[8, 10, 300, 40];משיח;6500;(38, 17, 11, 11, 6500);אחריך;2;(38, 17, 11, 41, 26848);והיה כי מלאו ימיך ללכת עם אבתיך והקימותי את זרעך אחריך אשר יהיה מבניך והכינותי את מלכותו
(35466, -93, 4);[8, 10, 300, 40];משיח;8658;(38, 24, 6, 22, 8658);אחד;2;(38, 24, 6, 95, 35466);ויכתבם שמעיה בן נתנאל הסופר מן הלוי לפני המלך והשרים וצדוק הכהן ואחימלך בן אביתר וראשי האבות לכהנים וללוים בית אב אחד אחז לאלעזר ואחז אחז לאיתמר
(12810, -88, 4);[8, 10, 300, 40];משיח;3141;(38, 8, 1, 8, 3141);ואחרח;5;(38, 8, 1, 33, 12810);ובנימן הוליד את בלע בכרו אשבל השני ואחרח השלישי
(20757, -88, 4);[8, 10, 300, 40];משיח;5047;(38, 12, 35, 6, 5047);וחנית;2;(38, 12, 35, 25, 20757);ומנפתלי שרים אלף ועמהם בצנה וחנית שלשים ושבעה אלף
(22904, -88, 4);[8, 10, 300, 40];משיח;5575;(38, 15, 2, 14, 5575);בחר;2;(38, 15, 2, 42, 22904);אז אמר דויד לא לשאת את ארון האלהים כי אם הלוים כי בם בחר יהוה לשאת את ארון יהוה ולשרתו עד עולם
(2398, -85, 4);[8, 10, 300, 40];משיח;600;(38, 2, 21, 1, 600);ואחר;3;(38, 2, 21, 3, 2398);ואחר בא חצרון אל בת מכיר אבי גלעד והוא לקחה והוא בן ששים שנה ותלד לו את שגוב
(24787, -79, 4);[8, 10, 300, 40];משיח;5988;(38, 16, 6, 4, 5988);בחצצרות;2;(38, 16, 6, 21, 24787);ובניהו ויחזיאל הכהנים בחצצרות תמיד לפני ארון ברית האלהים
(31531, -79, 4);[8, 10, 300, 40];משיח;7701;(38, 21, 16, 14, 7701);וחרבו;2;(38, 21, 16, 50, 31531);וישא דויד את עיניו וירא את מלאך יהוה עמד בין הארץ ובין השמים וחרבו שלופה בידו נטויה על ירושלם ויפל דויד והזקנים מכסים בשקים על פניהם
(9547, -76, 4);[8, 10, 300, 40];משיח;2367;(38, 6, 36, 5, 2367);זרחיה;3;(38, 6, 36, 15, 9547);בקי בנו עזי בנו זרחיה בנו
(38525, -74, 4);[8, 10, 300, 40];משיח;9333;(38, 26, 21, 10, 9333);יחיאלי;2;(38, 26, 21, 43, 38525);בני לעדן בני הגרשני ללעדן ראשי האבות ללעדן הגרשני יחיאלי
(34391, -73, 4);[8, 10, 300, 40];משיח;8409;(38, 23, 19, 7, 8409);יחזיאל;2;(38, 23, 19, 28, 34391);בני חברון יריהו הראש אמריה השני יחזיאל השלישי ויקמעם הרביעי
(36930, -71, 4);[8, 10, 300, 40];משיח;8981;(38, 25, 10, 4, 8981);ואחיו;3;(38, 25, 10, 16, 36930);השלשי זכור בניו ואחיו שנים עשר
(4171, -70, 4);[8, 10, 300, 40];משיח;1050;(38, 3, 11, 3, 1050);אחזיהו;2;(38, 3, 11, 9, 4171);יורם בנו אחזיהו בנו יואש בנו
(33943, -69, 4);[8, 10, 300, 40];משיח;8302;(38, 23, 8, 4, 8302);יחיאל;2;(38, 23, 8, 13, 33943);בני לעדן הראש יחיאל וזתם ויואל שלשה
(3588, -66, 4);[8, 10, 300, 40];משיח;921;(38, 2, 52, 9, 921);המנחות;4;(38, 2, 52, 37, 3588);ויהיו בנים לשובל אבי קרית יערים הראה חצי המנחות
(4546, -57, 4);[8, 10, 300, 40];משיח;1133;(38, 3, 22, 8, 1133);ובריח;5;(38, 3, 22, 37, 4546);ובני שכניה שמעיה ובני שמעיה חטוש ויגאל ובריח ונעריה ושפט ששה
(34391, -57, 4);[8, 10, 300, 40];משיח;8409;(38, 23, 19, 7, 8409);יחזיאל;2;(38, 23, 19, 28, 34391);בני חברון יריהו הראש אמריה השני יחזיאל השלישי ויקמעם הרביעי
(37267, -56, 4);[8, 10, 300, 40];משיח;9058;(38, 25, 22, 5, 9058);ואחיו;3;(38, 25, 22, 21, 37267);לחמשה עשר לירמות בניו ואחיו שנים עשר
(20757, -51, 4);[8, 10, 300, 40];משיח;5047;(38, 12, 35, 6, 5047);וחנית;2;(38, 12, 35, 25, 20757);ומנפתלי שרים אלף ועמהם בצנה וחנית שלשים ושבעה אלף
(5860, -50, 4);[8, 10, 300, 40];משיח;1461;(38, 4, 27, 12, 1461);משפחתם;4;(38, 4, 27, 47, 5860);ולשמעי בנים ששה עשר ובנות שש ולאחיו אין בנים רבים וכל משפחתם לא הרבו עד בני יהודה
(168, -47, 4);[8, 10, 300, 40];משיח;43;(38, 1, 9, 4, 43);וחוילה;2;(38, 1, 9, 12, 168);ובני כוש סבא וחוילה וסבתא ורעמא וסבתכא ובני רעמא שבא ודדן
(37731, -42, 4);[8, 10, 300, 40];משיח;9156;(38, 26, 4, 8, 9156);יואח;4;(38, 26, 4, 36, 37731);ולעבד אדם בנים שמעיה הבכור יהוזבד השני יואח השלשי ושכר הרביעי ונתנאל החמישי
(31441, -41, 4);[8, 10, 300, 40];משיח;7676;(38, 21, 15, 14, 7676);המשחית;4;(38, 21, 15, 68, 31441);וישלח האלהים מלאך לירושלם להשחיתה וכהשחית ראה יהוה וינחם על הרעה ויאמר למלאך המשחית רב עתה הרף ידך ומלאך יהוה עמד עם גרן ארנן היבוסי
(13265, -39, 4);[8, 10, 300, 40];משיח;3252;(38, 8, 16, 3, 3252);ויוחא;4;(38, 8, 16, 15, 13265);ומיכאל וישפה ויוחא בני בריעה
(36103, -39, 4);[8, 10, 300, 40];משיח;8795;(38, 24, 28, 1, 8795);למחלי;3;(38, 24, 28, 3, 36103);למחלי אלעזר ולא היה לו בנים
(689, -34, 4);[8, 10, 300, 40];משיח;178;(38, 1, 26, 3, 178);תרח;3;(38, 1, 26, 11, 689);שרוג נחור תרח
(24326, -33, 4);[8, 10, 300, 40];משיח;5886;(38, 15, 28, 11, 5886);ובחצצרות;3;(38, 15, 28, 45, 24326);וכל ישראל מעלים את ארון ברית יהוה בתרועה ובקול שופר ובחצצרות ובמצלתים משמעים בנבלים וכנרות
(37666, -30, 4);[8, 10, 300, 40];משיח;9144;(38, 26, 3, 2, 9144);החמישי;2;(38, 26, 3, 6, 37666);עילם החמישי יהוחנן הששי אליהועיני השביעי
(14915, -29, 4);[8, 10, 300, 40];משיח;3646;(38, 9, 19, 8, 3646);ואחיו;3;(38, 9, 19, 26, 14915);ושלום בן קורא בן אביסף בן קרח ואחיו לבית אביו הקרחים על מלאכת העבודה שמרי הספים לאהל ואבתיהם על מחנה יהוה שמרי המבוא
(29408, -29, 4);[8, 10, 300, 40];משיח;7149;(38, 19, 10, 12, 7149);בחור;2;(38, 19, 10, 46, 29408);וירא יואב כי היתה פני המלחמה אליו פנים ואחור ויבחר מכל בחור בישראל ויערך לקראת ארם
(23158, -26, 4);[8, 10, 300, 40];משיח;5638;(38, 15, 9, 5, 5638);ואחיו;3;(38, 15, 9, 20, 23158);לבני חברון אליאל השר ואחיו שמונים
(29123, -23, 4);[8, 10, 300, 40];משיח;7078;(38, 19, 6, 8, 7078);וישלח;5;(38, 19, 6, 31, 29123);ויראו בני עמון כי התבאשו עם דויד וישלח חנון ובני עמון אלף ככר כסף לשכר להם מן ארם נהרים ומן ארם מעכה ומצובה רכב ופרשים
(7145, -19, 4);[8, 10, 300, 40];משיח;1765;(38, 5, 14, 3, 1765);אביחיל;4;(38, 5, 14, 10, 7145);אלה בני אביחיל בן חורי בן ירוח בן גלעד בן מיכאל בן ישישי בן יחדו בן בוז
