(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(14961, -100, 4);[8, 10, 300, 40];משיח;4005;(1, 12, 16, 10, 4005);ושפחת;4;(1, 12, 16, 46, 14961);ולאברם היטיב בעבורה ויהי לו צאן ובקר וחמרים ועבדים ושפחת ואתנת וגמלים
(22062, -100, 4);[8, 10, 300, 40];משיח;5886;(1, 18, 31, 14, 5886);אשחית;3;(1, 18, 31, 53, 22062);ויאמר הנה נא הואלתי לדבר אל אדני אולי ימצאון שם עשרים ויאמר לא אשחית בעבור העשרים
(119043, -100, 4);[8, 10, 300, 40];משיח;31405;(2, 28, 15, 5, 31405);חשב;1;(2, 28, 15, 17, 119043);ועשית חשן משפט מעשה חשב כמעשה אפד תעשנו זהב תכלת וארגמן ותולעת שני ושש משזר תעשה אתו
(151517, -100, 4);[8, 10, 300, 40];משיח;39971;(3, 8, 15, 1, 39971);וישחט;4;(3, 8, 15, 4, 151517);וישחט ויקח משה את הדם ויתן על קרנות המזבח סביב באצבעו ויחטא את המזבח ואת הדם יצק אל יסוד המזבח ויקדשהו לכפר עליו
(183054, -100, 4);[8, 10, 300, 40];משיח;48416;(3, 26, 16, 12, 48416);הקדחת;4;(3, 26, 16, 45, 183054);אף אני אעשה זאת לכם והפקדתי עליכם בהלה את השחפת ואת הקדחת מכלות עינים ומדיבת נפש וזרעתם לריק זרעכם ואכלהו איביכם
(20040, -99, 4);[8, 10, 300, 40];משיח;5366;(1, 17, 19, 12, 5366);יצחק;3;(1, 17, 19, 41, 20040);ויאמר אלהים אבל שרה אשתך ילדת לך בן וקראת את שמו יצחק והקמתי את בריתי אתו לברית עולם לזרעו אחריו
(38488, -99, 4);[8, 10, 300, 40];משיח;10231;(1, 27, 45, 6, 10231);ושכח;4;(1, 27, 45, 18, 38488);עד שוב אף אחיך ממך ושכח את אשר עשית לו ושלחתי ולקחתיך משם למה אשכל גם שניכם יום אחד
(89908, -99, 4);[8, 10, 300, 40];משיח;23684;(2, 9, 7, 1, 23684);וישלח;5;(2, 9, 7, 5, 89908);וישלח פרעה והנה לא מת ממקנה ישראל עד אחד ויכבד לב פרעה ולא שלח את העם
(217513, -99, 4);[8, 10, 300, 40];משיח;57328;(4, 17, 6, 6, 57328);ממחרת;3;(4, 17, 6, 21, 217513);וילנו כל עדת בני ישראל ממחרת על משה ועל אהרן לאמר אתם המתם את עם יהוה
(27120, -98, 4);[8, 10, 300, 40];משיח;7238;(1, 22, 3, 4, 7238);ויחבש;3;(1, 22, 3, 17, 27120);וישכם אברהם בבקר ויחבש את חמרו ויקח את שני נעריו אתו ואת יצחק בנו ויבקע עצי עלה ויקם וילך אל המקום אשר אמר לו האלהים
