(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(14961, -100, 4);[8, 10, 300, 40];משיח;4005;(1, 12, 16, 10, 4005);ושפחת;4;(1, 12, 16, 46, 14961);ולאברם היטיב בעבורה ויהי לו צאן ובקר וחמרים ועבדים ושפחת ואתנת וגמלים
(22062, -100, 4);[8, 10, 300, 40];משיח;5886;(1, 18, 31, 14, 5886);אשחית;3;(1, 18, 31, 53, 22062);ויאמר הנה נא הואלתי לדבר אל אדני אולי ימצאון שם עשרים ויאמר לא אשחית בעבור העשרים
(119043, -100, 4);[8, 10, 300, 40];משיח;31405;(2, 28, 15, 5, 31405);חשב;1;(2, 28, 15, 17, 119043);ועשית חשן משפט מעשה חשב כמעשה אפד תעשנו זהב תכלת וארגמן ותולעת שני ושש משזר תעשה אתו
(151517, -100, 4);[8, 10, 300, 40];משיח;39971;(3, 8, 15, 1, 39971);וישחט;4;(3, 8, 15, 4, 151517);וישחט ויקח משה את הדם ויתן על קרנות המזבח סביב באצבעו ויחטא את המזבח ואת הדם יצק אל יסוד המזבח ויקדשהו לכפר עליו
(183054, -100, 4);[8, 10, 300, 40];משיח;48416;(3, 26, 16, 12, 48416);הקדחת;4;(3, 26, 16, 45, 183054);אף אני אעשה זאת לכם והפקדתי עליכם בהלה את השחפת ואת הקדחת מכלות עינים ומדיבת נפש וזרעתם לריק זרעכם ואכלהו איביכם
(396728, -100, 4);[8, 10, 300, 40];משיח;103255;(8, 10, 2, 9, 103255);רחל;2;(8, 10, 2, 35, 396728);בלכתך היום מעמדי ומצאת שני אנשים עם קברת רחל בגבול בנימן בצלצח ואמרו אליך נמצאו האתנות אשר הלכת לבקש והנה נטש אביך את דברי האתנות ודאג לכם לאמר מה אעשה לבני
(398155, -100, 4);[8, 10, 300, 40];משיח;103614;(8, 10, 24, 8, 103614);בחר;2;(8, 10, 24, 28, 398155);ויאמר שמואל אל כל העם הראיתם אשר בחר בו יהוה כי אין כמהו בכל העם וירעו כל העם ויאמרו יחי המלך
(521555, -100, 4);[8, 10, 300, 40];משיח;135759;(10, 20, 27, 12, 135759);חשפי;1;(10, 20, 27, 54, 521555);ובני ישראל התפקדו וכלכלו וילכו לקראתם ויחנו בני ישראל נגדם כשני חשפי עזים וארם מלאו את הארץ
(794385, -100, 4);[8, 10, 300, 40];משיח;205259;(14, 44, 17, 5, 205259);החצר;2;(14, 44, 17, 17, 794385);והיה בבואם אל שערי החצר הפנימית בגדי פשתים ילבשו ולא יעלה עליהם צמר בשרתם בשערי החצר הפנימית וביתה
(930801, -100, 4);[8, 10, 300, 40];משיח;239424;(27, 135, 18, 6, 239424);בטח;3;(27, 135, 18, 22, 930801);כמוהם יהיו עשיהם כל אשר בטח בהם
