(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(51631, -100, 4);[8, 10, 300, 40];משיח;12487;(39, 6, 21, 3, 12487);תחנוני;2;(39, 6, 21, 9, 51631);ושמעת אל תחנוני עבדך ועמך ישראל אשר יתפללו אל המקום הזה ואתה תשמע ממקום שבתך מן השמים ושמעת וסלחת
(11227, -97, 4);[8, 10, 300, 40];משיח;2766;(38, 7, 5, 3, 2766);משפחות;4;(38, 7, 5, 13, 11227);ואחיהם לכל משפחות יששכר גבורי חילים שמונים ושבעה אלף התיחשם לכל
(89603, -96, 4);[8, 10, 300, 40];משיח;21717;(39, 31, 21, 15, 21717);והצליח;6;(39, 31, 21, 67, 89603);ובכל מעשה אשר החל בעבודת בית האלהים ובתורה ובמצוה לדרש לאלהיו בכל לבבו עשה והצליח
(26848, -95, 4);[8, 10, 300, 40];משיח;6500;(38, 17, 11, 11, 6500);אחריך;2;(38, 17, 11, 41, 26848);והיה כי מלאו ימיך ללכת עם אבתיך והקימותי את זרעך אחריך אשר יהיה מבניך והכינותי את מלכותו
(49112, -95, 4);[8, 10, 300, 40];משיח;11857;(39, 4, 18, 12, 11857);הנחשת;3;(39, 4, 18, 40, 49112);ויעש שלמה כל הכלים האלה לרב מאד כי לא נחקר משקל הנחשת
(35466, -93, 4);[8, 10, 300, 40];משיח;8658;(38, 24, 6, 22, 8658);אחד;2;(38, 24, 6, 95, 35466);ויכתבם שמעיה בן נתנאל הסופר מן הלוי לפני המלך והשרים וצדוק הכהן ואחימלך בן אביתר וראשי האבות לכהנים וללוים בית אב אחד אחז לאלעזר ואחז אחז לאיתמר
(89492, -93, 4);[8, 10, 300, 40];משיח;21693;(39, 31, 20, 3, 21693);יחזקיהו;2;(39, 31, 20, 10, 89492);ויעש כזאת יחזקיהו בכל יהודה ויעש הטוב והישר והאמת לפני יהוה אלהיו
(60357, -89, 4);[8, 10, 300, 40];משיח;14672;(39, 12, 1, 4, 14672);רחבעם;2;(39, 12, 1, 16, 60357);ויהי כהכין מלכות רחבעם וכחזקתו עזב את תורת יהוה וכל ישראל עמו
(61373, -89, 4);[8, 10, 300, 40];משיח;14921;(39, 12, 16, 11, 14921);תחתיו;2;(39, 12, 16, 44, 61373);וישכב רחבעם עם אבתיו ויקבר בעיר דויד וימלך אביה בנו תחתיו
(12810, -88, 4);[8, 10, 300, 40];משיח;3141;(38, 8, 1, 8, 3141);ואחרח;5;(38, 8, 1, 33, 12810);ובנימן הוליד את בלע בכרו אשבל השני ואחרח השלישי
