(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(3953, -98, 4);[8, 10, 300, 40];משיח;1012;(5, 2, 26, 1, 1012);ואשלח;5;(5, 2, 26, 5, 3953);ואשלח מלאכים ממדבר קדמות אל סיחון מלך חשבון דברי שלום לאמר
(36290, -96, 4);[8, 10, 300, 40];משיח;9468;(5, 23, 15, 6, 9468);מחנך;2;(5, 23, 15, 22, 36290);כי יהוה אלהיך מתהלך בקרב מחנך להצילך ולתת איביך לפניך והיה מחניך קדוש ולא יראה בך ערות דבר ושב מאחריך
(9148, -95, 4);[8, 10, 300, 40];משיח;2364;(5, 4, 42, 18, 2364);אחת;2;(5, 4, 42, 58, 9148);לנס שמה רוצח אשר ירצח את רעהו בבלי דעת והוא לא שנא לו מתמול שלשום ונס אל אחת מן הערים האל וחי
(3888, -91, 4);[8, 10, 300, 40];משיח;996;(5, 2, 25, 3, 996);אחל;2;(5, 2, 25, 9, 3888);היום הזה אחל תת פחדך ויראתך על פני העמים תחת כל השמים אשר ישמעון שמעך ורגזו וחלו מפניך
(3877, -84, 4);[8, 10, 300, 40];משיח;993;(5, 2, 24, 21, 993);מלחמה;3;(5, 2, 24, 73, 3877);קומו סעו ועברו את נחל ארנן ראה נתתי בידך את סיחן מלך חשבון האמרי ואת ארצו החל רש והתגר בו מלחמה
(17739, -79, 4);[8, 10, 300, 40];משיח;4551;(5, 10, 6, 16, 4551);תחתיו;2;(5, 10, 6, 60, 17739);ובני ישראל נסעו מבארת בני יעקן מוסרה שם מת אהרן ויקבר שם ויכהן אלעזר בנו תחתיו
(31821, -78, 4);[8, 10, 300, 40];משיח;8251;(5, 20, 5, 13, 8251);חנכו;1;(5, 20, 5, 42, 31821);ודברו השטרים אל העם לאמר מי האיש אשר בנה בית חדש ולא חנכו ילך וישב לביתו פן ימות במלחמה ואיש אחר יחנכנו
(26447, -76, 4);[8, 10, 300, 40];משיח;6806;(5, 15, 20, 9, 6806);יבחר;3;(5, 15, 20, 37, 26447);לפני יהוה אלהיך תאכלנו שנה בשנה במקום אשר יבחר יהוה אתה וביתך
(51805, -75, 4);[8, 10, 300, 40];משיח;13478;(5, 32, 30, 3, 13478);אחד;2;(5, 32, 30, 10, 51805);איכה ירדף אחד אלף ושנים יניסו רבבה אם לא כי צורם מכרם ויהוה הסגירם
(14285, -74, 4);[8, 10, 300, 40];משיח;3672;(5, 8, 1, 10, 3672);תחיון;2;(5, 8, 1, 39, 14285);כל המצוה אשר אנכי מצוך היום תשמרון לעשות למען תחיון ורביתם ובאתם וירשתם את הארץ אשר נשבע יהוה לאבתיכם
(27554, -72, 4);[8, 10, 300, 40];משיח;7087;(5, 16, 16, 16, 7087);ובחג;3;(5, 16, 16, 61, 27554);שלוש פעמים בשנה יראה כל זכורך את פני יהוה אלהיך במקום אשר יבחר בחג המצות ובחג השבעות ובחג הסכות ולא יראה את פני יהוה ריקם
(31085, -72, 4);[8, 10, 300, 40];משיח;8052;(5, 19, 12, 4, 8052);ולקחו;4;(5, 19, 12, 17, 31085);ושלחו זקני עירו ולקחו אתו משם ונתנו אתו ביד גאל הדם ומת
(43167, -64, 4);[8, 10, 300, 40];משיח;11255;(5, 28, 31, 2, 11255);טבוח;4;(5, 28, 31, 8, 43167);שורך טבוח לעיניך ולא תאכל ממנו חמרך גזול מלפניך ולא ישוב לך צאנך נתנות לאיביך ואין לך מושיע
(14697, -60, 4);[8, 10, 300, 40];משיח;3780;(5, 8, 8, 2, 3780);חטה;1;(5, 8, 8, 4, 14697);ארץ חטה ושערה וגפן ותאנה ורמון ארץ זית שמן ודבש
(50500, -59, 4);[8, 10, 300, 40];משיח;13145;(5, 31, 29, 17, 13145);באחרית;3;(5, 31, 29, 66, 50500);כי ידעתי אחרי מותי כי השחת תשחתון וסרתם מן הדרך אשר צויתי אתכם וקראת אתכם הרעה באחרית הימים כי תעשו את הרע בעיני יהוה להכעיסו במעשה ידיכם
(38012, -57, 4);[8, 10, 300, 40];משיח;9932;(5, 24, 21, 6, 9932);אחריך;2;(5, 24, 21, 19, 38012);כי תבצר כרמך לא תעולל אחריך לגר ליתום ולאלמנה יהיה
(51923, -56, 4);[8, 10, 300, 40];משיח;13508;(5, 32, 33, 1, 13508);חמת;1;(5, 32, 33, 1, 51923);חמת תנינם יינם וראש פתנים אכזר
(21053, -52, 4);[8, 10, 300, 40];משיח;5392;(5, 12, 7, 6, 5392);ושמחתם;4;(5, 12, 7, 26, 21053);ואכלתם שם לפני יהוה אלהיכם ושמחתם בכל משלח ידכם אתם ובתיכם אשר ברכך יהוה אלהיך
(46342, -52, 4);[8, 10, 300, 40];משיח;12074;(5, 29, 17, 8, 12074);משפחה;4;(5, 29, 17, 21, 46342);פן יש בכם איש או אשה או משפחה או שבט אשר לבבו פנה היום מעם יהוה אלהינו ללכת לעבד את אלהי הגוים ההם פן יש בכם שרש פרה ראש ולענה
(16655, -50, 4);[8, 10, 300, 40];משיח;4278;(5, 9, 18, 19, 4278);חטאתם;1;(5, 9, 18, 75, 16655);ואתנפל לפני יהוה כראשנה ארבעים יום וארבעים לילה לחם לא אכלתי ומים לא שתיתי על כל חטאתכם אשר חטאתם לעשות הרע בעיני יהוה להכעיסו
(7696, -49, 4);[8, 10, 300, 40];משיח;1991;(5, 4, 20, 12, 1991);נחלה;2;(5, 4, 20, 48, 7696);ואתכם לקח יהוה ויוצא אתכם מכור הברזל ממצרים להיות לו לעם נחלה כיום הזה
(52313, -49, 4);[8, 10, 300, 40];משיח;13612;(5, 32, 42, 8, 13612);חלל;1;(5, 32, 42, 27, 52313);אשכיר חצי מדם וחרבי תאכל בשר מדם חלל ושביה מראש פרעות אויב
(32833, -48, 4);[8, 10, 300, 40];משיח;8523;(5, 21, 3, 5, 8523);החלל;2;(5, 21, 3, 17, 32833);והיה העיר הקרבה אל החלל ולקחו זקני העיר ההוא עגלת בקר אשר לא עבד בה אשר לא משכה בעל
(766, -47, 4);[8, 10, 300, 40];משיח;194;(5, 1, 15, 6, 194);חכמים;1;(5, 1, 15, 22, 766);ואקח את ראשי שבטיכם אנשים חכמים וידעים ואתן אתם ראשים עליכם שרי אלפים ושרי מאות ושרי חמשים ושרי עשרת ושטרים לשבטיכם
(20774, -47, 4);[8, 10, 300, 40];משיח;5328;(5, 12, 2, 21, 5328);ותחת;3;(5, 12, 2, 79, 20774);אבד תאבדון את כל המקמות אשר עבדו שם הגוים אשר אתם ירשים אתם את אלהיהם על ההרים הרמים ועל הגבעות ותחת כל עץ רענן
(32584, -47, 4);[8, 10, 300, 40];משיח;8452;(5, 20, 19, 11, 8452);תשחית;3;(5, 20, 19, 38, 32584);כי תצור אל עיר ימים רבים להלחם עליה לתפשה לא תשחית את עצה לנדח עליו גרזן כי ממנו תאכל ואתו לא תכרת כי האדם עץ השדה לבא מפניך במצור
(28026, -44, 4);[8, 10, 300, 40];משיח;7218;(5, 17, 3, 5, 7218);וישתחו;5;(5, 17, 3, 24, 28026);וילך ויעבד אלהים אחרים וישתחו להם ולשמש או לירח או לכל צבא השמים אשר לא צויתי
(31506, -44, 4);[8, 10, 300, 40];משיח;8166;(5, 19, 21, 2, 8166);תחוס;2;(5, 19, 21, 5, 31506);ולא תחוס עינך נפש בנפש עין בעין שן בשן יד ביד רגל ברגל
(14159, -39, 4);[8, 10, 300, 40];משיח;3638;(5, 7, 25, 10, 3638);ולקחת;4;(5, 7, 25, 42, 14159);פסילי אלהיהם תשרפון באש לא תחמד כסף וזהב עליהם ולקחת לך פן תוקש בו כי תועבת יהוה אלהיך הוא
(22846, -36, 4);[8, 10, 300, 40];משיח;5858;(5, 13, 4, 9, 5858);חולם;1;(5, 13, 4, 26, 22846);לא תשמע אל דברי הנביא ההוא או אל חולם החלום ההוא כי מנסה יהוה אלהיכם אתכם לדעת הישכם אהבים את יהוה אלהיכם בכל לבבכם ובכל נפשכם
(34373, -36, 4);[8, 10, 300, 40];משיח;8942;(5, 22, 6, 12, 8942);אפרחים;4;(5, 22, 6, 38, 34373);כי יקרא קן צפור לפניך בדרך בכל עץ או על הארץ אפרחים או ביצים והאם רבצת על האפרחים או על הביצים לא תקח האם על הבנים
(11922, -34, 4);[8, 10, 300, 40];משיח;3084;(5, 6, 12, 4, 3084);תשכח;4;(5, 6, 12, 12, 11922);השמר לך פן תשכח את יהוה אשר הוציאך מארץ מצרים מבית עבדים
(3737, -26, 4);[8, 10, 300, 40];משיח;958;(5, 2, 22, 14, 958);תחתם;2;(5, 2, 22, 58, 3737);כאשר עשה לבני עשו הישבים בשעיר אשר השמיד את החרי מפניהם ויירשם וישבו תחתם עד היום הזה
(9008, -25, 4);[8, 10, 300, 40];משיח;2325;(5, 4, 40, 14, 2325);אחריך;2;(5, 4, 40, 52, 9008);ושמרת את חקיו ואת מצותיו אשר אנכי מצוך היום אשר ייטב לך ולבניך אחריך ולמען תאריך ימים על האדמה אשר יהוה אלהיך נתן לך כל הימים
(21357, -25, 4);[8, 10, 300, 40];משיח;5469;(5, 12, 11, 25, 5469);מבחר;3;(5, 12, 11, 101, 21357);והיה המקום אשר יבחר יהוה אלהיכם בו לשכן שמו שם שמה תביאו את כל אשר אנכי מצוה אתכם עולתיכם וזבחיכם מעשרתיכם ותרמת ידכם וכל מבחר נדריכם אשר תדרו ליהוה
(28495, -21, 4);[8, 10, 300, 40];משיח;7348;(5, 17, 10, 12, 7348);יבחר;3;(5, 17, 10, 40, 28495);ועשית על פי הדבר אשר יגידו לך מן המקום ההוא אשר יבחר יהוה ושמרת לעשות ככל אשר יורוך
(35617, -17, 4);[8, 10, 300, 40];משיח;9277;(5, 22, 29, 12, 9277);תחת;2;(5, 22, 29, 44, 35617);ונתן האיש השכב עמה לאבי הנער חמשים כסף ולו תהיה לאשה תחת אשר ענה לא יוכל שלחה כל ימיו
(51923, -16, 4);[8, 10, 300, 40];משיח;13508;(5, 32, 33, 1, 13508);חמת;1;(5, 32, 33, 1, 51923);חמת תנינם יינם וראש פתנים אכזר
(2136, -14, 4);[8, 10, 300, 40];משיח;540;(5, 1, 38, 10, 540);חזק;1;(5, 1, 38, 32, 2136);יהושע בן נון העמד לפניך הוא יבא שמה אתו חזק כי הוא ינחלנה את ישראל
