(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(13127, -100, 4);[8, 10, 300, 40];משיח;3337;(8, 10, 2, 9, 3337);רחל;2;(8, 10, 2, 35, 13127);בלכתך היום מעמדי ומצאת שני אנשים עם קברת רחל בגבול בנימן בצלצח ואמרו אליך נמצאו האתנות אשר הלכת לבקש והנה נטש אביך את דברי האתנות ודאג לכם לאמר מה אעשה לבני
(14554, -100, 4);[8, 10, 300, 40];משיח;3696;(8, 10, 24, 8, 3696);בחר;2;(8, 10, 24, 28, 14554);ויאמר שמואל אל כל העם הראיתם אשר בחר בו יהוה כי אין כמהו בכל העם וירעו כל העם ויאמרו יחי המלך
(18722, -93, 4);[8, 10, 300, 40];משיח;4759;(8, 13, 21, 4, 4759);למחרשת;3;(8, 13, 21, 17, 18722);והיתה הפצירה פים למחרשת ולאתים ולשלש קלשון ולהקרדמים ולהציב הדרבן
(23708, -85, 4);[8, 10, 300, 40];משיח;6047;(8, 15, 27, 4, 6047);ויחזק;3;(8, 15, 27, 16, 23708);ויסב שמואל ללכת ויחזק בכנף מעילו ויקרע
(31413, -85, 4);[8, 10, 300, 40];משיח;8011;(8, 19, 8, 2, 8011);המלחמה;4;(8, 19, 8, 9, 31413);ותוסף המלחמה להיות ויצא דוד וילחם בפלשתים ויך בהם מכה גדולה וינסו מפניו
(23909, -77, 4);[8, 10, 300, 40];משיח;6096;(8, 15, 31, 5, 6096);וישתחו;5;(8, 15, 31, 22, 23909);וישב שמואל אחרי שאול וישתחו שאול ליהוה
(36085, -70, 4);[8, 10, 300, 40];משיח;9272;(8, 22, 1, 9, 9272);אחיו;2;(8, 22, 1, 33, 36085);וילך דוד משם וימלט אל מערת עדלם וישמעו אחיו וכל בית אביו וירדו אליו שמה
(44875, -70, 4);[8, 10, 300, 40];משיח;11593;(8, 26, 19, 14, 11593);מנחה;3;(8, 26, 19, 47, 44875);ועתה ישמע נא אדני המלך את דברי עבדו אם יהוה הסיתך בי ירח מנחה ואם בני האדם ארורים הם לפני יהוה כי גרשוני היום מהסתפח בנחלת יהוה לאמר לך עבד אלהים אחרים
(24426, -68, 4);[8, 10, 300, 40];משיח;6234;(8, 16, 4, 10, 6234);ויחרדו;3;(8, 16, 4, 34, 24426);ויעש שמואל את אשר דבר יהוה ויבא בית לחם ויחרדו זקני העיר לקראתו ויאמר שלם בואך
(45657, -67, 4);[8, 10, 300, 40];משיח;11802;(8, 27, 5, 13, 11802);באחת;3;(8, 27, 5, 44, 45657);ויאמר דוד אל אכיש אם נא מצאתי חן בעיניך יתנו לי מקום באחת ערי השדה ואשבה שם ולמה ישב עבדך בעיר הממלכה עמך
