(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(6754, -96, 4);[8, 10, 300, 40];משיח;1751;(11, 4, 35, 16, 1751);ויפקח;5;(11, 4, 35, 63, 6754);וישב וילך בבית אחת הנה ואחת הנה ויעל ויגהר עליו ויזורר הנער עד שבע פעמים ויפקח הנער את עיניו
(27466, -88, 4);[8, 10, 300, 40];משיח;7067;(11, 15, 26, 3, 7067);פקחיה;3;(11, 15, 26, 11, 27466);ויתר דברי פקחיה וכל אשר עשה הנם כתובים על ספר דברי הימים למלכי ישראל
(22025, -87, 4);[8, 10, 300, 40];משיח;5662;(11, 12, 15, 5, 5662);וחזקו;2;(11, 12, 15, 19, 22025);כי לעשי המלאכה יתנהו וחזקו בו את בית יהוה
(27691, -87, 4);[8, 10, 300, 40];משיח;7127;(11, 15, 29, 18, 7127);ינוח;4;(11, 15, 29, 63, 27691);בימי פקח מלך ישראל בא תגלת פלאסר מלך אשור ויקח את עיון ואת אבל בית מעכה ואת ינוח ואת קדש ואת חצור ואת הגלעד ואת הגלילה כל ארץ נפתלי ויגלם אשורה
(924, -85, 4);[8, 10, 300, 40];משיח;237;(11, 1, 13, 6, 237);וחמשיו;2;(11, 1, 13, 23, 924);וישב וישלח שר חמשים שלשים וחמשיו ויעל ויבא שר החמשים השלישי ויכרע על ברכיו לנגד אליהו ויתחנן אליו וידבר אליו איש האלהים תיקר נא נפשי ונפש עבדיך אלה חמשים בעיניך
(30070, -85, 4);[8, 10, 300, 40];משיח;7746;(11, 17, 8, 2, 7746);בחקות;2;(11, 17, 8, 7, 30070);וילכו בחקות הגוים אשר הוריש יהוה מפני בני ישראל ומלכי ישראל אשר עשו
(20262, -83, 4);[8, 10, 300, 40];משיח;5209;(11, 11, 9, 9, 5209);ויקחו;4;(11, 11, 9, 37, 20262);ויעשו שרי המאיות ככל אשר צוה יהוידע הכהן ויקחו איש את אנשיו באי השבת עם יצאי השבת ויבאו אל יהוידע הכהן
(30060, -80, 4);[8, 10, 300, 40];משיח;7744;(11, 17, 7, 19, 7744);אחרים;2;(11, 17, 7, 77, 30060);ויהי כי חטאו בני ישראל ליהוה אלהיהם המעלה אתם מארץ מצרים מתחת יד פרעה מלך מצרים וייראו אלהים אחרים
(1632, -77, 4);[8, 10, 300, 40];משיח;419;(11, 2, 3, 24, 419);החשו;2;(11, 2, 3, 89, 1632);ויצאו בני הנביאים אשר בית אל אל אלישע ויאמרו אליו הידעת כי היום יהוה לקח את אדניך מעל ראשך ויאמר גם אני ידעתי החשו
(24164, -77, 4);[8, 10, 300, 40];משיח;6218;(11, 14, 2, 3, 6218);וחמש;2;(11, 14, 2, 9, 24164);בן עשרים וחמש שנה היה במלכו ועשרים ותשע שנה מלך בירושלם ושם אמו יהועדין מן ירושלם
(31036, -75, 4);[8, 10, 300, 40];משיח;7983;(11, 17, 22, 5, 7983);חטאות;1;(11, 17, 22, 17, 31036);וילכו בני ישראל בכל חטאות ירבעם אשר עשה לא סרו ממנה
(30230, -72, 4);[8, 10, 300, 40];משיח;7786;(11, 17, 10, 9, 7786);ותחת;3;(11, 17, 10, 34, 30230);ויצבו להם מצבות ואשרים על כל גבעה גבהה ותחת כל עץ רענן
(35510, -72, 4);[8, 10, 300, 40];משיח;9131;(11, 19, 10, 4, 9131);חזקיהו;1;(11, 19, 10, 11, 35510);כה תאמרון אל חזקיהו מלך יהודה לאמר אל ישאך אלהיך אשר אתה בטח בו לאמר לא תנתן ירושלם ביד מלך אשור
(23611, -70, 4);[8, 10, 300, 40];משיח;6073;(11, 13, 18, 2, 6073);קח;2;(11, 13, 18, 7, 23611);ויאמר קח החצים ויקח ויאמר למלך ישראל הך ארצה ויך שלש פעמים ויעמד
(9945, -69, 4);[8, 10, 300, 40];משיח;2563;(11, 6, 14, 1, 2563);וישלח;5;(11, 6, 14, 5, 9945);וישלח שמה סוסים ורכב וחיל כבד ויבאו לילה ויקפו על העיר
(32007, -66, 4);[8, 10, 300, 40];משיח;8226;(11, 17, 35, 12, 8226);תשתחוו;4;(11, 17, 35, 49, 32007);ויכרת יהוה אתם ברית ויצום לאמר לא תיראו אלהים אחרים ולא תשתחוו להם ולא תעבדום ולא תזבחו להם
(32028, -64, 4);[8, 10, 300, 40];משיח;8231;(11, 17, 35, 17, 8231);תזבחו;4;(11, 17, 35, 70, 32028);ויכרת יהוה אתם ברית ויצום לאמר לא תיראו אלהים אחרים ולא תשתחוו להם ולא תעבדום ולא תזבחו להם
(27925, -63, 4);[8, 10, 300, 40];משיח;7188;(11, 15, 33, 3, 7188);וחמש;2;(11, 15, 33, 9, 27925);בן עשרים וחמש שנה היה במלכו ושש עשרה שנה מלך בירושלם ושם אמו ירושא בת צדוק
(33000, -63, 4);[8, 10, 300, 40];משיח;8482;(11, 18, 11, 8, 8482);בחלח;2;(11, 18, 11, 30, 33000);ויגל מלך אשור את ישראל אשורה וינחם בחלח ובחבור נהר גוזן וערי מדי
(19056, -61, 4);[8, 10, 300, 40];משיח;4906;(11, 10, 25, 16, 4906);חרב;1;(11, 10, 25, 63, 19056);ויהי ככלתו לעשות העלה ויאמר יהוא לרצים ולשלשים באו הכום איש אל יצא ויכום לפי חרב וישלכו הרצים והשלשים וילכו עד עיר בית הבעל
(4407, -60, 4);[8, 10, 300, 40];משיח;1131;(11, 3, 23, 4, 1131);החרב;2;(11, 3, 23, 12, 4407);ויאמרו דם זה החרב נחרבו המלכים ויכו איש את רעהו ועתה לשלל מואב
(39430, -60, 4);[8, 10, 300, 40];משיח;10126;(11, 21, 13, 18, 10126);מחה;2;(11, 21, 13, 69, 39430);ונטיתי על ירושלם את קו שמרון ואת משקלת בית אחאב ומחיתי את ירושלם כאשר ימחה את הצלחת מחה והפך על פניה
(8833, -59, 4);[8, 10, 300, 40];משיח;2280;(11, 5, 22, 4, 2280);שלחני;3;(11, 5, 22, 16, 8833);ויאמר שלום אדני שלחני לאמר הנה עתה זה באו אלי שני נערים מהר אפרים מבני הנביאים תנה נא להם ככר כסף ושתי חלפות בגדים
(12280, -56, 4);[8, 10, 300, 40];משיח;3164;(11, 7, 12, 22, 3164);להחבה;3;(11, 7, 12, 79, 12280);ויקם המלך לילה ויאמר אל עבדיו אגידה נא לכם את אשר עשו לנו ארם ידעו כי רעבים אנחנו ויצאו מן המחנה להחבה בהשדה לאמר כי יצאו מן העיר ונתפשם חיים ואל העיר נבא
(35694, -56, 4);[8, 10, 300, 40];משיח;9180;(11, 19, 13, 3, 9180);חמת;1;(11, 19, 13, 7, 35694);איו מלך חמת ומלך ארפד ומלך לעיר ספרוים הנע ועוה
(46749, -56, 4);[8, 10, 300, 40];משיח;12004;(11, 25, 16, 14, 12004);לנחשת;3;(11, 25, 16, 55, 46749);העמודים שנים הים האחד והמכנות אשר עשה שלמה לבית יהוה לא היה משקל לנחשת כל הכלים האלה
(8660, -52, 4);[8, 10, 300, 40];משיח;2237;(11, 5, 20, 2, 2237);גיחזי;3;(11, 5, 20, 8, 8660);ויאמר גיחזי נער אלישע איש האלהים הנה חשך אדני את נעמן הארמי הזה מקחת מידו את אשר הביא חי יהוה כי אם רצתי אחריו ולקחתי מאתו מאומה
(31006, -51, 4);[8, 10, 300, 40];משיח;7976;(11, 17, 21, 18, 7976);והחטיאם;3;(11, 17, 21, 66, 31006);כי קרע ישראל מעל בית דוד וימליכו את ירבעם בן נבט וידא ירבעם את ישראל מאחרי יהוה והחטיאם חטאה גדולה
(9430, -48, 4);[8, 10, 300, 40];משיח;2431;(11, 6, 5, 2, 2431);האחד;3;(11, 6, 5, 7, 9430);ויהי האחד מפיל הקורה ואת הברזל נפל אל המים ויצעק ויאמר אהה אדני והוא שאול
(28512, -48, 4);[8, 10, 300, 40];משיח;7341;(11, 16, 5, 15, 7341);אחז;2;(11, 16, 5, 57, 28512);אז יעלה רצין מלך ארם ופקח בן רמליהו מלך ישראל ירושלם למלחמה ויצרו על אחז ולא יכלו להלחם
(22536, -47, 4);[8, 10, 300, 40];משיח;5793;(11, 13, 1, 7, 5793);אחזיהו;2;(11, 13, 1, 25, 22536);בשנת עשרים ושלש שנה ליואש בן אחזיהו מלך יהודה מלך יהואחז בן יהוא על ישראל בשמרון שבע עשרה שנה
(26353, -45, 4);[8, 10, 300, 40];משיח;6777;(11, 15, 7, 14, 6777);תחתיו;2;(11, 15, 7, 54, 26353);וישכב עזריה עם אבתיו ויקברו אתו עם אבתיו בעיר דוד וימלך יותם בנו תחתיו
(2976, -40, 4);[8, 10, 300, 40];משיח;762;(11, 2, 23, 20, 762);קרח;3;(11, 2, 23, 73, 2976);ויעל משם בית אל והוא עלה בדרך ונערים קטנים יצאו מן העיר ויתקלסו בו ויאמרו לו עלה קרח עלה קרח
(42409, -40, 4);[8, 10, 300, 40];משיח;10891;(11, 23, 9, 15, 10891);אחיהם;2;(11, 23, 9, 52, 42409);אך לא יעלו כהני הבמות אל מזבח יהוה בירושלם כי אם אכלו מצות בתוך אחיהם
(975, -32, 4);[8, 10, 300, 40];משיח;248;(11, 1, 13, 17, 248);ויתחנן;4;(11, 1, 13, 74, 975);וישב וישלח שר חמשים שלשים וחמשיו ויעל ויבא שר החמשים השלישי ויכרע על ברכיו לנגד אליהו ויתחנן אליו וידבר אליו איש האלהים תיקר נא נפשי ונפש עבדיך אלה חמשים בעיניך
(23872, -30, 4);[8, 10, 300, 40];משיח;6141;(11, 13, 22, 4, 6141);לחץ;2;(11, 13, 22, 13, 23872);וחזאל מלך ארם לחץ את ישראל כל ימי יהואחז
(26831, -26, 4);[8, 10, 300, 40];משיח;6899;(11, 15, 16, 5, 6899);תפסח;4;(11, 15, 16, 15, 26831);אז יכה מנחם את תפסח ואת כל אשר בה ואת גבוליה מתרצה כי לא פתח ויך את כל ההרותיה בקע
(18133, -25, 4);[8, 10, 300, 40];משיח;4667;(11, 10, 13, 4, 4667);אחי;2;(11, 10, 13, 12, 18133);ויהוא מצא את אחי אחזיהו מלך יהודה ויאמר מי אתם ויאמרו אחי אחזיהו אנחנו ונרד לשלום בני המלך ובני הגבירה
(21968, -25, 4);[8, 10, 300, 40];משיח;5647;(11, 12, 14, 10, 5647);חצצרות;1;(11, 12, 14, 35, 21968);אך לא יעשה בית יהוה ספות כסף מזמרות מזרקות חצצרות כל כלי זהב וכלי כסף מן הכסף המובא בית יהוה
(44250, -25, 4);[8, 10, 300, 40];משיח;11367;(11, 23, 33, 6, 11367);חמת;1;(11, 23, 33, 24, 44250);ויאסרהו פרעה נכה ברבלה בארץ חמת במלך בירושלם ויתן ענש על הארץ מאה ככר כסף וככר זהב
(39620, -24, 4);[8, 10, 300, 40];משיח;10177;(11, 21, 16, 18, 10177);החטיא;2;(11, 21, 16, 57, 39620);וגם דם נקי שפך מנשה הרבה מאד עד אשר מלא את ירושלם פה לפה לבד מחטאתו אשר החטיא את יהודה לעשות הרע בעיני יהוה
(2822, -22, 4);[8, 10, 300, 40];משיח;720;(11, 2, 21, 7, 720);מלח;3;(11, 2, 21, 24, 2822);ויצא אל מוצא המים וישלך שם מלח ויאמר כה אמר יהוה רפאתי למים האלה לא יהיה משם עוד מות ומשכלת
(27251, -21, 4);[8, 10, 300, 40];משיח;7015;(11, 15, 23, 2, 7015);חמשים;1;(11, 15, 23, 5, 27251);בשנת חמשים שנה לעזריה מלך יהודה מלך פקחיה בן מנחם על ישראל בשמרון שנתים
