(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(11017, -92, 4);[8, 10, 300, 40];משיח;2812;(28, 14, 18, 1, 2812);נחלו;2;(28, 14, 18, 2, 11017);נחלו פתאים אולת וערומים יכתרו דעת
(19427, -92, 4);[8, 10, 300, 40];משיח;5047;(28, 24, 3, 1, 5047);בחכמה;2;(28, 24, 3, 2, 19427);בחכמה יבנה בית ובתבונה יתכונן
(23979, -92, 4);[8, 10, 300, 40];משיח;6251;(28, 29, 8, 5, 6251);וחכמים;2;(28, 29, 8, 19, 23979);אנשי לצון יפיחו קריה וחכמים ישיבו אף
(534, -91, 4);[8, 10, 300, 40];משיח;136;(28, 1, 20, 4, 136);ברחבות;3;(28, 1, 20, 16, 534);חכמות בחוץ תרנה ברחבות תתן קולה
(24664, -80, 4);[8, 10, 300, 40];משיח;6427;(28, 30, 4, 8, 6427);בחפניו;2;(28, 30, 4, 23, 24664);מי עלה שמים וירד מי אסף רוח בחפניו מי צרר מים בשמלה מי הקים כל אפסי ארץ מה שמו ומה שם בנו כי תדע
(22366, -77, 4);[8, 10, 300, 40];משיח;5836;(28, 27, 11, 1, 5836);חכם;1;(28, 27, 11, 1, 22366);חכם בני ושמח לבי ואשיבה חרפי דבר
(17017, -75, 4);[8, 10, 300, 40];משיח;4409;(28, 21, 14, 7, 4409);חמה;1;(28, 21, 14, 21, 17017);מתן בסתר יכפה אף ושחד בחק חמה עזה
(2242, -73, 4);[8, 10, 300, 40];משיח;550;(28, 3, 24, 4, 550);תפחד;3;(28, 3, 24, 11, 2242);אם תשכב לא תפחד ושכבת וערבה שנתך
(19078, -71, 4);[8, 10, 300, 40];משיח;4959;(28, 23, 27, 2, 4959);שוחה;3;(28, 23, 27, 5, 19078);כי שוחה עמקה זונה ובאר צרה נכריה
(15975, -70, 4);[8, 10, 300, 40];משיח;4126;(28, 20, 7, 6, 4126);אחריו;2;(28, 20, 7, 23, 15975);מתהלך בתמו צדיק אשרי בניו אחריו
(14200, -69, 4);[8, 10, 300, 40];משיח;3653;(28, 17, 27, 1, 3653);חושך;1;(28, 17, 27, 1, 14200);חושך אמריו יודע דעת וקר רוח איש תבונה
(18500, -67, 4);[8, 10, 300, 40];משיח;4801;(28, 23, 6, 4, 4801);לחם;2;(28, 23, 6, 10, 18500);אל תלחם את לחם רע עין ואל תתאו למטעמתיו
(6963, -66, 4);[8, 10, 300, 40];משיח;1770;(28, 9, 8, 2, 1770);תוכח;4;(28, 9, 8, 6, 6963);אל תוכח לץ פן ישנאך הוכח לחכם ויאהבך
(23758, -63, 4);[8, 10, 300, 40];משיח;6193;(28, 29, 1, 2, 6193);תוכחות;4;(28, 29, 1, 7, 23758);איש תוכחות מקשה ערף פתע ישבר ואין מרפא
(7904, -62, 4);[8, 10, 300, 40];משיח;2016;(28, 10, 23, 5, 2016);וחכמה;2;(28, 10, 23, 19, 7904);כשחוק לכסיל עשות זמה וחכמה לאיש תבונה
(19184, -54, 4);[8, 10, 300, 40];משיח;4986;(28, 23, 30, 1, 4986);למאחרים;4;(28, 23, 30, 4, 19184);למאחרים על היין לבאים לחקר ממסך
(9520, -53, 4);[8, 10, 300, 40];משיח;2421;(28, 12, 17, 1, 2421);יפיח;4;(28, 12, 17, 4, 9520);יפיח אמונה יגיד צדק ועד שקרים מרמה
(6868, -51, 4);[8, 10, 300, 40];משיח;1745;(28, 9, 4, 5, 1745);חסר;1;(28, 9, 4, 12, 6868);מי פתי יסר הנה חסר לב אמרה לו
(13057, -49, 4);[8, 10, 300, 40];משיח;3343;(28, 16, 21, 1, 3343);לחכם;2;(28, 16, 21, 2, 13057);לחכם לב יקרא נבון ומתק שפתים יסיף לקח
(10900, -45, 4);[8, 10, 300, 40];משיח;2782;(28, 14, 13, 6, 2782);שמחה;3;(28, 14, 13, 22, 10900);גם בשחק יכאב לב ואחריתה שמחה תוגה
(11185, -45, 4);[8, 10, 300, 40];משיח;2854;(28, 14, 23, 8, 2854);למחסור;3;(28, 14, 23, 28, 11185);בכל עצב יהיה מותר ודבר שפתים אך למחסור
