(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(1278, -94, 4);[8, 10, 300, 40];משיח;337;(32, 1, 20, 16, 337);חרב;1;(32, 1, 20, 53, 1278);ראה יהוה כי צר לי מעי חמרמרו נהפך לבי בקרבי כי מרו מריתי מחוץ שכלה חרב בבית כמות
(4898, -51, 4);[8, 10, 300, 40];משיח;1279;(32, 4, 13, 1, 1279);מחטאות;2;(32, 4, 13, 2, 4898);מחטאות נביאיה עונת כהניה השפכים בקרבה דם צדיקים
(3541, -33, 4);[8, 10, 300, 40];משיח;927;(32, 3, 31, 3, 927);יזנח;4;(32, 3, 31, 8, 3541);כי לא יזנח לעולם אדני
(1154, -32, 4);[8, 10, 300, 40];משיח;304;(32, 1, 18, 14, 304);ובחורי;3;(32, 1, 18, 52, 1154);צדיק הוא יהוה כי פיהו מריתי שמעו נא כל עמים וראו מכאבי בתולתי ובחורי הלכו בשבי
(3561, -26, 4);[8, 10, 300, 40];משיח;933;(32, 3, 32, 4, 933);ורחם;3;(32, 3, 32, 11, 3561);כי אם הוגה ורחם כרב חסדיו
(4211, -5, 4);[8, 10, 300, 40];משיח;1105;(32, 3, 61, 2, 1105);חרפתם;1;(32, 3, 61, 5, 4211);שמעת חרפתם יהוה כל מחשבתם עלי
(5239, -1, 4);[8, 10, 300, 40];משיח;1362;(32, 4, 20, 3, 1362);משיח;4;(32, 4, 20, 12, 5239);רוח אפינו משיח יהוה נלכד בשחיתותם אשר אמרנו בצלו נחיה בגוים
(4211, -5, 5);[8, 10, 300, 40, 30];למשיח;1105;(32, 3, 61, 2, 1105);חרפתם;1;(32, 3, 61, 5, 4211);שמעת חרפתם יהוה כל מחשבתם עלי
(1154, -32, 5);[8, 10, 300, 40, 40];ממשיח;304;(32, 1, 18, 14, 304);ובחורי;3;(32, 1, 18, 52, 1154);צדיק הוא יהוה כי פיהו מריתי שמעו נא כל עמים וראו מכאבי בתולתי ובחורי הלכו בשבי
(4216, -5, 5);[10, 8, 10, 300, 40];משיחי;1106;(32, 3, 61, 3, 1106);יהוה;1;(32, 3, 61, 10, 4216);שמעת חרפתם יהוה כל מחשבתם עלי
(5240, -1, 5);[10, 8, 10, 300, 40];משיחי;1363;(32, 4, 20, 4, 1363);יהוה;1;(32, 4, 20, 13, 5240);רוח אפינו משיח יהוה נלכד בשחיתותם אשר אמרנו בצלו נחיה בגוים
(4216, -5, 6);[10, 8, 10, 300, 40, 30];למשיחי;1106;(32, 3, 61, 3, 1106);יהוה;1;(32, 3, 61, 10, 4216);שמעת חרפתם יהוה כל מחשבתם עלי
(1372, -94, 5);[6, 8, 10, 300, 40];משיחו;364;(32, 1, 22, 5, 364);ועולל;1;(32, 1, 22, 15, 1372);תבא כל רעתם לפניך ועולל למו כאשר עוללת לי על כל פשעי כי רבות אנחתי ולבי דוי
(4949, -51, 5);[6, 8, 10, 300, 40];משיחו;1289;(32, 4, 14, 3, 1289);בחוצות;5;(32, 4, 14, 13, 4949);נעו עורים בחוצות נגאלו בדם בלא יוכלו יגעו בלבשיהם
(1186, -32, 5);[5, 8, 10, 300, 40];משיחה;311;(32, 1, 19, 5, 311);כהני;2;(32, 1, 19, 21, 1186);קראתי למאהבי המה רמוני כהני וזקני בעיר גועו כי בקשו אכל למו וישיבו את נפשם
(1186, -32, 6);[5, 8, 10, 300, 40, 40];ממשיחה;311;(32, 1, 19, 5, 311);כהני;2;(32, 1, 19, 21, 1186);קראתי למאהבי המה רמוני כהני וזקני בעיר גועו כי בקשו אכל למו וישיבו את נפשם
