(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(4203, -100, 4);[8, 10, 300, 40];משיח;1143;(33, 5, 3, 6, 1143);תאחר;3;(33, 5, 3, 21, 4203);כאשר תדר נדר לאלהים אל תאחר לשלמו כי אין חפץ בכסילים את אשר תדר שלם
(3516, -99, 4);[8, 10, 300, 40];משיח;952;(33, 4, 6, 6, 952);חפנים;1;(33, 4, 6, 16, 3516);טוב מלא כף נחת ממלא חפנים עמל ורעות רוח
(5280, -96, 4);[8, 10, 300, 40];משיח;1439;(33, 6, 4, 4, 1439);ובחשך;3;(33, 6, 4, 11, 5280);כי בהבל בא ובחשך ילך ובחשך שמו יכסה
(8418, -89, 4);[8, 10, 300, 40];משיח;2323;(33, 9, 9, 27, 2323);תחת;2;(33, 9, 9, 86, 8418);ראה חיים עם אשה אשר אהבת כל ימי חיי הבלך אשר נתן לך תחת השמש כל ימי הבלך כי הוא חלקך בחיים ובעמלך אשר אתה עמל תחת השמש
(8260, -83, 4);[8, 10, 300, 40];משיח;2276;(33, 9, 7, 4, 2276);לחמך;2;(33, 9, 7, 12, 8260);לך אכל בשמחה לחמך ושתה בלב טוב יינך כי כבר רצה האלהים את מעשיך
(1254, -81, 4);[8, 10, 300, 40];משיח;330;(33, 2, 9, 8, 330);חכמתי;1;(33, 2, 9, 34, 1254);וגדלתי והוספתי מכל שהיה לפני בירושלם אף חכמתי עמדה לי
(9462, -67, 4);[8, 10, 300, 40];משיח;2590;(33, 10, 14, 11, 2590);מאחריו;3;(33, 10, 14, 41, 9462);והסכל ירבה דברים לא ידע האדם מה שיהיה ואשר יהיה מאחריו מי יגיד לו
(3793, -61, 4);[8, 10, 300, 40];משיח;1031;(33, 4, 12, 7, 1031);והחוט;3;(33, 4, 12, 29, 3793);ואם יתקפו האחד השנים יעמדו נגדו והחוט המשלש לא במהרה ינתק
(509, -48, 4);[8, 10, 300, 40];משיח;136;(33, 1, 13, 6, 136);בחכמה;2;(33, 1, 13, 22, 509);ונתתי את לבי לדרוש ולתור בחכמה על כל אשר נעשה תחת השמים הוא ענין רע נתן אלהים לבני האדם לענות בו
(9763, -43, 4);[8, 10, 300, 40];משיח;2669;(33, 11, 2, 2, 2669);חלק;1;(33, 11, 2, 3, 9763);תן חלק לשבעה וגם לשמונה כי לא תדע מה יהיה רעה על הארץ
(10502, -41, 4);[8, 10, 300, 40];משיח;2863;(33, 12, 5, 4, 2863);וחתחתים;4;(33, 12, 5, 14, 10502);גם מגבה יראו וחתחתים בדרך וינאץ השקד ויסתבל החגב ותפר האביונה כי הלך האדם אל בית עולמו וסבבו בשוק הסופדים
(7601, -36, 4);[8, 10, 300, 40];משיח;2095;(33, 8, 15, 20, 2095);חייו;1;(33, 8, 15, 74, 7601);ושבחתי אני את השמחה אשר אין טוב לאדם תחת השמש כי אם לאכל ולשתות ולשמוח והוא ילונו בעמלו ימי חייו אשר נתן לו האלהים תחת השמש
(2835, -20, 4);[8, 10, 300, 40];משיח;759;(33, 3, 16, 3, 759);תחת;2;(33, 3, 16, 11, 2835);ועוד ראיתי תחת השמש מקום המשפט שמה הרשע ומקום הצדק שמה הרשע
(3620, -9, 4);[8, 10, 300, 40];משיח;983;(33, 4, 8, 22, 983);ומחסר;3;(33, 4, 8, 66, 3620);יש אחד ואין שני גם בן ואח אין לו ואין קץ לכל עמלו גם עיניו לא תשבע עשר ולמי אני עמל ומחסר את נפשי מטובה גם זה הבל וענין רע הוא
(3199, -4, 4);[8, 10, 300, 40];משיח;862;(33, 3, 22, 11, 862);חלקו;1;(33, 3, 22, 38, 3199);וראיתי כי אין טוב מאשר ישמח האדם במעשיו כי הוא חלקו כי מי יביאנו לראות במה שיהיה אחריו
(10586, -4, 4);[8, 10, 300, 40];משיח;2884;(33, 12, 6, 5, 2884);חבל;1;(33, 12, 6, 12, 10586);עד אשר לא ירחק חבל הכסף ותרוץ גלת הזהב ותשבר כד על המבוע ונרץ הגלגל אל הבור
(509, -48, 5);[8, 10, 300, 40, 5];המשיח;136;(33, 1, 13, 6, 136);בחכמה;2;(33, 1, 13, 22, 509);ונתתי את לבי לדרוש ולתור בחכמה על כל אשר נעשה תחת השמים הוא ענין רע נתן אלהים לבני האדם לענות בו
(509, -48, 6);[8, 10, 300, 40, 5, 40];מהמשיח;136;(33, 1, 13, 6, 136);בחכמה;2;(33, 1, 13, 22, 509);ונתתי את לבי לדרוש ולתור בחכמה על כל אשר נעשה תחת השמים הוא ענין רע נתן אלהים לבני האדם לענות בו
(3854, -61, 5);[20, 8, 10, 300, 40];משיחך;1048;(33, 4, 14, 1, 1048);כי;1;(33, 4, 14, 1, 3854);כי מבית הסורים יצא למלך כי גם במלכותו נולד רש
(3203, -4, 5);[20, 8, 10, 300, 40];משיחך;863;(33, 3, 22, 12, 863);כי;1;(33, 3, 22, 42, 3203);וראיתי כי אין טוב מאשר ישמח האדם במעשיו כי הוא חלקו כי מי יביאנו לראות במה שיהיה אחריו
(10590, -4, 5);[20, 8, 10, 300, 40];משיחך;2885;(33, 12, 6, 6, 2885);הכסף;2;(33, 12, 6, 16, 10590);עד אשר לא ירחק חבל הכסף ותרוץ גלת הזהב ותשבר כד על המבוע ונרץ הגלגל אל הבור
(4303, -100, 5);[5, 8, 10, 300, 40];משיחה;1173;(33, 5, 5, 14, 1173);היא;1;(33, 5, 5, 44, 4303);אל תתן את פיך לחטיא את בשרך ואל תאמר לפני המלאך כי שגגה היא למה יקצף האלהים על קולך וחבל את מעשה ידיך
(5376, -96, 5);[5, 8, 10, 300, 40];משיחה;1469;(33, 6, 7, 3, 1469);האדם;1;(33, 6, 7, 6, 5376);כל עמל האדם לפיהו וגם הנפש לא תמלא
