(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(6054, -90, 4);[8, 10, 300, 40];משיח;1483;(35, 3, 18, 11, 1483);פלחין;3;(35, 3, 18, 38, 6054);והן לא ידיע להוא לך מלכא די לאלהיך לא איתינא פלחין ולצלם דהבא די הקימת לא נסגד
(22806, -88, 4);[8, 10, 300, 40];משיח;5569;(35, 11, 32, 4, 5569);בחלקות;2;(35, 11, 32, 18, 22806);ומרשיעי ברית יחניף בחלקות ועם ידעי אלהיו יחזקו ועשו
(19622, -86, 4);[8, 10, 300, 40];משיח;4778;(35, 9, 27, 5, 4778);אחד;2;(35, 9, 27, 21, 19622);והגביר ברית לרבים שבוע אחד וחצי השבוע ישבית זבח ומנחה ועל כנף שקוצים משמם ועד כלה ונחרצה תתך על שמם
(6097, -85, 4);[8, 10, 300, 40];משיח;1493;(35, 3, 19, 4, 1493);חמא;1;(35, 3, 19, 19, 6097);באדין נבוכדנצר התמלי חמא וצלם אנפוהי אשתנו על שדרך מישך ועבד נגו ענה ואמר למזא לאתונא חד שבעה על די חזה למזיה
(10855, -71, 4);[8, 10, 300, 40];משיח;2641;(35, 5, 14, 11, 2641);השתכחת;5;(35, 5, 14, 49, 10855);ושמעת עליך די רוח אלהין בך ונהירו ושכלתנו וחכמה יתירה השתכחת בך
(11647, -64, 4);[8, 10, 300, 40];משיח;2835;(35, 5, 23, 31, 2835);שבחת;3;(35, 5, 23, 135, 11647);ועל מרא שמיא התרוממת ולמאניא די ביתה היתיו קדמיך ואנתה ורברבניך שגלתך ולחנתך חמרא שתין בהון ולאלהי כספא ודהבא נחשא פרזלא אעא ואבנא די לא חזין ולא שמעין ולא ידעין שבחת ולאלהא די נשמתך בידה וכל ארחתך לה לא הדרת
(20213, -64, 4);[8, 10, 300, 40];משיח;4925;(35, 10, 8, 19, 4925);כח;2;(35, 10, 8, 74, 20213);ואני נשארתי לבדי ואראה את המראה הגדלה הזאת ולא נשאר בי כח והודי נהפך עלי למשחית ולא עצרתי כח
(18202, -55, 4);[8, 10, 300, 40];משיח;4435;(35, 9, 7, 20, 4435);הדחתם;3;(35, 9, 7, 88, 18202);לך אדני הצדקה ולנו בשת הפנים כיום הזה לאיש יהודה ולישבי ירושלם ולכל ישראל הקרבים והרחקים בכל הארצות אשר הדחתם שם במעלם אשר מעלו בך
(19589, -53, 4);[8, 10, 300, 40];משיח;4771;(35, 9, 26, 19, 4771);מלחמה;3;(35, 9, 26, 74, 19589);ואחרי השבעים ששים ושנים יכרת משיח ואין לו והעיר והקדש ישחית עם נגיד הבא וקצו בשטף ועד קץ מלחמה נחרצת שממות
(19945, -45, 4);[8, 10, 300, 40];משיח;4862;(35, 10, 5, 7, 4862);אחד;2;(35, 10, 5, 23, 19945);ואשא את עיני וארא והנה איש אחד לבוש בדים ומתניו חגרים בכתם אופז
(4297, -44, 4);[8, 10, 300, 40];משיח;1066;(35, 2, 45, 15, 1066);חספא;1;(35, 2, 45, 51, 4297);כל קבל די חזית די מטורא אתגזרת אבן די לא בידין והדקת פרזלא נחשא חספא כספא ודהבא אלה רב הודע למלכא מה די להוא אחרי דנה ויציב חלמא ומהימן פשרה
(22801, -34, 4);[8, 10, 300, 40];משיח;5568;(35, 11, 32, 3, 5568);יחניף;2;(35, 11, 32, 13, 22801);ומרשיעי ברית יחניף בחלקות ועם ידעי אלהיו יחזקו ועשו
(1666, -32, 4);[8, 10, 300, 40];משיח;389;(35, 2, 6, 15, 389);החוני;2;(35, 2, 6, 61, 1666);והן חלמא ופשרה תהחון מתנן ונבזבה ויקר שגיא תקבלון מן קדמי להן חלמא ופשרה החוני
(7568, -30, 4);[8, 10, 300, 40];משיח;1845;(35, 4, 6, 3, 1845);חרטמיא;1;(35, 4, 6, 10, 7568);בלטשאצר רב חרטמיא די אנה ידעת די רוח אלהין קדישין בך וכל רז לא אנס לך חזוי חלמי די חזית ופשרה אמר
(8601, -29, 4);[8, 10, 300, 40];משיח;2097;(35, 4, 20, 12, 2097);וחבלוהי;2;(35, 4, 20, 41, 8601);ודי חזה מלכא עיר וקדיש נחת מן שמיא ואמר גדו אילנא וחבלוהי ברם עקר שרשוהי בארעא שבקו ובאסור די פרזל ונחש בדתאא די ברא ובטל שמיא יצטבע ועם חיות ברא חלקה עד די שבעה עדנין יחלפון עלוהי
(3575, -26, 4);[8, 10, 300, 40];משיח;880;(35, 2, 35, 20, 880);השתכח;5;(35, 2, 35, 76, 3575);באדין דקו כחדה פרזלא חספא נחשא כספא ודהבא והוו כעור מן אדרי קיט ונשא המון רוחא וכל אתר לא השתכח להון ואבנא די מחת לצלמא הות לטור רב ומלאת כל ארעא
(24061, -20, 4);[8, 10, 300, 40];משיח;5873;(35, 12, 8, 8, 5873);אחרית;2;(35, 12, 8, 29, 24061);ואני שמעתי ולא אבין ואמרה אדני מה אחרית אלה
(19919, -14, 4);[8, 10, 300, 40];משיח;4855;(35, 10, 4, 13, 4855);חדקל;1;(35, 10, 4, 52, 19919);וביום עשרים וארבעה לחדש הראשון ואני הייתי על יד הנהר הגדול הוא חדקל
(10718, -12, 4);[8, 10, 300, 40];משיח;2606;(35, 5, 12, 26, 2606);יהחוה;3;(35, 5, 12, 110, 10718);כל קבל די רוח יתירה ומנדע ושכלתנו מפשר חלמין ואחוית אחידן ומשרא קטרין השתכחת בה בדניאל די מלכא שם שמה בלטשאצר כען דניאל יתקרי ופשרה יהחוה
(19811, -7, 4);[8, 10, 300, 40];משיח;4826;(35, 10, 3, 2, 4826);חמדות;1;(35, 10, 3, 4, 19811);לחם חמדות לא אכלתי ובשר ויין לא בא אל פי וסוך לא סכתי עד מלאת שלשת שבעים ימים
(19458, -1, 4);[8, 10, 300, 40];משיח;4740;(35, 9, 25, 10, 4740);משיח;4;(35, 9, 25, 40, 19458);ותדע ותשכל מן מצא דבר להשיב ולבנות ירושלם עד משיח נגיד שבעים שבעה ושבעים ששים ושנים תשוב ונבנתה רחוב וחרוץ ובצוק העתים
