(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(1932, -89, 4);[8, 10, 300, 40];משיח;467;(36, 2, 42, 12, 467);חטיטא;1;(36, 2, 42, 40, 1932);בני השערים בני שלום בני אטר בני טלמן בני עקוב בני חטיטא בני שבי הכל מאה שלשים ותשעה
(9055, -89, 4);[8, 10, 300, 40];משיח;2195;(36, 7, 9, 3, 2195);לחדש;2;(36, 7, 9, 8, 9055);כי באחד לחדש הראשון הוא יסד המעלה מבבל ובאחד לחדש החמישי בא אל ירושלם כיד אלהיו הטובה עליו
(401, -75, 4);[8, 10, 300, 40];משיח;100;(36, 1, 5, 12, 100);רוחו;3;(36, 1, 5, 58, 401);ויקומו ראשי האבות ליהודה ובנימן והכהנים והלוים לכל העיר האלהים את רוחו לעלות לבנות את בית יהוה אשר בירושלם
(4818, -75, 4);[8, 10, 300, 40];משיח;1147;(36, 4, 11, 5, 1147);שלחו;3;(36, 4, 11, 18, 4818);דנה פרשגן אגרתא די שלחו עלוהי על ארתחששתא מלכא עבדיך אנש עבר נהרה וכענת
(9089, -74, 4);[8, 10, 300, 40];משיח;2203;(36, 7, 9, 11, 2203);החמישי;2;(36, 7, 9, 42, 9089);כי באחד לחדש הראשון הוא יסד המעלה מבבל ובאחד לחדש החמישי בא אל ירושלם כיד אלהיו הטובה עליו
(1624, -66, 4);[8, 10, 300, 40];משיח;392;(36, 2, 32, 2, 392);חרם;1;(36, 2, 32, 4, 1624);בני חרם שלש מאות ועשרים
(1248, -61, 4);[8, 10, 300, 40];משיח;301;(36, 2, 15, 5, 301);חמשים;1;(36, 2, 15, 16, 1248);בני עדין ארבע מאות חמשים וארבעה
(1788, -54, 4);[8, 10, 300, 40];משיח;432;(36, 2, 38, 2, 432);פשחור;3;(36, 2, 38, 6, 1788);בני פשחור אלף מאתים ארבעים ושבעה
(14919, -48, 4);[8, 10, 300, 40];משיח;3572;(36, 10, 17, 9, 3572);אחד;2;(36, 10, 17, 36, 14919);ויכלו בכל אנשים ההשיבו נשים נכריות עד יום אחד לחדש הראשון
(12431, -42, 4);[8, 10, 300, 40];משיח;2993;(36, 8, 36, 5, 2993);לאחשדרפני;3;(36, 8, 36, 17, 12431);ויתנו את דתי המלך לאחשדרפני המלך ופחוות עבר הנהר ונשאו את העם ואת בית האלהים
(1390, -37, 4);[8, 10, 300, 40];משיח;336;(36, 2, 22, 3, 336);חמשים;1;(36, 2, 22, 9, 1390);אנשי נטפה חמשים וששה
(1971, -37, 4);[8, 10, 300, 40];משיח;476;(36, 2, 43, 3, 476);ציחא;3;(36, 2, 43, 13, 1971);הנתינים בני ציחא בני חשופא בני טבעות
(3078, -30, 4);[8, 10, 300, 40];משיח;745;(36, 3, 2, 5, 745);ואחיו;3;(36, 3, 2, 18, 3078);ויקם ישוע בן יוצדק ואחיו הכהנים וזרבבל בן שאלתיאל ואחיו ויבנו את מזבח אלהי ישראל להעלות עליו עלות ככתוב בתורת משה איש האלהים
(2360, -19, 4);[8, 10, 300, 40];משיח;583;(36, 2, 59, 6, 583);חרשא;1;(36, 2, 59, 18, 2360);ואלה העלים מתל מלח תל חרשא כרוב אדן אמר ולא יכלו להגיד בית אבותם וזרעם אם מישראל הם
(4469, -17, 4);[8, 10, 300, 40];משיח;1070;(36, 4, 6, 2, 1070);אחשורוש;2;(36, 4, 6, 9, 4469);ובמלכות אחשורוש בתחלת מלכותו כתבו שטנה על ישבי יהודה וירושלם
(1010, -6, 4);[8, 10, 300, 40];משיח;241;(36, 2, 6, 2, 241);פחת;2;(36, 2, 6, 5, 1010);בני פחת מואב לבני ישוע יואב אלפים שמנה מאות ושנים עשר
(1562, -4, 4);[8, 10, 300, 40];משיח;377;(36, 2, 29, 3, 377);חמשים;1;(36, 2, 29, 7, 1562);בני נבו חמשים ושנים
(14919, -48, 5);[8, 10, 300, 40, 40];ממשיח;3572;(36, 10, 17, 9, 3572);אחד;2;(36, 10, 17, 36, 14919);ויכלו בכל אנשים ההשיבו נשים נכריות עד יום אחד לחדש הראשון
(3078, -30, 5);[8, 10, 300, 40, 40];ממשיח;745;(36, 3, 2, 5, 745);ואחיו;3;(36, 3, 2, 18, 3078);ויקם ישוע בן יוצדק ואחיו הכהנים וזרבבל בן שאלתיאל ואחיו ויבנו את מזבח אלהי ישראל להעלות עליו עלות ככתוב בתורת משה איש האלהים
(1570, -4, 6);[10, 40, 8, 10, 300, 40];משיח מי;378;(36, 2, 29, 4, 378);ושנים;4;(36, 2, 29, 15, 1570);בני נבו חמשים ושנים
(12431, -42, 5);[8, 10, 300, 40, 5];המשיח;2993;(36, 8, 36, 5, 2993);לאחשדרפני;3;(36, 8, 36, 17, 12431);ויתנו את דתי המלך לאחשדרפני המלך ופחוות עבר הנהר ונשאו את העם ואת בית האלהים
(1971, -37, 5);[8, 10, 300, 40, 5];המשיח;476;(36, 2, 43, 3, 476);ציחא;3;(36, 2, 43, 13, 1971);הנתינים בני ציחא בני חשופא בני טבעות
(14967, -48, 5);[10, 8, 10, 300, 40];משיחי;3582;(36, 10, 18, 8, 3582);מבני;4;(36, 10, 18, 37, 14967);וימצא מבני הכהנים אשר השיבו נשים נכריות מבני ישוע בן יוצדק ואחיו מעשיה ואליעזר ויריב וגדליה
(3108, -30, 5);[10, 8, 10, 300, 40];משיחי;751;(36, 3, 2, 11, 751);ויבנו;2;(36, 3, 2, 48, 3108);ויקם ישוע בן יוצדק ואחיו הכהנים וזרבבל בן שאלתיאל ואחיו ויבנו את מזבח אלהי ישראל להעלות עליו עלות ככתוב בתורת משה איש האלהים
(14967, -48, 6);[10, 8, 10, 300, 40, 40];ממשיחי;3582;(36, 10, 18, 8, 3582);מבני;4;(36, 10, 18, 37, 14967);וימצא מבני הכהנים אשר השיבו נשים נכריות מבני ישוע בן יוצדק ואחיו מעשיה ואליעזר ויריב וגדליה
(3108, -30, 6);[10, 8, 10, 300, 40, 40];ממשיחי;751;(36, 3, 2, 11, 751);ויבנו;2;(36, 3, 2, 48, 3108);ויקם ישוע בן יוצדק ואחיו הכהנים וזרבבל בן שאלתיאל ואחיו ויבנו את מזבח אלהי ישראל להעלות עליו עלות ככתוב בתורת משה איש האלהים
(4486, -17, 5);[20, 8, 10, 300, 40];משיחך;1073;(36, 4, 6, 5, 1073);כתבו;1;(36, 4, 6, 26, 4486);ובמלכות אחשורוש בתחלת מלכותו כתבו שטנה על ישבי יהודה וירושלם
(1309, -61, 5);[6, 8, 10, 300, 40];משיחו;315;(36, 2, 18, 2, 315);יורה;2;(36, 2, 18, 5, 1309);בני יורה מאה ושנים עשר
(1427, -37, 5);[6, 8, 10, 300, 40];משיחו;344;(36, 2, 24, 2, 344);עזמות;4;(36, 2, 24, 7, 1427);בני עזמות ארבעים ושנים
(2008, -37, 5);[6, 8, 10, 300, 40];משיחו;486;(36, 2, 44, 6, 486);פדון;3;(36, 2, 44, 20, 2008);בני קרס בני סיעהא בני פדון
