(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(3811, -100, 4);[8, 10, 300, 40];משיח;948;(37, 3, 25, 14, 948);אחריו;2;(37, 3, 25, 58, 3811);פלל בן אוזי מנגד המקצוע והמגדל היוצא מבית המלך העליון אשר לחצר המטרה אחריו פדיה בן פרעש
(17681, -100, 4);[8, 10, 300, 40];משיח;4238;(37, 11, 19, 4, 4238);ואחיהם;3;(37, 11, 19, 20, 17681);והשוערים עקוב טלמון ואחיהם השמרים בשערים מאה שבעים ושנים
(9926, -95, 4);[8, 10, 300, 40];משיח;2409;(37, 7, 51, 6, 2409);פסח;3;(37, 7, 51, 18, 9926);בני גזם בני עזא בני פסח
(8358, -87, 4);[8, 10, 300, 40];משיח;2023;(37, 7, 2, 3, 2023);חנני;1;(37, 7, 2, 8, 8358);ואצוה את חנני אחי ואת חנניה שר הבירה על ירושלם כי הוא כאיש אמת וירא את האלהים מרבים
(1884, -85, 4);[8, 10, 300, 40];משיח;477;(37, 2, 16, 11, 477);ולחרים;3;(37, 2, 16, 48, 1884);והסגנים לא ידעו אנה הלכתי ומה אני עשה וליהודים ולכהנים ולחרים ולסגנים וליתר עשה המלאכה עד כן לא הגדתי
(9133, -77, 4);[8, 10, 300, 40];משיח;2211;(37, 7, 21, 3, 2211);לחזקיה;2;(37, 7, 21, 8, 9133);בני אטר לחזקיה תשעים ושמנה
(6772, -73, 4);[8, 10, 300, 40];משיח;1640;(37, 5, 16, 3, 1640);החומה;2;(37, 5, 16, 11, 6772);וגם במלאכת החומה הזאת החזקתי ושדה לא קנינו וכל נערי קבוצים שם על המלאכה
(777, -71, 4);[8, 10, 300, 40];משיח;190;(37, 1, 11, 17, 190);והצליחה;6;(37, 1, 11, 64, 777);אנא אדני תהי נא אזנך קשבת אל תפלת עבדך ואל תפלת עבדיך החפצים ליראה את שמך והצליחה נא לעבדך היום ותנהו לרחמים לפני האיש הזה ואני הייתי משקה למלך
(9151, -63, 4);[8, 10, 300, 40];משיח;2215;(37, 7, 22, 2, 2215);חשם;1;(37, 7, 22, 4, 9151);בני חשם שלש מאות עשרים ושמנה
(3086, -60, 4);[8, 10, 300, 40];משיח;768;(37, 3, 14, 4, 768);החזיק;2;(37, 3, 14, 14, 3086);ואת שער האשפות החזיק מלכיה בן רכב שר פלך בית הכרם הוא יבננו ויעמיד דלתתיו מנעליו ובריחיו
(8618, -59, 4);[8, 10, 300, 40];משיח;2087;(37, 7, 5, 15, 2087);היחש;3;(37, 7, 5, 58, 8618);ויתן אלהי אל לבי ואקבצה את החרים ואת הסגנים ואת העם להתיחש ואמצא ספר היחש העולים בראשונה ואמצא כתוב בו
(19540, -59, 4);[8, 10, 300, 40];משיח;4640;(37, 12, 35, 3, 4640);בחצצרות;2;(37, 12, 35, 13, 19540);ומבני הכהנים בחצצרות זכריה בן יונתן בן שמעיה בן מתניה בן מיכיה בן זכור בן אסף
(14939, -56, 4);[8, 10, 300, 40];משיח;3607;(37, 9, 35, 9, 3607);הרחבה;3;(37, 9, 35, 36, 14939);והם במלכותם ובטובך הרב אשר נתת להם ובארץ הרחבה והשמנה אשר נתת לפניהם לא עבדוך ולא שבו ממעלליהם הרעים
(4674, -53, 4);[8, 10, 300, 40];משיח;1152;(37, 4, 2, 5, 1152);להלחם;4;(37, 4, 2, 21, 4674);ויקשרו כלם יחדו לבוא להלחם בירושלם ולעשות לו תועה
(6642, -51, 4);[8, 10, 300, 40];משיח;1607;(37, 5, 14, 23, 1607);לחם;2;(37, 5, 14, 92, 6642);גם מיום אשר צוה אותי להיות פחם בארץ יהודה משנת עשרים ועד שנת שלשים ושתים לארתחשסתא המלך שנים שתים עשרה אני ואחי לחם הפחה לא אכלתי
(14646, -50, 4);[8, 10, 300, 40];משיח;3540;(37, 9, 31, 11, 3540);ורחום;3;(37, 9, 31, 41, 14646);וברחמיך הרבים לא עשיתם כלה ולא עזבתם כי אל חנון ורחום אתה
(6703, -49, 4);[8, 10, 300, 40];משיח;1622;(37, 5, 15, 12, 1622);אחר;2;(37, 5, 15, 49, 6703);והפחות הראשנים אשר לפני הכבידו על העם ויקחו מהם בלחם ויין אחר כסף שקלים ארבעים גם נעריהם שלטו על העם ואני לא עשיתי כן מפני יראת אלהים
(12661, -47, 4);[8, 10, 300, 40];משיח;3060;(37, 9, 5, 10, 3060);פתחיה;3;(37, 9, 5, 49, 12661);ויאמרו הלוים ישוע וקדמיאל בני חשבניה שרביה הודיה שבניה פתחיה קומו ברכו את יהוה אלהיכם מן העולם עד העולם ויברכו שם כבדך ומרומם על כל ברכה ותהלה
(19152, -47, 4);[8, 10, 300, 40];משיח;4559;(37, 12, 27, 1, 4559);ובחנכת;3;(37, 12, 27, 3, 19152);ובחנכת חומת ירושלם בקשו את הלוים מכל מקומתם להביאם לירושלם לעשת חנכה ושמחה ובתודות ובשיר מצלתים נבלים ובכנרות
(22026, -47, 4);[8, 10, 300, 40];משיח;5207;(37, 13, 24, 2, 5207);חצי;1;(37, 13, 24, 7, 22026);ובניהם חצי מדבר אשדודית ואינם מכירים לדבר יהודית וכלשון עם ועם
(12850, -45, 4);[8, 10, 300, 40];משיח;3111;(37, 9, 7, 6, 3111);בחרת;2;(37, 9, 7, 21, 12850);אתה הוא יהוה האלהים אשר בחרת באברם והוצאתו מאור כשדים ושמת שמו אברהם
(17681, -41, 4);[8, 10, 300, 40];משיח;4238;(37, 11, 19, 4, 4238);ואחיהם;3;(37, 11, 19, 20, 17681);והשוערים עקוב טלמון ואחיהם השמרים בשערים מאה שבעים ושנים
(4646, -40, 4);[8, 10, 300, 40];משיח;1145;(37, 4, 1, 18, 1145);ויחר;3;(37, 4, 1, 87, 4646);ויהי כאשר שמע סנבלט וטוביה והערבים והעמנים והאשדודים כי עלתה ארוכה לחמות ירושלם כי החלו הפרצים להסתם ויחר להם מאד
(6905, -32, 4);[8, 10, 300, 40];משיח;1671;(37, 5, 18, 7, 1671);אחד;2;(37, 5, 18, 23, 6905);ואשר היה נעשה ליום אחד שור אחד צאן שש בררות וצפרים נעשו לי ובין עשרת ימים בכל יין להרבה ועם זה לחם הפחה לא בקשתי כי כבדה העבדה על העם הזה
(19134, -32, 4);[8, 10, 300, 40];משיח;4555;(37, 12, 26, 10, 4555);הפחה;3;(37, 12, 26, 39, 19134);אלה בימי יויקים בן ישוע בן יוצדק ובימי נחמיה הפחה ועזרא הכהן הסופר
(15396, -31, 4);[8, 10, 300, 40];משיח;3706;(37, 10, 12, 2, 3706);רחוב;2;(37, 10, 12, 6, 15396);מיכא רחוב חשביה
(9472, -28, 4);[8, 10, 300, 40];משיח;2293;(37, 7, 35, 2, 2293);חרם;1;(37, 7, 35, 4, 9472);בני חרם שלש מאות ועשרים
(18103, -26, 4);[8, 10, 300, 40];משיח;4330;(37, 11, 30, 1, 4330);זנח;3;(37, 11, 30, 3, 18103);זנח עדלם וחצריהם לכיש ושדתיה עזקה ובנתיה ויחנו מבאר שבע עד גיא הנם
(19449, -25, 4);[8, 10, 300, 40];משיח;4622;(37, 12, 31, 14, 4622);לחומה;2;(37, 12, 31, 58, 19449);ואעלה את שרי יהודה מעל לחומה ואעמידה שתי תודת גדולת ותהלכת לימין מעל לחומה לשער האשפת
(20401, -25, 4);[8, 10, 300, 40];משיח;4826;(37, 12, 47, 6, 4826);נחמיה;2;(37, 12, 47, 24, 20401);וכל ישראל בימי זרבבל ובימי נחמיה נתנים מניות המשררים והשערים דבר יום ביומו ומקדשים ללוים והלוים מקדשים לבני אהרן
(9116, -24, 4);[8, 10, 300, 40];משיח;2207;(37, 7, 20, 5, 2207);חמשים;1;(37, 7, 20, 14, 9116);בני עדין שש מאות חמשים וחמשה
(18812, -24, 4);[8, 10, 300, 40];משיח;4485;(37, 12, 21, 1, 4485);לחלקיה;2;(37, 12, 21, 2, 18812);לחלקיה חשביה לידעיה נתנאל
(6658, -22, 4);[8, 10, 300, 40];משיח;1611;(37, 5, 15, 1, 1611);והפחות;4;(37, 5, 15, 4, 6658);והפחות הראשנים אשר לפני הכבידו על העם ויקחו מהם בלחם ויין אחר כסף שקלים ארבעים גם נעריהם שלטו על העם ואני לא עשיתי כן מפני יראת אלהים
(18397, -12, 4);[8, 10, 300, 40];משיח;4399;(37, 12, 7, 3, 4399);חלקיה;1;(37, 12, 7, 8, 18397);סלו עמוק חלקיה ידעיה אלה ראשי הכהנים ואחיהם בימי ישוע
(2620, -9, 4);[8, 10, 300, 40];משיח;655;(37, 3, 6, 7, 655);פסח;3;(37, 3, 6, 27, 2620);ואת שער הישנה החזיקו יוידע בן פסח ומשלם בן בסודיה המה קרוהו ויעמידו דלתתיו ומנעליו ובריחיו
(8873, -6, 4);[8, 10, 300, 40];משיח;2146;(37, 7, 11, 2, 2146);פחת;2;(37, 7, 11, 5, 8873);בני פחת מואב לבני ישוע ויואב אלפים ושמנה מאות שמנה עשר
(22026, -47, 5);[8, 10, 300, 40, 30];למשיח;5207;(37, 13, 24, 2, 5207);חצי;1;(37, 13, 24, 7, 22026);ובניהם חצי מדבר אשדודית ואינם מכירים לדבר יהודית וכלשון עם ועם
(17681, -41, 5);[8, 10, 300, 40, 30];למשיח;4238;(37, 11, 19, 4, 4238);ואחיהם;3;(37, 11, 19, 20, 17681);והשוערים עקוב טלמון ואחיהם השמרים בשערים מאה שבעים ושנים
(777, -71, 5);[8, 10, 300, 40, 40];ממשיח;190;(37, 1, 11, 17, 190);והצליחה;6;(37, 1, 11, 64, 777);אנא אדני תהי נא אזנך קשבת אל תפלת עבדך ואל תפלת עבדיך החפצים ליראה את שמך והצליחה נא לעבדך היום ותנהו לרחמים לפני האיש הזה ואני הייתי משקה למלך
(9151, -63, 5);[8, 10, 300, 40, 40];ממשיח;2215;(37, 7, 22, 2, 2215);חשם;1;(37, 7, 22, 4, 9151);בני חשם שלש מאות עשרים ושמנה
(3086, -60, 5);[8, 10, 300, 40, 40];ממשיח;768;(37, 3, 14, 4, 768);החזיק;2;(37, 3, 14, 14, 3086);ואת שער האשפות החזיק מלכיה בן רכב שר פלך בית הכרם הוא יבננו ויעמיד דלתתיו מנעליו ובריחיו
(14646, -50, 5);[8, 10, 300, 40, 40];ממשיח;3540;(37, 9, 31, 11, 3540);ורחום;3;(37, 9, 31, 41, 14646);וברחמיך הרבים לא עשיתם כלה ולא עזבתם כי אל חנון ורחום אתה
(12661, -47, 5);[8, 10, 300, 40, 40];ממשיח;3060;(37, 9, 5, 10, 3060);פתחיה;3;(37, 9, 5, 49, 12661);ויאמרו הלוים ישוע וקדמיאל בני חשבניה שרביה הודיה שבניה פתחיה קומו ברכו את יהוה אלהיכם מן העולם עד העולם ויברכו שם כבדך ומרומם על כל ברכה ותהלה
(4646, -40, 5);[8, 10, 300, 40, 40];ממשיח;1145;(37, 4, 1, 18, 1145);ויחר;3;(37, 4, 1, 87, 4646);ויהי כאשר שמע סנבלט וטוביה והערבים והעמנים והאשדודים כי עלתה ארוכה לחמות ירושלם כי החלו הפרצים להסתם ויחר להם מאד
(6744, -51, 6);[10, 40, 8, 10, 300, 40];משיח מי;1633;(37, 5, 15, 23, 1633);עשיתי;3;(37, 5, 15, 90, 6744);והפחות הראשנים אשר לפני הכבידו על העם ויקחו מהם בלחם ויין אחר כסף שקלים ארבעים גם נעריהם שלטו על העם ואני לא עשיתי כן מפני יראת אלהים
(6772, -73, 5);[8, 10, 300, 40, 5];המשיח;1640;(37, 5, 16, 3, 1640);החומה;2;(37, 5, 16, 11, 6772);וגם במלאכת החומה הזאת החזקתי ושדה לא קנינו וכל נערי קבוצים שם על המלאכה
(19449, -25, 5);[8, 10, 300, 40, 5];המשיח;4622;(37, 12, 31, 14, 4622);לחומה;2;(37, 12, 31, 58, 19449);ואעלה את שרי יהודה מעל לחומה ואעמידה שתי תודת גדולת ותהלכת לימין מעל לחומה לשער האשפת
(20401, -25, 5);[8, 10, 300, 40, 5];המשיח;4826;(37, 12, 47, 6, 4826);נחמיה;2;(37, 12, 47, 24, 20401);וכל ישראל בימי זרבבל ובימי נחמיה נתנים מניות המשררים והשערים דבר יום ביומו ומקדשים ללוים והלוים מקדשים לבני אהרן
