(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(11223, -97, 4);[8, 10, 300, 40];משיח;2765;(38, 7, 5, 3, 2765);משפחות;4;(38, 7, 5, 13, 11223);ואחיהם לכל משפחות יששכר גבורי חילים שמונים ושבעה אלף התיחשם לכל
(26842, -95, 4);[8, 10, 300, 40];משיח;6495;(38, 17, 11, 11, 6495);אחריך;2;(38, 17, 11, 41, 26842);והיה כי מלאו ימיך ללכת עם אבתיך והקימותי את זרעך אחריך אשר יהיה מבניך והכינותי את מלכותו
(40042, -95, 4);[8, 10, 300, 40];משיח;9665;(38, 27, 15, 6, 9665);חלדי;1;(38, 27, 15, 21, 40042);השנים עשר לשנים עשר החדש חלדי הנטופתי לעתניאל ועל מחלקתו עשרים וארבעה אלף
(35467, -93, 4);[8, 10, 300, 40];משיח;8654;(38, 24, 6, 22, 8654);אחד;2;(38, 24, 6, 95, 35467);ויכתבם שמעיה בן נתנאל הסופר מן הלוי לפני המלך והשרים וצדוק הכהן ואחימלך בן אביתר וראשי האבות לכהנים וללוים בית אב אחד אחז לאלעזר ואחז אחז לאיתמר
(12806, -88, 4);[8, 10, 300, 40];משיח;3140;(38, 8, 1, 8, 3140);ואחרח;5;(38, 8, 1, 33, 12806);ובנימן הוליד את בלע בכרו אשבל השני ואחרח השלישי
(20751, -88, 4);[8, 10, 300, 40];משיח;5042;(38, 12, 35, 6, 5042);וחנית;2;(38, 12, 35, 25, 20751);ומנפתלי שרים אלף ועמהם בצנה וחנית שלשים ושבעה אלף
(22898, -88, 4);[8, 10, 300, 40];משיח;5570;(38, 15, 2, 14, 5570);בחר;2;(38, 15, 2, 42, 22898);אז אמר דויד לא לשאת את ארון האלהים כי אם הלוים כי בם בחר יהוה לשאת את ארון יהוה ולשרתו עד עולם
(7848, -80, 4);[8, 10, 300, 40];משיח;1930;(38, 5, 26, 5, 1930);רוח;3;(38, 5, 26, 18, 7848);ויער אלהי ישראל את רוח פול מלך אשור ואת רוח תלגת פלנסר מלך אשור ויגלם לראובני ולגדי ולחצי שבט מנשה ויביאם לחלח וחבור והרא ונהר גוזן עד היום הזה
(24781, -79, 4);[8, 10, 300, 40];משיח;5983;(38, 16, 6, 4, 5983);בחצצרות;2;(38, 16, 6, 21, 24781);ובניהו ויחזיאל הכהנים בחצצרות תמיד לפני ארון ברית האלהים
(31527, -79, 4);[8, 10, 300, 40];משיח;7697;(38, 21, 16, 14, 7697);וחרבו;2;(38, 21, 16, 50, 31527);וישא דויד את עיניו וירא את מלאך יהוה עמד בין הארץ ובין השמים וחרבו שלופה בידו נטויה על ירושלם ויפל דויד והזקנים מכסים בשקים על פניהם
