(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(7072, -100, 4);[8, 10, 300, 40];משיח;1742;(39, 6, 21, 3, 1742);תחנוני;2;(39, 6, 21, 9, 7072);ושמעת אל תחנוני עבדך ועמך ישראל אשר יתפללו אל המקום הזה ואתה תשמע ממקום שבתך מן השמים ושמעת וסלחת
(45040, -96, 4);[8, 10, 300, 40];משיח;10975;(39, 31, 21, 15, 10975);והצליח;6;(39, 31, 21, 67, 45040);ובכל מעשה אשר החל בעבודת בית האלהים ובתורה ובמצוה לדרש לאלהיו בכל לבבו עשה והצליח
(4553, -95, 4);[8, 10, 300, 40];משיח;1112;(39, 4, 18, 12, 1112);הנחשת;3;(39, 4, 18, 40, 4553);ויעש שלמה כל הכלים האלה לרב מאד כי לא נחקר משקל הנחשת
(44929, -93, 4);[8, 10, 300, 40];משיח;10951;(39, 31, 20, 3, 10951);יחזקיהו;2;(39, 31, 20, 10, 44929);ויעש כזאת יחזקיהו בכל יהודה ויעש הטוב והישר והאמת לפני יהוה אלהיו
(15795, -89, 4);[8, 10, 300, 40];משיח;3927;(39, 12, 1, 4, 3927);רחבעם;2;(39, 12, 1, 16, 15795);ויהי כהכין מלכות רחבעם וכחזקתו עזב את תורת יהוה וכל ישראל עמו
(16811, -89, 4);[8, 10, 300, 40];משיח;4176;(39, 12, 16, 11, 4176);תחתיו;2;(39, 12, 16, 44, 16811);וישכב רחבעם עם אבתיו ויקבר בעיר דויד וימלך אביה בנו תחתיו
(50030, -88, 4);[8, 10, 300, 40];משיח;12156;(39, 34, 15, 13, 12156);חלקיהו;1;(39, 34, 15, 51, 50030);ויען חלקיהו ויאמר אל שפן הסופר ספר התורה מצאתי בבית יהוה ויתן חלקיהו את הספר אל שפן
(11720, -86, 4);[8, 10, 300, 40];משיח;2920;(39, 9, 5, 12, 2920);חכמתך;1;(39, 9, 5, 42, 11720);ותאמר אל המלך אמת הדבר אשר שמעתי בארצי על דבריך ועל חכמתך
(54551, -78, 4);[8, 10, 300, 40];משיח;13221;(39, 36, 19, 7, 13221);חומת;1;(39, 36, 19, 26, 54551);וישרפו את בית האלהים וינתצו את חומת ירושלם וכל ארמנותיה שרפו באש וכל כלי מחמדיה להשחית
(19785, -77, 4);[8, 10, 300, 40];משיח;4892;(39, 15, 10, 6, 4892);חמש;1;(39, 15, 10, 26, 19785);ויקבצו ירושלם בחדש השלשי לשנת חמש עשרה למלכות אסא
(11850, -76, 4);[8, 10, 300, 40];משיח;2951;(39, 9, 7, 11, 2951);חכמתך;1;(39, 9, 7, 46, 11850);אשרי אנשיך ואשרי עבדיך אלה העמדים לפניך תמיד ושמעים את חכמתך
(4602, -75, 4);[8, 10, 300, 40];משיח;1125;(39, 4, 19, 13, 1125);השלחנות;4;(39, 4, 19, 47, 4602);ויעש שלמה את כל הכלים אשר בית האלהים ואת מזבח הזהב ואת השלחנות ועליהם לחם הפנים
(13018, -74, 4);[8, 10, 300, 40];משיח;3240;(39, 9, 25, 12, 3240);ויניחם;5;(39, 9, 25, 57, 13018);ויהי לשלמה ארבעת אלפים אריות סוסים ומרכבות ושנים עשר אלף פרשים ויניחם בערי הרכב ועם המלך בירושלם
(36220, -74, 4);[8, 10, 300, 40];משיח;8926;(39, 26, 15, 3, 8926);חשבנות;1;(39, 26, 15, 12, 36220);ויעש בירושלם חשבנות מחשבת חושב להיות על המגדלים ועל הפנות לירוא בחצים ובאבנים גדלות ויצא שמו עד למרחוק כי הפליא להעזר עד כי חזק
(16746, -73, 4);[8, 10, 300, 40];משיח;4161;(39, 12, 15, 14, 4161);ומלחמות;4;(39, 12, 15, 70, 16746);ודברי רחבעם הראשנים והאחרונים הלא הם כתובים בדברי שמעיה הנביא ועדו החזה להתיחש ומלחמות רחבעם וירבעם כל הימים
(44187, -67, 4);[8, 10, 300, 40];משיח;10796;(39, 31, 10, 9, 10796);מהחל;3;(39, 31, 10, 39, 44187);ויאמר אליו עזריהו הכהן הראש לבית צדוק ויאמר מהחל התרומה לביא בית יהוה אכול ושבוע והותר עד לרוב כי יהוה ברך את עמו והנותר את ההמון הזה
(8911, -64, 4);[8, 10, 300, 40];משיח;2210;(39, 7, 5, 5, 2210);זבח;3;(39, 7, 5, 18, 8911);ויזבח המלך שלמה את זבח הבקר עשרים ושנים אלף וצאן מאה ועשרים אלף ויחנכו את בית האלהים המלך וכל העם
(3553, -62, 4);[8, 10, 300, 40];משיח;873;(39, 4, 2, 12, 873);וחמש;2;(39, 4, 2, 41, 3553);ויעש את הים מוצק עשר באמה משפתו אל שפתו עגול סביב וחמש באמה קומתו וקו שלשים באמה יסב אתו סביב
(45532, -61, 4);[8, 10, 300, 40];משיח;11095;(39, 32, 8, 8, 11095);ולהלחם;5;(39, 32, 8, 36, 45532);עמו זרוע בשר ועמנו יהוה אלהינו לעזרנו ולהלחם מלחמתנו ויסמכו העם על דברי יחזקיהו מלך יהודה
(15508, -60, 4);[8, 10, 300, 40];משיח;3857;(39, 11, 20, 1, 3857);ואחריה;3;(39, 11, 20, 3, 15508);ואחריה לקח את מעכה בת אבשלום ותלד לו את אביה ואת עתי ואת זיזא ואת שלמית
