(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(51631, -100, 4);[8, 10, 300, 40];משיח;12482;(39, 6, 21, 3, 12482);תחנוני;2;(39, 6, 21, 9, 51631);ושמעת אל תחנוני עבדך ועמך ישראל אשר יתפללו אל המקום הזה ואתה תשמע ממקום שבתך מן השמים ושמעת וסלחת
(11223, -97, 4);[8, 10, 300, 40];משיח;2765;(38, 7, 5, 3, 2765);משפחות;4;(38, 7, 5, 13, 11223);ואחיהם לכל משפחות יששכר גבורי חילים שמונים ושבעה אלף התיחשם לכל
(89599, -96, 4);[8, 10, 300, 40];משיח;21715;(39, 31, 21, 15, 21715);והצליח;6;(39, 31, 21, 67, 89599);ובכל מעשה אשר החל בעבודת בית האלהים ובתורה ובמצוה לדרש לאלהיו בכל לבבו עשה והצליח
(26842, -95, 4);[8, 10, 300, 40];משיח;6495;(38, 17, 11, 11, 6495);אחריך;2;(38, 17, 11, 41, 26842);והיה כי מלאו ימיך ללכת עם אבתיך והקימותי את זרעך אחריך אשר יהיה מבניך והכינותי את מלכותו
(40042, -95, 4);[8, 10, 300, 40];משיח;9665;(38, 27, 15, 6, 9665);חלדי;1;(38, 27, 15, 21, 40042);השנים עשר לשנים עשר החדש חלדי הנטופתי לעתניאל ועל מחלקתו עשרים וארבעה אלף
(49112, -95, 4);[8, 10, 300, 40];משיח;11852;(39, 4, 18, 12, 11852);הנחשת;3;(39, 4, 18, 40, 49112);ויעש שלמה כל הכלים האלה לרב מאד כי לא נחקר משקל הנחשת
(35467, -93, 4);[8, 10, 300, 40];משיח;8654;(38, 24, 6, 22, 8654);אחד;2;(38, 24, 6, 95, 35467);ויכתבם שמעיה בן נתנאל הסופר מן הלוי לפני המלך והשרים וצדוק הכהן ואחימלך בן אביתר וראשי האבות לכהנים וללוים בית אב אחד אחז לאלעזר ואחז אחז לאיתמר
(89488, -93, 4);[8, 10, 300, 40];משיח;21691;(39, 31, 20, 3, 21691);יחזקיהו;2;(39, 31, 20, 10, 89488);ויעש כזאת יחזקיהו בכל יהודה ויעש הטוב והישר והאמת לפני יהוה אלהיו
(60354, -89, 4);[8, 10, 300, 40];משיח;14667;(39, 12, 1, 4, 14667);רחבעם;2;(39, 12, 1, 16, 60354);ויהי כהכין מלכות רחבעם וכחזקתו עזב את תורת יהוה וכל ישראל עמו
(61370, -89, 4);[8, 10, 300, 40];משיח;14916;(39, 12, 16, 11, 14916);תחתיו;2;(39, 12, 16, 44, 61370);וישכב רחבעם עם אבתיו ויקבר בעיר דויד וימלך אביה בנו תחתיו
