(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(31114, -99, 4);[8, 10, 300, 40];משיח;8048;(4, 17, 6, 6, 8048);ממחרת;3;(4, 17, 6, 21, 31114);וילנו כל עדת בני ישראל ממחרת על משה ועל אהרן לאמר אתם המתם את עם יהוה
(559, -96, 4);[8, 10, 300, 40];משיח;135;(4, 1, 18, 5, 135);באחד;3;(4, 1, 18, 18, 559);ואת כל העדה הקהילו באחד לחדש השני ויתילדו על משפחתם לבית אבתם במספר שמות מבן עשרים שנה ומעלה לגלגלתם
(55149, -96, 4);[8, 10, 300, 40];משיח;14276;(4, 31, 47, 10, 14276);החמשים;2;(4, 31, 47, 33, 55149);ויקח משה ממחצת בני ישראל את האחז אחד מן החמשים מן האדם ומן הבהמה ויתן אתם ללוים שמרי משמרת משכן יהוה כאשר צוה יהוה את משה
(63528, -95, 4);[8, 10, 300, 40];משיח;16408;(4, 36, 13, 16, 16408);ירחו;3;(4, 36, 13, 60, 63528);אלה המצות והמשפטים אשר צוה יהוה ביד משה אל בני ישראל בערבת מואב על ירדן ירחו
(51165, -94, 4);[8, 10, 300, 40];משיח;13258;(4, 29, 19, 3, 13258);אחד;2;(4, 29, 19, 11, 51165);ושעיר עזים אחד חטאת מלבד עלת התמיד ומנחתה ונסכיהם
(46998, -93, 4);[8, 10, 300, 40];משיח;12210;(4, 26, 55, 3, 12210);יחלק;2;(4, 26, 55, 9, 46998);אך בגורל יחלק את הארץ לשמות מטות אבתם ינחלו
(15929, -92, 4);[8, 10, 300, 40];משיח;4061;(4, 7, 88, 18, 4061);המזבח;5;(4, 7, 88, 74, 15929);וכל בקר זבח השלמים עשרים וארבעה פרים אילם ששים עתדים ששים כבשים בני שנה ששים זאת חנכת המזבח אחרי המשח אתו
(5094, -91, 4);[8, 10, 300, 40];משיח;1234;(4, 3, 28, 5, 1234);חדש;1;(4, 3, 28, 14, 5094);במספר כל זכר מבן חדש ומעלה שמנת אלפים ושש מאות שמרי משמרת הקדש
(4958, -90, 4);[8, 10, 300, 40];משיח;1202;(4, 3, 26, 2, 1202);החצר;2;(4, 3, 26, 7, 4958);וקלעי החצר ואת מסך פתח החצר אשר על המשכן ועל המזבח סביב ואת מיתריו לכל עבדתו
(45977, -90, 4);[8, 10, 300, 40];משיח;11985;(4, 26, 30, 9, 11985);החלקי;2;(4, 26, 30, 38, 45977);אלה בני גלעד איעזר משפחת האיעזרי לחלק משפחת החלקי
(49977, -90, 4);[8, 10, 300, 40];משיח;12974;(4, 28, 26, 5, 12974);חדשה;1;(4, 28, 26, 25, 49977);וביום הבכורים בהקריבכם מנחה חדשה ליהוה בשבעתיכם מקרא קדש יהיה לכם כל מלאכת עבדה לא תעשו
(51929, -89, 4);[8, 10, 300, 40];משיח;13427;(4, 29, 37, 1, 13427);מנחתם;3;(4, 29, 37, 3, 51929);מנחתם ונסכיהם לפר לאיל ולכבשים במספרם כמשפט
(15494, -86, 4);[8, 10, 300, 40];משיח;3952;(4, 7, 82, 3, 3952);אחד;2;(4, 7, 82, 10, 15494);שעיר עזים אחד לחטאת
(4817, -85, 4);[8, 10, 300, 40];משיח;1169;(4, 3, 22, 6, 1169);חדש;1;(4, 3, 22, 20, 4817);פקדיהם במספר כל זכר מבן חדש ומעלה פקדיהם שבעת אלפים וחמש מאות
