(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(31927, -99, 4);[8, 10, 300, 40];משיח;8066;(6, 21, 11, 9, 8066);חברון;1;(6, 21, 11, 30, 31927);ויתנו להם את קרית ארבע אבי הענוק היא חברון בהר יהודה ואת מגרשה סביבתיה
(11149, -97, 4);[8, 10, 300, 40];משיח;2847;(6, 8, 12, 2, 2847);כחמשת;2;(6, 8, 12, 6, 11149);ויקח כחמשת אלפים איש וישם אותם ארב בין בית אל ובין העי מים לעיר
(14954, -96, 4);[8, 10, 300, 40];משיח;3802;(6, 10, 6, 7, 3802);המחנה;3;(6, 10, 6, 27, 14954);וישלחו אנשי גבעון אל יהושע אל המחנה הגלגלה לאמר אל תרף ידיך מעבדיך עלה אלינו מהרה והושיעה לנו ועזרנו כי נקבצו אלינו כל מלכי האמרי ישבי ההר
(39450, -90, 4);[8, 10, 300, 40];משיח;9959;(6, 24, 30, 4, 9959);נחלתו;2;(6, 24, 30, 16, 39450);ויקברו אתו בגבול נחלתו בתמנת סרח אשר בהר אפרים מצפון להר געש
(33966, -87, 4);[8, 10, 300, 40];משיח;8589;(6, 22, 7, 17, 8589);שלחם;3;(6, 22, 7, 64, 33966);ולחצי שבט המנשה נתן משה בבשן ולחציו נתן יהושע עם אחיהם מעבר הירדן ימה וגם כי שלחם יהושע אל אהליהם ויברכם
(541, -86, 4);[8, 10, 300, 40];משיח;152;(6, 1, 9, 8, 152);תחת;2;(6, 1, 9, 28, 541);הלוא צויתיך חזק ואמץ אל תערץ ואל תחת כי עמך יהוה אלהיך בכל אשר תלך
(8203, -85, 4);[8, 10, 300, 40];משיח;2092;(6, 6, 23, 22, 2092);מחוץ;2;(6, 6, 23, 87, 8203);ויבאו הנערים המרגלים ויציאו את רחב ואת אביה ואת אמה ואת אחיה ואת כל אשר לה ואת כל משפחותיה הוציאו ויניחום מחוץ למחנה ישראל
(9386, -82, 4);[8, 10, 300, 40];משיח;2403;(6, 7, 13, 7, 2403);למחר;3;(6, 7, 13, 24, 9386);קם קדש את העם ואמרת התקדשו למחר כי כה אמר יהוה אלהי ישראל חרם בקרבך ישראל לא תוכל לקום לפני איביך עד הסירכם החרם מקרבכם
(30866, -80, 4);[8, 10, 300, 40];משיח;7798;(6, 20, 5, 5, 7798);אחריו;2;(6, 20, 5, 15, 30866);וכי ירדף גאל הדם אחריו ולא יסגרו את הרצח בידו כי בבלי דעת הכה את רעהו ולא שנא הוא לו מתמול שלשום
(29797, -79, 4);[8, 10, 300, 40];משיח;7534;(6, 19, 31, 9, 7534);וחצריהן;2;(6, 19, 31, 34, 29797);זאת נחלת מטה בני אשר למשפחתם הערים האלה וחצריהן
(39710, -69, 4);[8, 10, 300, 40];משיח;10025;(6, 24, 33, 8, 10025);פינחס;4;(6, 24, 33, 32, 39710);ואלעזר בן אהרן מת ויקברו אתו בגבעת פינחס בנו אשר נתן לו בהר אפרים
(33182, -68, 4);[8, 10, 300, 40];משיח;8393;(6, 21, 38, 5, 8393);למשפחתם;5;(6, 21, 38, 20, 33182);כל הערים לבני מררי למשפחתם הנותרים ממשפחות הלוים ויהי גורלם ערים שתים עשרה
(39363, -61, 4);[8, 10, 300, 40];משיח;9936;(6, 24, 28, 1, 9936);וישלח;5;(6, 24, 28, 5, 39363);וישלח יהושע את העם איש לנחלתו
(22541, -56, 4);[8, 10, 300, 40];משיח;5759;(6, 14, 11, 11, 5759);וככחי;4;(6, 14, 11, 40, 22541);עודני היום חזק כאשר ביום שלח אותי משה ככחי אז וככחי עתה למלחמה ולצאת ולבוא
(7801, -54, 4);[8, 10, 300, 40];משיח;1990;(6, 6, 18, 13, 1990);מחנה;2;(6, 6, 18, 45, 7801);ורק אתם שמרו מן החרם פן תחרימו ולקחתם מן החרם ושמתם את מחנה ישראל לחרם ועכרתם אותו
(25970, -54, 4);[8, 10, 300, 40];משיח;6598;(6, 17, 4, 20, 6598);אחינו;2;(6, 17, 4, 79, 25970);ותקרבנה לפני אלעזר הכהן ולפני יהושע בן נון ולפני הנשיאים לאמר יהוה צוה את משה לתת לנו נחלה בתוך אחינו ויתן להם אל פי יהוה נחלה בתוך אחי אביהן
(15765, -53, 4);[8, 10, 300, 40];משיח;4003;(6, 10, 19, 5, 4003);אחרי;2;(6, 10, 19, 17, 15765);ואתם אל תעמדו רדפו אחרי איביכם וזנבתם אותם אל תתנום לבוא אל עריהם כי נתנם יהוה אלהיכם בידכם
(30117, -47, 4);[8, 10, 300, 40];משיח;7607;(6, 19, 39, 8, 7607);וחצריהן;2;(6, 19, 39, 32, 30117);זאת נחלת מטה בני נפתלי למשפחתם הערים וחצריהן
(34687, -41, 4);[8, 10, 300, 40];משיח;8779;(6, 22, 16, 15, 8779);מאחרי;3;(6, 22, 16, 53, 34687);כה אמרו כל עדת יהוה מה המעל הזה אשר מעלתם באלהי ישראל לשוב היום מאחרי יהוה בבנותכם לכם מזבח למרדכם היום ביהוה
(20807, -30, 4);[8, 10, 300, 40];משיח;5311;(6, 13, 14, 6, 5311);נחלה;2;(6, 13, 14, 17, 20807);רק לשבט הלוי לא נתן נחלה אשי יהוה אלהי ישראל הוא נחלתו כאשר דבר לו
(10038, -29, 4);[8, 10, 300, 40];משיח;2562;(6, 7, 22, 1, 2562);וישלח;5;(6, 7, 22, 5, 10038);וישלח יהושע מלאכים וירצו האהלה והנה טמונה באהלו והכסף תחתיה
(25138, -25, 4);[8, 10, 300, 40];משיח;6394;(6, 16, 1, 9, 6394);מזרחה;4;(6, 16, 1, 39, 25138);ויצא הגורל לבני יוסף מירדן יריחו למי יריחו מזרחה המדבר עלה מיריחו בהר בית אל
(15967, -20, 4);[8, 10, 300, 40];משיח;4053;(6, 10, 22, 3, 4053);פתחו;3;(6, 10, 22, 13, 15967);ויאמר יהושע פתחו את פי המערה והוציאו אלי את חמשת המלכים האלה מן המערה
(14066, -3, 4);[8, 10, 300, 40];משיח;3579;(6, 9, 21, 4, 3579);יחיו;2;(6, 9, 21, 20, 14066);ויאמרו אליהם הנשיאים יחיו ויהיו חטבי עצים ושאבי מים לכל העדה כאשר דברו להם הנשיאים
(14517, -2, 4);[8, 10, 300, 40];משיח;3692;(6, 9, 27, 18, 3692);יבחר;3;(6, 9, 27, 70, 14517);ויתנם יהושע ביום ההוא חטבי עצים ושאבי מים לעדה ולמזבח יהוה עד היום הזה אל המקום אשר יבחר
(39450, -90, 5);[8, 10, 300, 40, 30];למשיח;9959;(6, 24, 30, 4, 9959);נחלתו;2;(6, 24, 30, 16, 39450);ויקברו אתו בגבול נחלתו בתמנת סרח אשר בהר אפרים מצפון להר געש
(14066, -3, 5);[8, 10, 300, 40, 30];למשיח;3579;(6, 9, 21, 4, 3579);יחיו;2;(6, 9, 21, 20, 14066);ויאמרו אליהם הנשיאים יחיו ויהיו חטבי עצים ושאבי מים לכל העדה כאשר דברו להם הנשיאים
(39710, -69, 5);[8, 10, 300, 40, 40];ממשיח;10025;(6, 24, 33, 8, 10025);פינחס;4;(6, 24, 33, 32, 39710);ואלעזר בן אהרן מת ויקברו אתו בגבעת פינחס בנו אשר נתן לו בהר אפרים
(39485, -61, 6);[10, 40, 8, 10, 300, 40];משיח מי;9968;(6, 24, 31, 1, 9968);ויעבד;2;(6, 24, 31, 2, 39485);ויעבד ישראל את יהוה כל ימי יהושע וכל ימי הזקנים אשר האריכו ימים אחרי יהושע ואשר ידעו את כל מעשה יהוה אשר עשה לישראל
(22541, -56, 5);[8, 10, 300, 40, 5];המשיח;5759;(6, 14, 11, 11, 5759);וככחי;4;(6, 14, 11, 40, 22541);עודני היום חזק כאשר ביום שלח אותי משה ככחי אז וככחי עתה למלחמה ולצאת ולבוא
(627, -86, 5);[10, 8, 10, 300, 40];משיחי;176;(6, 1, 11, 11, 176);כי;2;(6, 1, 11, 40, 627);עברו בקרב המחנה וצוו את העם לאמר הכינו לכם צידה כי בעוד שלשת ימים אתם עברים את הירדן הזה לבוא לרשת את הארץ אשר יהוה אלהיכם נתן לכם לרשתה
(25163, -25, 5);[10, 8, 10, 300, 40];משיחי;6401;(6, 16, 2, 1, 6401);ויצא;2;(6, 16, 2, 2, 25163);ויצא מבית אל לוזה ועבר אל גבול הארכי עטרות
(15987, -20, 5);[10, 8, 10, 300, 40];משיחי;4058;(6, 10, 22, 8, 4058);אלי;3;(6, 10, 22, 33, 15987);ויאמר יהושע פתחו את פי המערה והוציאו אלי את חמשת המלכים האלה מן המערה
(22597, -56, 5);[20, 8, 10, 300, 40];משיחך;5775;(6, 14, 12, 12, 5775);כי;1;(6, 14, 12, 36, 22597);ועתה תנה לי את ההר הזה אשר דבר יהוה ביום ההוא כי אתה שמעת ביום ההוא כי ענקים שם וערים גדלות בצרות אולי יהוה אותי והורשתים כאשר דבר יהוה
(8288, -85, 5);[6, 8, 10, 300, 40];משיחו;2114;(6, 6, 25, 4, 2114);ואת;1;(6, 6, 25, 12, 8288);ואת רחב הזונה ואת בית אביה ואת כל אשר לה החיה יהושע ותשב בקרב ישראל עד היום הזה כי החביאה את המלאכים אשר שלח יהושע לרגל את יריחו
(7855, -54, 5);[6, 8, 10, 300, 40];משיחו;2003;(6, 6, 19, 9, 2003);ליהוה;4;(6, 6, 19, 33, 7855);וכל כסף וזהב וכלי נחשת וברזל קדש הוא ליהוה אוצר יהוה יבוא
(14069, -3, 5);[6, 8, 10, 300, 40];משיחו;3580;(6, 9, 21, 5, 3580);ויהיו;1;(6, 9, 21, 23, 14069);ויאמרו אליהם הנשיאים יחיו ויהיו חטבי עצים ושאבי מים לכל העדה כאשר דברו להם הנשיאים
(14519, -2, 5);[6, 8, 10, 300, 40];משיחו;3693;(6, 10, 1, 1, 3693);ויהי;1;(6, 10, 1, 1, 14519);ויהי כשמע אדני צדק מלך ירושלם כי לכד יהושע את העי ויחרימה כאשר עשה ליריחו ולמלכה כן עשה לעי ולמלכה וכי השלימו ישבי גבעון את ישראל ויהיו בקרבם
(14069, -3, 6);[6, 8, 10, 300, 40, 30];למשיחו;3580;(6, 9, 21, 5, 3580);ויהיו;1;(6, 9, 21, 23, 14069);ויאמרו אליהם הנשיאים יחיו ויהיו חטבי עצים ושאבי מים לכל העדה כאשר דברו להם הנשיאים
(39540, -90, 5);[5, 8, 10, 300, 40];משיחה;9982;(6, 24, 31, 15, 9982);יהושע;2;(6, 24, 31, 57, 39540);ויעבד ישראל את יהוה כל ימי יהושע וכל ימי הזקנים אשר האריכו ימים אחרי יהושע ואשר ידעו את כל מעשה יהוה אשר עשה לישראל
(39540, -90, 6);[5, 8, 10, 300, 40, 30];למשיחה;9982;(6, 24, 31, 15, 9982);יהושע;2;(6, 24, 31, 57, 39540);ויעבד ישראל את יהוה כל ימי יהושע וכל ימי הזקנים אשר האריכו ימים אחרי יהושע ואשר ידעו את כל מעשה יהוה אשר עשה לישראל
