(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(41928, 4, 4);[8, 10, 300, 40];משיח;10802;(13, 29, 8, 18, 10802);חלמתיכם;1;(13, 29, 8, 69, 41928);כי כה אמר יהוה צבאות אלהי ישראל אל ישיאו לכם נביאיכם אשר בקרבכם וקסמיכם ואל תשמעו אל חלמתיכם אשר אתם מחלמים
(76011, 5, 4);[8, 10, 300, 40];משיח;19551;(13, 49, 30, 17, 19551);וחשב;2;(13, 49, 30, 64, 76011);נסו נדו מאד העמיקו לשבת ישבי חצור נאם יהוה כי יעץ עליכם נבוכדראצר מלך בבל עצה וחשב עליהם מחשבה
(18005, 6, 4);[8, 10, 300, 40];משיח;4642;(13, 12, 15, 2, 4642);אחרי;2;(13, 12, 15, 6, 18005);והיה אחרי נתשי אותם אשוב ורחמתים והשבתים איש לנחלתו ואיש לארצו
(59409, 8, 4);[8, 10, 300, 40];משיח;15300;(13, 38, 11, 16, 15300);הסחבות;3;(13, 38, 11, 57, 59409);ויקח עבד מלך את האנשים בידו ויבא בית המלך אל תחת האוצר ויקח משם בלוי הסחבות ובלוי מלחים וישלחם אל ירמיהו אל הבור בחבלים
(64332, 8, 4);[8, 10, 300, 40];משיח;16558;(13, 41, 13, 11, 16558);קרח;3;(13, 41, 13, 37, 64332);ויהי כראות כל העם אשר את ישמעאל את יוחנן בן קרח ואת כל שרי החילים אשר אתו וישמחו
(64733, 9, 4);[8, 10, 300, 40];משיח;16662;(13, 42, 1, 5, 16662);ויוחנן;4;(13, 42, 1, 20, 64733);ויגשו כל שרי החילים ויוחנן בן קרח ויזניה בן הושעיה וכל העם מקטן ועד גדול
(65725, 9, 4);[8, 10, 300, 40];משיח;16923;(13, 42, 16, 2, 16923);החרב;2;(13, 42, 16, 7, 65725);והיתה החרב אשר אתם יראים ממנה שם תשיג אתכם בארץ מצרים והרעב אשר אתם דאגים ממנו שם ידבק אחריכם מצרים ושם תמתו
(24146, 10, 4);[8, 10, 300, 40];משיח;6224;(13, 17, 10, 3, 6224);חקר;1;(13, 17, 10, 8, 24146);אני יהוה חקר לב בחן כליות ולתת לאיש כדרכו כפרי מעלליו
(39227, 13, 4);[8, 10, 300, 40];משיח;10118;(13, 27, 9, 9, 10118);חלמתיכם;1;(13, 27, 9, 33, 39227);ואתם אל תשמעו אל נביאיכם ואל קסמיכם ואל חלמתיכם ואל ענניכם ואל כשפיכם אשר הם אמרים אליכם לאמר לא תעבדו את מלך בבל
(12154, 15, 4);[8, 10, 300, 40];משיח;3126;(13, 8, 8, 3, 3126);חכמים;1;(13, 8, 8, 10, 12154);איכה תאמרו חכמים אנחנו ותורת יהוה אתנו אכן הנה לשקר עשה עט שקר ספרים
(42077, 16, 4);[8, 10, 300, 40];משיח;10842;(13, 29, 11, 5, 10842);המחשבת;3;(13, 29, 11, 16, 42077);כי אנכי ידעתי את המחשבת אשר אנכי חשב עליכם נאם יהוה מחשבות שלום ולא לרעה לתת לכם אחרית ותקוה
(32984, 18, 4);[8, 10, 300, 40];משיח;8508;(13, 23, 27, 1, 8508);החשבים;2;(13, 23, 27, 2, 32984);החשבים להשכיח את עמי שמי בחלומתם אשר יספרו איש לרעהו כאשר שכחו אבותם את שמי בבעל
(14977, 22, 4);[8, 10, 300, 40];משיח;3858;(13, 10, 11, 13, 3858);תחות;2;(13, 10, 11, 51, 14977);כדנה תאמרון להום אלהיא די שמיא וארקא לא עבדו יאבדו מארעא ומן תחות שמיא אלה
(49782, 23, 4);[8, 10, 300, 40];משיח;12833;(13, 32, 40, 8, 12833);מאחריהם;3;(13, 32, 40, 28, 49782);וכרתי להם ברית עולם אשר לא אשוב מאחריהם להיטיבי אותם ואת יראתי אתן בלבבם לבלתי סור מעלי
(31876, 27, 4);[8, 10, 300, 40];משיח;8224;(13, 23, 8, 3, 8224);חי;1;(13, 23, 8, 5, 31876);כי אם חי יהוה אשר העלה ואשר הביא את זרע בית ישראל מארץ צפונה ומכל הארצות אשר הדחתים שם וישבו על אדמתם
(80279, 30, 4);[8, 10, 300, 40];משיח;20669;(13, 51, 22, 11, 20669);בחור;2;(13, 51, 22, 40, 80279);ונפצתי בך איש ואשה ונפצתי בך זקן ונער ונפצתי בך בחור ובתולה
(59399, 32, 4);[8, 10, 300, 40];משיח;15297;(13, 38, 11, 13, 15297);ויקח;4;(13, 38, 11, 47, 59399);ויקח עבד מלך את האנשים בידו ויבא בית המלך אל תחת האוצר ויקח משם בלוי הסחבות ובלוי מלחים וישלחם אל ירמיהו אל הבור בחבלים
(31840, 33, 4);[8, 10, 300, 40];משיח;8213;(13, 23, 7, 10, 8213);חי;1;(13, 23, 7, 33, 31840);לכן הנה ימים באים נאם יהוה ולא יאמרו עוד חי יהוה אשר העלה את בני ישראל מארץ מצרים
(12689, 34, 4);[8, 10, 300, 40];משיח;3265;(13, 8, 17, 5, 3265);נחשים;2;(13, 8, 17, 15, 12689);כי הנני משלח בכם נחשים צפענים אשר אין להם לחש ונשכו אתכם נאם יהוה
(62564, 34, 4);[8, 10, 300, 40];משיח;16111;(13, 40, 8, 8, 16111);ויוחנן;4;(13, 40, 8, 37, 62564);ויבאו אל גדליה המצפתה וישמעאל בן נתניהו ויוחנן ויונתן בני קרח ושריה בן תנחמת ובני עופי הנטפתי ויזניהו בן המעכתי המה ואנשיהם
(79230, 35, 4);[8, 10, 300, 40];משיח;20395;(13, 51, 1, 13, 20395);משחית;3;(13, 51, 1, 40, 79230);כה אמר יהוה הנני מעיר על בבל ואל ישבי לב קמי רוח משחית
(45232, 36, 4);[8, 10, 300, 40];משיח;11661;(13, 31, 9, 3, 11661);ובתחנונים;4;(13, 31, 9, 12, 45232);בבכי יבאו ובתחנונים אובילם אוליכם אל נחלי מים בדרך ישר לא יכשלו בה כי הייתי לישראל לאב ואפרים בכרי הוא
(45844, 36, 4);[8, 10, 300, 40];משיח;11813;(13, 31, 19, 4, 11813);נחמתי;2;(13, 31, 19, 12, 45844);כי אחרי שובי נחמתי ואחרי הודעי ספקתי על ירך בשתי וגם נכלמתי כי נשאתי חרפת נעורי
(60777, 36, 4);[8, 10, 300, 40];משיח;15650;(13, 39, 2, 5, 15650);בחדש;2;(13, 39, 2, 21, 60777);בעשתי עשרה שנה לצדקיהו בחדש הרביעי בתשעה לחדש הבקעה העיר
(10835, 39, 4);[8, 10, 300, 40];משיח;2793;(13, 7, 22, 16, 2793);וזבח;4;(13, 7, 22, 63, 10835);כי לא דברתי את אבותיכם ולא צויתים ביום הוציא אותם מארץ מצרים על דברי עולה וזבח
(40074, 45, 4);[8, 10, 300, 40];משיח;10337;(13, 27, 20, 18, 10337);חרי;1;(13, 27, 20, 72, 40074);אשר לא לקחם נבוכדנאצר מלך בבל בגלותו את יכוניה בן יהויקים מלך יהודה מירושלם בבלה ואת כל חרי יהודה וירושלם
(81198, 49, 4);[8, 10, 300, 40];משיח;20897;(13, 51, 39, 1, 20897);בחמם;2;(13, 51, 39, 2, 81198);בחמם אשית את משתיהם והשכרתים למען יעלזו וישנו שנת עולם ולא יקיצו נאם יהוה
(26216, 51, 4);[8, 10, 300, 40];משיח;6741;(13, 18, 20, 2, 6741);תחת;2;(13, 18, 20, 7, 26216);הישלם תחת טובה רעה כי כרו שוחה לנפשי זכר עמדי לפניך לדבר עליהם טובה להשיב את חמתך מהם
(66547, 51, 4);[8, 10, 300, 40];משיח;17132;(13, 43, 4, 3, 17132);יוחנן;3;(13, 43, 4, 9, 66547);ולא שמע יוחנן בן קרח וכל שרי החילים וכל העם בקול יהוה לשבת בארץ יהודה
(76352, 52, 4);[8, 10, 300, 40];משיח;19640;(13, 49, 36, 11, 19640);הרחות;3;(13, 49, 36, 47, 76352);והבאתי אל עילם ארבע רוחות מארבע קצות השמים וזרתים לכל הרחות האלה ולא יהיה הגוי אשר לא יבוא שם נדחי עולם
(59675, 53, 4);[8, 10, 300, 40];משיח;15363;(13, 38, 14, 24, 15363);תכחד;3;(13, 38, 14, 93, 59675);וישלח המלך צדקיהו ויקח את ירמיהו הנביא אליו אל מבוא השלישי אשר בבית יהוה ויאמר המלך אל ירמיהו שאל אני אתך דבר אל תכחד ממני דבר
(60460, 53, 4);[8, 10, 300, 40];משיח;15574;(13, 38, 25, 19, 15574);תכחד;3;(13, 38, 25, 67, 60460);וכי ישמעו השרים כי דברתי אתך ובאו אליך ואמרו אליך הגידה נא לנו מה דברת אל המלך אל תכחד ממנו ולא נמיתך ומה דבר אליך המלך
(36872, 55, 4);[8, 10, 300, 40];משיח;9516;(13, 25, 38, 12, 9516);חרון;1;(13, 25, 38, 44, 36872);עזב ככפיר סכו כי היתה ארצם לשמה מפני חרון היונה ומפני חרון אפו
(57865, 55, 4);[8, 10, 300, 40];משיח;14901;(13, 37, 11, 3, 14901);חיל;1;(13, 37, 11, 11, 57865);והיה בהעלות חיל הכשדים מעל ירושלם מפני חיל פרעה
