(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(13175, 1, 4);[8, 10, 300, 40];משיח;3535;(1, 11, 11, 1, 3535);ויחי;3;(1, 11, 11, 3, 13175);ויחי שם אחרי הולידו את ארפכשד חמש מאות שנה ויולד בנים ובנות
(67761, 3, 4);[8, 10, 300, 40];משיח;17928;(1, 44, 15, 13, 17928);ינחש;3;(1, 44, 15, 47, 67761);ויאמר להם יוסף מה המעשה הזה אשר עשיתם הלוא ידעתם כי נחש ינחש איש אשר כמני
(69970, 3, 4);[8, 10, 300, 40];משיח;18515;(1, 45, 23, 5, 18515);חמרים;1;(1, 45, 23, 18, 69970);ולאביו שלח כזאת עשרה חמרים נשאים מטוב מצרים ועשר אתנת נשאת בר ולחם ומזון לאביו לדרך
(4619, 7, 4);[8, 10, 300, 40];משיח;1221;(1, 4, 9, 12, 1221);אחי;2;(1, 4, 9, 41, 4619);ויאמר יהוה אל קין אי הבל אחיך ויאמר לא ידעתי השמר אחי אנכי
(26473, 8, 4);[8, 10, 300, 40];משיח;7066;(1, 21, 23, 11, 7066);כחסד;2;(1, 21, 23, 42, 26473);ועתה השבעה לי באלהים הנה אם תשקר לי ולניני ולנכדי כחסד אשר עשיתי עמך תעשה עמדי ועם הארץ אשר גרתה בה
(33514, 9, 4);[8, 10, 300, 40];משיח;8930;(1, 25, 16, 7, 8930);בחצריהם;2;(1, 25, 16, 24, 33514);אלה הם בני ישמעאל ואלה שמתם בחצריהם ובטירתם שנים עשר נשיאם לאמתם
(33238, 10, 4);[8, 10, 300, 40];משיח;8860;(1, 25, 9, 14, 8860);החתי;2;(1, 25, 9, 52, 33238);ויקברו אתו יצחק וישמעאל בניו אל מערת המכפלה אל שדה עפרן בן צחר החתי אשר על פני ממרא
(48533, 10, 4);[8, 10, 300, 40];משיח;12925;(1, 33, 7, 5, 12925);וישתחוו;5;(1, 33, 7, 20, 48533);ותגש גם לאה וילדיה וישתחוו ואחר נגש יוסף ורחל וישתחוו
(31913, 12, 4);[8, 10, 300, 40];משיח;8520;(1, 24, 48, 14, 8520);לקחת;3;(1, 24, 48, 58, 31913);ואקד ואשתחוה ליהוה ואברך את יהוה אלהי אדני אברהם אשר הנחני בדרך אמת לקחת את בת אחי אדני לבנו
(35488, 14, 4);[8, 10, 300, 40];משיח;9439;(1, 26, 21, 1, 9439);ויחפרו;3;(1, 26, 21, 3, 35488);ויחפרו באר אחרת ויריבו גם עליה ויקרא שמה שטנה
(15530, 15, 4);[8, 10, 300, 40];משיח;4163;(1, 13, 8, 18, 4163);אנחנו;3;(1, 13, 8, 65, 15530);ויאמר אברם אל לוט אל נא תהי מריבה ביני וביניך ובין רעי ובין רעיך כי אנשים אחים אנחנו
(32179, 15, 4);[8, 10, 300, 40];משיח;8593;(1, 24, 53, 12, 8593);לאחיה;3;(1, 24, 53, 49, 32179);ויוצא העבד כלי כסף וכלי זהב ובגדים ויתן לרבקה ומגדנת נתן לאחיה ולאמה
(59691, 16, 4);[8, 10, 300, 40];משיח;15861;(1, 40, 16, 16, 15861);חרי;1;(1, 40, 16, 53, 59691);וירא שר האפים כי טוב פתר ויאמר אל יוסף אף אני בחלומי והנה שלשה סלי חרי על ראשי
(14094, 17, 4);[8, 10, 300, 40];משיח;3780;(1, 11, 31, 27, 3780);חרן;1;(1, 11, 31, 89, 14094);ויקח תרח את אברם בנו ואת לוט בן הרן בן בנו ואת שרי כלתו אשת אברם בנו ויצאו אתם מאור כשדים ללכת ארצה כנען ויבאו עד חרן וישבו שם
(39567, 17, 4);[8, 10, 300, 40];משיח;10520;(1, 28, 18, 4, 10520);ויקח;4;(1, 28, 18, 17, 39567);וישכם יעקב בבקר ויקח את האבן אשר שם מראשתיו וישם אתה מצבה ויצק שמן על ראשה
(14780, 19, 4);[8, 10, 300, 40];משיח;3960;(1, 12, 12, 12, 3960);יחיו;2;(1, 12, 12, 45, 14780);והיה כי יראו אתך המצרים ואמרו אשתו זאת והרגו אתי ואתך יחיו
(24539, 21, 4);[8, 10, 300, 40];משיח;6536;(1, 20, 5, 5, 6536);אחתי;2;(1, 20, 5, 13, 24539);הלא הוא אמר לי אחתי הוא והיא גם הוא אמרה אחי הוא בתם לבבי ובנקין כפי עשיתי זאת
(13897, 22, 4);[8, 10, 300, 40];משיח;3723;(1, 11, 28, 5, 3723);תרח;3;(1, 11, 28, 15, 13897);וימת הרן על פני תרח אביו בארץ מולדתו באור כשדים
(47468, 23, 4);[8, 10, 300, 40];משיח;12641;(1, 32, 19, 6, 12641);שלוחה;4;(1, 32, 19, 26, 47468);ואמרת לעבדך ליעקב מנחה הוא שלוחה לאדני לעשו והנה גם הוא אחרינו
