(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(56259, 4, 4);[8, 10, 300, 40];משיח;14024;(27, 105, 22, 5, 14024);יחכם;2;(27, 105, 22, 21, 56259);לאסר שריו בנפשו וזקניו יחכם
(6739, 5, 4);[8, 10, 300, 40];משיח;1704;(27, 18, 12, 6, 1704);חשכת;1;(27, 18, 12, 23, 6739);ישת חשך סתרו סביבותיו סכתו חשכת מים עבי שחקים
(39799, 5, 4);[8, 10, 300, 40];משיח;9951;(27, 77, 13, 5, 9951);אשיחה;4;(27, 77, 13, 27, 39799);והגיתי בכל פעלך ובעלילותיך אשיחה
(56656, 5, 4);[8, 10, 300, 40];משיח;14126;(27, 105, 38, 6, 14126);פחדם;2;(27, 105, 38, 20, 56656);שמח מצרים בצאתם כי נפל פחדם עליהם
(15115, 8, 4);[8, 10, 300, 40];משיח;3806;(27, 33, 15, 2, 3806);יחד;2;(27, 33, 15, 6, 15115);היצר יחד לבם המבין אל כל מעשיהם
(13563, 10, 4);[8, 10, 300, 40];משיח;3412;(27, 31, 6, 3, 3412);רוחי;3;(27, 31, 6, 12, 13563);בידך אפקיד רוחי פדיתה אותי יהוה אל אמת
(18643, 11, 4);[8, 10, 300, 40];משיח;4679;(27, 38, 4, 10, 4679);חטאתי;1;(27, 38, 4, 36, 18643);אין מתם בבשרי מפני זעמך אין שלום בעצמי מפני חטאתי
(19102, 11, 4);[8, 10, 300, 40];משיח;4796;(27, 38, 19, 5, 4796);מחטאתי;2;(27, 38, 19, 16, 19102);כי עוני אגיד אדאג מחטאתי
(48108, 12, 4);[8, 10, 300, 40];משיח;11979;(27, 89, 41, 6, 11979);מחתה;2;(27, 89, 41, 23, 48108);פרצת כל גדרתיו שמת מבצריו מחתה
(14681, 14, 4);[8, 10, 300, 40];משיח;3693;(27, 32, 11, 1, 3693);שמחו;3;(27, 32, 11, 3, 14681);שמחו ביהוה וגילו צדיקים והרנינו כל ישרי לב
(31690, 17, 4);[8, 10, 300, 40];משיח;7960;(27, 64, 11, 4, 7960);וחסה;2;(27, 64, 11, 15, 31690);ישמח צדיק ביהוה וחסה בו ויתהללו כל ישרי לב
(73660, 18, 4);[8, 10, 300, 40];משיח;18314;(27, 139, 5, 1, 18314);אחור;2;(27, 139, 5, 2, 73660);אחור וקדם צרתני ותשת עלי כפכה
(74883, 19, 4);[8, 10, 300, 40];משיח;18624;(27, 141, 5, 4, 18624);ויוכיחני;6;(27, 141, 5, 19, 74883);יהלמני צדיק חסד ויוכיחני שמן ראש אל יני ראשי כי עוד ותפלתי ברעותיהם
(53954, 21, 4);[8, 10, 300, 40];משיח;13458;(27, 103, 2, 6, 13458);תשכחי;4;(27, 103, 2, 21, 53954);ברכי נפשי את יהוה ואל תשכחי כל גמוליו
(75201, 23, 4);[8, 10, 300, 40];משיח;18704;(27, 142, 4, 11, 18704);פח;2;(27, 142, 4, 43, 75201);בהתעטף עלי רוחי ואתה ידעת נתיבתי בארח זו אהלך טמנו פח לי
(25921, 25, 4);[8, 10, 300, 40];משיח;6506;(27, 51, 11, 3, 6506);מחטאי;2;(27, 51, 11, 10, 25921);הסתר פניך מחטאי וכל עונתי מחה
(26613, 27, 4);[8, 10, 300, 40];משיח;6680;(27, 53, 1, 1, 6680);למנצח;5;(27, 53, 1, 5, 26613);למנצח על מחלת משכיל לדוד
(39540, 27, 4);[8, 10, 300, 40];משיח;9889;(27, 77, 4, 4, 9889);אשיחה;4;(27, 77, 4, 20, 39540);אזכרה אלהים ואהמיה אשיחה ותתעטף רוחי סלה
(14197, 28, 4);[8, 10, 300, 40];משיח;3569;(27, 31, 23, 10, 3569);תחנוני;2;(27, 31, 23, 41, 14197);ואני אמרתי בחפזי נגרזתי מנגד עיניך אכן שמעת קול תחנוני בשועי אליך
(21116, 28, 4);[8, 10, 300, 40];משיח;5309;(27, 42, 6, 2, 5309);תשתוחחי;5;(27, 42, 6, 7, 21116);מה תשתוחחי נפשי ותהמי עלי הוחילי לאלהים כי עוד אודנו ישועות פניו
(56340, 28, 4);[8, 10, 300, 40];משיח;14044;(27, 105, 26, 1, 14044);שלח;3;(27, 105, 26, 3, 56340);שלח משה עבדו אהרן אשר בחר בו
(26730, 29, 4);[8, 10, 300, 40];משיח;6711;(27, 53, 4, 4, 6711);נאלחו;4;(27, 53, 4, 13, 26730);כלו סג יחדו נאלחו אין עשה טוב אין גם אחד
(41313, 29, 4);[8, 10, 300, 40];משיח;10317;(27, 78, 39, 5, 10317);רוח;3;(27, 78, 39, 16, 41313);ויזכר כי בשר המה רוח הולך ולא ישוב
