(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(7717, 2, 4);[8, 10, 300, 40];משיח;1967;(28, 10, 17, 2, 1967);לחיים;2;(28, 10, 17, 5, 7717);ארח לחיים שומר מוסר ועוזב תוכחת מתעה
(4482, 4, 4);[8, 10, 300, 40];משיח;1130;(28, 6, 19, 1, 1130);יפיח;4;(28, 6, 19, 4, 4482);יפיח כזבים עד שקר ומשלח מדנים בין אחים
(20786, 14, 4);[8, 10, 300, 40];משיח;5408;(28, 25, 13, 7, 5408);לשלחיו;4;(28, 25, 13, 26, 20786);כצנת שלג ביום קציר ציר נאמן לשלחיו ונפש אדניו ישיב
(9378, 17, 4);[8, 10, 300, 40];משיח;2381;(28, 12, 11, 7, 2381);חסר;1;(28, 12, 11, 26, 9378);עבד אדמתו ישבע לחם ומרדף ריקים חסר לב
(3587, 25, 4);[8, 10, 300, 40];משיח;903;(28, 5, 10, 4, 903);כחך;2;(28, 5, 10, 13, 3587);פן ישבעו זרים כחך ועצביך בבית נכרי
(5994, 27, 4);[8, 10, 300, 40];משיח;1524;(28, 8, 10, 1, 1524);קחו;2;(28, 8, 10, 2, 5994);קחו מוסרי ואל כסף ודעת מחרוץ נבחר
(21784, 28, 4);[8, 10, 300, 40];משיח;5679;(28, 26, 19, 8, 5679);משחק;3;(28, 26, 19, 24, 21784);כן איש רמה את רעהו ואמר הלא משחק אני
(1390, 37, 4);[8, 10, 300, 40];משיח;337;(28, 2, 16, 6, 337);החליקה;2;(28, 2, 16, 26, 1390);להצילך מאשה זרה מנכריה אמריה החליקה
(20263, 40, 4);[8, 10, 300, 40];משיח;5268;(28, 24, 30, 9, 5268);חסר;1;(28, 24, 30, 26, 20263);על שדה איש עצל עברתי ועל כרם אדם חסר לב
(21424, 42, 4);[8, 10, 300, 40];משיח;5583;(28, 26, 6, 3, 5583);חמס;1;(28, 26, 6, 10, 21424);מקצה רגלים חמס שתה שלח דברים ביד כסיל
(22963, 42, 4);[8, 10, 300, 40];משיח;5986;(28, 28, 3, 8, 5986);לחם;2;(28, 28, 3, 25, 22963);גבר רש ועשק דלים מטר סחף ואין לחם
(4920, 45, 4);[8, 10, 300, 40];משיח;1249;(28, 6, 33, 4, 1249);וחרפתו;2;(28, 6, 33, 14, 4920);נגע וקלון ימצא וחרפתו לא תמחה
(10748, 47, 4);[8, 10, 300, 40];משיח;2742;(28, 14, 8, 1, 2742);חכמת;1;(28, 14, 8, 1, 10748);חכמת ערום הבין דרכו ואולת כסילים מרמה
(16151, 50, 4);[8, 10, 300, 40];משיח;4172;(28, 20, 13, 6, 4172);פקח;3;(28, 20, 13, 18, 16151);אל תאהב שנה פן תורש פקח עיניך שבע לחם
(2604, 51, 4);[8, 10, 300, 40];משיח;647;(28, 4, 2, 2, 647);לקח;3;(28, 4, 2, 5, 2604);כי לקח טוב נתתי לכם תורתי אל תעזבו
(12411, 51, 4);[8, 10, 300, 40];משיח;3170;(28, 15, 31, 3, 3170);תוכחת;4;(28, 15, 31, 11, 12411);אזן שמעת תוכחת חיים בקרב חכמים תלין
(24820, 53, 4);[8, 10, 300, 40];משיח;6471;(28, 30, 8, 4, 6471);הרחק;3;(28, 30, 8, 13, 24820);שוא ודבר כזב הרחק ממני ראש ועשר אל תתן לי הטריפני לחם חקי
(9036, 57, 4);[8, 10, 300, 40];משיח;2296;(28, 11, 30, 7, 2296);חכם;1;(28, 11, 30, 23, 9036);פרי צדיק עץ חיים ולקח נפשות חכם
(10625, 58, 4);[8, 10, 300, 40];משיח;2709;(28, 14, 3, 6, 2709);חכמים;1;(28, 14, 3, 20, 10625);בפי אויל חטר גאוה ושפתי חכמים תשמורם
