(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(12021, 5, 4);[8, 10, 300, 40];משיח;3122;(2, 9, 10, 1, 3122);ויקחו;4;(2, 9, 10, 4, 12021);ויקחו את פיח הכבשן ויעמדו לפני פרעה ויזרק אתו משה השמימה ויהי שחין אבעבעת פרח באדם ובבהמה
(17491, 5, 4);[8, 10, 300, 40];משיח;4598;(2, 12, 27, 7, 4598);פסח;3;(2, 12, 27, 26, 17491);ואמרתם זבח פסח הוא ליהוה אשר פסח על בתי בני ישראל במצרים בנגפו את מצרים ואת בתינו הציל ויקד העם וישתחוו
(39983, 5, 4);[8, 10, 300, 40];משיח;10539;(2, 27, 18, 5, 10539);ורחב;3;(2, 27, 18, 17, 39983);ארך החצר מאה באמה ורחב חמשים בחמשים וקמה חמש אמות שש משזר ואדניהם נחשת
(38533, 6, 4);[8, 10, 300, 40];משיח;10192;(2, 26, 27, 1, 10192);וחמשה;2;(2, 26, 27, 2, 38533);וחמשה בריחם לקרשי צלע המשכן השנית וחמשה בריחם לקרשי צלע המשכן לירכתים ימה
(38561, 6, 4);[8, 10, 300, 40];משיח;10198;(2, 26, 27, 7, 10198);וחמשה;2;(2, 26, 27, 30, 38561);וחמשה בריחם לקרשי צלע המשכן השנית וחמשה בריחם לקרשי צלע המשכן לירכתים ימה
(56321, 6, 4);[8, 10, 300, 40];משיח;14839;(2, 36, 32, 1, 14839);וחמשה;2;(2, 36, 32, 2, 56321);וחמשה בריחם לקרשי צלע המשכן השנית וחמשה בריחם לקרשי המשכן לירכתים ימה
(58265, 7, 4);[8, 10, 300, 40];משיח;15335;(2, 38, 3, 15, 15335);המחתת;3;(2, 38, 3, 54, 58265);ויעש את כל כלי המזבח את הסירת ואת היעים ואת המזרקת את המזלגת ואת המחתת כל כליו עשה נחשת
(31687, 8, 4);[8, 10, 300, 40];משיח;8414;(2, 22, 2, 2, 8414);זרחה;3;(2, 22, 2, 5, 31687);אם זרחה השמש עליו דמים לו שלם ישלם אם אין לו ונמכר בגנבתו
(39158, 8, 4);[8, 10, 300, 40];משיח;10345;(2, 27, 1, 11, 10345);רחב;2;(2, 27, 1, 39, 39158);ועשית את המזבח עצי שטים חמש אמות ארך וחמש אמות רחב רבוע יהיה המזבח ושלש אמות קמתו
(1750, 13, 4);[8, 10, 300, 40];משיח;453;(2, 2, 15, 10, 453);ויברח;5;(2, 2, 15, 37, 1750);וישמע פרעה את הדבר הזה ויבקש להרג את משה ויברח משה מפני פרעה וישב בארץ מדין וישב על הבאר
