(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(2159, 10, 4);[8, 10, 300, 40];משיח;566;(32, 2, 12, 7, 566);כחלל;2;(32, 2, 12, 29, 2159);לאמתם יאמרו איה דגן ויין בהתעטפם כחלל ברחבות עיר בהשתפך נפשם אל חיק אמתם
(544, 26, 4);[8, 10, 300, 40];משיח;143;(32, 1, 9, 5, 143);אחריתה;2;(32, 1, 9, 19, 544);טמאתה בשוליה לא זכרה אחריתה ותרד פלאים אין מנחם לה ראה יהוה את עניי כי הגדיל אויב
(5785, 26, 4);[8, 10, 300, 40];משיח;1490;(32, 5, 15, 6, 1490);מחלנו;2;(32, 5, 15, 21, 5785);שבת משוש לבנו נהפך לאבל מחלנו
(4676, 32, 4);[8, 10, 300, 40];משיח;1220;(32, 4, 8, 2, 1220);משחור;3;(32, 4, 8, 6, 4676);חשך משחור תארם לא נכרו בחוצות צפד עורם על עצמם יבש היה כעץ
(3439, 37, 4);[8, 10, 300, 40];משיח;898;(32, 3, 26, 2, 898);ויחיל;3;(32, 3, 26, 6, 3439);טוב ויחיל ודומם לתשועת יהוה
(4225, 37, 4);[8, 10, 300, 40];משיח;1108;(32, 3, 61, 5, 1108);מחשבתם;2;(32, 3, 61, 17, 4225);שמעת חרפתם יהוה כל מחשבתם עלי
(2869, 41, 4);[8, 10, 300, 40];משיח;754;(32, 2, 22, 14, 754);טפחתי;3;(32, 2, 22, 53, 2869);תקרא כיום מועד מגורי מסביב ולא היה ביום אף יהוה פליט ושריד אשר טפחתי ורביתי איבי כלם
(1949, 43, 4);[8, 10, 300, 40];משיח;514;(32, 2, 9, 6, 514);בריחיה;4;(32, 2, 9, 24, 1949);טבעו בארץ שעריה אבד ושבר בריחיה מלכה ושריה בגוים אין תורה גם נביאיה לא מצאו חזון מיהוה
(80, 47, 4);[8, 10, 300, 40];משיח;20;(32, 1, 2, 6, 20);לחיה;2;(32, 1, 2, 22, 80);בכו תבכה בלילה ודמעתה על לחיה אין לה מנחם מכל אהביה כל רעיה בגדו בה היו לה לאיבים
(2302, 58, 4);[8, 10, 300, 40];משיח;606;(32, 2, 14, 12, 606);ויחזו;3;(32, 2, 14, 43, 2302);נביאיך חזו לך שוא ותפל ולא גלו על עונך להשיב שביתך ויחזו לך משאות שוא ומדוחים
(1877, 87, 4);[8, 10, 300, 40];משיח;495;(32, 2, 8, 4, 495);חומת;1;(32, 2, 8, 14, 1877);חשב יהוה להשחית חומת בת ציון נטה קו לא השיב ידו מבלע ויאבל חל וחומה יחדו אמללו
(1408, 98, 4);[8, 10, 300, 40];משיח;374;(32, 1, 22, 15, 374);אנחתי;3;(32, 1, 22, 50, 1408);תבא כל רעתם לפניך ועולל למו כאשר עוללת לי על כל פשעי כי רבות אנחתי ולבי דוי
(544, 26, 5);[8, 10, 300, 40, 30];למשיח;143;(32, 1, 9, 5, 143);אחריתה;2;(32, 1, 9, 19, 544);טמאתה בשוליה לא זכרה אחריתה ותרד פלאים אין מנחם לה ראה יהוה את עניי כי הגדיל אויב
(5785, 26, 5);[8, 10, 300, 40, 30];למשיח;1490;(32, 5, 15, 6, 1490);מחלנו;2;(32, 5, 15, 21, 5785);שבת משוש לבנו נהפך לאבל מחלנו
(2302, 58, 5);[8, 10, 300, 40, 30];למשיח;606;(32, 2, 14, 12, 606);ויחזו;3;(32, 2, 14, 43, 2302);נביאיך חזו לך שוא ותפל ולא גלו על עונך להשיב שביתך ויחזו לך משאות שוא ומדוחים
(2149, 10, 5);[10, 8, 10, 300, 40];משיחי;564;(32, 2, 12, 5, 564);ויין;3;(32, 2, 12, 19, 2149);לאמתם יאמרו איה דגן ויין בהתעטפם כחלל ברחבות עיר בהשתפך נפשם אל חיק אמתם
(1906, 43, 5);[10, 8, 10, 300, 40];משיחי;504;(32, 2, 8, 13, 504);ויאבל;2;(32, 2, 8, 43, 1906);חשב יהוה להשחית חומת בת ציון נטה קו לא השיב ידו מבלע ויאבל חל וחומה יחדו אמללו
(518, 26, 5);[6, 8, 10, 300, 40];משיחו;137;(32, 1, 8, 17, 137);ותשב;1;(32, 1, 8, 61, 518);חטא חטאה ירושלם על כן לנידה היתה כל מכבדיה הזילוה כי ראו ערותה גם היא נאנחה ותשב אחור
(518, 26, 6);[6, 8, 10, 300, 40, 30];למשיחו;137;(32, 1, 8, 17, 137);ותשב;1;(32, 1, 8, 61, 518);חטא חטאה ירושלם על כן לנידה היתה כל מכבדיה הזילוה כי ראו ערותה גם היא נאנחה ותשב אחור
